table_id|column_id|label_id|label|column_data
dataset/Dataset/data/8364735/table_68|1|95|пол|мужской 
dataset/Dataset/data/399757/table_23|1|95|пол|мужской 
dataset/Dataset/data/903005/table_31|1|95|пол|мужской 
dataset/Dataset/data/752150/table_29|1|95|пол|женский 
dataset/Dataset/data/2044600/table_0|0|95|пол|Мужчины Женщины 
dataset/Dataset/data/2286749/table_22|1|95|пол|мужской 
dataset/Dataset/data/939410/table_42|1|95|пол|мужской 
dataset/Dataset/data/927732/table_35|1|95|пол|мужской 
dataset/Dataset/data/1385917/table_30|1|95|пол|мужской 
dataset/Dataset/data/1804242/table_15|1|95|пол|мужской 
dataset/Dataset/data/397826/table_62|1|95|пол|женский 
dataset/Dataset/data/832560/table_2|1|95|пол|женский 
dataset/Dataset/data/2964089/table_64|1|95|пол|мужской 
dataset/Dataset/data/2358807/table_1|1|95|пол|мужской 
dataset/Dataset/data/1710064/table_61|1|95|пол|мужской 
dataset/Dataset/data/340377/table_71|1|95|пол|женский 
dataset/Dataset/data/927801/table_10|1|95|пол|мужской 
dataset/Dataset/data/865901/table_68|1|95|пол|мужской 
dataset/Dataset/data/3017669/table_50|1|95|пол|женский 
dataset/Dataset/data/7282960/table_2|1|95|пол|женский 
dataset/Dataset/data/981597/table_71|1|95|пол|женский 
dataset/Dataset/data/363782/table_20|1|95|пол|мужской 
dataset/Dataset/data/505648/table_11|1|95|пол|женский 
dataset/Dataset/data/1159515/table_4|1|95|пол|мужской мужской 
dataset/Dataset/data/1709664/table_36|1|95|пол|мужской 
dataset/Dataset/data/397943/table_28|1|95|пол|мужской 
dataset/Dataset/data/3791486/table_47|1|95|пол|мужской 
dataset/Dataset/data/2315149/table_29|1|95|пол|женский 
dataset/Dataset/data/755806/table_15|1|95|пол|мужской 
dataset/Dataset/data/2315154/table_41|1|95|пол|женский 
dataset/Dataset/data/3791486/table_42|1|95|пол|мужской 
dataset/Dataset/data/397854/table_0|1|95|пол|мужской 
dataset/Dataset/data/340171/table_0|1|95|пол|мужской 
dataset/Dataset/data/1604234/table_66|1|95|пол|мужской 
dataset/Dataset/data/301217/table_50|1|95|пол|женский 
dataset/Dataset/data/2360003/table_69|1|95|пол|мужской 
dataset/Dataset/data/915108/table_50|1|95|пол|женский 
dataset/Dataset/data/3366806/table_28|1|95|пол|мужской 
dataset/Dataset/data/703474/table_19|1|95|пол|мужской 
dataset/Dataset/data/397943/table_0|1|95|пол|мужской 
dataset/Dataset/data/2360003/table_68|1|95|пол|мужской 
dataset/Dataset/data/8779648/table_2|1|95|пол|женский 
dataset/Dataset/data/1385917/table_9|1|95|пол|мужской 
dataset/Dataset/data/1710060/table_33|1|95|пол|женский 
dataset/Dataset/data/610209/table_45|1|95|пол|мужской 
dataset/Dataset/data/384052/table_20|1|95|пол|мужской 
dataset/Dataset/data/397942/table_0|1|95|пол|мужской 
dataset/Dataset/data/927801/table_47|1|95|пол|мужской 
dataset/Dataset/data/393479/table_61|1|95|пол|мужской 
dataset/Dataset/data/301223/table_72|1|95|пол|мужской 
dataset/Dataset/data/814464/table_31|1|95|пол|мужской 
dataset/Dataset/data/939413/table_60|1|95|пол|мужской 
dataset/Dataset/data/1631086/table_24|1|95|пол|женский 
dataset/Dataset/data/1212173/table_23|1|95|пол|мужской 
dataset/Dataset/data/743349/table_47|1|95|пол|мужской 
dataset/Dataset/data/2412635/table_24|1|95|пол|женский 
dataset/Dataset/data/609599/table_42|1|95|пол|мужской 
dataset/Dataset/data/743245/table_9|1|95|пол|мужской 
dataset/Dataset/data/2412618/table_11|1|95|пол|женский 
dataset/Dataset/data/1661358/table_54|1|95|пол|мужской 
dataset/Dataset/data/726078/table_36|1|95|пол|мужской 
dataset/Dataset/data/397871/table_13|1|95|пол|женский 
dataset/Dataset/data/186230/table_3|1|95|пол|женский 
dataset/Dataset/data/186002/table_3|1|95|пол|женский 
dataset/Dataset/data/847239/table_31|1|95|пол|мужской 
dataset/Dataset/data/1828829/table_68|1|95|пол|мужской 
dataset/Dataset/data/393479/table_37|1|95|пол|мужской 
dataset/Dataset/data/8929860/table_17|1|95|пол|мужской 
dataset/Dataset/data/532896/table_65|1|95|пол|женский 
dataset/Dataset/data/321516/table_72|1|95|пол|мужской 
dataset/Dataset/data/915108/table_32|1|95|пол|женский 
dataset/Dataset/data/3565199/table_29|1|95|пол|женский 
dataset/Dataset/data/1495366/table_36|1|95|пол|мужской 
dataset/Dataset/data/790974/table_23|1|95|пол|мужской 
dataset/Dataset/data/1828830/table_35|1|95|пол|мужской 
dataset/Dataset/data/393915/table_52|1|95|пол|женский 
dataset/Dataset/data/2412632/table_46|1|95|пол|мужской 
dataset/Dataset/data/384138/table_25|1|95|пол|мужской 
dataset/Dataset/data/1828816/table_28|1|95|пол|мужской 
dataset/Dataset/data/397942/table_9|1|95|пол|мужской 
dataset/Dataset/data/815790/table_71|1|95|пол|женский 
dataset/Dataset/data/397899/table_10|1|95|пол|мужской 
dataset/Dataset/data/340382/table_4|1|95|пол|мужской мужской 
dataset/Dataset/data/1710073/table_68|1|95|пол|мужской 
dataset/Dataset/data/1804531/table_40|1|95|пол|мужской 
dataset/Dataset/data/397826/table_46|1|95|пол|мужской 
dataset/Dataset/data/257321/table_3|1|95|пол|женский 
dataset/Dataset/data/1815527/table_11|1|95|пол|женский 
dataset/Dataset/data/3791486/table_60|1|95|пол|мужской 
dataset/Dataset/data/745354/table_65|1|95|пол|женский 
dataset/Dataset/data/981597/table_1|1|95|пол|мужской 
dataset/Dataset/data/815700/table_54|1|95|пол|мужской 
