table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1426055/table_3|4|97|порядок|Знак на киль с начала 20-х годов мог иметь вариант с гербом Савойского дома Принят новый знак на фюзеляж, представляющий собой голубой круг с центре которого золотая ликторская фасция Знак на киль наносился в центре, либо в верхней части белой полосы итальянского триколора Знак на киль тот же. Приняты новые опознавательные знаки на плоскостях в виде круга с тремя стилизованным фасциями. Опознавательные знаки на плоскостях могли быть в двух вариантах: белая окантовка, чёрный фон с тремя белыми фасциями, либо чёрная окантовка, белый фон с тремя чёрными фасциями. Знак на киль наносился в центре перекрестия, либо в верхней части белого креста¹. С 1941 года опознавательные знаки на плоскостях стали маскировочного типа, с черной окантовкой, тремя черными фасциями, но с фоном под цвет самого самолёта. После капитуляции Италии в сентябре 1943 года все самолёты находившиеся на севере страны были захвачены нацистской Германией ВВС Итальянской социальной республики С октября 1943 по 1946 годы опознавательные знаки ВВС Королевства Италии находившегося в состоянии войны с Третьим рейхом, Итальянской социальной республикой и их союзниками. С 1946 года опознавательные знаки ВВС Итальянской Республики. 
dataset/Dataset/data/1443309/table_1|4|97|порядок|Нижняя часть нижнего крыла полностью окрашивалась в цвета флага Сербии. Самолёты, полученные из Франции по программе военной помощи, несли стандартные французские опознавательные знаки. Сербская кокарда или сербский флаг наносились на фюзеляж как дополнение. Самолёты, полученные из Франции по программе военной помощи, несли стандартные французские опознавательные знаки. Сербская кокарда или сербский флаг наносились на фюзеляж как дополнение. Официальное использование флага Сербии, в качестве знака на фюзеляж было регламентировано к 1918 году. 
dataset/Dataset/data/1485698/table_0|9|97|порядок|1-5-3-6-2-4 1-5-4-8-6-3-7-2 
dataset/Dataset/data/342150/table_0|1|97|порядок|Для мобильной связи(негеографические номера) Дата выдачи(дд.мм.гггг) 06.03.1998 06.03.1998 19.07.2002 26.06.2003 28.11.2003 04.03.2004 21.09.2004 17.01.2005 10.06.2005 21.11.2005 02.11.2006 15.05.2006 15.05.2007 17.07.2007 02.10.2007 30.11.2007 23.01.2008 23.01.2008 05.06.2008 01.10.2008 31.12.2008 08.06.2009 30.11.2009 19.02.2010 19.02.2010 * +373 — код Молдавии60, 68, 69 — коды оператора для услуг мобильной связиx — любая цифра Для услуг фиксированного Интернета посредством технологии Dial-Up(негеографические номера) Дата выдачи(дд.мм.гггг) 01.08.2009 
dataset/Dataset/data/342150/table_0|2|97|порядок|Для мобильной связи(негеографические номера) Действителен до(дд.мм.гггг) 06.03.2013 06.03.2013 19.07.2012 26.06.2013 28.11.2013 04.03.2014 21.09.2014 17.01.2005 10.06.2015 21.11.2015 02.11.2016 15.05.2016 15.05.2017 17.07.2017 02.10.2017 30.11.2017 23.01.2018 23.01.2018 05.06.2018 01.10.2018 31.12.2018 08.06.2019 30.11.2019 19.02.2020 19.02.2020 * +373 — код Молдавии60, 68, 69 — коды оператора для услуг мобильной связиx — любая цифра Для услуг фиксированного Интернета посредством технологии Dial-Up(негеографические номера) Действителен до(дд.мм.гггг) 01.08.2019 
dataset/Dataset/data/342150/table_0|3|97|порядок|Для мобильной связи(негеографические номера) Выдан на 15 лет 15 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет * +373 — код Молдавии60, 68, 69 — коды оператора для услуг мобильной связиx — любая цифра Для услуг фиксированного Интернета посредством технологии Dial-Up(негеографические номера) Выдан на 10 лет 
dataset/Dataset/data/342150/table_0|7|97|порядок|Для фиксированной проводной связи(географические номера) Действителен до(дд.мм.гггг) для муниципия Кишинэу 01.08.2019 01.08.2019 01.08.2019 01.08.2019 01.08.2019 01.08.2019 01.08.2019 01.08.2019 18.12.2019 18.12.2019 18.12.2019 для муниципия Бельцы 01.08.2019 01.08.2019 для города Кагул 01.08.2019 для города Оргеев 01.08.2019 для города Унгены 01.08.2019 ** +373 — код Молдавии22, 231, 299, 235, 236 — коды соответствующих регионовx — любая цифра ** +373 — код Молдавии22, 231, 299, 235, 236 — коды соответствующих регионовx — любая цифра ** +373 — код Молдавии22, 231, 299, 235, 236 — коды соответствующих регионовx — любая цифра ** +373 — код Молдавии22, 231, 299, 235, 236 — коды соответствующих регионовx — любая цифра 
dataset/Dataset/data/342150/table_0|6|97|порядок|Для фиксированной проводной связи(географические номера) Дата выдачи(дд.мм.гггг) для муниципия Кишинэу 01.08.2009 01.08.2009 01.08.2009 01.08.2009 01.08.2009 01.08.2009 01.08.2009 01.08.2009 18.12.2009 18.12.2009 18.12.2009 для муниципия Бельцы 01.08.2009 01.08.2009 для города Кагул 01.08.2009 для города Оргеев 01.08.2009 для города Унгены 01.08.2009 ** +373 — код Молдавии22, 231, 299, 235, 236 — коды соответствующих регионовx — любая цифра ** +373 — код Молдавии22, 231, 299, 235, 236 — коды соответствующих регионовx — любая цифра ** +373 — код Молдавии22, 231, 299, 235, 236 — коды соответствующих регионовx — любая цифра ** +373 — код Молдавии22, 231, 299, 235, 236 — коды соответствующих регионовx — любая цифра 
dataset/Dataset/data/342150/table_0|5|97|порядок|Для фиксированной проводной связи(географические номера) Ресурс нумерации(в международном формате)** для муниципия Кишинэу +373 22 81-5x-xx +373 22 85-3x-xx +373 22 85-4x-xx +373 22 85-5x-xx +373 22 85-6x-xx +373 22 85-7x-xx +373 22 85-8x-xx +373 22 87-6x-xx +373 22 85-1x-xx +373 22 85-2x-xx +373 22 85-9x-xx для муниципия Бельцы +373 231 80-x-xx +373 231 88-x-xx для города Кагул +373 299 80-x-xx для города Оргеев +373 235 8-0-x-xx для города Унгены +373 236 80-x-xx ** +373 — код Молдавии22, 231, 299, 235, 236 — коды соответствующих регионовx — любая цифра ** +373 — код Молдавии22, 231, 299, 235, 236 — коды соответствующих регионовx — любая цифра ** +373 — код Молдавии22, 231, 299, 235, 236 — коды соответствующих регионовx — любая цифра ** +373 — код Молдавии22, 231, 299, 235, 236 — коды соответствующих регионовx — любая цифра 
dataset/Dataset/data/342150/table_0|0|97|порядок|Для мобильной связи(негеографические номера) Ресурс нумерации(в международном формате)* +373 69 1х-хх-хх +373 69 2х-хх-хх +373 69 3х-хх-хх +373 69 0х-хх-хх +373 69 4х-хх-хх +373 69 5х-хх-хх +373 69 6х-хх-хх +373 69 7х-хх-хх +373 69 9х-хх-хх +373 69 8х-хх-хх +373 68 0х-хх-хх +373 68 1х-хх-хх +373 68 2х-хх-хх +373 68 3х-хх-хх +373 68 4х-хх-хх +373 68 5х-хх-хх +373 68 6х-хх-хх +373 68 7х-хх-хх +373 68 8х-хх хх +373 68 9х-хх-хх +373 60 0х-хх-хх +373 60 1х-хх-хх +373 60 2х-хх-хх +373 60 3х-хх-хх +373 60 4х-хх-хх * +373 — код Молдавии60, 68, 69 — коды оператора для услуг мобильной связиx — любая цифра Для услуг фиксированного Интернета посредством технологии Dial-Up(негеографические номера) Ресурс нумерации(в национальном формате) 82128212 
dataset/Dataset/data/342150/table_0|8|97|порядок|Для фиксированной проводной связи(географические номера) Выдан на для муниципия Кишинэу 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет 10 лет для муниципия Бельцы 10 лет 10 лет для города Кагул 10 лет для города Оргеев 10 лет для города Унгены 10 лет ** +373 — код Молдавии22, 231, 299, 235, 236 — коды соответствующих регионовx — любая цифра ** +373 — код Молдавии22, 231, 299, 235, 236 — коды соответствующих регионовx — любая цифра ** +373 — код Молдавии22, 231, 299, 235, 236 — коды соответствующих регионовx — любая цифра ** +373 — код Молдавии22, 231, 299, 235, 236 — коды соответствующих регионовx — любая цифра 
dataset/Dataset/data/3496033/table_0|0|97|порядок|1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
dataset/Dataset/data/3688064/table_0|0|97|порядок|1 2 3 4 5 6 7 8 9 
dataset/Dataset/data/4047860/table_16|0|97|порядок|1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 
dataset/Dataset/data/4144790/table_0|0|97|порядок|1.0 2.0 3.0 4.0 5.0 6.0 7.0 8.0 9.0 10.0 10.0 
dataset/Dataset/data/4302911/table_6|1|97|порядок|1 2 3 4 5 6 Песня за жизнь 1 2 
dataset/Dataset/data/4324890/table_0|0|97|порядок|1 2 3 4 5 6 
dataset/Dataset/data/5048629/table_3|1|97|порядок|1 2 3 4 5 6 7 8 9 Песня за жизнь 1 2 
dataset/Dataset/data/5133385/table_3|0|97|порядок|1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
dataset/Dataset/data/5860158/table_2|0|97|порядок|1 2 3 4 4 5 6 7 8 8 8 9 9 10 11 12 12 13 14 15 16 16 16 16 16 17 18 18 19 20 20 21 22 23 24 24 24 25 25 26 27 27 27 28 28 29 30 
dataset/Dataset/data/5928033/table_3|0|97|порядок|1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
dataset/Dataset/data/6125586/table_4|0|97|порядок|1 2 3 4 5 6 7 8 9 
dataset/Dataset/data/6125613/table_0|0|97|порядок|1 2 3 4 5 6 
dataset/Dataset/data/6181913/table_6|6|97|порядок|? ? LF(2,7) PGL(2,7) PGL(2,7) LF(2,13) LF(2,13) ? ? S4×S2 A5×S2 LF(2,23) ? LF(2,29)×A3 
dataset/Dataset/data/6220960/table_0|3|97|порядок|1 15 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 
dataset/Dataset/data/6443383/table_4|0|97|порядок|1 2 3 4 5 6 7 8 9 
dataset/Dataset/data/6443438/table_0|0|97|порядок|1 2 3 4 5 6 7 8 
dataset/Dataset/data/6443447/table_0|0|97|порядок|1 2 3 4 5 6 7 8 9 10 11 
dataset/Dataset/data/6697746/table_1|0|97|порядок|1 2 3 4 5 6 7 8 Выжившие 
dataset/Dataset/data/7134788/table_0|4|97|порядок|3-й 
dataset/Dataset/data/7252744/table_3|1|97|порядок|2p2 2p2 8 18 18 32 32 50 50 72 72 24 48 48 48 48 72 96 144 144 144 144 192 192 192 192 288 288 288 288 360 360 600 600 720 720 720 720 720 720 720 720 1200 1200 1200 1200 1200 1200 1200 1200 1800 1800 1800 1800 1800 1800 1800 1800 
dataset/Dataset/data/7252744/table_4|2|97|порядок|24 120 120 48 48 6p3 6p3 162 162 384 384 750 750 1296 1296 648 1296 1296 
dataset/Dataset/data/7272805/table_1|1|97|порядок|48 168 (граница Гурвица) 120 192 150 504 (граница Гурвица) 336 320 432 240 
dataset/Dataset/data/7314914/table_0|0|97|порядок|2 2 3 3 4 4 6 
dataset/Dataset/data/7813060/table_5|7|97|порядок|120 8 10 6 4 2 24 20 12 4 10 6 2 60 12 10 6 4 5 3 2 1 
dataset/Dataset/data/7825489/table_0|1|97|порядок|218 36 53 7 11 23 210 37 53 7 11 23 218 32 5 7 11 23 215 36 5 7 11 27 36 53 7 11 29 32 53 7 11 24 37 5 11 217 32 5 7 11 27 32 5 7 11 23 210 32 5 7 212 32 5 7 27 32 5 7 
dataset/Dataset/data/7825493/table_0|1|97|порядок|218 36 53 7 11 23 210 37 53 7 11 23 218 32 5 7 11 23 215 36 5 7 11 27 36 53 7 11 29 32 53 7 11 24 37 5 11 217 32 5 7 11 27 32 5 7 11 23 210 32 5 7 212 32 5 7 27 32 5 7 
dataset/Dataset/data/7842322/table_1|0|97|порядок|Devil May Cry Devil May Cry 2 Devil May Cry 3 Дьявол может плакать (аниме) 
dataset/Dataset/data/7842322/table_1|1|97|порядок|Devil May Cry 3 Devil May Cry Дьявол может плакать (аниме) Devil May Cry 2 
dataset/Dataset/data/8307412/table_0|0|97|порядок|Первый Второй Третий Четвёртый Пятый Шестой Седьмой 
dataset/Dataset/data/8311112/table_0|0|97|порядок|Первый Второй Третий Четвёртый Пятый Шестой Седьмой 
dataset/Dataset/data/8404034/table_9|3|97|порядок|36 17 5 6 9 
dataset/Dataset/data/8404037/table_3|3|97|порядок|31 23 32 1 8 
dataset/Dataset/data/8404037/table_4|3|97|порядок|27.0 2.0 30.0 
dataset/Dataset/data/8404447/table_6|3|97|порядок|18 19 
dataset/Dataset/data/8412435/table_4|3|97|порядок|27.0 2.0 30.0 
dataset/Dataset/data/8412547/table_6|3|97|порядок|18 19 
dataset/Dataset/data/8412547/table_9|3|97|порядок|36 17 5 6 9 
dataset/Dataset/data/8807093/table_2|0|97|порядок|1 1 1 2 2 3 3 4 4 
dataset/Dataset/data/8807093/table_2|1|97|порядок|1 2 3 1 2 1 2 1 2 
dataset/Dataset/data/8968425/table_0|0|97|порядок|Первый Второй Третий Четвёртый Пятый Шестой Седьмой 
