table_id|column_id|label_id|label|column_data
dataset/Dataset/data/201097/table_0|5|98|правительство|Срок пребывания в должности с 16 января 2020 с 30 апреля по 19 мая 2020 с 21 января 2020 с 21 января 2020 с 18 мая 2018 с 21 января 2020 с 21 января 2020 с 18 мая 2018 с 10 ноября 2020 с 21 января 2020 с 31 августа 2013 с 21 января 2020 с 21 мая 2012 с 18 мая 2018 по 8 сентября 2021 (трагически погиб на учениях) с 10 сентября 2021 с 21 января 2020 с 9 марта 2004 с 21 января 2020 с 6 по 14 мая 2020 с 6 ноября 2012 с 21 января 2020 с 21 января 2020 с 18 мая 2018 по 9 ноября 2020 с 10 ноября 2020 с 18 мая 2018 по 9 ноября 2020 с 10 ноября 2020 с 21 мая 2012 с 21 января 2020 с 18 мая 2018 с 18 мая 2018 по 9 ноября 2020 с 1 по 26 мая 2020 с 10 ноября 2020 с 21 января 2020 с 18 мая 2018 по 9 ноября 2020 с 10 ноября 2020 с 21 января 2020 с 16 декабря 2011 с 21 января 2020 с 21 мая 2012 по 10 ноября 2020 с 10 ноября 2020 с 21 января 2020 
dataset/Dataset/data/3466237/table_2|0|98|правительство|65 66 66 67 68 68 69 70 71 72 73 74 75 76 77 
dataset/Dataset/data/5958505/table_2|0|98|правительство|65 66 66 67 68 68 69 70 71 72 73 74 75 76 77 
dataset/Dataset/data/1735662/table_0|3|98|правительство|Партия 
dataset/Dataset/data/29867/table_0|4|98|правительство|Партия Беспартийный Беспартийный Беспартийный Беспартийный Единая Россия Беспартийный Беспартийная Беспартийный Беспартийный Беспартийный Единая Россия Беспартийный Беспартийный Беспартийный Беспартийный Беспартийный Беспартийный Беспартийная Беспартийный Единая Россия Беспартийный Единая Россия Единая Россия Беспартийный Единая Россия Единая Россия Беспартийный Беспартийный Беспартийный Единая Россия Беспартийный Беспартийный Беспартийный Единая Россия Единая Россия Беспартийный Единая Россия Единая Россия Беспартийный Беспартийный Беспартийный 
dataset/Dataset/data/8553082/table_0|7|98|правительство|Да Нет Нет - 
dataset/Dataset/data/7095934/table_0|1|98|правительство|Портрет 
dataset/Dataset/data/8739001/table_0|6|98|правительство|Правительство большинства Правительство большинства Оппозиция Оппозиция Правительство большинства Правительство большинства Оппозиция 
dataset/Dataset/data/8091900/table_0|4|98|правительство|Партия Беспартийный Беспартийный Беспартийный Беспартийный Единая Россия Беспартийный Беспартийная Беспартийный Беспартийный Беспартийный Единая Россия Беспартийный Беспартийный Беспартийный Беспартийный Беспартийный Беспартийный Беспартийная Беспартийный Единая Россия Беспартийный Единая Россия Единая Россия Беспартийный Единая Россия Единая Россия Беспартийный Беспартийный Беспартийный Единая Россия Беспартийный Беспартийный Беспартийный Единая Россия Единая Россия Беспартийный Единая Россия Единая Россия Беспартийный Беспартийный Беспартийный 
dataset/Dataset/data/3823723/table_0|2|98|правительство|Имя и фамилия Михаил Мишустин Андрей Белоусов (и. о.) Андрей Белоусов Дмитрий Чернышенко Татьяна Голикова Марат Хуснуллин Виктория Абрамченко Юрий Борисов Александр Новак Алексей Оверчук Юрий Трутнев Дмитрий Григоренко Владимир Колокольцев Евгений Зиничев (1966—2021) Александр Чуприян (и. о.) Михаил Мурашко Сергей Лавров Ольга Любимова Сергей Обрывалин (и. о.) Сергей Шойгу Сергей Кравцов Валерий Фальков Александр Козлов Алексей Чекунков Дмитрий Кобылкин Александр Козлов Денис Мантуров Максут Шадаев Дмитрий Патрушев Владимир Якушев Никита Стасишин (и. о.) Ирек Файзуллин Олег Матыцин Евгений Дитрих Виталий Савельев Антон Котяков Антон Силуанов Максим Решетников Александр Новак Николай Шульгинов Константин Чуйченко 
dataset/Dataset/data/8805713/table_0|7|98|правительство|Нет Нет Нет - 
dataset/Dataset/data/6071417/table_0|3|98|правительство|Правительство Де Гаспери (второе)[it] Правительство Де Гаспери (третье)[it] Правительство Де Гаспери (четвёртое)[it] Правительство Де Гаспери (пятое)[it] Правительство Де Гаспери (шестое)[it] Правительство Де Гаспери (седьмое)[it] Правительство Де Гаспери (восьмое)[it] Правительство Пелла[it] Правительство Фанфани (первое)[it] Правительство Шельбы[it] Правительство Сеньи (первое)[it] Правительство Дзоли[it] Правительство Фанфани (второе)[it] Правительство Сеньи (второе)[it] Правительство Тамброни[it] Правительство Фанфани (третье)[it] Правительство Фанфани (четвёртое)[it] Правительство Леоне (первое)[it] Правительство Моро (первое)[it] Правительство Моро (второе)[it] Правительство Моро (третье)[it] Правительство Леоне (второе)[it] Правительство Румора (первое)[it] Правительство Румора (второе)[it] Правительство Румора (третье)[it] Правительство Коломбо[it] Правительство Андреотти (первое)[it] Правительство Андреотти (второе)[it] Правительство Румора (четвёртое)[it] Правительство Румора (пятое)[it] Правительство Моро (четвёртое)[it] Правительство Моро (пятое)[it] Правительство Андреотти (второе)[it] Правительство Андреотти (четвёртое)[it] Правительство Андреотти (пятое)[it] Правительство Коссиги (первое)[it] Правительство Коссиги (второе)[it] Правительство Форлани[it] Правительство Спадолини (первое)[it] Правительство Спадолини (второе)[it] Правительство Фанфани (пятое)[it] Правительство Кракси (первое)[it] Правительство Кракси (второе)[it] Правительство Фанфани (шестое)[it] Правительство Гориа[it] Правительство Де Мита[it] Правительство Андреоти (шестое)[it] Правительство Андреотти (шестое)[it] Правительство Андреотти (седьмое)[it] Правительство Амато (первое)[it] Правительство Чампи[it] Правительство Берлускони (первое)[it] Правительство Дини[it] Правительство Проди (первое)[it] Правительство Д’Алема (первое) Правительство Д’Алема (первое) Правительство Д’Алема (второе) Правительство Амато (второе) Правительство Берлускони (второе) Правительство Берлускони (третье) Правительство Проди (второе) Правительство Берлускони (четвёртое) Правительство Монти Правительство Летта Правительство Ренци Правительство Джентилони Правительство Конте (первое) Правительство Конте (второе) Правительство Драги 
