table_id|column_id|label_id|label|column_data
dataset/Dataset/data/6473394/table_1|1|99|премия|Logie Awards Logie Awards AFI Award AFI Award AFI Award AWGIE Awards AWGIE Awards Australian Directors Guild Awards TV Week Logie Awards TV Week Logie Awards 
dataset/Dataset/data/1022602/table_1|0|99|премия|«Оскар» «Оскар» «Оскар» BAFTA «Золотой глобус» «Золотой глобус» «Золотой глобус» «Золотой глобус» «Золотой глобус» «Золотой глобус» «Золотой глобус» Прайм-тайм премия «Эмми» Прайм-тайм премия «Эмми» Прайм-тайм премия «Эмми» Прайм-тайм премия «Эмми» Прайм-тайм премия «Эмми» Прайм-тайм премия «Эмми» Прайм-тайм премия «Эмми» Премия Гильдии киноактёров США Премия Гильдии киноактёров США Премия Гильдии киноактёров США Премия Гильдии киноактёров США Премия Гильдии киноактёров США Премия Гильдии киноактёров США «Независимый дух» «Независимый дух» «Сатурн» «Тони» «Тони» «Тони» «Тони» «Тони» 
dataset/Dataset/data/5292734/table_6|1|99|премия|MNET 20's Choice Awards Mnet Asian Music Awards Mnet Asian Music Awards MYX Philippines SBS MTV Best of the Best Seoul Music Awards Seoul Music Awards YinYueTai V-Chart Awards Style Icon Awards Seoul Music Awards People's Choice Awards Asian Pop Music Awards 
dataset/Dataset/data/7810829/table_5|1|99|премия|Премия RU.TV 2019 GQ Человек года 2019 Российская национальная музыкальная премия «Виктория» «Новое радио Awards» «Новое радио Awards» Nickelodeon Kids’ Choice Awards 
dataset/Dataset/data/5243439/table_3|1|99|премия|41-я церемония вручения наград премии Сатурн 
dataset/Dataset/data/5893581/table_1|1|99|премия|MTV Video Music Award Billboard Music Awards Billboard Music Awards Teen Choice Award Boston Music Awards Hollywood Life 9th Annual Young Hollywood Awards Молодой актёр Yahoo Music Awards Boston Music Awards Poptastic Award 
dataset/Dataset/data/5382655/table_1|1|99|премия|★ Леонард Розенман (адаптация партитуры) — «На пути к славе» • Пол Уильямс (запись песен, адаптация партитуры) — «Багси Мэлоун» • Роджер Келлуэй (адаптация партитуры) — «Звезда родилась» ★ Evergreen (Love Theme from A Star Is Born) — «Звезда родилась» — музыка: Барбра Стрейзанд, слова: Пол Уильямс • Ave Satani — «Омен» — музыка и слова: Джерри Голдсмит • Come to Me — «Розовая Пантера наносит новый удар» — музыка: Генри Манчини, слова: Дон Блэк • Gonna Fly Now — «Рокки» — музыка: Билл Конти, слова: Кэрол Коннорс, Айн Роббинс • A World That Never Was — «Половина дома» (англ.) — музыка: Сэмми Фэйн, слова: Пол Френсис Уэбстер ★ Ричард Хэлси, Скотт Конрад — «Рокки» • Роберт Л. Вульф — «Вся президентская рать» • Роберт С. Джонс, Пемброук Дж. Херринг — «На пути к славе» • Алан Хайм — «Телесеть» • Ив Ньюман, Уолтер Ханнеманн — «Двухминутное предупреждение» (англ.) ★ Хаскелл Уэкслер — «На пути к славе» • Ричард Х. Клайн — «Кинг-Конг» • Эрнест Ласло — «Бегство Логана» • Оуэн Ройзман — «Телесеть» • Роберт Л. Сёртис — «Звезда родилась» ★ Джордж Дженкинс (постановщик), Джордж Гейнс (декоратор) — «Вся президентская рать» • Эллиот Скотт, Норман Рейнольдс (постановщики), Питер Хоуитт (декоратор) — «Несравненная Сара» • Джин Каллахан, Джек Т. Коллис (постановщики), Джерри Вундерлих (декоратор) — «Последний магнат» • Дэйл Хеннеси (постановщик), Роберт Де Вестел (декоратор) — «Бегство Логана» • Роберт Ф. Бойл (постановщик), Артур Джеф Паркер (декоратор) — «Самый меткий» ★ Данило Донати — «Казанова Федерико Феллини» • Уильям Уэр Тэйсс — «На пути к славе» • Энтони Мендлесон — «Несравненная Сара» • Мэри Уиллс — «Заговор в Пасху» (англ.) • Алан Баррет — «Семипроцентный раствор» ★ Артур Пиантадоси, Лес Фрешольц, Дик Александр, Джеймс Э. Уэбб — «Вся президентская рать» • Гарри У. Тетрик (посмертно), Уильям Л. Маккоги, Аарон Рочин, Джек Соломон — «Кинг-Конг» • Гарри У. Тетрик (посмертно), Уильям Л. Маккоги, Lyle J. Burbridge, Бад Алпер — «Рокки» • Дональд О. Митчелл, Дуглас О. Уильямс, Ричард Тайлер, Харольд М. Этерингтон — «Серебряная стрела» • Роберт Кнадсон, Дэн Валлин, Роберт Гласс, Том Овертон — «Звезда родилась» ★ Округ Харлан, США / Harlan County, USA (продюсер: Барбара Коппл) • Голливуд в суде / Hollywood on Trial (продюсеры: Джеймс Гутман и Дэвид Хелперн) • От края / Off the Edge (продюсер: Майкл Фёрт) • Люди Ветра / People of the Wind (продюсеры: Энтони Ховарт и Дэвид Кофф) • Вулкан: Расследование жизни и смерти Малькольма Лоури / Volcano: An Inquiry Into the Life and Death of Malcolm Lowry (продюсеры: Дональд Бриттейн и Роберт Дункан) ★ Сочти наши дни / Number Our Days (продюсер: Линн Литтман) • Чистка обуви по-американски / American Shoeshine (продюсер: Спарки Грин) • Блэквуд / Blackwood (продюсеры: Тони Иэнзэло и Энди Томсон) • Конец дороги / The End of the Road (продюсер: Джон Армстронг) • Вселенная / Universe (продюсер: Лестер Новрос) ★ В краю льда / In the Region of Ice (продюсеры: Андре Р. Гуттфройнд и Питер Уэрнер) • Кудзу / Kudzu (продюсер: Марджори Энн Шорт) • Утренний паук / The Morning Spider (продюсеры: Джулиан Шагрин и Клод Шагрин) • Ночная жизнь / Nightlife (продюсеры: Клер Вилбур и Робин Леман) • Номер один / Number One (продюсеры: Дайан Кэннон и Винс Кэннон) ★ Досуг / Leisure (продюсер: Сюзанн Бэйкер) • Дедал / Dedalo (продюсер: Манфредо Манфреди) • Улица / The Street (продюсеры: Кэролайн Лиф и Гай Гловер) 
dataset/Dataset/data/836121/table_1|0|99|премия|«Оскар» «Оскар» «Оскар» «Оскар» «Оскар» «Оскар» «Оскар» «Оскар» «Золотой глобус» «Золотой глобус» «Золотой глобус» «Золотой глобус» «Золотой глобус» «Золотой глобус» «Золотой глобус» «Золотой глобус» «Золотой глобус» «Золотой глобус» «Золотой глобус» «Золотой глобус» «Золотой глобус» BAFTA BAFTA BAFTA BAFTA BAFTA BAFTA BAFTA BAFTA BAFTA «Эмми» «Эмми» «Эмми» «Эмми» «Сатурн» «Сатурн» «Сатурн» «Сатурн» «Выбор критиков» «Выбор критиков» «Выбор критиков» «Выбор критиков» «Выбор критиков» «Выбор критиков» «Выбор критиков» «Выбор критиков» «Выбор критиков» «Выбор критиков» «Выбор критиков» «Выбор критиков» «Выбор критиков» «Выбор критиков» «Спутник» «Спутник» «Спутник» «Спутник» «Спутник» «Спутник» «Спутник» «Спутник» «Независимый дух» Премия Европейской киноакадемии Берлинский кинофестиваль Венецианский кинофестиваль Венецианский кинофестиваль Венецианский кинофестиваль Венецианский кинофестиваль Венецианский кинофестиваль Венецианский кинофестиваль Венецианский кинофестиваль Венецианский кинофестиваль Венецианский кинофестиваль MTV Movie Awards MTV Movie Awards MTV Movie Awards MTV Movie Awards MTV Movie Awards Национальный совет кинокритиков США Национальный совет кинокритиков США Национальный совет кинокритиков США Национальный совет кинокритиков США Премия Гильдии киноактёров США Премия Гильдии киноактёров США Премия Гильдии киноактёров США Премия Гильдии киноактёров США Премия Гильдии киноактёров США Премия Гильдии киноактёров США Премия Гильдии киноактёров США Премия Гильдии киноактёров США Премия Гильдии киноактёров США Премия Гильдии киноактёров США Премия Гильдии киноактёров США Премия Гильдии киноактёров США Премия Гильдии киноактёров США Премия Гильдии режиссёров США Премия Гильдии продюсеров США Премия Гильдии продюсеров США Премия Гильдии сценаристов США Премия Гильдии сценаристов США 
dataset/Dataset/data/314463/table_2|2|99|премия|★ Морис Шевалье — за более чем полувековую деятельность в сфере развлекательного кино. (for his contributions to the world of entertainment for more than half a century.) ★ Джек Л. Уорнер 
dataset/Dataset/data/3307994/table_0|2|99|премия|BRIT Awards — Лучший британский сингл BRIT Awards — Лучший британский сингл MOBO Awards — лучший британский новый исполнитель BRIT Awards — лучший британский сингл Glamour Women of the Year Awards — лучшее новое лицо Urban Music Awards — Лучший альбом 2010 Urban Music Awards Лучший дуэт (с Pitbull) Urban Music Awards — лучшее видео BT Digital Music Awards — лучшая исполнительница BT Digital Music Awards — лучшая песня BT Digital Music Awards — лучшее видео The 2010 Popjustice £20 Music Prize MOBO Awards — лучший британский исполнитель Cosmopolitan — британская звезда (музыка) MTV Europe Music Awards — прорыв года XS AWARDS — лучший британский исполнитель WSC Gala Awards 2010 — лучшая певица BRIT Awards — лучший британский сингл Glamour Women of the Year Awards — лучший британский музыкант/сольный исполнитель 
dataset/Dataset/data/2863070/table_0|2|99|премия|Сергей Хисматов; реконструкция «Симфонии гудков» Арсения Аврамова Андрей Бартенев, Екатерина Бочавар; «Белая радуга над столом. Мюзикл просроченных продуктов» LIQUID THEATRE Керим Рагимов; «Человеческий проект, портрет № 38 / Human project, portrait № 38» Вероника Рудьева-Рязанцева; видео-инсталляция «Без слов» Маша Ша; видео «Обыкновенная драма» Дмитрий Булатов, Ирина Актуганова, Дмитрий Пиликин, Олег Блябляс; выставка science art «НАУКА КАК ПРЕДЧУВСТВИЕ» Анастасия Шавлохова; проект «Пространство тишины» Александр Медведев; медиа-перформанс «Слова на ветер» Поэтическая группа «Орбита» Александр Петтай, Владимир Смоляр; поэтический перформанс «Систематизация воды» «Uniquetunes» Саинхо Намчылак 
dataset/Dataset/data/8160541/table_1|0|99|премия|Энни Энни Энни Энни Энни Энни Энни Энни Золотой глобус Золотой глобус Critics’ Choice Movie Awards Critics’ Choice Movie Awards Гильдия художников-постановщиков США Оскар Спутник BAFTA 
