table_id|column_id|label_id|label|column_data
dataset/Dataset/data/127524/table_0|5|100|префектура|Бурк-ан-Брес Прива Валанс Гренобль Сент-Этьен Лион Лион Шамбери Анси 
dataset/Dataset/data/2021071/table_0|1|100|префектура|Хоккайдо Хоккайдо Аомори Аомори Акита Иватэ Фукусима Фукусима Фукусима Токио Тотиги Гумма Гумма Сайтама Сайтама Сайтама Тиба Тиба Канагава Тояма Исикава Нагано Гифу Айти Айти Айти Сига Осака Осака Осака Осака Осака Хёго Хёго Хёго Хёго Нара Вакаяма Окаяма Симане Тоттори Хиросима Хиросима Ямагути Кагава Эхимэ Коти Фукуока Нагасаки Нагасаки Оита Окинава Миядзаки Кагосима 
dataset/Dataset/data/2787790/table_0|1|100|префектура|"Токио Канагава ""Осака ""Айти Сайтама Тиба Хиого ""Хоккайдо ""Фукуока Сидзуока Ибараки Хиросима Киото Ниигата ""Мияги Нагано Гифу Фукусима Гумма ""Тотиги Окаяма Миэ Кумамото Кагосима ""Ямагути Эхиме Нагасаки ""Сига Нара Окинава ""Аомори Иватэ Оита ""Ямагата ""Исикава Миядзаки ""Акита ""Тояма Вакаяма Кагава ""Яманаси Сага Фукуи Токусима Коти Симане Тоттори "
dataset/Dataset/data/2787935/table_0|1|100|префектура|Хоккайдо Иватэ Фукусима Нагано Акита Ниигата Гифу Аомори Кагосима Хиросима Хёго Сидзуока Коти Кумамото Окаяма Мияги Симане Ямагата Тотиги Гумма Миядзаки Ямагути Ибараки Миэ Эхимэ Айти Оита Тиба Фукуока Вакаяма Киото Яманаси Фукуи Исикава Токусима Нагасаки Сайтама Сига Нара Тоттори Сага Канагава Окинава Токио Тояма Осака Кагава 
dataset/Dataset/data/4574990/table_0|3|100|префектура|Исикава Сайтама Тиба Тиба Осака Хиросима Канагава Хоккайдо 
dataset/Dataset/data/4574990/table_1|3|100|префектура|Токио 
dataset/Dataset/data/4667426/table_0|4|100|префектура|Мияги Яманаси Осака Фукуока Канагава Канагава Токио Окаяма Сага Тотиги Ибараки Кумамото Токусима Эхимэ Гумма Хоккайдо Тояма Гифу 
dataset/Dataset/data/5963234/table_0|2|100|префектура|Токио Канагава Осака Айти Хоккайдо Хёго Киото Фукуока Канагава Сайтама Хиросима Мияги Фукуока Тиба 
dataset/Dataset/data/7392237/table_3|0|100|префектура|Айти Акита Аомори Тиба Эхиме Фукуи Фукуока Фукусима Гифу Гумма Хиросима Хоккайдо Хиого Ибараки Исикава Ивате Кагава Кагосима Канагава Коти Кумамото Киото Миэ Мияги Миядзаки Нагано Нагасаки Нара Ниигата Оита Окаяма Окинава Осака Сага Сайтама Сига Симане Сидзуока Тотиги Токусима Токио Тоттори Тояма Вакаяма Ямагата Ямагути Яманаси 
dataset/Dataset/data/7878884/table_1|2|100|префектура|Нагасаки Нагано Ниигата 
