table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1000249/table_0|4|101|примечание|сразу на видео короткометражный фильм сразу на видео короткометражный фильм сразу на видео короткометражный фильм короткометражный фильм короткометражный фильм короткометражный фильм короткометражный фильм не указан в титрах короткометражный фильм короткометражный фильм 
dataset/Dataset/data/1001244/table_0|2|101|примечание|Трек-лист (ссылка) Трек-лист № Название Длительность 1. «Obsession» (Long Version) 4:48 2. «This Could Lead To Something» 3:26 3. «Would You Cry For Me» 3:54 4. «Party 2Nite» 3:28 5. «Come Back To Me» 3:39 6. «Faith» 3:10 7. «Apology» 3:51 8. «Мечта» 4:12 9. «You'll Be My Girl» 3:33 10. «Unless You're With Me» 3:27 11. «Obsession» (Obsessive Mix) 3:13 38:41 Длительность 4:48 3:26 3:54 3:28 3:39 3:10 3:51 4:12 3:33 3:27 3:13 
dataset/Dataset/data/1001244/table_3|2|101|примечание|Трек-лист  № Название Длительность 1. «Весна» 3:29 2. «7 Цифр» 3:27 3. «В самое сердце» 3:58 4. «Нереальная любовь» 4:08 5. «LazerBoy» 3:54 6. «Найди меня» 3:32 7. «Слёзы в моём сердце» (Ballad Version) 3:52 8. «Даже если ты уйдёшь» 3:59 9. «Вспоминай» 4:08 10. «Биение сердца» 4:02 11. «Отпускаю» 3:40 12. «Найди меня» (Alex Menco Remix) 3:08 13. «Даже если ты уйдёшь» (HarDrum Remix) 3:29 14. «Биение сердца» (Unorthodoxx Remix) 3:42 15. «7 Цифр» (Sec0ndSkin Remix) 4:09 16. «Биение сердца» (Sec0ndSkin Remix) 5:43 59:00 Длительность 3:29 3:27 3:58 4:08 3:54 3:32 3:52 3:59 4:08 4:02 3:40 3:08 3:29 3:42 4:09 5:43 Трек-лист  № Название Длительность 1. «Breaking Away» 2:58 2. «In My Lonely Life» 3:45 3. «7 Wonders» 3:26 4. «Take It Off» 3:29 5. «Moscow to California» (feat. Тимати & DJ M.E.G.) 4:02 6. «Hard to Love» 3:53 7. «Cure the Thunder» (feat. T-Pain) 3:48 8. «Stumblin'» 3:56 9. «Heartbeat» 4:08 10. «Lost Without Your Love» 3:39 11. «Alarm» 3:39 12. «Girlfriend» 3:47 13. «Breakthrough» 3:24 14. «Everytime» 4:06 15. «TV or Radio» 3:14 16. «Fake» 2:35 17. «Just Because You Walk Away» 3:58 18. «Eye of the Storm» 3:55 19. «Electric Touch» (Automatiks Remix) 3:28 20. «Under the Moon» 3:38 21. «Nobody Told Me» 3:27 22. «The Flyer» 2:58 23. «Shattered Dreams» 3:13 24. «Beautiful» 3:53 25. «Stereo» (HarDrum Version) 3:30 26. «Feelin' High» 4:37 27. «Instantly» 4:01 28. «I'm Gone» 4:17 29. «Earth Song» 5:43 101:87 Длительность 2:58 3:45 3:26 3:29 4:02 3:53 3:48 3:56 4:08 3:39 3:39 3:47 3:24 4:06 3:14 2:35 3:58 3:55 3:28 3:38 3:27 2:58 3:13 3:53 3:30 4:37 4:01 4:17 5:43 
dataset/Dataset/data/1002458/table_3|3|101|примечание|Recorded for the same named episode of the second season of American Horror Story. Выпущено 15 января 2013. Recorded for the pilot episode of the fourth season of American Horror Story, «Monsters Among Us». Выпущено 9 октября 2014. Recorded for «Edward Mordrake», another episode of American Horror Story anthology. Выпущено 22 октября 2014. Recorded for «Bullseye», another episode of American Horror Story: Freak Show. Выпущено 12 ноября 2014. 
dataset/Dataset/data/1002816/table_0|4|101|примечание|Премия «Независимый дух» за лучший дебют Номинация — Кинонаграда MTV лучшему кинозлодею Специальная премия Международного кинофестиваля в Сан-ФранцискоНоминация — Премия «Сатурн» за лучшую женскую роль второго плана сцены вырезаны при монтаже камео РежиссёрНоминация — Большой приз жюри кинофестиваля «Сандэнс» за лучший короткометражный фильм 
dataset/Dataset/data/1009158/table_0|4|101|примечание|Брат Фиделя Кастро 
dataset/Dataset/data/1021911/table_4|2|101|примечание|Кубок СССР, РСФСР, зона 3 Кубок СССР, РСФСР, зона 4 Кубок СССР, РСФСР, зона 4 Кубок СССР, РСФСР, зона 4 Кубок СССР, РСФСР, зона 4 Кубок СССР, РСФСР, зона 3 Кубок СССР, зона 2 второй группы класса «А» Кубок СССР Кубок СССР Кубок СССР Кубок СССР 
dataset/Dataset/data/1021936/table_0|9|101|примечание|Поражение в стыковых матчах от «Кубани» (0:1, 0:0) Поражение в стыковых матчах от СКА Р/Д (1:1, 0:1) Победа в Кубке ПФЛ 
dataset/Dataset/data/1021937/table_2|2|101|примечание|Кубок СССР, РСФСР, зона 3 Кубок СССР, РСФСР, зона 2 Кубок СССР, РСФСР, зона 1 Кубок СССР, РСФСР, зона 3 Кубок СССР, РСФСР, зона 3 Кубок СССР, РСФСР, зона 1 Кубок СССР, РСФСР, зона 1 Кубок СССР, РСФСР, зона 3 
dataset/Dataset/data/1021983/table_1|2|101|примечание|Кубок СССР, РСФСР, зона 3 Кубок СССР, РСФСР, зона 3 Кубок СССР, РСФСР, зона 2 Кубок СССР, РСФСР, зона 2 Кубок СССР, РСФСР, зона 3 Кубок СССР, РСФСР, зона 3 Кубок СССР, РСФСР, зона 2 Кубок СССР, РСФСР, зона 3 
