table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1011022/table_1|0|102|провинция|Провинция Гуйчжоу Городской округ Чунцин Провинция Хунань Провинция Гуйчжоу Провинция Хунань Провинция Хунань Провинция Хунань Провинция Хунань АО Гуанси Чжуаны Провинция Гуйчжоу Провинция Гуйчжоу Провинция Хунань Провинция Гуйчжоу Провинция Гуйчжоу Провинция Гуйчжоу Провинция Хунань Провинция Гуйчжоу Провинция Гуйчжоу Провинция Хунань Провинция Гуйчжоу Провинция Гуйчжоу Провинция Хунань Провинция Гуйчжоу Провинция Гуйчжоу Провинция Гуйчжоу Провинция Гуйчжоу Провинция Юньнань Городской округ Чунцин АР Гуанси Чжуаны Провинция Гуйчжоу Провинция Юньнань Провинция Гуйчжоу Провинция Гуйчжоу Провинция Гуйчжоу Провинция Гуйчжоу Провинция Юньнань Провинция Гуйчжоу Провинция Гуйчжоу Провинция Хубэй Провинция Гуйчжоу Городской округ Чунцин Провинция Гуйчжоу Провинция Юньнань Провинция Гуйчжоу Провинция Хунань Провинция Гуйчжоу Провинция Юньнань Провинция Гуйчжоу Городской округ Чунцин Провинция Хунань Провинция Юньнань Провинция Хунань Провинция Хубэй Провинция Гуйчжоу АР Гуанси Чжуаны Провинция Гуйчжоу Провинция Юньнань Провинция Гуйчжоу Провинция Гуйчжоу Провинция Гуйчжоу Провинция Юньнань Провинция Гуйчжоу Провинция Юньнань Провинция Юньнань Провинция Гуйчжоу Провинция Гуйчжоу Провинция Гуйчжоу Провинция Гуйчжоу Провинция Гуйчжоу Провинция Гуйчжоу Провинция Гуйчжоу Провинция Гуйчжоу Провинция Хунань Провинция Гуйчжоу Провинция Юньнань Провинция Гуйчжоу Провинция Гуйчжоу Провинция Гуйчжоу Провинция Хубэй Провинция Хунань Провинция Гуйчжоу Провинция Гуйчжоу Провинция Сычуань Провинция Гуйчжоу Провинция Сычуань Провинция Гуйчжоу АР Гуанси Чжуаны АР Гуанси Чжуаны Провинция Хубэй Провинция Гуйчжоу Провинция Юньнань Провинция Юньнань Провинция Гуандун Провинция Гуйчжоу Провинция Гуйчжоу АР Гуанси Чжуаны Провинция Гуйчжоу Провинция Хунань Провинция Юньнань Провинция Гуйчжоу Провинция Гуйчжоу Провинция Гуйчжоу Провинция Гуйчжоу Провинция Гуйчжоу Остальной Китай 
dataset/Dataset/data/1112716/table_2|1|102|провинция|Хайнань Гуандун Фуцзянь Цзянси Чжэцзян Чжэцзян 
dataset/Dataset/data/1266235/table_2|0|102|провинция|1 Чакабуко 1 Чакабуко 1 Чакабуко 2 Кордильера 2 Кордильера 2 Кордильера 3 Майпо 3 Майпо 3 Майпо 3 Майпо 4 Мелипилья 4 Мелипилья 4 Мелипилья 4 Мелипилья 4 Мелипилья 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 5 Сантьяго 6 Талаганте 6 Талаганте 6 Талаганте 6 Талаганте 6 Талаганте 
dataset/Dataset/data/1272274/table_0|0|102|провинция|Итата Дигильин Пунилья 
dataset/Dataset/data/1345341/table_0|2|102|провинция|Онтарио Британская Колумбия Альберта Манитоба Саскачеван Новая Шотландия Нью-Брансуик Ньюфаундленд и Лабрадор Остров Принца Эдуарда Юкон 
dataset/Dataset/data/135046/table_0|0|102|провинция|Анкона Асколи-Пичено Фермо Мачерата Пезаро-э-Урбино 
dataset/Dataset/data/135048/table_0|1|102|провинция|Кампобассо Изерния 
dataset/Dataset/data/135056/table_0|1|102|провинция|Беллуно Падуя Ровиго Тревизо Венеция Верона Виченца Всего 
dataset/Dataset/data/1352545/table_1|0|102|провинция|Чжэцзян Цзянси Цзянсу Аньхой Чжили Фуцзянь Шаньси Хэнань Сычуань Шэньси Хунань Хубэй Гуандун Шаньдун Юньнань Гуанси Гуйчжоу Ганьсу 
dataset/Dataset/data/1367627/table_1|2|102|провинция|Кампхэнгпхет Лампанг Лампхун Мэхонгсон Накхонсаван Нан Пхаяу Пхетчабун Пхитсанулок Пхичит Пхрэ Сукхотхай Так Уттарадит Утхайтхани Чиангмай Чианграй Амнатчарен Бурирам Бынгкан Каласин Кхонкэн Лей Махасаракхам Мукдахан Накхонпханом Накхонратчасима Нонгбуалампху Нонгкхай Ройет Саконнакхон Сисакет Сурин Убонратчатхани Удонтхани Чайяпхум Ясотхон Ангтхонг Аюттхая Большой Бангкок, специальный округ Канчанабури Лопбури Накхоннайок Накхонпатхом Нонтхабури Патхумтхани Прачуапкхирикхан Пхетбури Ратбури Самутпракан Самутсакхон Самутсонгкхрам Сарабури Сингбури Супханбури Чайнат Прачинбури Районг Сакэу Трат Чаченгсау Чантхабури Чонбури Чумпхон Краби Накхонситхаммарат Наратхиват Паттани Пхангнга Пхаттхалунг Пхукет Ранонг Сатун Сонгкхла Сураттхани Транг Яла Всего 
dataset/Dataset/data/1487715/table_0|1|102|провинция|Кальяо-Серкадо (Callao Cercado) Бельявиста (Bellavista) Кармен-де-ла-Легуа-Рейносо (Carmen de La Legua) Ла-Перла (La Perla) Ла-Пунта (La Punta) Вентанилья (Ventanilla) Ми-Перу (Mi Perú) Острова Сан-Лоренсо и Эль-Фронтон (Islas de San Lorenzo y el Frontón) 
dataset/Dataset/data/1503987/table_0|1|102|провинция|Киншаса Центральное Конго Кванго Квилу Маи-Ндомбе Касаи Лулуа Восточное Касаи Ломами Санкуру Маниема Южное Киву Северное Киву Итури Верхнее Уэле Чопо Нижнее Уэле Северное Убанги Монгала Южное Убанги Экваториальная Чуапа Танганьика Верхнее Ломами Луалаба Верхняя Катанга Всего 
dataset/Dataset/data/1623810/table_6|3|102|провинция|Пхангнга Пхангнга Пхангнга Пхангнга Пхангнга Пхангнга Пхангнга Пхангнга Пхангнга Пхангнга Пхангнга Пхангнга Пхангнга Пхангнга Пхангнга Пхангнга Пхангнга Пхангнга Пхангнга Пхангнга Пхангнга Краби Краби Краби Краби Краби Краби Краби Краби Краби Краби Краби Краби Краби Краби Краби Краби Краби Краби Краби Краби Краби Краби Краби Пхукет Пхукет Пхукет Пхукет Пхукет Пхукет Пхукет Пхукет Пхукет Пхукет Пхукет Пхукет Пхукет Пхукет Пхукет Пхукет Пхукет 
dataset/Dataset/data/1623810/table_7|3|102|провинция|Транг Транг Краби Транг Транг Транг Транг Сатун Сатун Сатун Сатун Сатун Сатун Сатун 
