table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1062254/table_0|1|103|программа|A Day in the LifeThe Beatles The Girl With Flaxen Hair Клод Дебюсси Over the Rainbow Гарольд Арлен хореограф Ше-Линн Бурн Over the Rainbow Гарольд Арлен хореограф Ше-Линн Бурн Caravan Икуко Кавай Triunfal Астор Пьяццолла Triunfal Астор Пьяццолла Eye Patch Yo Te Quiero из фильма «Однажды в Мексике» Роберт Родригес Hello Лайонел Ричи Nessun dorma Джакомо Пуччини исполнила Ванесса Мэй Nessun dorma Джакомо Пуччини исполнила Ванесса Мэй 
dataset/Dataset/data/1062254/table_0|2|103|программа|Once Upon a Time in America (музыка из кинофильма «Однажды в Америке»)Эннио Морриконе Once Upon a Time in America (музыка из кинофильма «Однажды в Америке»)Эннио Морриконе I Got Rhythm Джордж Гершвин хореограф Ше-Линн Бурн Эвита Эндрю Ллойд Уэббер хореограф Дэвид Уилсон Crooked Room Passenger to Copenhagen из Agatha Керкко Коскинен Crooked Room Passenger to Copenhagen из Agatha Керкко Коскинен Phantasia Эндрю Ллойд Уэббер и Сара Чанг Phantasia Эндрю Ллойд Уэббер и Сара Чанг Blues Collection: Fever Элвис Пресли, Blues Boys Tune, и Shake It Up And Go Би Би Кинг Blues Collection: Fever Элвис Пресли, Blues Boys Tune, и Shake It Up And Go Би Би Кинг It’s Oh So Quiet Бьорк 
dataset/Dataset/data/1078602/table_0|1|103|программа|Аве Мария Франц Шуберт хореограф Лори Николь Humoresque Антонин Дворжак хореограф Лори Николь Трансильванская колыбельная (из к/ф Молодой Франкенштейн) Джон Моррис Дьявольская трель Джузеппе Тартини хореограф Лори Николь Allegretto из Фортепианного трио № 2 Дмитрий Шостакович хореограф Лори Николь Galicia Flamenco Джино д’Аури хореограф Лори Николь Ноктюрн в До-диез минор, № 20 Фредерик Шопен Концерт для скрипки Пётр Ильич Чайковский хореограф Лори Николь Mujer Sola Canaro en Paris Tango Lorca хореограф Лори Николь Riders on the Storm The Doors хореограф Лори Николь Variations on the Canon in D Джордж Уинстон хореограф Лори Николь Gabriel’s Oboe саундтрек из фильма «Миссия» Эннио Морриконе хореограф Курт Браунинг Деревня саундтрек Джордж Уинстон хореограф Курт Браунинг Song from a Secret Garden Рольф Ловланд Variations on the Canon in D Джордж Уинстон аранжировка Джордж Уинстон 
dataset/Dataset/data/1078602/table_0|2|103|программа|Болеро Морис Равель исполнение Андре Превин и Лондонским Симфоническим Оркестром хореограф Лори Николь Шехеразада Н. А. Римский-Корсаков хореограф Лори Николь Болеро Морис Равель исполнение Андре Превин и Лондонским Симфоническим Оркестром хореограф Лори Николь Adagio и Allegro assai из Концерта для фортепиано с оркестром № 23 ля мажор Вольфганг Амадей Моцарт хореограф Лори Николь Prélude à l’Après-Midi d’un Faune Клод Дебюсси хореограф Лори Николь Air on the G String Иоганн Себастьян Бах Cello Concerto Антонио Вивальди хореограф Лори Николь Па-де-дё Чёрного Лебедя из балета «Лебединое озеро» Пётр Ильич Чайковский хореограф Лори Николь Dumky Trio Антонин Дворжак хореограф Лори Николь Dumky Trio Антонин Дворжак хореограф Лори Николь Мемуары гейши Джон Таунер Уильямс хореограф Лори Николь Зима из «Времена года» Антонио Вивальди хореограф Курт Браунинг Концерты для фортепиано № 1 и № 3 Сергей Прокофьев хореограф Курт Браунинг A Poet’s Quest for a Distant Paradise Night Flight Reflection Violin Fantasy on Puccini’s Turandot Ванесса Мэй Papa, Can You Hear Me? из фильма «Список Шиндлера» Far and Away Ицхак Перлман 
dataset/Dataset/data/1078880/table_0|1|103|программа|Totentanz Франц Лист аранжировка Максим Мрвица Адажио из балета «Спартак» Арам Хачатурян The Feeling Begins из фильма «Последнее искушение Христа» Питер Гэбриэл The Feeling Begins из фильма «Последнее искушение Христа» Питер Гэбриэл East of Eden Ли Холдридж Концерт для фортепиано № 3 и Элегическое трио № 2 Сергей Рахманинов (хореограф С.Канавара) East of Eden Ли Холдридж Rush Эрик Клэптон A Day In The Life Джон Леннон и Пол Маккартни в исполнении Джеффа Бека (хореограф Л.Николь) Кармен-сюита Родион Щедрин, Carmen Fantasie Franz Waxman и саундтрек из фильма «Кармен» (1983) Пако Де Лусия (хореограф Л.Николь) Концерт для фортепиано № 3 и Элегическое трио № 2 Сергей Рахманинов (хореограф Л.Николь) Оркестровая сюита № 3 Жюль Массне и музыка из балета «Красный мак» Рейнгольд Глиэр (хореограф Л.Николь) Romanza Сальвадор Бакарисс Fiesta Flamenca Монти Келли Yellow River Piano Concerto Xian Xinghai в исполнении Yin Chengzong и Chu Wanghua Ария индийского гостя из оперы «Садко» Николай Римский-Корсаков 
dataset/Dataset/data/1078880/table_0|2|103|программа|Прелюдия в до-диез минор Ор. 18 Сергей Рахманинов Болеро Морис Равель хореограф Кристофер Дин Тоска Джакомо Пуччини Аранхуэсский концерт Хоакин Родриго в исполнении Икуко Кавай Сюита «Шехеразада» Николай Римский-Корсаков в исполнении Нью-Йоркского филармонического оркестра(хореограф С.Канавара) Song of the Black Swan Эйтор Вилла-Лобос и Dumky Trio Антонин Дворжак The Miraculous Mandarin Бела Барток The Red Violin John Corigliano в исполнении Джошуа Белла (хореограф Л.Николь) Ариадна Оркестровая сюита № 3 Оркестровая сюита № 6 Жюль Массне Improvviso in Re Minore Нино Рота, в исполнении Гидон Кремер (хореограф Л.Николь) Lyra Angelica Вильям Олвин Gymnopedie #3 Эрик Сати (хореограф Л.Николь) Гюлистан — Баяти ширази Фикрет Амиров и Lion of the Desert из фильма «Лоуренс Аравийский» Морис Жарр (хореограф Л.Николь) Саломея Миклош Рожа Танец семи покрывал Рихард Штраус Рондо каприччиозо Камиль Сен-Санс East of Eden Ли Холдридж 
dataset/Dataset/data/1100428/table_0|2|103|программа|Не принимала участие в соревнованиях Концерт для фортепиано с оркестром, Op.16 Эдвард Григ Клеопатра Марко Поло Лорина Маккеннитт саундтрек к сериалу «Марко Поло» Эннио Морриконе саундтрек к Рим Джефф Бил саундтрек к фильму «Астерикс и Обеликс: Миссия «Клеопатра»» Philippe Chany Жизель Адольф Шарль Адан Симфония № 3 Op.78 Камиль Сен-Санс Кармен Жорж Бизе Концерт для скрипки Op.64 Феликс Мендельсон My Funny Valentine Ричард Роджерс Мадам Баттерфляй Джакомо Пуччини Guitar Concerto — For Two Christophers Элмер Бернстайн Жар-птица Игорь Стравинский Жар-птица Игорь Стравинский Баядерка Людвиг Минкус Лебединое озеро Пётр Ильич Чайковский Riverdance Билл Вилэн 
dataset/Dataset/data/1100428/table_0|1|103|программа|Не принимала участие в соревнованиях Broken Sorrow Egyptian in the Night Nuttin' But Stringz Gabriel’s Oboe The Falls саундтрек из фильма «Миссия» Эннио Морриконе исполнил Йо-Йо Ма Реквием Вольфганг Амадей Моцарт Chairman’s Waltz саундтрек из фильма «Мемуары гейши» Джон Уильямс Самсон и Далила Камиль Сен-Санс Шахерезада Николай Римский-Корсаков Шахерезада Николай Римский-Корсаков Счастливого Рождества, мистер Лоуренс Рюити Сакамото Gypsy Soul Strunz & Farah Grande Polonaise Brillante Фредерик Шопен Астурия Исаак Альбенис Чардаш Витторио Монти España Cañí Паскуаль Маркина Нарро 
dataset/Dataset/data/1100429/table_0|1|103|программа|Не принимала участие в соревнованиях Broken Sorrow Egyptian in the Night Nuttin' But Stringz Gabriel’s Oboe The Falls саундтрек из фильма «Миссия» Эннио Морриконе исполнил Йо-Йо Ма Реквием Вольфганг Амадей Моцарт Chairman’s Waltz саундтрек из фильма «Мемуары гейши» Джон Уильямс Самсон и Далила Камиль Сен-Санс Шахерезада Николай Римский-Корсаков Шахерезада Николай Римский-Корсаков Счастливого Рождества, мистер Лоуренс Рюити Сакамото Gypsy Soul Strunz & Farah Grande Polonaise Brillante Фредерик Шопен Астурия Исаак Альбенис Чардаш Витторио Монти España Cañí Паскуаль Маркина Нарро 
dataset/Dataset/data/1100429/table_0|2|103|программа|Не принимала участие в соревнованиях Концерт для фортепиано с оркестром, Op.16 Эдвард Григ Клеопатра Марко Поло Лорина Маккеннитт саундтрек к сериалу «Марко Поло» Эннио Морриконе саундтрек к Рим Джефф Бил саундтрек к фильму «Астерикс и Обеликс: Миссия «Клеопатра»» Philippe Chany Жизель Адольф Шарль Адан Симфония № 3 Op.78 Камиль Сен-Санс Кармен Жорж Бизе Концерт для скрипки Op.64 Феликс Мендельсон My Funny Valentine Ричард Роджерс Мадам Баттерфляй Джакомо Пуччини Guitar Concerto — For Two Christophers Элмер Бернстайн Жар-птица Игорь Стравинский Жар-птица Игорь Стравинский Баядерка Людвиг Минкус Лебединое озеро Пётр Ильич Чайковский Riverdance Билл Вилэн 
