table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1073344/table_0|2|104|продолжительность|4:26 3:27 3:58 3:55 3:26 4:58 3:23 3:27 3:37 3:35 
dataset/Dataset/data/107495/table_0|2|104|продолжительность|6 мин. 19 сек. 7 мин. 15 сек. 8 мин. 7 мин. 16 сек. 9 мин. 2 сек. 6 мин. 42 сек. 7 мин. 51 сек. 7 мин. 17 сек. 
dataset/Dataset/data/1136562/table_0|7|104|продолжительность|1503 2922 1461 199 1262 1461 1654 2728 1461 881 2041 1461 2922 2027 895 2922 1461 2922 1461 
dataset/Dataset/data/1429311/table_3|2|104|продолжительность|6 часов 05 минут 3 часа 30 минут 2 часа 30 минут 1 час 50 минут 2 часа 00 минут 2 часа 25 минут 2 часа 10 минут 2 часа 15 минут 6 часов 05 минут 
dataset/Dataset/data/1560844/table_1|1|104|продолжительность|4372 7501 7691 
dataset/Dataset/data/1651901/table_4|5|104|продолжительность|Около 8,5 часа Около 6 часов До 11 суток До 11 суток До 11 суток До 11 суток Посадка на Луну 
dataset/Dataset/data/1661434/table_0|2|104|продолжительность|65 43 38 32 24 
dataset/Dataset/data/1851809/table_0|2|104|продолжительность|5:13 4:00 5:25 5:33 4:06 2:36 7:22 4:06 9:42 4:35 
dataset/Dataset/data/1921469/table_1|5|104|продолжительность|--- --- 
dataset/Dataset/data/2092870/table_0|4|104|продолжительность|4:25 4:21 4:03 5:03 4:50 5:01 3:32 3:27 0:55 3:05 4:52 5:14 4:44 2:51 1:16 5:44 4:42 3:46 
dataset/Dataset/data/2150893/table_0|3|104|продолжительность|4:46 4:07 4:02 5:00 4:51 3:54 5:47 4:30 3:45 6:31 4:02 5:26 6:17 
dataset/Dataset/data/2159469/table_0|2|104|продолжительность|6:47 5:15 3:58 4:13 3:57 6:55 4:39 4:14 14:28 4:26 
dataset/Dataset/data/2414221/table_5|4|104|продолжительность|30 минут 30–40 минут 25–30 минут 
dataset/Dataset/data/2786358/table_0|3|104|продолжительность|4:00 3:53 4:46 3:21 4:06 3:54 4:18 3:42 4:09 3:53 3:29 4:44 
dataset/Dataset/data/289327/table_4|5|104|продолжительность|Около 8,5 часа Около 6 часов До 11 суток До 11 суток До 11 суток До 11 суток Посадка на Луну 
dataset/Dataset/data/2962538/table_5|1|104|продолжительность|03:15 03:48 03:14 02:29 03:07 02:47 04:22 02:38 06:34 03:00 02:43 
dataset/Dataset/data/3092454/table_1|2|104|продолжительность|2:26 5:32 2:35 7:28 3:22 5:02 6:49 11:21 3:05 8:41 
dataset/Dataset/data/3121768/table_0|2|104|продолжительность|4:15 2:56 5:42 4:06 4:52 4:05 5:46 2:45 4:14 4:21 5:33 3:32 
dataset/Dataset/data/3123643/table_0|2|104|продолжительность|1:32 5:17 2:44 4:09 4:07 5:46 3:31 1:39 4:03 4:26 
dataset/Dataset/data/3482651/table_0|4|104|продолжительность|30 дней 30 дней 30 дней 30 дней 31 день 30 дней 31 день 30 дней 30 дней 30 дней 30 дней 30 дней 
dataset/Dataset/data/3492718/table_0|2|104|продолжительность|25:04 22:11 
dataset/Dataset/data/3666899/table_3|2|104|продолжительность|03:38 04:30 03:46 03:49 04:09 04:08 03:47 04:43 03:49 04:04 03:52 03:12 05:35 03:53 
dataset/Dataset/data/3690967/table_0|2|104|продолжительность|96-107 99 86 97 99 104 111 148 156 156 
dataset/Dataset/data/3690967/table_0|3|104|продолжительность|8,0-8,9 83 72 81 83 87 93 123 134 134 
dataset/Dataset/data/3691091/table_2|1|104|продолжительность|29 Сентября 1994 — н.в. 
dataset/Dataset/data/3869032/table_0|2|104|продолжительность|2:18 2:15 2:45 2:23 2:20 2:29 3:52 4:01 2:54 5:34 3:03 2:50 2:18 
dataset/Dataset/data/3869145/table_0|2|104|продолжительность|3:44 2:42 2:49 2:26 2:31 2:19 5:06 2:32 4:41 2:33 3:21 2:39 2:51 3:17 
dataset/Dataset/data/4099757/table_0|2|104|продолжительность|68 мин. / 01:08 89 мин. / 01:29 176 мин. / 02:56 210 мин. / 03:30 
dataset/Dataset/data/4207345/table_0|3|104|продолжительность|65 мин. 61 мин. 55 мин. 56 мин. 
dataset/Dataset/data/4215228/table_0|5|104|продолжительность|59 дней 60 дней 59 дней 58 дней 103 дней 126 дней 119 дней 61 день 
dataset/Dataset/data/4238422/table_0|2|104|продолжительность|4:04 3:40 3:49 6:35 3:49 4:18 4:28 7:50 4:07 
