table_id|column_id|label_id|label|column_data
dataset/Dataset/data/6728134/table_1|0|105|продукт|Свинина сырая Сырое куриное филе Сырое филе лосося Куриное яйцо Коровье молоко, 3,7 % жирности Кунжут Бразильский орех Грецкие орехи Мука пшеничная г/п Кукурузная мука Рис неочищенный Соя высушенная Горох цельный лущенный 
dataset/Dataset/data/6802621/table_0|5|105|продукт|Метан Метанол Метанол и высшие спирты 
dataset/Dataset/data/4077089/table_0|1|105|продукт|65 74 64 44 
dataset/Dataset/data/388993/table_0|0|105|продукт|кондитерский жир маргарин сливочное масло цельное молоко хлебные изделия/торты печенья и крекеры солёные снэки глазурь и конфеты животный жир говяжий фарш 
dataset/Dataset/data/1227019/table_0|0|105|продукт|Сырая свинина Сырое куриное филе Сырое филе лосося Куриное яйцо Коровье молоко, 3,7 % жирности Семечки подсолнечника Грецкие орехи Мука пшеницы г/п Кукурузная мука Неочищенный рис Соя сухая Горох цельный, лущенный 
dataset/Dataset/data/2850633/table_10|1|105|продукт|Gump’s San Francisco Home Collection (Majestic Range, Treasured Range & Opulent Range) Ароматические свечи Banana Republic Chilled Sangria Candle Ароматические свечи Apothia Aromatic Collection Candles 1. Престиж: Ароматические свечи Scented Candle, 2. Особенный: Gap Scents Color Block Candles 1. Престиж: Slatkin & Co. — Elton Rocks, 2. Особенный: Latitudes International for Space.Nk Home London Ароматические свечи Tiffany Scented Candle Prism Crystal Votive, Single and Mini Collection 
dataset/Dataset/data/4201630/table_0|0|105|продукт|Шпинат Капуста Кале Петрушка Горошек Тыква Фисташки Яйцо (желток) Хурма Кукуруза (сырая) Сельдерей Морковь Мандарины Апельсины Персики 
dataset/Dataset/data/6859846/table_10|1|105|продукт|Booto 새싹보리 
dataset/Dataset/data/223807/table_1|0|105|продукт|Мидии Устрицы Двустворчатые моллюски, за исключением устриц и мидий Скумбрия (приготовленная) Атлантическая сельдь (копчёная) Икра (сырая) Камчатский краб (приготовленный) Обыкновенный тунец (сырой или приготовленный) Сардины (консервированные в масле или томатном соусе) Икра чёрная или красная Форель (приготовленная) Нерка (приготовленная) Горбуша (консервированная с костями) Атлантический лосось, дикий (приготовленный) Тунец (серовато-розового оттенка, консервированный в воде) 
dataset/Dataset/data/917080/table_0|3|105|продукт|Да Нет Да Нет 
dataset/Dataset/data/2850631/table_9|1|105|продукт|Origins Organics Juicy Couture Island Michael Kors Chanel No 5 Seduction Collection 1. Престиж: Origins Natural Resources, 2. Популярный: Avon Products Kate Spade Beauty Peace of Mind Sensory Therapy Collection Truth Calvin Klein Origins Sensory Therapy Sleep Collection Relaxing Bath Essence Allure Bath and Body Collection Azuree 
