table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1000933/table_1|4|106|продюсер|Роберт Латман Браун 
dataset/Dataset/data/1013249/table_7|4|106|продюсер|Джон Коупленд Джон Коупленд Джон Коупленд Джон Коупленд Рон МакЛауд Сара Барнс — 
dataset/Dataset/data/1022814/table_1|4|106|продюсер|Роберт Латман Браун 
dataset/Dataset/data/1030535/table_4|3|106|продюсер|Говард Минский Росс Хантер Роберт Дэйли Гилберт Кейтс Фрэнк Кэффи Филип Д’Антони Стэнли Кубрик Стивен Фридман Хэл Б. Уоллис Ричард Рот Альберт Рудди Джон Бурмен Уильям Хилл[прояснить] Ирвин Аллен Мортон Готтлиб Уильям Питер Блэтти Марк Райделл Джон Вулф Эдвард Фелдман Дино Де Лаурентис Альберто Гримальди Роберт Эванс Фрэнсис Форд Коппола Марк Робсон Фрэнсис Форд Коппола Сэм Шоу Майкл Дуглас Стэнли Кубрик Мартин Брегман Дэвид Браун Роберт Олтмен Роберт Чартофф Уолтер Кобленц Роберт Блумоф Говард Готтфрид Роберт Фрайер Артур Лоренц Джулия Филлипс Дэниэл Блатт Ричард Рот Джордж Лукас Алан Маршалл Роберт Джонс Берт Шнайдер Барри Спикингс Пол Мазурски Стэнли Джаффе Фрэнсис Форд Коппола Майкл Дуглас Чарльз Йоффе Александра Роуз 
dataset/Dataset/data/1031344/table_1|4|106|продюсер|Да Да Да 
dataset/Dataset/data/1122801/table_0|4|106|продюсер|Нет Нет Нет Нет Нет Нет Нет Нет Да Да Да Нет Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да 
dataset/Dataset/data/114042/table_1|4|106|продюсер|Роберт Латман Браун 
dataset/Dataset/data/1142384/table_1|5|106|продюсер|Нет Да 
dataset/Dataset/data/1275293/table_1|4|106|продюсер|Да Да Да Да Да Да Да (3 эп.) Да Да Да Да Да Да Да Да (3 эп.) Да Да (19 эп.) Да 
dataset/Dataset/data/1306653/table_1|5|106|продюсер|Да Да (1 эп.) Да 
dataset/Dataset/data/1308105/table_0|4|106|продюсер|Да Да Да Да Да Да Да Да 
dataset/Dataset/data/1421574/table_1|4|106|продюсер|Да Да Да Да 
dataset/Dataset/data/1440962/table_1|5|106|продюсер|Да Да Да 
dataset/Dataset/data/1500389/table_0|3|106|продюсер|Исполнительный Исполнительный Исполнительный Исполнительный Исполнительный Исполнительный Да Да Да Да Да Да Исполнительный Да Да Да Да Да Исполнительный Да Да Да Да Да Да Да Да Да 
dataset/Dataset/data/1532789/table_2|5|106|продюсер|Да Да Да Да Да (8 эп.) 
dataset/Dataset/data/1601796/table_0|3|106|продюсер|Да Да Да Да Да Исполнительный Да Да Исполнительный Исполнительный Исполнительный Исполнительный Исполнительный Исполнительный Да Да Исполнительный Исполнительный Да 
dataset/Dataset/data/1928053/table_1|4|106|продюсер|Да 
dataset/Dataset/data/1963056/table_1|4|106|продюсер|Да 
dataset/Dataset/data/202828/table_0|5|106|продюсер|Оригинальная трилогия Гэри Куртц Гэри Куртц Ховард Казанджян Трилогия приквелов Рик Маккаллум Рик Маккаллум Рик Маккаллум Трилогия сиквелов Кэтлин Кеннеди, Джей Джей Абрамс и Брайан Берк Кэтлин Кеннеди и Рэм Бергман Кэтлин Кеннеди, Джей Джей Абрамс и Мишель Рейван 
dataset/Dataset/data/2032240/table_5|3|106|продюсер|T-Mix, Batman The Heatmakerz The Runners, DJ Nasty, LVM Bigg D Michael «5000» Watts, Doe Boyz Yonny Robin Thicke Yonny Deezle T-Mix, Batman T-Mix and Batman Michael «5000» Watts The Heatmakerz T-Mix, Batman Doe Boyz T-Mix, Batman T-Mix, Batman Doe Boyz Cool, Dre T-Mix, Batman 
dataset/Dataset/data/2066383/table_0|1|106|продюсер|Feemster Pollow Da Don Droop-E 
dataset/Dataset/data/2091793/table_5|4|106|продюсер|Sean «Puffy» Combs и Stevie J. Mariah Carey, Stevie J. and Sean «Puffy» Combs Mariah Carey, Stevie J. and Sean «Puffy» Combs Mariah Carey, Jermaine Dupri, Johnta Austin и G Daoud J.R. Rotem Damizza Play-n-Skillz Mr. Collipark Play-n-Skillz Swizz Beatz Cool & Dre Cuzo Hi-Tek 
dataset/Dataset/data/2092870/table_0|2|106|продюсер|DJ U-Neek DJ U-Neek, Tony C DJ U-Neek, Kenny McCloud DJ U-Neek DJ U-Neek DJ U-Neek, Tony C DJ U-Neek DJ U-Neek, Tony C DJ U-Neek, Kenny McCloud DJ U-Neek, Bone Thugs-n-Harmony DJ U-Neek, Bone Thugs-n-Harmony DJ U-Neek DJ U-Neek, Tony C DJ U-Neek DJ U-Neek, Bone Thugs-n-Harmony DJ U-Neek, Tony C DJ U-Neek, Kenny McCloud DJ U-Neek 
dataset/Dataset/data/2162484/table_1|4|106|продюсер|Роберт Латман Браун 
dataset/Dataset/data/2163138/table_1|4|106|продюсер|Роберт Латман Браун 
dataset/Dataset/data/2172006/table_7|4|106|продюсер|Джон Коупленд Джон Коупленд Джон Коупленд Джон Коупленд Рон МакЛауд Сара Барнс — 
dataset/Dataset/data/2176939/table_1|4|106|продюсер|Роберт Латман Браун 
dataset/Dataset/data/2185318/table_1|4|106|продюсер|Роберт Латман Браун 
dataset/Dataset/data/2185923/table_1|4|106|продюсер|Роберт Латман Браун 
dataset/Dataset/data/2186066/table_7|4|106|продюсер|Джон Коупленд Джон Коупленд Джон Коупленд Джон Коупленд Рон МакЛауд Сара Барнс — 
dataset/Dataset/data/2186542/table_7|4|106|продюсер|Джон Коупленд Джон Коупленд Джон Коупленд Джон Коупленд Рон МакЛауд Сара Барнс — 
dataset/Dataset/data/2189769/table_1|4|106|продюсер|Роберт Латман Браун 
dataset/Dataset/data/2322395/table_1|5|106|продюсер|Да (13 эп.) Да Да Да Да Да Да Да Да Да Да Да Да Да (10 эп.) Да Да Да Да Да Да (15 эп.) Да Да Да Да 
dataset/Dataset/data/2418499/table_0|2|106|продюсер|LV & Sean Cane for The Hitmen Psycho Les Cool & Dre Self The Alchemist Buckwild Ron G Reef Chinky, Irv Gotti Richard Frierson Bink Sean Cane for The Hitmen Rockwilder DJ Nasty & LVM Buckwild Ron G 
dataset/Dataset/data/2499480/table_0|5|106|продюсер|Оригинальная трилогия Гэри Куртц Гэри Куртц Ховард Казанджян Трилогия приквелов Рик Маккаллум Рик Маккаллум Рик Маккаллум Трилогия сиквелов Кэтлин Кеннеди, Джей Джей Абрамс и Брайан Берк Кэтлин Кеннеди и Рэм Бергман Кэтлин Кеннеди, Джей Джей Абрамс и Мишель Рейван 
dataset/Dataset/data/2499480/table_2|4|106|продюсер|Кэтрин Уиндер 
dataset/Dataset/data/2499480/table_7|5|106|продюсер|Кен Уэлч, Джо Лейтон и Митчи Уэлч Дилогия про эвоков Томас Джей Смит Томас Джей Смит 
dataset/Dataset/data/253801/table_0|4|106|продюсер|Да Да Да Да (1 эп.) Да (7 эп.) Да Да Да Да Да (122 эп.) Да Да Да Да Да Да Да Да (56 эп.) Да Да Да Да Да Да Да (12 эп.) Да Да (9 эп.) Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да (4 эп.) Да Да Да (1 эп.) Да Да (38 эп.) Да Да (12 эп.) Да Да Да (12 эп.) Да (7 эп.) Да Да Да 
dataset/Dataset/data/265081/table_1|5|106|продюсер|Да (47 эп.) Да Да Да Да Да Да Да Да Да 
dataset/Dataset/data/2751384/table_1|3|106|продюсер|Jeffery «J-Dub» Walker Eminem Swizz Beatz Danja (protege of Timbaland) Sean C «Sean Cane»; Diddy (co-producer), LV (co-producer) Coptic, Diddy (co-producer) Faith Evans Andre Harris & Vidal Davis Jazze Pha Just Blaze Stevie J, Diddy (co-producer) Havoc Wayne Barrow Reefa and Mike «Suga Mike» Allen, Diddy (co-producer), Mario Winans (co-producer), J-Dub (co-producer) Chink Santana Scott Storch DJ Green Lantern, Diddy (co-producer), Mario Winans (co-producer), J-Dub (co-producer) D-Dot, Harve «Joe Hooker» Pierre Clinton Sparks, Diddy (co-producer) Scram Jones Jonathan Davis and Atticus Ross Wayne Barrow and Harve «Joe Hooker» Pierre 
dataset/Dataset/data/2847723/table_0|4|106|продюсер|Исполнительные Исполнительные Исполнительные Исполнительные Исполнительные Да Да Да Да Исполнительные Да Да (Лана) 
dataset/Dataset/data/287076/table_2|3|106|продюсер|Дэвид Селзник Джек Уорнер, Хэл Б. Уоллис, Дэвид Льюис Уолтер Уэнджер Дэррил Фрэнсис Занук, Наннэлли Джонсон Чарли Чаплин Дэвид Хемпстид Хэл Б. Уоллис Джон Форд Сол Лессер Джозеф Лео Манкевич Дэррил Фрэнсис Занук Ирвинг Эшер Орсон Уэллс Эверетт Рискин Артур Хорнблоу мл. Сэмюэл Голдвин Хэл Б. Уоллис Хэл Б. Уоллис Хэл Б. Уоллис, Джесси Ласки Альфред Хичкок Сидни Фрэнклин Майкл Пауэлл Хэл Б. Уоллис Орсон Уэллс Наннэлли Джонсон Сэмюэл Голдвин Сидни Фрэнклин Джордж Стивенс Джозеф Систром Джек Уорнер, Хэл Б. Уоллис, Уильям Кэгни Хэл Б. Уоллис Сэм Вуд Эрнст Любич Кларенс Браун Ноэл Кауард Сидни Фрэнклин Джордж Стивенс Ламар Тротти Уильям Перлберг Хэл Б. Уоллис Лео МакКери Джозеф Систром Артур Хорнблоу мл. Дэвид Селзник Дэррил Фрэнсис Занук Чарльз Брэкетт Джо Пастернак Лео МакКери Джерри Уолд Дэвид Селзник Сэмюэл Голдвин Лоуренс Оливье Фрэнк Капра Дэррил Фрэнсис Занук Сидни Фрэнклин Дэррил Фрэнсис Занук Сэмюэл Голдвин Адриан Скотт Рональд Ним Уильям Перлберг Лоуренс Оливье Джерри Уолд Майкл Пауэлл, Эмерих Прессбургер Анатоль Литвак, Роберт Басслер Хенри Блэнк Роберт Россен Дори Скэри Уильям Уайлер Сол Сигел Дэррил Фрэнсис Занук 
dataset/Dataset/data/2889124/table_0|3|106|продюсер|Да Да Да 
dataset/Dataset/data/2941698/table_0|5|106|продюсер|Дэвид Киршнер Дэвид Киршнер Дэвид Киршнер Грейс ГилройДэвид Киршнер Дэвид КиршнерКори Синега Дэвид КиршнерДон Манчини Дон МанчиниДэвид КиршнерТони Гарднер 
