table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1026167/table_0|0|108|производитель|Adidas Asics Diadora Uhlsport Mikasa Adidas Nike Adidas Gazali Sports Adidas Nike Warrix Mills 
dataset/Dataset/data/103903/table_0|1|108|производитель|З-д № 37 (Москва) З-д № 37 (Москва) З-д № 37 (Москва) З-д № 37 (Москва) АСЗ № 1/ГЗА (Горький) З-д № 37 (Москва) Всего 
dataset/Dataset/data/105673/table_2|1|108|производитель|Erima Adidas Adidas Erima Adidas Umbro Adidas Puma Elements Adidas Adidas Adidas Adidas Nike Nike Puma 
dataset/Dataset/data/1143024/table_0|0|108|производитель|№ 183 (Харьков) 
dataset/Dataset/data/1143024/table_3|0|108|производитель|№ 183 (Нижний Тагил) СТЗ (Сталинград) № 112 (Горький) № 174 (Омск) ЧКЗ (Челябинск) УЗТМ (Свердловск) Всего 
dataset/Dataset/data/1206006/table_1|3|108|производитель|Aprilia Gilera Aprilia Honda KTM Gilera KTM KTM Aprilia Aprilia Aprilia Aprilia Gilera Aprilia Honda Aprilia Aprilia Aprilia Aprilia Aprilia Yamaha Aprilia Gilera Aprilia Aprilia 
dataset/Dataset/data/1207836/table_2|3|108|производитель|Aprilia Derbi Aprilia Derbi Aprilia Derbi Aprilia Aprilia KTM Aprilia KTM KTM KTM Aprilia Aprilia Aprilia Derbi Honda Aprilia KTM Aprilia KTM Aprilia Aprilia Loncin Aprilia Aprilia Aprilia Aprilia Aprilia Aprilia KTM Loncin Aprilia 
dataset/Dataset/data/1215815/table_1|0|108|производитель|Kureha Chemical Industries Yotsuami Morris Sanyo Duel (Yo-Zuri) Toray Sunline 3M Company DuPont Bayer AQUA Клинволокно 
dataset/Dataset/data/1251679/table_1|3|108|производитель|Gilera Aprilia Aprilia Aprilia Aprilia Aprilia KTM Aprilia KTM Aprilia Honda Honda Aprilia Gilera Gilera Aprilia Aprilia Yamaha KTM Aprilia Aprilia Aprilia Honda Gilera 
dataset/Dataset/data/1251679/table_2|3|108|производитель|Derbi Derbi Aprilia Aprilia Aprilia Aprilia Aprilia Aprilia Aprilia KTM Aprilia Derbi KTM Aprilia KTM Aprilia Aprilia Aprilia Aprilia Loncin Aprilia Aprilia Aprilia Aprilia Honda Derbi Aprilia Aprilia Aprilia KTM Derbi Aprilia Aprilia KTM Loncin Honda Aprilia KTM KTM 
dataset/Dataset/data/1262984/table_1|0|108|производитель|Бразилия Китай США Индия Мексика Иран Египет Испания Италия Индонезия Турция ЮАР Пакистан Аргентина Марокко Греция Сирия Вьетнам Алжир Гана 
dataset/Dataset/data/1262984/table_1|1|108|производитель|16320 (2014 год) 6900 (2014 год) 6097 (2014 год) 5201 (2009 год) 4300 (2014 год) 2713 (2009 год) 2630 (2014 год) 2617 (2009 год) 2359 (2009 год) 2102 (2009 год) 1689 (2009 год) 1600 (2014 год) 1492 (2009 год) 900 (2014 год) 750 (2014 год) 800 (2009 год) 689 (2009 год) 675 (2014 год) 626 (2009 год) 528 (2009 год) 
dataset/Dataset/data/1282043/table_2|3|108|производитель|Aprilia Derbi Aprilia Aprilia Aprilia KTM Derbi Aprilia Aprilia KTM Aprilia Aprilia KTM Aprilia Aprilia Derbi Aprilia Loncin KTM KTM Aprilia Aprilia Loncin Honda Aprilia Honda Derbi Seel Honda Aprilia Aprilia KTM Aprilia Aprilia KTM Aprilia Aprilia Seel 
dataset/Dataset/data/1287942/table_1|1|108|производитель|Umbro Jako Joma Nike 
dataset/Dataset/data/1303769/table_8|1|108|производитель|Harbin Changhe Changhe Harbin Harbin Changhe Changhe Harbin Harbin 
dataset/Dataset/data/1304157/table_0|1|108|производитель|Nike Adidas Adidas Adidas 
dataset/Dataset/data/1304160/table_0|1|108|производитель|Nike Adidas Adidas Adidas 
dataset/Dataset/data/1315617/table_1|1|108|производитель|Нет Нет Нет Нет Нет Adidas Adidas Umbro Umbro Adidas Adidas Adidas Adidas Lotto Umbro Umbro Adidas Adidas Nike Nike Nike Nike Nike 
