table_id|column_id|label_id|label|column_data
dataset/Dataset/data/250031/table_3|2|110|пьеса|«Эта прекрасная жизнь» 
dataset/Dataset/data/6494832/table_5|0|110|пьеса|Бал в Большом Примия «Дарин» 
dataset/Dataset/data/1083398/table_1|0|110|пьеса|Жертва века Карамазовы Мёртвые души Опасный поворот Развод по-женски 
dataset/Dataset/data/7316905/table_1|1|110|пьеса|Просто парень Про духовку Точно! (Возможно) Ромео и Джульетта Король Лир Poor Beck Урожай Сон в летнюю ночь В клубе Вечеринка на день рождения Дайдо, царица карфагенская Параграф 19 Охота к перемене мест Иосиф К. Экстази Мой город причины быть красивой Тартюф Гамлет Я не баллотируюсь 
dataset/Dataset/data/6995951/table_1|0|110|пьеса|Жертва века Карамазовы Мёртвые души Опасный поворот Развод по-женски 
dataset/Dataset/data/6332357/table_0|0|110|пьеса|Скоро ли ваша свадьба Собаки-якудза 
dataset/Dataset/data/7406357/table_9|0|110|пьеса|Вишневый сад. Тишина Безликие Questioning / Кто ты? 
dataset/Dataset/data/7466734/table_0|1|110|пьеса|Встреть меня в Сент-Луисе Гранд-Отель Скрипач на крыше Волосы Женщины на грани нервного срыва Рождественская история: Мюзикл Pippin (англ.)русск. Pippin (англ.)русск. Дорогой Эван Хэнсен Дорогой Эван Хэнсен Дорогой Эван Хэнсен 
dataset/Dataset/data/6248469/table_2|1|110|пьеса|Изюминка на солнце Нижнее белье Игра солдат Потомки Bow Wow Club Shaka Zulu 
dataset/Dataset/data/2478997/table_6|0|110|пьеса|Валентин и Валентина Почти рождественская история 
dataset/Dataset/data/7004058/table_0|0|110|пьеса|Учитель словесности 
dataset/Dataset/data/5501701/table_0|1|110|пьеса|Энни (мюзикл) Анастасия (опера) Человек-подушка (пьеса) Ромео и Джульетта Принцесса Ивонна Звуки музыки Заговор по-английски Блэз Камень 
dataset/Dataset/data/6068128/table_1|1|110|пьеса|«На бойком месте» «Развод по-мужски» «Девятьподесять» «На чемоданах» «Таланты и поклонники» «Женитьба» «Мёртвые души» «Господин Пунтила и его слуга Матти» «Бердичев» «Декалог на Сретенке» «Плоды просвещения» «Кавказский меловой круг» «Бешеные деньги» «Старший сын» «Школа жен» 
dataset/Dataset/data/6863884/table_0|1|110|пьеса|– – – – – – – – – 
