table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1006743/table_1|3|111|работа|Тринадцать Милдред Пирс Мир дикого запада Милдред Пирс Мир дикого запада Мир дикого запада Тринадцать Мир Дикого запада Практическая магия Профиль убийцы Опять и снова Хранительница секретов Тринадцать н/д н/д Пойдём детка Опять и снова Мир дикого запада Тринадцать 
dataset/Dataset/data/1006751/table_1|3|111|работа|Тринадцать Милдред Пирс Мир дикого запада Милдред Пирс Мир дикого запада Мир дикого запада Тринадцать Мир Дикого запада Практическая магия Профиль убийцы Опять и снова Хранительница секретов Тринадцать н/д н/д Пойдём детка Опять и снова Мир дикого запада Тринадцать 
dataset/Dataset/data/1023130/table_1|3|111|работа|Маленький роман Маленький роман Испытавший любовь Изгои Клуб «Коттон» / Улицы в огне Одинокий голубь Прогулка по Луне Прогулка по Луне Вирджинец Идеальный шторм Неверная Неверная Неверная н/д Неверная Неверная Неверная Неверная Неверная Неверная Неверная Неверная Неверная Неверная Под солнцем Тосканы Под солнцем Тосканы Правдивое кино Правдивое кино Правдивое кино н/д Правдивое кино Правдивое кино 
dataset/Dataset/data/1047033/table_1|2|111|работа|Песня «Стоп! Стоп! Стоп!» Альбом «Стоп! Снято!» Песня «Не оставляй меня, любимый!» Песня «Не оставляй меня, любимый!» Песня «Убей мою подругу» Песня «Не оставляй меня, любимый!» Песня «Убей мою подругу» Песня «Убей мою подругу» Песня «Я не поняла» (совместно с Веркой Сердючкой) Песня «Я не поняла» Песня «Убей мою подругу» Альбом «Стоп! Снято!» 
dataset/Dataset/data/1085487/table_1|3|111|работа|Портрет леди Ханна и её сёстры Чёрный лебедь Последнее искушение Христа Убийство в маленьком городе Портрет леди Убийство в маленьком городе Пэрис Траут Чёрный лебедь Стыдливые люди Разделённый мир 
dataset/Dataset/data/1092961/table_1|3|111|работа|«Хроники Нарнии: Лев, колдунья и волшебный шкаф» «Хроники Нарнии: Лев, колдунья и волшебный шкаф» «Хроники Нарнии: Лев, колдунья и волшебный шкаф» «Хроники Нарнии: Принц Каспиан» «Хроники Нарнии: Принц Каспиан» 
dataset/Dataset/data/1102677/table_0|1|111|работа|- «…Baby One More Time» «Oops!… I Did It Again» Oops!… I Did It Again «Overprotected» Britney «Toxic» «Womanizer» 
dataset/Dataset/data/1137392/table_6|2|111|работа|н/д Одно Рождество 
dataset/Dataset/data/1137392/table_8|3|111|работа|Долгий день уходит в ночь Маленькие женщины Грейс Куигли Филадельфийская история Долгий день уходит в ночь Троянки Рустер Когберн На золотом озере Внезапно, прошлым летом Долгий день уходит в ночь Лев зимой н/д н/д н/д н/д н/д Угадай, кто придёт к обеду? н/д На золотом озере н/д н/д н/д н/д н/д н/д 
dataset/Dataset/data/1224780/table_1|3|111|работа|Маленькие жертвы Оборотень Следствие ведёт Да Винчи Сестра оборотня н/д 
dataset/Dataset/data/1231224/table_4|1|111|работа|Дима Билан Дима Билан Дима Билан «Не молчи» 33 Дима Билан 
dataset/Dataset/data/1231224/table_6|1|111|работа|«На берегу неба» «Так устроен этот мир» «Невозможное возможно» «Всё в твоих руках» «Я просто люблю тебя» «Лови мои цветные сны» «Малыш» «Неделимые» «Молния» «Про белые розы», «Полуночное такси» «Она моя» 
dataset/Dataset/data/1268392/table_1|3|111|работа|Мир по Гарпу Большое разочарование Самородок Роковое влечение Опасные связи Таинственный Альберт Ноббс Жена Элегия Хиллбилли Опасные связи Жена Кое-что про Амелию Макси Роковое влечение Сара в поисках счастья Молчи и служи: история Маргарет Каммермейер 101 далматинец Лев зимой Щит Схватка Схватка Таинственный Альберт Ноббс Таинственный Альберт Ноббс Схватка Жена Элегия Хиллбилли Кое-что про Амелию Сара в поисках счастья Сара в поисках счастья Американская сага Молчи и служи: история Маргарет Каммермейер Молчи и служи: история Маргарет Каммермейер В сумерках Уилл и Грейс Лев зимой Щит Схватка Схватка Схватка Схватка Молчи и служи: история Маргарет Каммермейер В сумерках Лев зимой Схватка Схватка Схватка Таинственный Альберт Ноббс Схватка Жена Элегия Хиллбилли Барнум Отражения или истинное Смерть и девушка Бульвар Сансет Жена Элегия Хиллбилли 
dataset/Dataset/data/1268589/table_1|3|111|работа|Психо Психо Кто была та леди? Мексиканец в Голливуде н/д Психо 
dataset/Dataset/data/1268927/table_1|3|111|работа|Телевизионные новости Пианино Фирма Тринадцать Пианино Фирма Тринадцать Телевизионные новости Роу против Уэйда Пианино Убийца предводителя Война округа Харлан Тринадцать Спасите Грейс Роу против Уэйда Убийца предводителя Война округа Харлан Женские тайны Когда Билли побеждает Бобби Спасите Грейс Спасите Грейс Тринадцать Спасите Грейс Спасите Грейс Спасите Грейс Вершина озера Любовь — болезнь Любовь — болезнь 
dataset/Dataset/data/1270289/table_1|3|111|работа|Punk Rock Punk Rock Orphans Orphans Orphans American Buffalo Оставшаяся часть Sea Wall/A Life Sea Wall/A Life 
dataset/Dataset/data/1275110/table_6|1|111|работа|Умница Уилл Хантинг Влюблённый Шекспир Операция «Арго» 
dataset/Dataset/data/1275810/table_7|3|111|работа|«Стальной причал» «Ты хороший человек, Чарли Браун» «Ты хороший человек, Чарли Браун» «Ты хороший человек, Чарли Браун» «Злая» «Злая» «Злая» «Злая» «Злая» «Западное крыло» «Западное крыло» «Яблочное дерево» «Яблочное дерево» «Яблочное дерево» «Яблочное дерево» «Яблочное дерево» «Мёртвые до востребования» «Мёртвые до востребования» «Мёртвые до востребования» «Мёртвые до востребования» «Мёртвые до востребования» «Мёртвые до востребования» «Хор» «Хор» «Хор» «Обещания, обещания» «Обещания, обещания» «Обещания, обещания» «Хор» «Хор» 
dataset/Dataset/data/1288385/table_6|1|111|работа|«На берегу неба» «Так устроен этот мир» «Невозможное возможно» «Всё в твоих руках» «Я просто люблю тебя» «Лови мои цветные сны» «Малыш» «Неделимые» «Молния» «Про белые розы», «Полуночное такси» «Она моя» 
dataset/Dataset/data/132935/table_10|2|111|работа|Художник-постановщик Дизайнер анимации Консультант по дизайну Креативный консультант Дизайнер анимации 
dataset/Dataset/data/1330565/table_2|1|111|работа|Carl Cox 
dataset/Dataset/data/1334283/table_1|3|111|работа|Ilona llega con la lluvia Sammy y yo 
dataset/Dataset/data/1345134/table_0|1|111|работа|Я сошла с ума 
dataset/Dataset/data/1345135/table_1|1|111|работа|t.A.T.u. t.A.T.u. t.A.T.u. 
dataset/Dataset/data/1368976/table_1|3|111|работа|Всё к лучшему Царь горы Луи Луи Луи Луи Всё к лучшему Всё к лучшему Всё к лучшему Всё к лучшему Всё к лучшему Всё к лучшему Всё к лучшему Луи Луи Луи Луи Всё к лучшему 
dataset/Dataset/data/1402326/table_3|3|111|работа|Высшее общество Высшее общество Высшее общество Лагерь Гранит науки Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Сумерки. Сага. Новолуние Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Мне бы в небо Сумерки. Сага. Новолуние Сумерки. Сага. Новолуние Скотт Пилигрим против всех Идеальный голос Идеальный голос Идеальный голос Cups Идеальный голос Чем дальше в лес… Чем дальше в лес… Чем дальше в лес… Чем дальше в лес… Идеальный голос 2 Идеальный голос 2 Идеальный голос 2 Идеальный голос 2 Идеальный голос 2 н/д Идеальный голос 2 Идеальный голос 2 Идеальный голос 2 Мой парень — киллер Холлеры Расплата Свадебный угар Тролли Тролли Столик № 19 Столик № 19 Идеальный голос 3 н/д 
dataset/Dataset/data/1413192/table_1|3|111|работа|Части тела Части тела Части тела Части тела Части тела Части тела Фантастическая четверка 2: Вторжение Серебряного Серфера Фантастическая четверка 2: Вторжение Серебряного Серфера 
dataset/Dataset/data/1414008/table_1|3|111|работа|Молодые и дерзкие Grape Волчонок 
dataset/Dataset/data/1441092/table_1|3|111|работа|Главный госпиталь Главный госпиталь Эд 
dataset/Dataset/data/1447424/table_1|3|111|работа|«Джуно» «Джуно» «Дамасское укрытие» «Возвышаясь над тенью» 
dataset/Dataset/data/1448913/table_1|3|111|работа|Do It for Uncle Manny Восставший из ада 7: Мертвее мёртвого Мстители. Величайшие герои Земли Безграничный Бэтмен: Нашествие монстров Безграничный Бэтмен: Нашествие монстров 
dataset/Dataset/data/149502/table_0|4|111|работа|«Latino Guys» Rush Rush «Polovtsian Dance» «Unforgiven» «Unforgiven» «Temptation» «Desperation» «Forgotten Melody» «Forgotten Melody» «Desperation» «Moon Over Tanjore» «Alien’s Dream» «Perfect Stangers» «Bootman Badroomba» «Adios Amigo» «Ascension» «Song For Godfather Of Fusion» «Ascension» «Song For Godfather Of Fusion» «Alien’s Electrik Dream» «Song For Godfather Of Fusion» «Ostrov» «Song For Godfather Of Fusion» «Top 10 Songs of 10 Years (Anthology)» «Alien's Electrik Dream» «Bodhrán’s Magic» «The Sixth Sense» «New Shapes» «New Shapes» «Bodhrán’s Magic» «Flying Dragon» «Corona Funk» 
dataset/Dataset/data/1502135/table_1|3|111|работа|Джинсы-талисман Сплетница Сплетница Сплетница Сплетница Сплетница Сплетница Зелёный фонарь Сплетница Век Адалин Век Адалин Отмель Зелёный фонарь Отмель Отмель Отмель Сплетница Век Адалин Элвис и Аннабель Сплетница Город воров Город воров Город воров 
dataset/Dataset/data/1539064/table_3|3|111|работа|Cryptogram «Магнолия» «Магнолия» «Магнолия» «Магнолия» «Ночь спорта» «Ночь спорта» «Ночь спорта» «Развал» «Обратимые ошибки» «Отчаянные домохозяйки» «Отчаянные домохозяйки» «Отчаянные домохозяйки» «Трансамерика» «Трансамерика» «Трансамерика» «Отчаянные домохозяйки» «Трансамерика» «Отчаянные домохозяйки» «Трансамерика» «Трансамерика» «Трансамерика» «Отчаянные домохозяйки» «Трансамерика» «Трансамерика» «Отчаянные домохозяйки» «Отчаянные домохозяйки» «Трансамерика» «Трансамерика» «Трансамерика» «Трансамерика» «Трансамерика» «Трансамерика» «Трансамерика» «Трансамерика» «Отчаянные домохозяйки» «Отчаянные домохозяйки» «Отчаянные домохозяйки» «Отчаянные домохозяйки» «Отчаянные домохозяйки» «Отчаянные домохозяйки» «Крутая Джорджия» «Отчаянные домохозяйки» «Отчаянные домохозяйки» «Отчаянные домохозяйки» «Американское преступление» «Американское преступление» «Американское преступление» 
dataset/Dataset/data/1589225/table_12|1|111|работа|Рассекая волны Рассекая волны Танцующая в темноте 
dataset/Dataset/data/1589225/table_13|1|111|работа|Элемент преступления Элемент преступления Европа Европа Европа Европа Рассекая волны Рассекая волны Идиоты Танцующая в темноте Догвилль Мандерлей Антихрист Меланхолия 
dataset/Dataset/data/1656352/table_0|3|111|работа|Эрагон Аббатство Даунтон Аббатство Даунтон 
dataset/Dataset/data/1662080/table_7|1|111|работа|Нью-Джек Сити 
dataset/Dataset/data/1662598/table_2|3|111|работа|Искупление Бруклин Леди Бёрд Маленькие женщины Искупление Милые кости Бруклин Леди Бёрд Маленькие женщины Искупление Бруклин Леди Бёрд Маленькие женщины Отель «Гранд Будапешт» Бруклин Леди Бёрд Леди Бёрд Искупление Милые кости Милые кости Ханна. Совершенное оружие Отель «Гранд Будапешт» Бруклин Леди Бёрд Леди Бёрд Леди Бёрд Маленькие женщины Искупление Бруклин Леди Бёрд Милые кости Ханна. Совершенное оружие Как я теперь люблю Бруклин Леди Бёрд Маленькие женщины Аммонит Как я теперь люблю Бруклин Леди Бёрд Леди Бёрд 
dataset/Dataset/data/1724276/table_0|4|111|работа|Millennium н/д Virtuoso Watchers 
dataset/Dataset/data/1806714/table_6|1|111|работа|Puff Daddy No Way Out Life After Death (как продюсер) «Honey» (как автор песни) «I’ll Be Missing You» (featuring Faith Evans & 112) «Mo Money Mo Problems» (with The Notorious B.I.G. & Mase) «Can’t Nobody Hold Me Down» (featuring Mase) «Satisfy You» (featuring R. Kelly) «Bad Boy for Life» (with Black Rob & Mark Curry) «Pass the Courvoisier, Part II» (with Busta Rhymes & Pharrell) «Shake Ya Tailfeather» (with Nelly & Murphy Lee) «All Day» (как автор песни) 
dataset/Dataset/data/1870196/table_3|2|111|работа|Number Ones Number Ones Number Ones Number Ones 
dataset/Dataset/data/1880772/table_3|3|111|работа|«Check My Brain» Black Gives Way to Blue Black Gives Way to Blue Black Gives Way to Blue Black Gives Way to Blue «A Looking in View» 
dataset/Dataset/data/1893923/table_0|1|111|работа|Michelle Branch «The Game of Love» (вместе с Santana) «Are You Happy Now?» «Leave the Pieces» 
dataset/Dataset/data/1893923/table_1|1|111|работа|«All You Wanted» «All You Wanted» «Everywhere» 
dataset/Dataset/data/1917726/table_1|2|111|работа|Сценарист 4-х эпизодов: The Shortest Yard The Deformity Campus Fair The Matriculation of Kent Dorfman Создатель сериала из 14-ти эпизодов: A Tankful of Dollars (также креативный консультант) Chariots of Fear Computer Dating Prairie Moon Over Texas Murder on the Tar Creek Express Love Sick The Marriage of the Figaros The Ballad of Lucinda Ballard The Great Computer Robbery A PFC and a Gentleman The Tar Creek Sting Valentine’s Day Maxwell’s People The Tar Creek Chronicles (также сценарист) 
dataset/Dataset/data/1977125/table_1|2|111|работа|Bacdafucup Bacdafucup 
dataset/Dataset/data/2049277/table_1|3|111|работа|«Мумия» 
dataset/Dataset/data/2057166/table_9|1|111|работа|Muse Origin of Symmetry Muse Supermassive Black Hole Black Holes & Revelations Muse Muse Концерт на Wembley Stadium, 2007 год Muse Muse Muse HAARP Muse HAARP Muse Muse The Resistance The Resistance A Seaside Rendezvous muse.mu и twitter.com/muse muse.mu Muse Muse Muse Muse Мэттью Беллами Muse Muse Muse Muse (@muse) Muse Muse Muse Muse Muse 
dataset/Dataset/data/2065259/table_1|3|111|работа|«Fame L.A.» «Час пик 2» «Ночной охотник[en]» «Amor Amor» «Коджак[en]» «Без следа» «Без следа» «Без следа» «Без следа» «Закон доблести» «Коварные горничные» «Коварные горничные» 
dataset/Dataset/data/2077433/table_2|2|111|работа|Я убил свою маму И всё же Лоранс И всё же Лоранс И всё же Лоранс Том на ферме Том на ферме Том на ферме Мамочка Мамочка Мамочка Мамочка Мамочка Это всего лишь конец света Это всего лишь конец света Это всего лишь конец света 
dataset/Dataset/data/2091316/table_1|2|111|работа|Да Да Да Да Да Да Да Да Нет Нет 
dataset/Dataset/data/2105818/table_4|3|111|работа|Сама Сама Сама Сама Сама Сама «Airplanes» — B.o.B (совместно с Хейли Уильямс) «Airplanes» — B.o.B (совместно с Хейли Уильямс) «Airplanes» — B.o.B (совместно с Хейли Уильямс) «Airplanes» — B.o.B (совместно с Хейли Уильямс) «Airplanes» — B.o.B (совместно с Хейли Уильямс) «Airplanes» — B.o.B (совместно с Хейли Уильямс) «Airplanes» — B.o.B (совместно с Хейли Уильямс) «Airplanes, Part II» — B.o.B (совместно с Эминемом и Хейли Уильямс) 
dataset/Dataset/data/2218954/table_0|1|111|работа|«It’s All About You» 
dataset/Dataset/data/2218954/table_2|1|111|работа|«Ti Une» «1000 Arsye» «Sa e shite zemren (с Луизом Эйлли)» «Diamant» «Diamant» «Vullkan» «Vullkan» 
dataset/Dataset/data/2235119/table_5|2|111|работа|ассистент режиссёра актёр (канцелярский служащий) консультант по монтажу актёр (камео) актёр (камео) креативный консультант участвовал в создании актёр (экскурсовод) участвовал в создании участвовал в создании креативный консультант креативный консультант актёр (гость на вечеринке) участвовал в создании актёр (камео) участвовал в создании вдохновитель второй режиссёр участвовал в создании оператор участвовал в создании креативный директор и дизайнер дизайнер участвовал в создании озвучка (камео) со-режиссёр одной сцены участвовал в создании актёр (камео) 
dataset/Dataset/data/2257672/table_3|1|111|работа|«Vullkan» 
dataset/Dataset/data/2289686/table_1|3|111|работа|Renegadepress.com Renegadepress.com Зов крови Зов крови В поисках Феллини Питомец 
dataset/Dataset/data/2322613/table_1|3|111|работа|Полуночный экспресс Полуночный экспресс Полуночный экспресс Полуночный экспресс Полуночный экспресс 
dataset/Dataset/data/2430824/table_3|1|111|работа|В постели Звёздные врата: SG-1 Звёздные врата: Атлантида 
