table_id|column_id|label_id|label|column_data
dataset/Dataset/data/2400741/table_0|1|112|работодатель|UOP LLC Медицинский центр «Святая семья» Колледж Оактон Объединённый школьный округ сообщества № 62 Juno Lighting Sysco Городские службы Wheels Hart Schaffner & Marx Abbott Laboratories 
dataset/Dataset/data/254494/table_0|1|112|работодатель|Google/Alphabet Symantec El Camino Hospital[en] Synopsys Intuit[en] Microsoft Linkedin Samsung Pure Storage[en] Veritas Technologies[en] 
dataset/Dataset/data/303159/table_1|0|112|работодатель|Pioneer Natural Resources Независимый школьный округ Мидленд Мемориальный госпиталь Мидленда Endeavor Energy Resourses Город Мидленд Walmart H-E-B Колледж Мидленда Округ Мидленд Dawson Geo 
dataset/Dataset/data/335983/table_1|1|112|работодатель|The Walt Disney Company Warner Bros. Entertainment Providence St. Joseph’s Hospital Bob Hope Airport ABC Inc Burbank Unified School District City of Burbank Foto-Kem Industries Yahoo! Crane/Hydro Air Company 
dataset/Dataset/data/4654401/table_0|1|112|работодатель|Госпиталь МакНил Западная высшая школа Дж. Стерлинга Мортона Городские службы Школьный округ № 100 южного Беруина Школьный округ № 98 северного Беруина Turano Baking Company BP Amoco Rosin Eyecare 
dataset/Dataset/data/4795378/table_1|1|112|работодатель|3-й армейский корпус и база Форт-Худ Подрядчики и поставщики армии Независимый школьный округ Киллин Гражданский персонал базы Форт-Худ Колл-центр Teleperformance Колледж центрального Техаса Город Киллин AdventHealth ESP, Inc Z-Systems 
dataset/Dataset/data/5497727/table_2|1|112|работодатель|Независимый школьный округ Корсиканы Russell Stover Candies Колледж Наварро Региональный госпиталь Наварро Guardian Industries Округ Наварро Город Корсикана Corsicana Bedding Heritage Oaks Kohl's 
dataset/Dataset/data/7324876/table_1|0|112|работодатель|Округ Кауфман Независимый школьный округ Кауфман Walmart Texas Health Presbyterian Advanced Tabco Trinity Valley Electric Cooperative Falcon Steel Abox Packaging Numo Manufacturing Sunflower Nursing Home 
dataset/Dataset/data/7793857/table_0|1|112|работодатель|Госпиталь МакНил Западная высшая школа Дж. Стерлинга Мортона Городские службы Школьный округ № 100 южного Беруина Школьный округ № 98 северного Беруина Turano Baking Company BP Amoco Rosin Eyecare 
dataset/Dataset/data/7893117/table_0|1|112|работодатель|Университет Западного Кентукки Медицинский центр Боулинг-Грина «Fruit of the Loom» «Walmart» Государственные школы округа Уоррен Экспресс занятость специалистов «Sun Products» «Houchens Industries» «Magna International» Город Боулинг-Грин 
