table_id|column_id|label_id|label|column_data
dataset/Dataset/data/6449983/table_5|0|113|размер|1 байт 1 байт 1 байт 1 байт Зависит от типа адреса 2 байта 
dataset/Dataset/data/6009366/table_0|1|113|размер|232 % 179 % 156 % 4.94 % 
dataset/Dataset/data/19258/table_2|1|113|размер|1 2 5 8 Переменный 
dataset/Dataset/data/2508683/table_0|1|113|размер|2 байта (код) машинное слово (2 байта) байт 5 байтов (код) dword (4 байта) dword dword машинное слово 20 байт машинное слово dword машинное слово dword 24 байта 3 байта (код) 9 байт 16 байт 20 байт 1 байт 127 байт 
dataset/Dataset/data/4511109/table_21|3|113|размер|160 80 60 100 90 
dataset/Dataset/data/8891784/table_7|5|113|размер|46 × 55 46 × 55,3 22 × 30 43,2 × 65 32,3 × 47,5 38 × 46 46 × 55 46 × 55 42 × 53 59,5 × 73 45 × 53 18,8 × 23,2 32,8 × 41,1 25,5 × 35,7 50 × 61 51,4 × 82,2 40,2 × 56,3 46,5 × 55 89,9 × 116,2 52,7 × 81,9 46,7 × 56,5 56,5 × 84 43,5 × 65 46 × 55,5 100,5 × 81 48,5 × 55,7 47 × 39,5 46 × 56 44 × 30 21,5 × 28,5 46 × 55 47 × 71 46 × 55 78,8 × 97,6 69 × 78 47 × 56,5 41 × 65 46 × 55 38,5 × 46,5 38 × 46 60 × 50,5 35,3 × 47,5 42,6 × 52,8 12 × 17 
dataset/Dataset/data/511485/table_1|2|113|размер|0,2—1,2 0,2—1,0 1,0—1,5 0,3—1,0 0,6—1,0 1—3 
dataset/Dataset/data/979827/table_2|1|113|размер|1 15 
dataset/Dataset/data/1150918/table_0|0|113|размер|1 2 3 4 5 Флаг на автомобилях Флаг для церемоний подписания Флаг для настольных компьютеров 
dataset/Dataset/data/869492/table_14|2|113|размер|"3760 """""""""""" """""""""""" """""""""""" 351 "
dataset/Dataset/data/3410281/table_2|3|113|размер|36 93 43 23 37 10 27 25 175 188 450 
dataset/Dataset/data/5620853/table_0|3|113|размер|? ? 
dataset/Dataset/data/2628052/table_11|2|113|размер|$15.07 в час и $516.84 в неделю — $146.63 $297.01 $149.75 $66 в сельском хозяйством, $82.48 в торговле и производстве, $98.98 в добывающей промышленности и $101.50 в государственном секторе. $1205.45 $3.01 в час $241.88 $142.76 $72.54. Минимальная заработная плата для государственных служащих составляет $79.13. $19 в месяц для всех секторов экономики, не охватываемых отраслевой заработной платой. В швейной промышленности существует система разделения работников на классы. От работника 7 класса $95.34 до 1 класса $217.58. $3.13 в час — $1.65 в час $155 $1760.07 $66.98 $387.41 $306.62 $240.09 (нетто) $334.82 (нетто) $211.81 — $58.04 — $58.55 $1738.37 $568.33 ($743.52 для квалифицированных специалистов) $2.48 $251.16; государственные служащие получают дополнительное ежемесячное пособие в размере $33.49 на ребёнка; государственные служащие также получают транспорт, жилье и семейные пособия; закон не предписывает предоставление жилья или семейных пособий работникам частного сектора. $0.99 в день. — $31.86 $1769.26 Варьируется в зависимости от сектора и количества работников от $275,37 до $503,20 $4.78 в час $860.06 $8.36 — — От $1.48 в час до $2.03 в час. $122.47 — $1514.28 Варьируется от $2,40 доллара в день в Бихаре до $6,35 доллара в день в Дели. Правительства штатов устанавливают отдельную минимальную заработную плату для сельскохозяйственных рабочих. $293.04 $263.93 в месяц, ежегодно устанавливаются для каждого промышленного сектора и региона. Стандартная рабочая неделя составляет 44 часа, а любая работа более 48 часов дает работнику право получит сверхурочные. $1886.57 — $1228.25 — $129.49 $114.60 - Нет. $190 в месяц в швейной и обувной промышленности. Помимо минимальной месячной заработной платы, работники также получат дополнительные льготы, в том числе $10 в месяц за работу без отгулов и $7 на транспорт, аренду жилья и питание. $60.73 Минимальная заработная плата в Канаде устанавливается каждой провинцией и территорией. Варьируется от $8.43 до $11.49 в час. $274.65 в месяц. Если работодатель не предоставляет жилье и питание работникам он дополнительно им выплачивает $137.32 на проживание и $82.39 на питание. — Минимальная заработная плата в Китае устанавливается каждой провинцией. Варьируется от $166.88 и $1.50 в час в Ляонине до $369.62 и $3.28 в час в Шанхае. $262.51 и $30.75 в виде транспортных субсидий. $4.25 в день. $150.70 $229.90 $518.45 $15 $586.56 $751.52 $2365.72, почасовая ставка составляет $13.60 $296.93 (нетто) $234.67 для неквалифицированного рабочего в зоне порто-франко; $244.56 для неквалифицированного заводского рабочего за пределами порто-франко. Варьируется от $267.22 до $291.51 в зависимости от района. $851.72 От $197.73 до $297.76 в месяц. $171.68 $2066.4 $157.36 $1826.39 От $133.57 до $278.21 $11.16 в час — $142.35 $1.55 — $4.60 в час, в зависимости от рабочих часов в неделю (40, 44, 45 или 48), региона и сектора. $342.93 $275.54 $772.70 $937.51 $172.99 $577.48 ($590.04 для квалифицированных специалистов) От $200 до $300 $1888.22 В зависимости от месяца от $305.82 до $352.90 (нетто) — $736.76 $1247.05 $7.25 в час $10.18 в день $750.98 $248.57 $480.90 $67.18 $211.81 $423.33 Варьируется от $5.18 в день в сельскохозяйственном секторе в регионе Илокос до $10.30 в день в не сельскохозяйственном секторе в Манильской агломерации. — $1718.19 $653.65 $58.60 Для несельскохозяйственного сектора $0.59 в час; для сельскохозяйственного сектора $0.51 в час. $296.36 (нетто) $682.61 $459.58 В Швейцарии нет минимального размера оплаты труда. Но МРОТ был введён с 2017 года в кантонах Невшатель и Юра ($21.96 в час или около $3953.13 в месяц), с 1 ноября 2020 года в кантоне Женева ($25.25 в час или $4486.36 в месяц) и с 1 января 2021 года в кантоне Тичино ($21.68 в час или около $3843.32 в месяц). — $65.36 $400 $216.06 — $684.88 — В ЮАР был подписан закон о минимальном размере оплаты труда. С 1 января 2019 года он составляет $1.46 в час и $255.86 в месяц. Для сельскохозяйственных рабочих ставка составляет $1.32 в час, а для домашних работников $1.10 в час. $8 в час — $52.11 в неделю, охранники — $67 в неделю Варьируется от $7.51 до $9.61 в час. Установленных на префектурной и отраслевой основе. 
dataset/Dataset/data/5889907/table_0|6|113|размер|20 20 30 20 20 20 20 20 20 20 20 20 20 20 20 20, 30 20 20 20 20 20 20 20 20 20 20 (по аналогии с L16) 20 20 (по аналогии с L16) 20 (по аналогии с L16) 
dataset/Dataset/data/9103/table_28|2|113|размер|"10529 """""""""""" """""""""""" """""""""""" 984 "
dataset/Dataset/data/4240930/table_2|3|113|размер|36 93 43 23 37 10 27 25 175 188 450 
dataset/Dataset/data/7555570/table_1|2|113|размер|1 1 1 1 2 2 4 4 
dataset/Dataset/data/9115/table_12|2|113|размер|"3384 """""""""""" """""""""""" """""""""""" 916 "
dataset/Dataset/data/6350118/table_0|5|113|размер|14 × 11 30 × 47 43 × 67 21,5 × 32 21,7 × 26,6 21 × 31,8 24 × 36 23,5 × 37,7 39 × 33 26,5 × 35 35,1 × 44,1 27,8 × 33,5 29 × 36 37,2 × 26,3 43 × 68,5 19,3 × 34,3 13,4 × 21,8 16,6 × 20,3 52,5 × 44,5 53 × 75 29 × 43,5 53,5 × 45 27,5 × 39,5 61,5 × 96,6 30 × 41 31 × 44,5 35 × 49 31,8 × 52,4 55 × 95 56 × 92 39 × 47,5 61 × 82,5 24,5 × 19 31 × 41,5 35,5 × 31,5 39 × 56,5 33,4 × 41 30,2 × 40 35,5 × 37,5 31,3 × 44,5 20,5 × 30,5 41 × 49 27,5 × 47 25,7 × 32,7 32 × 37 31 × 40 42 × 65 23 × 34,5 57,5 × 82 19,2 × 26,3 23 × 33,5 32 × 44,2 31 × 40 27,5 × 33 28,5 × 40 43 × 30 57 × 92 18,5 × 24 19,8 × 30,7 43,7 × 65,2 36 × 50 70 × 127 34,8 × 62,5 28 × 21 29,6 × 40,8 32,5 × 59,6 25,8 × 34 67 × 105 17 × 28 31,5 × 44,5 34 × 56 24 × 18,7 17,7 × 28,5 27,5 × 36,5 15 × 17 39,7 × 57,5 16 × 28,3 21 × 43 53,5 × 107 55,5 × 108,5 66,8 × 102,5 52,2 × 72 20 × 23 60 × 96,5 45,4 × 56,4 136 × 221 26 × 18,5 39,2 × 50,7 27,5 × 41 32,4 × 43,6 30 × 22,8 21 × 31,5 25 × 42 70 × 114 36,5 × 48,5 68 × 125,5 98,5 × 140 81 × 111,5 58,5 × 97,5 116 × 90 32 × 41 89 × 132 28 × 41 32 × 38 18,8 × 24,3 15,5 × 23 20,5 × 26,5 19 × 35,5 14,5 × 23 21 × 31,5 22,5 × 36,5 27 × 40 16,8 × 30,6 46 × 55 40 × 51,5 29 × 30,4 23 × 30 38,3 × 27 
dataset/Dataset/data/5106791/table_3|6|113|размер|Нет данных 1.8 0.8 
dataset/Dataset/data/6113487/table_0|0|113|размер|2×16 = 32 2×24 = 48 2×24 = 48 2×32 = 64 2×32 = 64 2×48 = 96 2×48 = 96 2×64 = 128 2×64 = 128 2×64 = 128 
dataset/Dataset/data/6785803/table_1|2|113|размер|140×70 143×70 146×70 144×68 149×70 152×70 152×70 155×70 
dataset/Dataset/data/5625845/table_9|3|113|размер|? ? 
dataset/Dataset/data/6650763/table_1|7|113|размер|Неизвестно Неизвестно 18 × 29 58 x 26 22.9 x 14.9 
dataset/Dataset/data/1465712/table_0|1|113|размер|860 × 1220 610 × 860 430 × 610 305 × 430 215 × 305 
dataset/Dataset/data/4242331/table_2|3|113|размер|36 93 43 23 37 10 27 25 175 188 450 
dataset/Dataset/data/5625845/table_10|3|113|размер|? ? ? 
dataset/Dataset/data/7460183/table_8|5|113|размер|32 × 24,3 24 × 18,6 32 × 24 24,2 × 18,8 24,2 × 18,7 24 × 18,5 24,4 × 19 39,1 × 28 18 × 14,8 36,2 × 27,2 27,1 × 39 41 × 29 28,4 × 40,6 28,6 × 40,2 39 × 28,3 38 × 40,7 20 × 28,4 26,5 × 38 27,3 × 40,1 39,5 × 28 39,3 × 26,6 40,5 × 28 27,8 × 19,4 26 × 16,5 41,1 × 28,5 28,8 × 39,7 27 × 19,4 18,2 × 10 20 × 25,8 25 × 19 24,5 × 15 23 × 29 28 × 24 14,7 × 19,7 17 × 19 27 × 21 40 × 28,2 17,5 × 26 22,3 × 29 37,6 × 29 28,2 × 40,3 40,5 × 28,5 22 × 27,5 28 × 41 27,6 × 18,3 20,2 × 27,7 17 × 17 31,7 × 45 28,2 × 41 39 × 26,5 36,5 × 28,6 20,3 × 28 28,5 × 41,1 28,6 × 40,9 39 × 45,5 29 × 41,5 46 × 34 38,9 × 46,3 36,5 × 44 26,4 × 23,9 21,7 × 15,6 30 × 21 38,7 × 54 186,5 × 142 25,3 × 14,3 
dataset/Dataset/data/4355034/table_3|2|113|размер|0 0 0 
dataset/Dataset/data/5088055/table_11|3|113|размер|65 6 14 101 44 22 23 78 68 110 34 14 180 55 170 98 51 235 17 47 143 63 81 24 27 29 52 47 26 200 6 240 
dataset/Dataset/data/1465719/table_0|3|113|размер|900 × 1280 640 × 900 450 × 640 320 × 450 225 × 320 
dataset/Dataset/data/6586906/table_0|1|113|размер|7,62×51 5,56×45 9×19 
dataset/Dataset/data/869492/table_10|2|113|размер|"3008 """""""""""" """""""""""" """""""""""" 281 "
