table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1012099/table_1|0|114|район|Вахшский Кабодиёнский Колхозабадский Куйбышевский Кумсангирский Курган-Тюбинский Шаартузский Яванский г. Курган-Тюбе 
dataset/Dataset/data/1151082/table_7|2|114|район|Тракторный Казинка Район Опытной станции 
dataset/Dataset/data/121116/table_0|0|114|район|Степанакерт (Ханкенди) Аскеранский Гадрутский Мартакертский Мартунинский Шаумяновский Шушинский Кашатагский 
dataset/Dataset/data/1629379/table_1|1|114|район|Тымовский, Смирныховский, Поронайский Тымовский, Ногликский Долинский Холмский, Анивский Ногликский Томаринский Ногликский Углегорский Охинский Охинский Поронайский Поронайский Углегорский Ногликский Тымовский Поронайский Южно-Сахалинск, Анивский 
dataset/Dataset/data/1661665/table_2|0|114|район|Джиджихабльский Натырбовский Преображенский Тахтамукайский Хакуринохабльский 
dataset/Dataset/data/170678/table_0|3|114|район|Хай-Пик, Дербишир-Дейлс, Саут-Дербишир, Эруош, Амбер-Вэлли, Норт-Ист-Дербишир, Честерфилд, Болсовер. 2. Унитарная единица Дерби Рашклифф, Брокстоу, Эшфилд, Джедлинг, Ньюарк-энд-Шервуд, Мансфилд, Бассетло 4. Унитарная единица Ноттингем Линкольн, Северный Кестивен, Южный Кестивен, Южный Холланд, Бостон, Восточный Линдси, Западный Линдси Чарнвуд, Мелтон, Харборо, Одби-энд-Уигстон, Блейби, Хинкли-энд-Босуорт, Норт-Уэст-Лестершир 7. Унитарная единица Лестер 8. Ратленд (унитарное) Саут-Нортгемптоншир, Нортгемптон, Давентри, Уэллингборо, Кеттеринг, Корби, Ист-Нортгемптоншир 
dataset/Dataset/data/1733383/table_0|1|114|район|Монако Монте-Карло Сен-Роман Ларвотто Сен-Мишель Ла-Кондамин Ла-Колль Ле-Ревуар Монегетти Фонвьей Ле-Портье Княжество Монако 
dataset/Dataset/data/1814371/table_3|0|114|район|Иркутск Черемхово Балаганский Бодайбинский Братский Жигаловский Заларинский Зиминский Иркутский Казачинско-Ленский Катангский Качугский Киренский Кировский Куйтунский Нижне-Илимский Нижнеудинский Ольхонский аймак Слюдянский Тайшетский Тангуйский Тофаларский Тулунский Усольский Усть-Кутский Усть-Удинский Черемховский Шиткинский Аймак Аларский Боханский Нукутский Эхирит-Булагатский 
dataset/Dataset/data/1827847/table_1|2|114|район|Кировский район, Новосибирский район, Ордынский район 
dataset/Dataset/data/18327/table_1|5|114|район|Кировский, Промышленный, Советский, Железнодорожный, Октябрьский, Ленинский Самарский, Железнодорожный, Ленинский, Октябрьский, Промышленный, Кировский 
dataset/Dataset/data/1897533/table_4|0|114|район|Иркутск Ангарск Бодайбо Братск Зима Нижнеудинск Тайшет Тулун Усолье-Сибирское Усть-Кут Черемхово Шелехов Бодайбинский Братский Жигаловский Заларинский Зиминский Иркутский Казачинско-Ленский Катангский Качугский Киренский Куйтунский Мамско-Чуйский Нижне-Илимский Нижнеудинский Ольхонский аймак Слюдянский Тайшетский Тулунский Усольский Усть-Кутский Усть-Удинский Черемховский Чунский Аймак Аларский Боханский Эхирит-Булагатский 
dataset/Dataset/data/1900755/table_1|2|114|район|Витимо-Каренгский ороченский туземный, Газимуро-Заводский (центр — село Газимурский Завод), Жидкинский (центр — село Рухлово), Нерчинский (центр — город Нерчинск), Нерчинско-Заводский (центр — село Нерчинский Завод), Олинский (центр — село Олинское), Сретенский (центр — город Сретенск), Усть-Карийский (центр — пр. Казаковский), Чернышевский (центр — село Чернышевское) Акшинский (центр — город Акша), Александровско-Заводский (центр — село Александровский Завод), Борзинский (центр — село Борзя), Быркинский (центр — село Бырка), Карымский (центр — село Карымское), Красноярский (центр — село Красный Яр), Кыринский (центр — село Кыринское), Малетинский (центр — село Малета), Оловянинский (центр — село Оловянное), Петровско-Заводский (центр — город Петровский Завод), Титовский (центр — город Чита), Улётовский (центр — село Улёты), Хилокский (центр — село Хилок), Шилкинский (центр — село Шилка) 
dataset/Dataset/data/1904801/table_1|2|114|район|Гродековский (центр — село Гродеково), Ивановский (центр — село Ивановка), Михайловский (центр — село Михайловка), Ольгинский (центр — посёлок Ольга), Покровский (центр — село Покровка), Посьетский (центр — село Славянка), Спасский (центр — город Спасск), Суйфунский (центр — город Никольск-Уссурийский), Сучанский (центр — посёлок Сучанский Рудник), Ханкайский (центр — село Камень-Рыболов), Шкотовский (центр — село Шкотово), Шмаковский (центр — село Успенка), Черниговский (центр — село Черниговка), Яковлевский (центр — село Яковлевка) 
dataset/Dataset/data/1913645/table_1|0|114|район|Якутск Абыйский Аллайховский Аллах-Юньский Амгинский Анабарский Булунский Верхне-Вилюйский Верхоянский Вилюйский Горный Жиганский Кобяйский Ленский Мегино-Кангаласский Момский Намский Нижне-Колымский Нюрбинский Оймяконский Оленёкский национальный эвенкийский район Олёкминский Орджоникидзевский Садынский Саккырырский Среднеколымский Сунтарский Таттинский Токкинский Томпонский Усть-Алданский Усть-Майский Усть-Янский Чурапчинский Якутский Район Алдан Алданский Тимптонский Томмотский Учурский 
dataset/Dataset/data/1919478/table_3|0|114|район|Южно-Сахалинск Александровск-Сахалинский Долинск Корсаков Невельск Оха Поронайск Углегорск Холмск Александровск-Сахалинский Анивский Долинский Корсаковский Курильский Макаровский Невельский Ногликский Охинский Поронайский Северо-Курильский Смирныховский Томаринский Тымовский Углегорский Холмский Южно-Курильский 
dataset/Dataset/data/1919577/table_2|0|114|район|Александровск-Сахалинский Восточно-Сахалинский Кировский Охинский Рыбновский Широко-Падинский 
dataset/Dataset/data/1943120/table_0|0|114|район|Алеутский (до 2020 года) Быстринский Елизовский Карагинский Мильковский Олюторский Пенжинский Соболевский Тигильский Усть-Большерецкий Усть-Камчатский 
dataset/Dataset/data/1950716/table_0|0|114|район|Анадырь Анадырский Восточной Тундры район Марковский Чаунский Чукотский 
dataset/Dataset/data/1979510/table_0|0|114|район|Город Ханты-Мансийск Берёзовский район Кондинский район Ларьякский район Микояновский район Самаровский район Сургутский район 
dataset/Dataset/data/2016716/table_1|0|114|район|Якутск Абыйский Аллайховский Аллах-Юньский Амгинский Анабарский Булунский Верхне-Вилюйский Верхоянский Вилюйский Горный Жиганский Кобяйский Ленский Мегино-Кангаласский Момский Намский Нижне-Колымский Нюрбинский Оймяконский Оленёкский национальный эвенкийский район Олёкминский Орджоникидзевский Садынский Саккырырский Среднеколымский Сунтарский Таттинский Токкинский Томпонский Усть-Алданский Усть-Майский Усть-Янский Чурапчинский Якутский Район Алдан Алданский Тимптонский Томмотский Учурский 
dataset/Dataset/data/2098591/table_6|0|114|район|Гиагинский Кошехабльский Красногвардейский Майкопский Тахтамукайский Теучежский Шовгеновский 
dataset/Dataset/data/2098591/table_7|0|114|район|Гиагинский Кошехабльский Красногвардейский Майкопский Тахтамукайский Теучежский Шовгеновский 
dataset/Dataset/data/2098676/table_17|0|114|район|г. Сыктывкар г. Воркута г. Инта г. Печора и Печорский район г. Ухта Ижемский район Княжпогостский район Койгородский район Корткеросский район Прилузский район Сыктывдинский район Сысольский район Троицко-Печорский район Удорский район Усть-Вымский район Усть-Куломский район Усть-Цилемский район 
dataset/Dataset/data/2122685/table_3|0|114|район|город Сухум Гагрский район Гудаутский район Сухумский район Гулрыпшский район Очамчырский район Ткуарчалский район Галский район Итого 
dataset/Dataset/data/2134891/table_1|0|114|район|Антрацитовский район Беловодский район Белокуракинский район Краснодонский район Кременский район Лутугинский район Марковский район Меловский район Новоайдарский район Новопсковский район Перевальский район Попаснянский район Сватовский район Свердловский район Славяносербский район Станично-Луганский район Старобельский район Троицкий район 
dataset/Dataset/data/227941/table_0|2|114|район|В степях Западного и отчасти Центрального Казахстана В степях восточного и северного Казахстана, Жетысу(каз. семь рек), ряде районов Центрального Казахстана, у подножия Тянь-Шаньских гор На юге Казахстана, долинах рек Сырдарьи, Чу, Талас и Келеса 
dataset/Dataset/data/2487823/table_0|3|114|район|Минск, Могилёв 
dataset/Dataset/data/265187/table_3|6|114|район|- - Калининский Спасский - - Шмаковский - 
dataset/Dataset/data/2768856/table_0|0|114|район|Таракановка Песьянка Пупуревка Загора Центр 
dataset/Dataset/data/3133761/table_0|6|114|район|Сумида Минато Минато Минато Синдзюку Сибуя Тосима Минато Синдзюку Синдзюку Минато Сибуя Синдзюку Синдзюку Тюо Минато Минато Минамитори Минато Синдзюку Тосима Синдзюку Минато Тиёда Тиёда Синдзюку Синдзюку Тиёда Тиёда Тиёда Тиёда Синдзюку Ниситокё Тюо Тюо Тиёда Минато Тюо Тюо Тюо Тиёда Синдзюку Минато Синдзюку Тосима Тосима Минато Минато Сибуя Синдзюку Сибуя Минато Тюо Тиёда Минато Тиёда Минато 
dataset/Dataset/data/3135792/table_0|0|114|район|Хама Масьяф Мухрада Саламия Скальбия 
dataset/Dataset/data/3298999/table_3|2|114|район|Первомайский Промышленный Первомайский пос. Донской Первомайский Промышленный пос. Донской 
dataset/Dataset/data/3298999/table_3|1|114|район|Черёмушки, Центральный мкр. Восточный Центральный мкр. Донской Центральный Бурляевка мкр. Донской 
dataset/Dataset/data/3396414/table_1|4|114|район|Выборгский район Кингисеппский район Ломоносовский район Гатчинский и Лужский районы Волховский и Лодейнопольский районы 
dataset/Dataset/data/3459803/table_0|0|114|район|Эль-Хасака Эль-Маликия Эль-Камышлы Рас-эль-Айн 
dataset/Dataset/data/3539582/table_3|0|114|район|Заводской район Ленинский район Московский район Октябрьский район Партизанский район Первомайский район Советский район Фрунзенский район Центральный район 
dataset/Dataset/data/3608162/table_0|3|114|район|Центр Перевалка Древлянка Зарека Голиковка Октябрьский Древлянка Центр Центр Центр Центр Зарека, Голиковка Древлянка Зарека, Голиковка Голиковка Центр Древлянка, Перевалка Кукковка Южная промзона Древлянка Центр Центр Зарека Перевалка Ключевая Древлянка Древлянка Кукковка Древлянка Зарека Центр Центр Зарека, Голиковка Центр Перевалка Центр Центр Центр Центр, Голиковка Голиковка Голиковка Голиковка Центр Центр, Древлянка Центр Центр Зарека Голиковка Голиковка Голиковка Древлянка Зарека Голиковка Голиковка 
dataset/Dataset/data/3608168/table_0|3|114|район|Центр Перевалка Древлянка Зарека Голиковка Октябрьский Древлянка Центр Центр Центр Центр Зарека, Голиковка Древлянка Зарека, Голиковка Голиковка Центр Древлянка, Перевалка Кукковка Южная промзона Древлянка Центр Центр Зарека Перевалка Ключевая Древлянка Древлянка Кукковка Древлянка Зарека Центр Центр Зарека, Голиковка Центр Перевалка Центр Центр Центр Центр, Голиковка Голиковка Голиковка Голиковка Центр Центр, Древлянка Центр Центр Зарека Голиковка Голиковка Голиковка Древлянка Зарека Голиковка Голиковка 
dataset/Dataset/data/3699253/table_1|0|114|район|Японские острова и острова Рюкю Формоза юго-западный район Китай 
dataset/Dataset/data/3717308/table_1|0|114|район|Баскай Богодого Булмиугу Нонгремассом Сиг-Ногин 
dataset/Dataset/data/3762797/table_3|3|114|район|Тимирязевский 
dataset/Dataset/data/3843541/table_15|1|114|район|Бешкентский, Бухарский, Вабкентский, Гиджуванский, Гузарский, Дехканабадский, Каганский, Камашинский, Каракульский, Каршинский, Кассанский, Кенимехский, Кермининский, Кзыл-Тепинский, Китабский, Рометанский, Свердловский, Чиракчинский, Шафриканский, Шахрисябзский, Яккабагский, г. Бухара, г. Гиджуван, г. Каган, г. Карши, г. Шахрисябз Байсунский, Денауский, Джар-Курганский, Сары-Ассийский, Термезский, Ширабадский, Шурчинский, г. Термез Ак-Дарьинский, Булунгурский, Галля-Аральский, Джамбайский, Зааминский, Кара-Дарьинский, Катта-Курганский, Митанский, Нарпайский, Нуратинский, Пай-Арыкский, Паст-Даргомский, Пахтакорский, Самаркандский, Ургутский, Фаришский, Хатырчинский, г. Самарканд, г. Джизак, г. Катта-Курган Ак-Курганский, Ахан-Гаранский, Беговатский, Верхне-Чирчикский, Калининский, Мирзачульский, Нижне-Чирчикский, Орджоникидзевский, Паркентский, Пскентский, Средне-Чирчикский, Хавастский, Чианзский, Янги-Юльский, г. Ташкент, г. Чирчик, г. Янги-Юль Аимский, Алты-Арыкский, Андижанский, Багдатский, Балыкчинский, Ворошиловский, Джалял-Кудукский, Избаскентский, Кагановичский, Кассан-Сайский, Кировский, Кокандский, Куйбышевский, Ленинский, Маргеланский, Мархаматский, Молотовский, Наманганский, Нарынский, Папский, Пахта-Абадский, Сталинский, Ташлакский, Тюря-Курганский, Уйчинский, Уч-Курганский, Ферганский, Ходжи-Абадский, Чустский, Янги-Курганский, г. Фергана, г. Андижан, г. Коканд, г. Ленинск, г. Маргелан, г. Наманган, г. Чуст Гурленский, Кош-Купырский, Мангитский, Ургенчский, Хазараспский, Ханкинский, Хивинский, Шаватский, Янги-Арыкский, г. Ургенч, г. Хива Кара-Узякский, Кегейлинский, Кипчакский, Куйбышевский, Кунградский, Муйнакский, Тамдынский, Тахта-Купырский, Турткульский, Ходжейлинский, Чимбайский, Шаббазский, г. Турткуль, г. Нукус, г. Ходжейли, г. Чимбай 
dataset/Dataset/data/3901343/table_5|0|114|район|Кошехабльский Красногвардейский Понежукайский Тахтамукайский Шовгеновский 
dataset/Dataset/data/3901343/table_7|0|114|район|Гиагинский Кошехабльский Красногвардейский Майкопский Тахтамукайский Теучежский Шовгеновский 
dataset/Dataset/data/3901343/table_9|0|114|район|Майкоп Адыгейск Гиагинский Кошехабльский Красногвардейский Майкопский Тахтамукайский Теучежский Шовгеновский 
dataset/Dataset/data/3901371/table_17|0|114|район|г. Сыктывкар г. Воркута г. Инта г. Печора и Печорский район г. Ухта Ижемский район Княжпогостский район Койгородский район Корткеросский район Прилузский район Сыктывдинский район Сысольский район Троицко-Печорский район Удорский район Усть-Вымский район Усть-Куломский район Усть-Цилемский район 
dataset/Dataset/data/3987/table_1|0|114|район|Тракторозаводский Краснооктябрьский Центральный Дзержинский Ворошиловский Советский Кировский Красноармейский 
dataset/Dataset/data/4083502/table_0|0|114|район|Центральный Центрально-Чернозёмный Волго-Вятский Северо-Западный Калининградский Северный Поволжский Северо-Кавказский Уральский Западно-Сибирский Восточно-Сибирский Дальневосточный 
dataset/Dataset/data/423369/table_0|1|114|район|г. Нукус Амударьинский Берунийский Бозатауский Канлыкульский Караузякский Кегейлийский Кунградский Муйнакский Нукусский Тахиаташский Тахтакупырский Турткульский Ходжейлийский Чимбайский Шуманайский Элликкалинский 
dataset/Dataset/data/4385331/table_1|1|114|район|Усакен (Usaquén) Чапинеро (Chapinero) Санта Фе (Santa Fe) Сан Кристобаль (San Cristóbal) Усме (Usme) Тунхуэлито (Tunjuelito) Боса (Bosa) Кеннеди (Kennedy) Фонтибон (Fontibón) Энгатива (Engativá) Суба (Suba) Барриос Унидос (Barrios Unidos) Теусакильо (Teusaquillo) Лос Мартирес (Los Mártires) Антонио Нариньо (Antonio Nariño) Пуэнте Аранда (Puente Aranda) Ла Канделария (La Candelaria) Рафаэль Урибе Урибе (Rafael Uribe Uribe) Сьюдад Боливар (Ciudad Bolívar) Сумапас (Sumapaz) 
dataset/Dataset/data/4487098/table_3|0|114|район|Советский район (Крым) 
dataset/Dataset/data/4487098/table_3|1|114|район|Советский район (Нижний Новгород) 
dataset/Dataset/data/4512878/table_1|2|114|район|Ольша Ольша II Прондник-Червоны Раковице Сьлична Угорек Варшавске Вечиста Оседле Готык VI район (Броновице) Броновице Броновице-Мале Мыдльники Оседле Броновице-Мале Оседле Видок-Зажече IX район (Лагевники — Борек-Фаленцкий) Борек-Фленцкий Лагевники Оседле Гегельниана Оседле Заулек-Юговицкий XII район (Бежанув — Прокоцим) Бежанув Bбежанув-Колёния Кайм Лазы Оседле Бежанув-Новы Оседле Колеёве Оседле Медыкув Оседле На Козловице Оседле Над Потокем Оседле Паркове Оседле Новы-Прокоцим Оседел Злочень Прокоцим Ржонка XV район (Мистшеёвице) Батовице Дзекановице Мистшеёвице Оседле Богатерув-Вжесьня Оседле Комбатантув Оседле Мистшеёвице-Нове оседле Осьвеценя Оседле Пястув Оседле Сребрных-Орлув Оседле Тысёнцлечя Оседле Злотего-Веку XVIII район (Нова-Хута) Блоне Бранице Оседле Центрум А Оседле Центрум Б Оседле Центрум Ц Оседле Центрум Д Оседле Центрум Е Халупки Халупки-Гурне Cło Гурка-Косьцельницкая Голендры Копанины Косьцельники Куявы Могила Нова-Гута Нова-Весь Оседле Гурали Оседле Гандлёве Оседле Гутниче Колёрове Оседле Краковякув Оседле Лесиско Оседле Млодосьци Оседле На Скарпе Оседле Огродове Слонечне Оседле Спортове Оседле Спудзельче Оседле Сталёве Оседле Шкальне-Домы Оседле Школьне Оседле Театральне Оседле Уроче Оседле Ванды Оседле Виллове Оседле Згоды Оседле Зелёне Пекелко Плешув Пшилясек-Русецкий Пшилясек-Высёнский Руща Стрыюв Воля-Русецкая Волица Вруженице Высёнже 
dataset/Dataset/data/4512878/table_1|1|114|район|Домбе Гжегужки Казимеж Ольша Оседле-Офицерске Весола V район (Кроводжа) Цихи-Концик Чарна-Весь Кроводжа Лобзув Мястечко-Студенцке АГН Нова-Весь VIII район (Дембники) в прошлом деревни: Бодзув Дембники Кобежин Коло-Тынецке Костше Людвинув Подгурки-Тынецке Пыховице Сидзина Ситники Тынец Зажкувек оседле: Капелянка Клины-Зацише Мохнанец Оседле Еуропейске Оседле Интербуд Оседле Колеёве Оседле Панорама Оседле Подвавельске Оседле Пройнс Оседле Ручай Оседле Ручай-Забоже XI район (Подгуже-Духацке) Курдванув Курдванув-Новы Оседле Пяски-Нове Оседле Подлесе Пяски-Вельке Воля-Духацкая Воля-Духацкая Всхуд Воля-Духацкая Pахуд XIV район (Чижины) Чижины Ленг Оседле 2 Пулку-Лётничего Оседле Академицке Оседле Дивизиона 303 XVII район (Взгужа-Кшеславицке) Грембалув Канторовице Кшеславице Любоча Лучановице Длубня Оседле На Стоку Оседле На Взгужах Вадув Венгжиновице Зеславице 
