table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1252466/table_0|1|115|ракета|Чанчжэн-5 Чанчжэн-7 
dataset/Dataset/data/1353553/table_0|3|115|ракета|Молния № Л1-12 Молния 
dataset/Dataset/data/1651901/table_4|3|115|ракета|Сатурн-5 Сатурн-1Б Сатурн-1Б Сатурн-5 или два Сатурна-1Б Сатурн-5 Сатурн-5 Посадка на Луну 
dataset/Dataset/data/2355802/table_0|11|115|ракета|Спутник 8К71ПС Juno II rocket (англ.) Атлас-Агена Б (англ.) Дельта-DM19 Атлас-Агена Б (англ.) Атлас-Агена Б (англ.) Молния 8K78 Протон 1 Атлас Протон 2 Молния 8K78M Атлас-Агена Б (англ.) Молния 8K78M Модифицированная Р-12 и многоступенчатая ракета Дельта-DM19 Титан III-C Модифицированная Р-12 и многоступенчатая ракета Дельта C Модифицированная Р-7 с двухступенчатой ракетой Алтас-Агена Д (англ.) Скаут (англ.) Союз Дельта C1 Союз Титан III-C Титан III-C Тор-Дельта Дельта-N Титан (ракета-носитель) Скаут (англ.) ? Модифицированная Р-12 и многоступенчатая ракета Сатурн-5 Дельта-N Модифицированная Р-12 и многоступенчатая ракета Дельта Сатурн-5 Молния (ракета-носитель) Атлас-Центавр Атлас (ракеты) ? Скаут (англ.) Протон (ракета-носитель), разгонный блок Протон (ракета-носитель), разгонный блок Сатурн-1Б Скаут (англ.) Скаут (англ.) Протон (ракета-носитель), разгонный блок Космос (ракета-носитель) Скаут (англ.) Дельта Молния (ракета-носитель) Дельта Титан IIIE-Центавр Титан III-C Титан III-C Молния (ракета-носитель) Молния (ракета-носитель) Р-14 и многоступенчатая ракета Атлас-Центавр Модифицированная Р-7 с двухступенчатой ракетой Атлас-Центавр Протон (ракета-носитель), разгонный блок Протон (ракета-носитель), разгонный блок Модифицированная Р-7 с двухступенчатой ракетой Атлас-Центавр M-3C (англ.) Атлас (ракеты) Скаут (англ.) Модифицированная Р-7 с двухступенчатой ракетой Атлас-Центавр Дельта Протон (ракета-носитель), разгонный блок Протон (ракета-носитель), разгонный блок M-3S-3 (англ.) Протон (ракета-носитель), разгонный блок Дельта 3914 Модифицированная Р-7 с двухступенчатой ракетой Шаттл Дискавери STS-51G Шаттл Протон (ракета-носитель), разгонный блок M-3S2-3 (англ.) Атлас E Атлас E Протон-К Протон-К Протон Дельта-2 Союз Шаттл-Центавр (разгонный блок) Атлас E Шаттл Шаттл Атлас E ASLV (англ.) Дельта-2 Шаттл Титан-3 STS-54 M-3SII (англ.) Пегас (ракета-носитель) Дельта-2 Атлас E Атлас E Дельта-2 Дельта-2 PSLV Атлас-Центавр Пегас XL Дельта-2 (7920) Шаттл Ариан-5 Пегас (ракета-носитель) Протон-К Дельта-2 M-5 (англ.) ? Дельта-2 7920H Pegasus XL Протон-М, РБ ДМ-03 
dataset/Dataset/data/2552647/table_0|2|115|ракета|Молния Молния Молния Молния Молния Молния 
dataset/Dataset/data/289327/table_4|3|115|ракета|Сатурн-5 Сатурн-1Б Сатурн-1Б Сатурн-5 или два Сатурна-1Б Сатурн-5 Сатурн-5 Посадка на Луну 
dataset/Dataset/data/3332922/table_1|2|115|ракета|15—20 15—20 20 <10 10—15 85—95 350—400 700—750 200—500 ? ? 1395—1829 
dataset/Dataset/data/3533322/table_0|6|115|ракета|Titan IIID Titan IIID Titan IIID Titan IIID Titan IIID Titan IIID Titan IIID Titan IIID Titan IIID Titan IIID Titan IIID Titan IIID Titan IIID Titan IIID Titan IIID Titan IIID Titan IIID Titan 34D Titan 34D Titan 34D 
dataset/Dataset/data/4185048/table_0|2|115|ракета|Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIE Titan IIIE Titan IIIE Titan IIIE Titan IIIE Titan IIIE Titan IIIE Titan IVA Titan IVA Titan IVA Titan IVA Titan IVA Titan IVA Titan IVA Titan IVA Titan IVA Titan IVB Атлас V 401 Атлас V 401 Атлас V 521 Атлас V 521 Атлас V 431 Атлас V 401 Атлас V 551 Атлас V 411 Атлас V 401 Атлас V 401 Атлас V 421 Атлас V 401 Атлас V 421 Атлас V 421 Атлас V 401 Атлас V 401 Атлас V 431 Атлас V 401 Атлас V 501 Атлас V 531 Атлас V 501 Атлас V 401 Атлас V 551 Атлас V 541 Атлас V 551 Атлас V 531 Атлас V 401 Атлас V 401 Атлас V 501 Атлас V 401 Атлас V 401 Атлас V 401 Атлас V 551 Атлас V 531 Атлас V 401 Атлас V 401 Атлас V 541 Атлас V 401 Атлас V 401 Атлас V 401 Атлас V 401 Атлас V 551 Атлас V 421 Атлас V 501 Атлас V 401 Атлас V 551 Атлас V 421 Атлас V 401 Атлас V 401 Атлас V 401 Атлас V 401 Атлас V 551 Атлас V 421 Атлас V 411 Атлас V 541 Атлас V 431 Атлас V 401 Атлас V 401 Атлас V 401 Атлас V 421 Атлас V 411 Атлас V 541 Атлас V 551 Атлас V 551 Атлас V 551 Атлас V N22 
dataset/Dataset/data/4204107/table_0|2|115|ракета|Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan IIIC Titan 34D Titan 34D Titan 34D Titan 34D Titan 34D Titan 34D Titan 34D Titan 34D Commercial Titan III Commercial Titan III Commercial Titan III Commercial Titan III Titan IVA Titan IVA Titan IVA Titan IVA Titan IVA Titan IVA Titan IVB Titan IVB Titan IVB Titan IVB Titan IVB Titan IVB Titan IVB Titan IVB Titan IVB Titan IVB Titan IVB 
