table_id|column_id|label_id|label|column_data
dataset/Dataset/data/6744810/table_0|4|116|ранг|Пятый нижний (従五位下) Пятый нижний (従五位下) Пятый нижний (従五位下) Пятый нижний (従五 位下) Пятый нижний (従五 位下) 
dataset/Dataset/data/8374493/table_1|2|116|ранг|1 1 1 1 2 2 2 2 2 2 2 2 2 3 3 3 4 4 4 4 5 5 5 5 6 6 6 — 7 7 8 8 9 9 9 9 9 9 — — — 13 16 16 17 22 23 — 27 30 30 37 49 — — — 
dataset/Dataset/data/6811396/table_18|4|116|ранг|8 дан 7 дан 7 дан 7 дан 6 дан 6 дан 6 дан 6 дан 6 дан 6 дан 
dataset/Dataset/data/1000776/table_0|1|116|ранг|1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 
dataset/Dataset/data/8035025/table_6|2|116|ранг|100 
dataset/Dataset/data/4490114/table_3|0|116|ранг|1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 Средний балл 
dataset/Dataset/data/4948076/table_7|0|116|ранг|3 кю 2 кю 1 кю 1 дан 2 дан 3 дан 
dataset/Dataset/data/732252/table_0|1|116|ранг|2 2 1 1 1 1 1 1 1 2 2 2 2 2 2 1 1 1 1 1 1 
dataset/Dataset/data/5045099/table_2|0|116|ранг|37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 
dataset/Dataset/data/6368690/table_0|1|116|ранг|Второй лейтенант Первый лейтенант Капитан Майор(временно за военную службу) Капитан(возвращение в мирное время) Майор Подполковник Полковник Бригадный генерал Генерал-майор Генерал-лейтенант Генерал 
dataset/Dataset/data/4948074/table_7|0|116|ранг|3 кю 2 кю 1 кю 1 дан 2 дан 3 дан 
dataset/Dataset/data/1745137/table_0|1|116|ранг|1 1 1 1 1 1 1 1 1 1 1 1 
dataset/Dataset/data/1931516/table_1|4|116|ранг|Не прошел квалификацию 25 Всего 
dataset/Dataset/data/952478/table_1|0|116|ранг|90 80 76 66 54 50 32 16 
dataset/Dataset/data/2349648/table_7|1|116|ранг|1 2 3 4 5 6 7 8 9 10 11 12 14 16 19 26 
dataset/Dataset/data/1419462/table_0|1|116|ранг|1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
dataset/Dataset/data/753154/table_0|1|116|ранг|1 1 1 1 1 1 1 1 1 1 1 1 
dataset/Dataset/data/7171323/table_4|2|116|ранг|Д3 Д3 Д3 
dataset/Dataset/data/4048947/table_0|0|116|ранг|1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
dataset/Dataset/data/1137729/table_0|3|116|ранг|капитан коммандер лейтенант, лейтенант-коммандер лейтенант, энсин лейтенант энсин — — — — 
dataset/Dataset/data/6977742/table_1|2|116|ранг|1 11 3 11 19 26 35 18 3 
dataset/Dataset/data/770202/table_0|1|116|ранг|1 1 1 1 1 1 2 2 2 2 2 1 1 2 1 1 1 2 2 
dataset/Dataset/data/3787122/table_0|1|116|ранг|3 2 3 2 1 2 2 2 
dataset/Dataset/data/3602292/table_3|0|116|ранг|1 1 3 4 4 4 4 4 9 
dataset/Dataset/data/369815/table_0|4|116|ранг|11.0 12.0 13.0 14.0 
dataset/Dataset/data/4610100/table_2|2|116|ранг|специалистгражданскойавиации адмирал генерал армии генерал ВВС префект МВД префект МВД чрезвычайный и полномочный посол чрезвычайный и полномочный посол префект МВД чрезвычайный и полномочный посол генерал армии чрезвычайный и полномочный посол 
dataset/Dataset/data/1424009/table_0|1|116|ранг|1 1 2 2 2 2 2 1 2 2 1 1 1 1 1 1 1 1 1 1 
dataset/Dataset/data/7266516/table_0|3|116|ранг|3 2 1 
dataset/Dataset/data/4951081/table_0|5|116|ранг|6.0 7.0 2.0 9.0 9.0 14.0 11.0 8.0 18.0 18.0 9.0 10.0 
