table_id|column_id|label_id|label|column_data
dataset/Dataset/data/2490209/table_3|1|117|расстояние|210.4 213.9 219.9 224.2 228.2 238.1 
dataset/Dataset/data/2490209/table_4|1|117|расстояние|222.1 226.3 231.0 236.2 241.4 243.2 249.8 255.5 258.3 263.8 271.1 277.7 282.5 285.8 288.8 292.5 298.0 304.3 307.1 313.2 317.0 
dataset/Dataset/data/766927/table_0|1|117|расстояние|50 50 50 50 50 50 50 50 50 50 50 50 50 
dataset/Dataset/data/983938/table_0|1|117|расстояние|11—18 мм 17—35 мм 17—35 мм 18—70 мм 18—200 мм 20—35 мм 24—50 мм 24—85 мм 24—105 мм 24—105 мм 28—70 мм 28—75 мм 28—80 мм 28—80 мм 28—80 мм 28—85 мм 28—100 мм 28—105 мм 28—135 мм 35—70 мм 35—70 мм 35—80 мм 35—105 мм 35—200 мм 70—200 мм 70—210 мм 70—210 мм 70—210 мм 75—300 мм 75—300 мм 80—200 мм 80—200 мм 80—200 мм 100—200 мм 100—300 мм 100—300 мм 100—300 мм 100—400 мм 
dataset/Dataset/data/7824540/table_0|3|117|расстояние|8,2 ± 0,6 7,80 ± 0,41 7,85 ± 0,44 8,18 ± 0,08 
dataset/Dataset/data/7419365/table_0|2|117|расстояние|186 
dataset/Dataset/data/3553360/table_0|1|117|расстояние|20 37 52 50 85 133 45~80 80~200 
dataset/Dataset/data/3365254/table_1|1|117|расстояние|7 93 36 55 153 107 172 131 148 181 
dataset/Dataset/data/5958357/table_0|2|117|расстояние|55 598 60 65 66 91 95 95 
dataset/Dataset/data/1381865/table_0|9|117|расстояние|163 100 59 490 530 70 331 39 380 267 40 329 150 851 462 642 189 201 371 254 388 76 429 429 113 291 5015 138 
dataset/Dataset/data/755914/table_0|0|117|расстояние|10-18 мм 10-22 мм 15-85 мм 17-85 мм 17-55 мм 18-55 мм 18-55 мм (II) 18-55 мм (III) 18-55 мм 18-55 мм (II) 18-55 мм 18-55 мм (II) 18-55 мм 18-55 мм 18-135 мм 18-135 мм 18-135 мм 18-200 мм 24 мм 35 мм 60 мм 55-250 мм 55-250 мм (II) 55-250 мм 
dataset/Dataset/data/3230659/table_0|1|117|расстояние|125 134,6 ± 3,1 120,2 ± 1,9 136,2 ± 1,2 134 ± 6 136,2 ± 5,0 
dataset/Dataset/data/7282695/table_0|5|117|расстояние|438 436 534 471 428 438 472 462 444 447 
dataset/Dataset/data/7857531/table_0|2|117|расстояние|146 123 943 
dataset/Dataset/data/3994801/table_0|1|117|расстояние|500 600 600 500 500 500 500 500 500 500 300 
dataset/Dataset/data/2625226/table_0|9|117|расстояние|11.0 170.0 398.0 261.0 560.0 988.0 420.0 351.0 787.0 312.0 264.0 749.0 317.0 139.0 346.0 331.0 568.0 604.0 676.0 124.0 142.0 520.0 193.0 504.0 5344.0 294.0 782.0 753.0 845.0 453.0 384.0 194.0 420.0 420.0 191.0 316.0 712.0 414.0 1264.0 876.0 511.0 842.0 225.0 433.0 387.0 643.0 12.37 
dataset/Dataset/data/7026145/table_0|9|117|расстояние|24 71 214 135 153 217 329 295 205 292 525 96 739 468 248 371 1009 697 128 318 132 202 152 428 441 300 595 135 805 463 395 535 179 704 748 57 
dataset/Dataset/data/2992162/table_0|0|117|расстояние|0 км 30 км 48 км 134 км 191 км 215 км 301 км 
dataset/Dataset/data/1624911/table_0|2|117|расстояние|552 834 572 129 153 195 172 603 197 120 
dataset/Dataset/data/7857706/table_0|2|117|расстояние|171 
dataset/Dataset/data/901029/table_0|1|117|расстояние|6 400 6 600—8 400 6 900—46 300 42 000 363 000—406 000 
dataset/Dataset/data/2922544/table_0|3|117|расстояние|124 79 84 81 81 78 101 
dataset/Dataset/data/1065582/table_0|2|117|расстояние|0 401 499 561 750 871 1004 1081 1135 1269 1486 
dataset/Dataset/data/3460796/table_0|2|117|расстояние|48 км До Еревана 48 км, до Ерасха 17 км 
dataset/Dataset/data/4164293/table_0|1|117|расстояние|37 — 80 37 — 75 45 — 80 45 — 80 
dataset/Dataset/data/366740/table_0|4|117|расстояние|650 км 650 км 167 км 141 км 89 км 39 км 
