table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1629379/table_1|0|119|река|Поронай Тымь Найба Лютога Вал Айнская Ныш Углегорка (Эсутору) Лангери (Лангры) Большая Рукутама (Витница) Оленья Лесогорка (Таймыр) Набиль Малая Тымь Леонидовка Сусуя 
dataset/Dataset/data/2018804/table_0|0|119|река|Ахурян Воротан Аракс Раздан Арпа Агстев Дебед Касах Вохчи Памбак Дзорагет Гетик Веди Азат Аргичи 
dataset/Dataset/data/251477/table_1|1|119|река|Извилинка Правая Извилинка Павловка Антоновка Журавлёвка 
dataset/Dataset/data/3117052/table_0|0|119|река|Ахурян Воротан Аракс Раздан Арпа Агстев Дебед Касах Вохчи Памбак Дзорагет Гетик Веди Азат Аргичи 
dataset/Dataset/data/3651291/table_1|3|119|река|Воротан Воротан Воротан 
dataset/Dataset/data/4181574/table_8|4|119|река|Тапи Трат Чаупхрая 
dataset/Dataset/data/5384183/table_0|4|119|река|Аракс Аракс Кура Тертер Кура Самур Кура Кура 
dataset/Dataset/data/5799833/table_3|0|119|река|Чёрная Пичкура Молокча Воря Хамиловка Каналимени Москвы Базаровка Волгуша Клязьма Радомля Истра Сторожка Москва Сетунь Трасна Мята (Дуденка, Песочня) Иневка Лубянка Гвоздня Городенка Каширка Сукуша Северка Москва Десна Гуслица Боронка Нерская Понорь Липица Клязьма Черник Серая 
dataset/Dataset/data/5987289/table_0|2|119|река|Ботнсау Фоссау Хейнгифоссау Диньяндисау Сельяландсау Скоугау Йёкюльсау-ау-Фьёдлюм Хвитау Скьяульвандафльоут Тьоурсау Йёкульсау-ау-Фьёдлум Тьоурсау Хвитау Хейнгифоссау Эхсарау 
dataset/Dataset/data/7027636/table_0|1|119|река|Дунай Власина Дрини Ибар Гружа Дрини Увац Лиму 
dataset/Dataset/data/7303892/table_1|2|119|река|Кламат Американ Сан-Хоакин Стоун-КораллФанкс-Крик Бэр[en] 
dataset/Dataset/data/8498952/table_0|3|119|река|Вардар Вардар Струмица Лебница Озеро Дойран Чёрный Дрин Биначка Морава 
dataset/Dataset/data/981313/table_0|1|119|река|Малка Малка Малка Малка 
