table_id|column_id|label_id|label|column_data
dataset/Dataset/data/5878958/table_3|1|120|религия|Христиане Мусульмане Индуисты Агностики Буддисты Китайская религия Традиционные верования Атеисты Новые религии Сикхи Иудеи Спиритисты Даосы Бахаи Конфуцианцы Джайны Синтоисты Зороастрийцы другие Мир, всего 
dataset/Dataset/data/4794298/table_3|7|120|религия|Древнегреческий политеизмКельтский политеизм Древнеримский политеизм Арабский политеизмХристианство Христианство Древнегреческий политеизм Германский политеизмХристианство Буддизм,Греко-буддизм,Древнегреческий политизм Тенгрианство Буддизм,Джайнизм,Индуизм 
dataset/Dataset/data/4865096/table_0|4|120|религия|Православие Католичество 
dataset/Dataset/data/8677227/table_23|7|120|религия|Западносемитский политеизм Христианство Шумеро-аккадский политеизм Древнегреческий политеизм Этрусский политеизм Древнегреческий политеизм Буддизм,Зороастризм 
dataset/Dataset/data/4620921/table_0|0|120|религия|Христианство Ислам Индуизм Сикхизм Буддизм Иудаизм Другие Нет религии Не указана 
dataset/Dataset/data/5260624/table_0|0|120|религия|Христианство Ислам Иудаизм Индуизм Буддизм Сикхизм Другие Нет религии Не указана 
dataset/Dataset/data/5878888/table_2|1|120|религия|Христиане Мусульмане Индуисты Неверующие Буддисты Китайская религия Традиционные верования Атеисты Новые религии Сикхи Иудеи Спиритисты Даосы Бахаи Конфуцианцы Джайны Синтоисты Зороастрийцы другие Мир, всего 
dataset/Dataset/data/3202848/table_0|0|120|религия|Христианство Ислам Буддизм Индуизм Иудаизм Сикхизм Другие Нет религии Не указана 
dataset/Dataset/data/3202871/table_0|0|120|религия|Христианство Ислам Сикхизм Индуизм Буддизм Иудаизм Другие Нет религии Не указана 
dataset/Dataset/data/1483644/table_0|0|120|религия|Все Индуизм Ислам Христианство Сикхизм Буддизм Джайнизм Другие Вне религии 
dataset/Dataset/data/5878896/table_3|2|120|религия|3 220 348 000 2 494 229 000 1 241 133 000 556 416 000 570 283 000 525 183 000 272 450 000 132 671 000 63 657 000 34 258 000 16 973 000 17 080 000 15 018 000 15 113 000 6 014 000 7 943 000 2 355 000 170 000 — 9 191 294 000 
dataset/Dataset/data/958247/table_0|3|120|религия|индуизм индуизм индуизм индуизм индуизм джайнизм джайнизм индуизм индуизм индуизм индуизм индуизм индуизм джайнизм джайнизм индуизм индуизм индуизм индуизм индуизм индуизм 
dataset/Dataset/data/5878835/table_0|3|120|религия|33,2 % 22,4 % 13,7 % 9,3 % 6,8 % 6,6 % 3,8 % 2,0 % 0,9 % 0,4 % 0,2 % 0,2 % 0,1 % 0,1 % 0,1 % 0,1 % 0,0 % 0,0 % — 100 % 
dataset/Dataset/data/823043/table_0|0|120|религия|Христианство Ислам Индуизм Иудаизм Буддизм Сикхизм Другие Нет религии Не указана 
dataset/Dataset/data/5878884/table_3|2|120|религия|3 220 348 000 2 494 229 000 1 241 133 000 556 416 000 570 283 000 525 183 000 272 450 000 132 671 000 63 657 000 34 258 000 16 973 000 17 080 000 15 018 000 15 113 000 6 014 000 7 943 000 2 355 000 170 000 — 9 191 294 000 
dataset/Dataset/data/2842/table_0|0|120|религия|Буддизм Христианство Ислам Тенгрианство Бахаизм Другие Всего 
