table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1951895/table_2|3|121|роман|Детский сад (англ.)русск. Дитя в небе Дорога отчаяния Маска для генерала Слон Килиманджаро Хранитель времени Воины рая Вернуть изобилие (англ.)русск. Крысы и гаргульи Город несколько лет спустя Прощай, горизонталь Красный паук белая сеть Выбор оружия Synners Вечный свет Песни Гипериона Плот Подземная галерея Белая королева Стеклянное тело (англ.)русск. Красный Марс Корреспонденция Сердца, руки и голоса Ангел-разрушитель Книга Страшного суда Lost Futures Путь Прилива Вирт Аммонитянин Сломанный бог Дочь железного дракона Миллион открытых дверей Лавина Fools Чуждыя влияния Мать бурь Северный ветер Ангел Паскуале Towing Jehovah Волшебная страна Звёздная фракция Алмазный век Счастливый полицейский Престиж Корабли времени Калькутская хромосома (англ.)русск. Синий Марс Двигатели бога Гиббон. История упадка и разрушения В поисках Мади Поездка Птица малая (англ.)русск. Дни Семейное древо Мерцание Нимформация Титан Dreaming in Smoke The Cassini Division Вереница Стеклянная Земля Экстрим История у меня на ладонях: роман с фотографиями 
dataset/Dataset/data/226428/table_4|3|121|роман|«Фонтаны рая» «Арфист на ветру» «Джем» «Титан» «На крыльях песни» «Снежная королева» «За синим горизонтом событий» «Замок Лорда Валентайна» «Инженеры Кольца» «Фея» «Последняя база[en]» «Маленький, большой» «Многоцветная земля» «Проект „Ватикан“» «Коготь миротворца» «Академия на краю гибели» «Гордость Шанур» «2010: Одиссея 2» «Пятница» «Брачный ритуал» «Меч Ликтора» «Звёздный прилив» «Роботы утренней зари» «Чай с чёрным драконом» «Морита — повелительница драконов» «Миллениум» «Нейромант» «Иов, или осмеяние справедливости» «Интегральные деревья» «Явление» «Мирная война» «Игра Эндера» «Музыка, звучащая в крови» «Яйцо кукушки» «Поступь» «Почтальон» «Голос тех, кого нет» «Граф ноль» «Чёрный генезис» «Астронавты в лохмотьях» «Затерянные в реальном времени» «Война за Возвышение» «Божья кузница» «Седьмой сын» «Когда под ногами бездна» «И явилось Новое Солнце» «Сытин» «В свободном падении» «Красный пророк» «Мона Лиза Овердрайв» «Остров в сети» 
dataset/Dataset/data/226428/table_6|3|121|роман|«Глубина в небе» «Радио Дарвина» «Гражданская кампания» «Гарри Поттер и узник Азкабана» «Криптономикон» «Гарри Поттер и Кубок огня» «Полуночный грабитель» «Небесная дорога» «Буря мечей» «Вычислительный бог» «Американские боги» «Проклятие Шалиона» «Вокзал потерянных снов» «Пища космонавта» «Проход» «Хронолиты» «Гоминиды[en]» «Обожжённые люди» «Шрам» «Годы риса и соли» «Кости Земли» «Паладин душ» «Люди» «Илион» «Небо сингулярности» «Слепое озеро» «Джонатан Стрендж и мистер Норрелл» «Алгебраист» «Железный совет» «Железный восход» «Река Богов» «Спин» «Познавая мир» «Пир стервятников» «Война стариков» «Акселерандо» «Конец радуг» «Эйфельхейм» «Дракон Его Величества» «Стеклянный дом» «Ложная слепота» «Союз еврейских полисменов» «Бразилия» «Откат» «Последняя колония» «Остановка» «История с кладбищем» «Анафем» «Младший брат» «Дети Сатурна» «Сказка Зои» 
dataset/Dataset/data/2784047/table_5|3|121|роман|«Parable of the Talents (англ.)русск.» «Глубина в небе» «The Cassini Division» «Mission Child» «Битва королей» «Mockingbird» «Darwin’s Radio (англ.)русск.» «Гражданская кампания» «Crescent City Rhapsody» «Forests of the Heart» «Берег бесконечности» «Midnight Robber» «The Quantum Rose (англ.)русск.» «Eternity’s End» «The Collapsium» «The Tower at Stony Wood» «Буря мечей» «Declare» «Passage» «Американские боги» «На иных ветрах» «Picoverse» «Вокзал потерянных снов» «Кости земли» «Solitaire» «Speed of Dark (англ.)русск.» «Дипломатическая неприкосновенность» «Light Music» «Чинди» «The Salt Roads» «The Mount» «Паладин душ» «Рыцарь» «Down and Out in the Magic Kingdom» «Омега» «Облачный атлас» «Perfect Circle» «Camouflage (англ.)русск.» «Джонатан Стрендж и мистер Норрелл» «Полярис» «Держи марку!» «Air» «Orphans of Chaos» «Seeker (англ.)русск.» «From the Files of the Time Rangers» «The Privilege of the Sword» «To Crush the Moon» «Девочка в стекле» «Farthing» «Союз еврейских полисменов» «Ragamuffin» «Odyssey» «The Accidental Time Machine» «The New Moon’s Arms» «Прозрение (англ.)русск.» «Младший брат» «Cauldron» «Бразилья» «Делай деньги» «Superpowers» 
dataset/Dataset/data/2968851/table_3|3|121|роман|«Криптономикон» «Darwin’s Radio» «Глубина в небе» «Гражданская кампания» «Тень Эндера» «Толкователи» «Eater» «Дух времени» «The Coming» «In Green’s Jungles» «Passage» «Тень Гегемона» «The Chronoliths» «Return to the Whorl» «Defender» «Годы риса и соли» «Глина» «Кости земл» «Redemption Ark» «Coyote» «Илион» «Распознавание образов» «Ртуть» «Darwin’s Children» «The Speed of Dark» «Смешенье» «Система мира» «Железный рассвет» «Eastern Standard Tribe» «Forty Signs of Rain» «Алгебраист» «Accelerando» «Олимп» «Спин» «Fifty Degrees Below» «Learning the World: A Novel of First Contact» «Конец радуг» «Ложная слепота» «Carnival» «Farthing» «Glasshouse» «Союз еврейских полисменов» «The Accidental Time Machine» «Brasyl» «Halting State» «Страна призраков» «Анафем» «Материя» «City at the End of Time» «Marsbound» «Saturn’s Children» 
dataset/Dataset/data/3335438/table_1|3|121|роман|«'The Forgotten Beasts of Eld (англ.)русск.» «Буря в летнюю ночь» «Кольцо Мерлина (англ.)русск.» «Где-то во времени (англ.)русск.» «Жребий» «Doctor Rat» «Поход Чёрного Креста» «Дракон и Джордж» «The Doll Who Ate His Mother» «Скиталец по морям судьбы» «Легенды о короле Артуре и рыцарях Круглого стола» «Our Lady of Darkness (англ.)русск.» «The Hour of the Oxrun Dead» «Проклятие лорда Фаула» «Gloriana (англ.)русск.» «The Sound of Midnight» «The Black Castle» «Противостояние» «Владыка ночи» 
dataset/Dataset/data/3335438/table_3|3|121|роман|«Lyonesse: Madouc (англ.)русск.» «Воин арете» «In A Dark Dream» «Дитя в небе» «The Stress of Her Regard» «Утеха падали» «Единородная дочь (англ.)русск.» «Томас Рифмач (англ.)русск.» «Тигана» «Mary Reilly» «Благие знамения» «Жизнь мальчишки» «Hunting the Ghost Dancerе» «Бумажный Грааль» «Bone Dance» «За стенами собачьего музея» «Маленькая страна» «Last Call (англ.)русск.» «Briar Rose» «Эра Дракулы» «Was» «Photographing Fairies» «Glimpses» «Песня трактирщика» «Рисунки на крови» «Skin» «Глотка» «Дочь железного дракона» «Господин двух царств» «Towing Jehovah» «Brittle Innings» «Любовь и сон» «From the Teeth of Angels» «The Circus of the Earth and the Air» «Waking the Moon» «Престиж» «All The Bells On Earth» «Реквием» «Expiration Date» «The Silent Strength of Stones» «Red Earth and Pouring Rain» «Godmother Night» «The Bear Went Over The Mountain» «The 37th Mandala» «Игра престолов» «Devil’s Tower» «Золотой ключ» «Shadow of Ashland» «Физиогномика» «Американский Голиаф» «Trader» «Dry Water» «The Gift» «Клуб Дюма» «The Antelope Wife» «Дорога в Сарантий» «Покинутые небеса» «The Martyring» «Mockingbird» 
dataset/Dataset/data/3863834/table_1|3|121|роман|«Человек без лица» «Машина вечности[en]» «Двойная звезда» «Считайте его мёртвым» «Конец Вечности» «Не в этом августе» «Долгое завтра» «Большое время» «Дело совести[en]» «Враждебные звёзды»[en] «Кто?[en]» «Будет скафандр — будут и путешествия» «Корпорация „Бессмертие“» 
dataset/Dataset/data/3863834/table_5|3|121|роман|«Гиперион» «Чёлн на миллион лет» «Подмастерье Элвин» «Огонь на солнце» «Трава» «Игра форов» «Земля» «Падение Гипериона» «Королева ангелов» «Тихие пруды» «Барраяр» «Танец костей» «Ксеноцид» «Все вейры Перна» «Станции прилива» «Королева лета» «Пламя над бездной» «Книга Страшного суда» «Китайская гора Чжан» «Красный Марс» «Стальной берег» «Зелёный Марс» «Марс в движении» «Время славы» «Виртуальный свет» «Испанские попрошайки» «Танец отражений» «Мать штормов» «Сломанный Иннингс» «Нищие и Выбирающие» «С Иеговой на буксире» «Алмазный век» «Корабли времени» «Риф яркости» «Смертельный эксперимент» «Римейк» «Голубой Марс» «Память» «Оставшееся население» «Старплекс» «Священный огонь» «Бесконечный мир» «Сдвиг» «Восход Эндимиона» «Джек Фауст» «Город огня» «Не говоря о собаке[en]» «Дети бога» «Дарвиния» «Распад» «Производство людей» 
dataset/Dataset/data/3863834/table_8|3|121|роман|«Память под названием Империя» «The City in the Middle of the Night» «Гидеон Девятый» «The Light Brigade» «Миттельшпиль» «Десять тысяч дверей января» «Чёрное солнце» «The City We Became» «Харроу Девятая» «Сетевой эффект» «Piranesi» «The Relentless Moon» 
