table_id|column_id|label_id|label|column_data
dataset/Dataset/data/6492117/table_0|2|122|сайт|https://web.archive.org/web/20160229220412/http://buyeo.museum.go.kr/ https://web.archive.org/web/20080329010606/http://cheongju.museum.go.kr/ https://web.archive.org/web/20050629090403/http://chuncheon.museum.go.kr/ https://web.archive.org/web/20071212084833/http://daegu.museum.go.kr/ https://web.archive.org/web/20080409153146/http://gimhae.museum.go.kr/ https://web.archive.org/web/20071214032958/http://gongju.museum.go.kr/ https://web.archive.org/web/20100207134614/http://gyeongju.museum.go.kr/ https://web.archive.org/web/20071217205203/http://gwangju.museum.go.kr/ https://web.archive.org/web/20060829201307/http://jeonju.museum.go.kr/ https://web.archive.org/web/20071212084841/http://jeju.museum.go.kr/ https://web.archive.org/web/20071212084905/http://jinju.museum.go.kr/ https://web.archive.org/web/20070902002437/http://www.koreaplants.go.kr:9300/ https://web.archive.org/web/20200204020812/http://www.lighthouse-museum.or.kr/ http://www.moca.go.kr http://www.mmca.go.kr https://web.archive.org/web/20071226145052/http://www.nfm.go.kr/ https://web.archive.org/web/20120718191918/http://www.nmm.go.kr/english/ http://www.museum.go.kr/ http://www.gogung.go.kr http://www.science.go.kr 
dataset/Dataset/data/2386098/table_0|6|122|сайт|    —   —  —  —   —   —  — — —      — —  — — —  — —   - —  — —    — —      —  — —  —       — —  —      — —   — —   —    —   — —    —   — — —  —     —    —    —    — — —    —           — — —       — —  —   -  
dataset/Dataset/data/3895910/table_8|5|122|сайт|Почётное консульство Белоруссии — Почётное генеральное консульство Италии Генеральное консульство Республики Кипр Почётное консульство Киргизии Почётное консульство Таджикистана 
dataset/Dataset/data/59503/table_0|0|122|сайт|http://groups.google.ru/ http://ftn.su/ http://fido.net.ua/ http://xftn.org/areas http://fghi.pp.ru/ http://fido.mic6090.pp.ru http://fidonode.in/forum http://vp.propush.ru/index.php?q=node/6 http://fidonet-online.org/ https://fido.snake.mk.ua/ http://wfido.ru/ 
dataset/Dataset/data/2837491/table_1|3|122|сайт|www.npu.gov.ua www.dpsu.gov.ua www.dsns.gov.ua www.ngu.gov.ua www.dmsu.gov.ua 
dataset/Dataset/data/3964422/table_15|5|122|сайт|Почётное консульство Абхазии Почётное консульство Австрии Отделение посольства Белоруссии Почётное консульство Венгрии Почётное консульство КНДР — — Почётное консульство Швеции Почётное консульство Франции 
dataset/Dataset/data/3964422/table_35|5|122|сайт|Генеральное консульство Республики Корея Консульство Нидерландов Генеральное консульство Японии 
dataset/Dataset/data/149006/table_0|0|122|сайт|http://groups.google.ru/ http://ftn.su/ http://fido.net.ua/ http://xftn.org/areas http://fghi.pp.ru/ http://fido.mic6090.pp.ru http://fidonode.in/forum http://vp.propush.ru/index.php?q=node/6 http://fidonet-online.org/ https://fido.snake.mk.ua/ http://wfido.ru/ 
dataset/Dataset/data/1704721/table_8|5|122|сайт|http://atr.ua http://pravdatut.ua http://sonce.tv http://eko-tv.tv 
dataset/Dataset/data/5900238/table_0|7|122|сайт|           ,   Архивная копия от 27 января 2020 на Wayback Machine    
dataset/Dataset/data/1689633/table_0|8|122|сайт|www.ptokax.org www.verlihub-project.org mydc.ru/rushub/ www.flexhub.org ynhub.org sourceforge.net nemesis.te-home.net sites.google.com en.rs2soft.nl code.google.com Сайт проекта 
dataset/Dataset/data/4164826/table_0|6|122|сайт|https://web.archive.org/web/20130224210731/http://www.english.imjnet.org.il/ 
dataset/Dataset/data/3964422/table_22|5|122|сайт|Генеральное консульство Армении Отделение посольства Белоруссии Почётное консульство Республики Корея Генеральное консульство Румынии Почётное консульство Словакии Генеральное консульство Украины — 
dataset/Dataset/data/3895910/table_18|5|122|сайт|Почётное генеральное консульство Италии 
dataset/Dataset/data/456847/table_0|3|122|сайт|rfss.org.ru rfos.info oankoo.com 
dataset/Dataset/data/3895910/table_20|5|122|сайт|Отделение генерального консульства Финляндии 
dataset/Dataset/data/13808/table_0|0|122|сайт|http://groups.google.ru/ http://ftn.su/ http://fido.net.ua/ http://xftn.org/areas http://fghi.pp.ru/ http://fido.mic6090.pp.ru http://fidonode.in/forum http://vp.propush.ru/index.php?q=node/6 http://fidonet-online.org/ https://fido.snake.mk.ua/ http://wfido.ru/ 
dataset/Dataset/data/1795162/table_1|7|122|сайт|Архив некоторых выпусков за 1974 и 1975—1979 годы Архив некоторых номеров за 1995—1998 годы Сайт журнала Сайт журнала Один выпуск за 1975 год Сайт журнала Архив некоторых выпусков за 1929—1931 и 1935 годы Один выпуск за 1937 год Архив некоторых выпусков за 1942—1969 годы 
