table_id|column_id|label_id|label|column_data
dataset/Dataset/data/6867744/table_4|1|123|самолет|И-153 Як-9Т, Д, У Як-9П МиГ-15 МиГ-17 
dataset/Dataset/data/5631188/table_2|1|123|самолет|376 
dataset/Dataset/data/6849070/table_1|2|123|самолет|468 
dataset/Dataset/data/595230/table_0|0|123|самолет|ATR 72-500 Boeing 737-400 Boeing 737-500 Boeing 737-800 Boeing 767-200ER 
dataset/Dataset/data/1614856/table_0|0|123|самолет|Airbus A330-300 Airbus A350-900 Airbus A350-900ULR Airbus A380-800 Boeing 777-200 Boeing 777-200ER Boeing 777-300 Boeing 777-300ER Boeing 777-9 Boeing 787-10 Итого: 
dataset/Dataset/data/6864742/table_1|1|123|самолет|223 
dataset/Dataset/data/6482386/table_3|0|123|самолет|110 
dataset/Dataset/data/6676676/table_1|2|123|самолет|22 + 0 22 + 0 19 + 0 19 + 0 14 + 4 13 + 3 13 + 1 12 + 3 10 + 7 8 + 5 8 + 0 8 + 0 7 + 7 7 + 5 7 + 0 7 + 0 6 + 0 5 + 1 5 + 0 5 + 0 5 + 0 5 + 0 5 + 0 
dataset/Dataset/data/6290235/table_2|0|123|самолет|1 экипаж (вынужденная посадка на территории противника) 
dataset/Dataset/data/6848835/table_4|1|123|самолет|И-16 ЛаГГ-3 Ла-5 Ла-7 Як-17 МиГ-15 бис МиГ-17 МиГ-17 Ф, П, ПФ Як-25М МиГ-21Ф, Ф13 МиГ-21ПФ, ПФМ МиГ-21Р МиГ-21СМ МиГ-21СМТ МиГ-21БИС Су-27 Су-35С 
dataset/Dataset/data/6848818/table_4|1|123|самолет|И-153. И-16 И-15бис ЛаГГ-3 Як-1 Ла-5 Ла-7 МиГ-15 МиГ-17 
dataset/Dataset/data/5329636/table_3|1|123|самолет|ЛаГГ-3 Як-1 Як-3 Кингкобра МиГ-15 МиГ-17 
dataset/Dataset/data/6864069/table_7|0|123|самолет|416 
dataset/Dataset/data/6255539/table_4|1|123|самолет|И-16 И-15 Харрикейн ЛаГГ-3 Як-9 
dataset/Dataset/data/6848662/table_4|1|123|самолет|И-15 бис Як-7Б Як-9 Як-3 МиГ-15 МиГ-17 МиГ-19, Як-25 Л-29 Л-39 МиГ-23 
dataset/Dataset/data/5241316/table_2|1|123|самолет|Boeing 737-700, Boeing 737-800 Embraer EMB-120 Brasília Boeing 737-300 Airbus A319, Airbus A320-200 Embraer EMB-120 Brasília, Grand Caravan ATR-72, Embraer 175 Embraer 195 
dataset/Dataset/data/3191536/table_2|0|123|самолет|Су-24МР 
dataset/Dataset/data/3191536/table_6|0|123|самолет|Су-38 
dataset/Dataset/data/7721675/table_0|1|123|самолет|встреч с самолётами противника и воздушных боёв не было 
dataset/Dataset/data/6647233/table_2|0|123|самолет|7 
dataset/Dataset/data/6838868/table_4|1|123|самолет|15 
dataset/Dataset/data/6839392/table_1|1|123|самолет|372 
dataset/Dataset/data/5977365/table_1|1|123|самолет|36 
