table_id|column_id|label_id|label|column_data
dataset/Dataset/data/2877027/table_0|2|125|сингл|Singles Released «Thinking Over» «Rain» 
dataset/Dataset/data/1868125/table_9|0|125|сингл|«Call The Police» «Milk & Honey» 
dataset/Dataset/data/2877050/table_1|1|125|сингл|«Thinking Over» «Rain» «It Is You (I Have Loved)» 
dataset/Dataset/data/903198/table_1|0|125|сингл|1988 : Dans ses grands yeux verts 1989 : Ce train qui s’en va 1989 : Sarah 1990 : Jimmy, Jimmy 1991 : Je suis venu a Paris 1992 : Pour l’amour d’un garcon 1993 : Peut etre qu’en septembre 1993 : Dona, Dona (duo Dorothee) 1993 : Je m’appelle Helene 1994 : Dans les yeux d’une fille 1994 : Amour secret 1994 : Le miracle de l’amour 1995 : Moi aussi je vous aime 1995 : Imagine 1995 : Toi 1996 : Je t’aime 1996 : Partir avec toi 1997 : A force de solitude 2003 : Que du vent 2003 : Sur mon étoile 2010 : Salut, ca va? (duo Dorothee) 2011 : Les Mystères de l'amour 2012 : C'était à toi que je pensais 2012 : Robin des bois 2016 : Effacer le passé 2016 : Nos tendres années 
dataset/Dataset/data/4237401/table_2|8|125|сингл|— — — 
dataset/Dataset/data/6146083/table_0|5|125|сингл|Leave Me Now Vowel Movelment (1991),Rainbow’s End (1991) Reach out (1992),All Together (1993) Why (1995),Tomorrow Speaks (1995) All Fall Away/You’re Not Alone (1999) 
dataset/Dataset/data/6683756/table_0|1|125|сингл|«Control» «Fallen Angel» «He’s My Bitch» 
dataset/Dataset/data/3175690/table_4|1|125|сингл|«Twist and Shout» «Things Can Only Get Better» «Without You» «Doop» «Everything Changes» «The Most Beautiful Girl in the World» «The Real Thing» «Inside» «Come On You Reds» «Love Is All Around»† «Saturday Night» «Sure» «Baby Come Back» «Let Me Be Your Fantasy» «Stay Another Day» 
dataset/Dataset/data/4710503/table_2|1|125|сингл|«I Have the Touch» «Kiss of Life» «Shock the Monkey» «Shock the Monkey» «Shock the Monkey» «Shock the Monkey» «Shock the Monkey» 
dataset/Dataset/data/5386579/table_1|1|125|сингл|«Stripes» «Pray to Jesus» «Hungover» 
dataset/Dataset/data/1756876/table_1|1|125|сингл|«Starman» «Starman» «Rock 'n' Roll Suicide» 
dataset/Dataset/data/2278446/table_3|7|125|сингл|2.0 9.0 5.0 
dataset/Dataset/data/3703898/table_1|8|125|сингл|— — 4 
dataset/Dataset/data/7842306/table_0|1|125|сингл|«Control» «Fallen Angel» «He’s My Bitch» 
dataset/Dataset/data/3205662/table_0|1|125|сингл|«Ballad of the Green Berets» «Cherish» «(You’re My) Soul and Inspiration» «Reach Out I’ll Be There» «96 Tears» «Last Train to Clarksville» «Monday, Monday» «You Can’t Hurry Love» «Poor Side of Town» «California Dreamin’» «Summer in the City» «Born Free» «These Boots Are Made for Walkin’» «What Becomes of the Brokenhearted» «Strangers in the Night» «We Can Work It Out» «Good Lovin’» «Winchester Cathedral» «Hanky Panky» «When a Man Loves a Woman» «Paint It Black» «My Love» «Lightin’ Strikes» «Wild Thing» «Kicks» «Sunshine Superman» «Sunny» «Paperback Writer» «See You in September» «You Keep Me Hangin’ On» «Li’l Red Riding Hood» «Devil with a Blue Dress On/Good Golly Miss Molly» «Good Vibrations» «A Groovy Kind of Love» «You Don’t Have to Say You Love Me» «Cool Jerk» «Born A Woman» «Red Rubber Ball» «B-A-B-Y» «Walk Away Renee» «Daydream» «Time Won’t Let Me» «Hooray for Hazel» «Sweet Pea» «Bus Stop» «Ain’t Your Puppet» «I’m So Lonesome I Could Cry» «Ain't Too Proud to Beg» «Dirty Water» «Elusive Butterfly» «I Am a Rock» «Crying Time» «Secret Agent Man» «The Sound of Silence» «Lady Godiva» «Homeward Bound» «Did You Ever Have to Make Up Your Mind?» «Barefootin’» «Uptight (Everything’s Alright)» «Bang Bang» «Sloop John B» «19th Nervous Breakdown» «Wipe Out» «Psychotic Reaction» «Beauty Is Only Skin Deep» «No Matter What Shape (Your Stomach Is In)» «Just Like Me» «Love Makes the World Go Round» «The Pied Piper» «Coming on Strong» «Somewhere My Love» «Almost Persuaded» «If I Were a Carpenter» «Don’t Mess with Bill» «Cherry, Cherry» «Working in the Coal Mine» «Message to Michael» «Love Is a Hurtin’ Thing» «Barbara Ann» «Gloria» «My World Is Empty Without You» «Rainy Day Women ♯12 & 35» «Guantanamera» «Land of 1,000 Dances» «Oh How Happy» «Woman» «You Baby» «Five O’Clock World» «Black Is Black» «Nowhere Man» «Dandy» «Baby Scratch My Back» «She’s Just My Style» «The More I See You» «I Fought the Law» «Yellow Submarine» «Hungry» «Zorba the Greek» «Shapes of Things» «634-5789 (Soulsville, U.S.A.)» 
dataset/Dataset/data/3732448/table_2|7|125|сингл|н/д н/д н/д 1 1 2 
dataset/Dataset/data/2947308/table_8|1|125|сингл|«Uptown Top Ranking» «Figaro» «Take a Chance on Me» «Wuthering Heights» «Matchstalk Men & Matchstalk Cats & Dogs (Lowry's Song)» «Night Fever» «Rivers of Babylon»† «You're the One That I Want» «Three Times a Lady» «Dreadlock Holiday» «Summer Nights» «Rat Trap» «Da Ya Think I'm Sexy?» «Mary's Boy Child – Oh My Lord» 
dataset/Dataset/data/2165329/table_0|1|125|сингл|«Control» «Fallen Angel» «He’s My Bitch» 
