table_id|column_id|label_id|label|column_data
dataset/Dataset/data/102163/table_0|2|127|событие|Голландия объявила земли острова Новая Гвинея западнее 141° в. д. своей собственностью. Германия объявляет протекторат над северо-восточной частью острова (восточнее 141° в. д.), названной Германская Новая Гвинея. Великобритания объявляет протекторат над юго-восточной частью острова (восточнее 141° в. д.), названной Британская Новая Гвинея. Германия устанавливает протекторат над северной частью Соломоновых островов (остров Бука, остров Бугенвиль, остров Шуазёль, остров Шортленд, остров Санта-Исабель, атолл Онтонг-Джава (Лорд-Хау)). Британская Новая Гвинея становится колонией Великобритании. Германия передаёт атолл Онтонг-Джава, остров Шуазёль, остров Шортленд и остров Санта-Исабель Британскому Протекторату Соломоновых Островов. Остров Бука и остров Бугенвиль введены в состав колонии Германская Новая Гвинея. Великобритания передала Австралийскому Союзу колонию Британская Новая Гвинея, переименованную в Папуа. Германская Новая Гвинея оккупирована Австралией, переименована в Северо-Восточную Новую Гвинею. Австралия получает мандат Лиги Наций на управление Северо-Восточной Новой Гвинеей, названной Территория Новая Гвинея. Начало японской оккупации острова Новая Гвинея. Австралия территориально объединила Папуа и Территорию Новой Гвинеи, под названием — Территория Папуа и Новой Гвинеи. Административное объединение земель. Австралийские власти дали новое название: Территория Папуа — Новая Гвинея. Территория Папуа — Новая Гвинея получила самоуправление. Провозглашено независимое государство Папуа — Новая Гвинея в составе Содружества, принята конституция. 
dataset/Dataset/data/1126759/table_1|1|127|событие|Сараевское убийство: Покушение на наследника австро - венгерского престола эрцгерцога Франца Фердинанда. Он убит вместе со своей женой. Убийца — боснийский студент Гаврило Принцип. Австро-Венгрия предъявляет ультиматум Сербии. Сербия, полагаясь на поддержку России, не принимает некоторых его пунктов и объявляет мобилизацию. Австро-Венгрия объявляет всеобщую мобилизацию и сосредотачивает войска на границе с Сербией. Австро-Венгрия объявляет Сербии войну. Мобилизация проходит и в России. Официальное начало Первой мировой войны. Великобритания определяет свою позицию. Если конфликт ограничится Австро-Венгрией, Сербией и Россией, Англия останется в стороне. Если же в войну вступят Германия и Франция, Великобритания выполнит свои союзнические обязательства. Германский император угрожает началом военных действий Николаю Второму в случае, если мобилизация не будет прекращена в течение 12 часов. Тот, в свою очередь, уверяет, что мобилизация проходит только против Австро-Венгрии. Одновременно Германия направляет Франции ультиматум с требованием соблюдения нейтралитета в предстоящей войне. Германия объявляет войну России и начинает мобилизацию. Германские войска, в соответствии с планом Шлиффена, стягиваются к французской и бельгийской границам.Италия объявляет о своем нейтралитете.Германская и Османская империя подписывают секретный договор об альянсе.Франция начинает мобилизацию. Вторжение Германии в Люксембург. Германия объявляет войну Франции, обвинив её в «организованных нападениях и воздушных бомбардировках Германии» и «в нарушении бельгийского нейтралитета». Германия выдвигает Бельгии ультиматум с требованием пропустить свои войска через бельгийскую территорию. Бельгия отвечает отказом. Германия объявляет войну Бельгии и начинает вторжение на её территорию. Британская империя протестует против нарушения бельгийского нейтралитета, гарантированного договором; германский канцлер отвечает, что договор — не более чем кусок бумаги (chiffon de papier). Британская империя объявляет Германии войну. Черногория объявляет войну Австро-Венгерской империи. Османская империя закрывает для свободного прохода Дарданеллы. Германские войска осаждают, а затем захватывают крепость Льеж (Бельгия). Австро-Венгрия объявляет войну России.Сербия и Черногория объявляют войну Германии. Высадка Британского Экспедиционного Корпуса во Франции. Франция и Британская империя объявляют войну Австро-Венгрии. Пограничное сражение. Немецкие войска одерживают победу над Британским Экспедиционным Корпусом и французской Пятой Армией. Сербия одерживает победу над австро-венгерскими войсками в сражении при Цер. Русская армия вторгается на территорию Восточной Пруссии. Битва при Сталлупенене. Галицийская битва. Захват российскими войсками восточной части Западной Галиции, Буковины. Германские войска пытаются перейти в наступление в Восточной Пруссии, но терпят поражение под Гумбинненом. Провал этого наступления является началом провала плана Шлиффена. Германия оккупирует Брюссель. Австро-Венгрия объявляет войну Бельгии. Япония объявляет войну Германии. Битва при Краснике. Австро-венгерская Первая армия одерживает победу над русской 4-й армией Битва при Танненберге. Поражение русских войск. Немцы осаждают и захватывают крепость Мобёж. Япония объявляет войну Австро-Венгерской империи. Британские и французские войска оккупируют Тоголенд, колонию Германии в Западной Африке. Битва при Ле-Като. Отступление союзников. Галич-Львовская наступательная операция. Захват русскими войсками Львова. Битва при Циндао. Британские и японские войска захватывают порт Циндао — германскую колонию в Китае. КВМФ Великобритании одерживает победу в первом сражении в Гельголандском заливе. Битва при Сен-Кантене. Союзниками получен приказ отступать. Новая Зеландия оккупирует Германское (Западное) Самоа. Поражение австро-венгерских войск при Раве-Русской. Битва на Марне. Остановка немецкого наступления. Провал плана Шлиффена, предусматривавшего быстрый разгром Франции и последующее наступление на восточном фронте. Битва на Мазурских озёрах: русская армия с большими потерями отступает из Восточной Пруссии. Вторая попытка австро-венгерской армии вторгнуться на территорию Сербии, также окончившаяся неудачей. Теобальд фон Бетман-Гольвег провозглашает цели Германии в этой войне. Австралийские войска оккупируют Германскую Новую Гвинею. Южноафриканские войска вторгаются в Германскую Юго-Западную Африку. Сражение на Эне заканчивается ничьей. Начало периода Бег к морю. Эрих фон Фалькенхайн сменяет Хельмута Мольтке-младшего на посту главы германского генштаба. Начинается осада Перемышля. Англо-французские войска захватывают город Дуала (Камерун). Немецкие войска захватывают Антверпен (Бельгия). Битва на Висле (Варшавско-Ивангородская операция). Наступление германских войск отражено. Битва на Изере. Французские и бельгийские войска удерживают часть побережья Бельгии. Битва при Ипре завершает «Бег к морю». Предотвращен захват немецкой армией Кале и Дюнкерка. Сражение при Коронеле. Эскадра Максимилиана фон Шпее одерживает победу над силами британского флота под командованием Кристофера Крэдока. Страны Антанты объявляют войну Османской Империи (после обстрела русских черноморских портов турецкими кораблями). Первое сражение на Кавказском фронте. Окончилось безрезультатно для обеих сторон (Турция). Великобритания начинает морскую блокаду Германии. Немецкие колониальные войска под командованием фон Леттов-Форбека одерживают победу над британскими войсками в битве при Танга (Германская Восточная Африка). Австро-венгерские войска занимают Белград. Битва у Кокосовых островов. Австралийский крейсер «Сидней» уничтожает немецкий крейсер «Эмден». Лодзинская операция. Ни одна из сторон не добивается успеха. Колубарская битва. Сербские войска отбивают у австро-венгерских войск Белград. Битва у Фолклендских островов. Немецкая эскадра под командованием фон Шпее разбита КВМФ Великобритании. Немецкий флот обстреливает английские города Скарборо и Хартлпул. Русские войска одерживают победу в Сарыкамышском сражении. Кавказская армия освобождает Ардаган и принуждает Османские части к отступлению с оккупированных ранее территорий Российской империи. 
dataset/Dataset/data/1154378/table_1|2|127|событие|В состав колонии вошли Маршалловы острова. В состав колонии вошли Марианские острова. Остров Науру оккупирован Австралией. Австралия оккупирует архипелаг Бисмарка. Япония оккупирует Маршалловы острова. Япония оккупирует Каролинские острова. Япония оккупирует Марианские острова. Австралия оккупирует Землю кайзера Вильгельма, остров Бука и остров Бугенвиль. Германская Новая Гвинея оккупирована Австралией, переименована в Северо-Восточную Новую Гвинею. Австралия получает мандат Лиги Наций на управление Северо-Восточной Новой Гвинеей (новое название — Территория Новая Гвинея, ныне часть Папуа — Новая Гвинея). 
dataset/Dataset/data/115810/table_1|1|127|событие|Каннский кинофестиваль Кинопремия «Золотой глобус» Кинопремия «Независимый дух» Кинопремия «Независимый дух» Кинопремия «Независимый дух» Кинопремия «Независимый дух» Кинопремия «Независимый дух» 
dataset/Dataset/data/1322745/table_12|2|127|событие|Мужской одиночный Мужской одиночный Мужской одиночный Мужской одиночный 
dataset/Dataset/data/1326771/table_0|0|127|событие|Чемпионат мира по академической гребле 2007 Африканская Олимпийская квалификационная регата Латино-американская Олимпийская квалификационная регата Азиатская Олимпийская квалификационная регата Финальная Олимпийская квалификационная регата 
dataset/Dataset/data/1403447/table_0|3|127|событие|Подписал документ о преобразовании Юго-Осетинской автономной области в республику. 
dataset/Dataset/data/1477164/table_0|4|127|событие|Вступил на трон и был провозглашён первым чогьялом Сиккима. Установил столицу в Юксоме. Перенёс столицу из Юксома в Рабденце. Сводная сестра Чакдора попыталась свергнуть его. Пьядор бежал в Лхасу и вернул власть при помощи тибетцев. Нападения непальцев на Сикким. Непал захватил и разорил Рабденце, бывший столицей Сиккима. Чогьял бежал в Тибет и умер в изгнании. Перенёс столицу из Рабденце в Тумлонг. Заключил Титалийский мир между Сиккимом и Британской Индией, территории, ранее отошедшие Непалу, были возвращены Сиккиму. В 1835 году сиккимский район Дарджилинг был «подарен» Британской Индии, в связи с его присоединением к Британской империи возросла напряжённость. — Клод Уайт назначен в 1889 году политическим посланником в Сиккиме. В 1894 году столица перенесена из Тумлонга в Гангток. — В 1950 году подписан договор с Индией о протекторате Сиккима. Был непопулярен у населения. Вынужден был отречься в 1975 году после проведённого референдума. Был женат на гражданке США Хоуп Кук. Умер в 1982 году. Наследник трона, никогда не правил 
dataset/Dataset/data/1511803/table_4|3|127|событие|Фестиваль детской книги «ЛитераТула» Фильм «История одного назначения») — режиссер Авдотья Смирнова Ток-шоу «Игра в бисер» — литературовед Игорь Волгин  Книга Олега Павлова «Отсчет времени обратный» 
dataset/Dataset/data/1796217/table_0|1|127|событие|"В Кёнигсберге (Пруссия), в семье адвоката королевского суда Кристофа Людвига Гофмана и его кузины Ловизы Альбертины (урождённой Дёрфер), рождается второй сын — Эрнст Теодор Вильгельм Гофман. Родители Гофмана разводятся. Трёхлетний Эрнст вместе с матерью возвращается в дом своей бабушки, где и воспитывается под присмотром семьи Дёрферов. Старший брат Иоганн Людвиг остаётся с отцом. Умирает обожаемая тётя Фюсхен (Шарлотта Вильгельмина Дёрфер). Гофман посещает реформатскую школу в Кёнигсберге. Отца Гофмана переводят на службу в Инстербург. Гофман знакомится с Теодором Готлибом Гиппелем[en] (1775—1843). Их дружба будет продолжаться до самой смерти Гофмана. Гофман становится учеником соборного органиста и композитора Кристиана Подбельски и живописца Земана. Гофман поступает на юридический факультет Кёнигсбергского университета, продолжая семейные традиции. В свободное время он пишет, сочиняет музыку и рисует. Начинается роман Гофмана с замужней Дорой Хатт, которая старше его на 9 лет. Отъезд Гиппеля из Кёнигсберга. Гофман начинает переписку с ним. Гофман пишет романы «Корнаро, мемуары графа Юлиуса фон С.» и «Таинственный» (не сохранились) и в первый раз слушает «Дон Жуана» Моцарта. Круг его чтения в это время составляют сочинения Гроссе, Стерна, Жана Поля, Руссо и Шекспира. Продолжается тайный роман с Дорой Хатт. 22 июля Гофман сдаёт первый экзамен по юриспруденции и назначается судебным следователем при кёнигсбергском окружном управлении. В январе у Гофмана происходит конфликт с любовником Доры Хатт, и юноша хочет покинуть Кёнигсберг. Семья принимает решение отослать его в Глогау, к дяде по матери, И. Л. Дёрферу, крёстному отцу Эрнста. 13 марта умирает мать Гофмана. В июле он уезжает в Глогау, где знакомится с художником Алоисом Молинари и расписывает с ним местную иезуитскую церковь. Знакомство с И. фон Фоссом. Гофман начинает дружбу с чиновником и композитором Иоганном Хампе. 27 апреля умирает отец Гофмана, и в мае—июне он совершает поездку в Кёнигсберг. Короткая встреча в пути с Гиппелем. Последнее свидание и окончательный разрыв с Дорой Хатт. Помолвка Гофмана с кузиной Минной Дёрфер. 20 июня он с успехом сдаёт второй экзамен по юриспруденции и хлопочет о своём переводе в Берлин, на должность референдария апелляционного суда. В августе Гофмана переводят в Берлин. Он путешествует по Исполинским горам вместе со своим экзаменатором Ф. Г. Ягвицем и впервые увлекается азартной игрой. В конце августа Гофман через Дрезден возвращается в Берлин и селится сначала в пансионе, а затем в доме Дёрферов. Начинается дружба Гофмана с актёром и гитаристом Ф. фон Гольбейном. Гофман изучает композицию у Ф. Рейхардта. Гофман пишет музыку и текст трёхактного зингшпиля «Маска». В январе Гофман безуспешно хлопочет о постановке своего зингшпиля в Королевском национальном театре (нем. Königliches Nationaltheater). 27 марта он сдаёт третий экзамен по юриспруденции и в мае назначается на должность асессора в познаньском окружном суде. В начале лета Гофман путешествует вместе с Гиппелем в Потсдам, Лейпциг и Дрезден, а затем прибывает в Познань. На Рождество Гофман приезжает в Берлин, где знакомится с Жаном Полем, бывающим в доме Дёрферов. Гофман пишет зингшпиль «Шутка, хитрость и месть» на слова Гёте, который в Познани ставят на сцене. Жан Поль отправляет партитуру со своей рекомендацией Гёте. Гофман создаёт карикатуры на некоторых лиц познаньского высшего общества. В результате последовавшего за этим скандала Гофман переводится в порядке наказания в Плоцк. В начале марта Гофман разрывает помолвку с Минной Дёрфер и женится на польке Михалине Рорер-Тжчиньской (он нежно зовёт её Мишей). Летом юные супруги переезжают в Плоцк. Здесь Гофман остро переживает свою вынужденную изоляцию, он ведёт замкнутый образ жизни, пишет церковную музыку и произведения для фортепиано, изучает теорию композиции. Первая литературная публикация Гофмана: эссе «Письмо монаха своему столичному другу» напечатано 9 сентября в «Прямодушном». Безуспешная попытка участвовать в конкурсе Коцебу на лучшую комедию («Премия»). Гофман хлопочет о переводе в одну из западных провинций Пруссии. С 24 января до 15 февраля Гофман в последний раз гостит в Кёнигсберге, где встречается с Гиппелем и Мальхен Хатт, дочерью скончавшейся к тому времени Доры Хатт. В марте его переводят в Варшаву и назначают на должность правительственного чиновника; здесь начинается дружба Гофмана и Юлиуса Эдуарда Хитцига. В декабре Гофман создаёт двухактный зингшпиль «Весёлые музыканты» по тексту К. Брентано — и впервые на титульном листе партитуры появляется имя Амадей. Гофман пишет музыку к спектаклю Захарии Вернера «Крест на Балтике». «Весёлых музыкантов» ставят на сцене в Варшаве. 31 мая возникает «Музыкальное общество», и одним из его руководителей становится Гофман. В июле на свет появляется дочь Цецилия — первый и единственный ребёнок Гофмана. Гофман занимается оформлением дворца Мнишков, приобретённом «Музыкальным обществом», сам расписывает многие его помещения. На торжественном открытии дворца Гофман дирижирует своей симфонией ми-бемоль мажор. 28 ноября Варшаву занимают французы; прусские учреждения закрыты, и Гофман лишается должности. В январе Миша с Цецилией уезжают в Познань, к родственникам. Гофман селится в мансарде дворца Мнишков, ставшего резиденцией Дарю, и тяжело болеет. Срывается его переезд в Вену, и Гофман едет в Берлин, к Хитцигу, на помощь которого он очень рассчитывает. Гофман прибывает в Берлин 18 июня; должности у него нет, и он пытается зарабатывать на жизнь исключительно искусством. Начало нужды и голода. В середине августа в Познани умирает его дочь Цецилия. В середине апреля Гофман занимает должность капельмейстера в недавно открытом театре Бамберга. В начале мая у Гофмана возникает замысел «Кавалера Глюка»; в это время он очень остро нуждается. 9 июня Гофман уезжает из Берлина, посещает Хампе в Глогау и забирает Мишу из Познани. 1 сентября он прибывает в Бамберг, а 21 октября неудачно дебютирует как дирижёр в Бамбергском театре. Сохранив звание капельмейстера, Гофман слагает с себя обязанности дирижёра. На жизнь он зарабатывает частными уроками и случайными музыкальными сочинениями для театра. Публикация «Кавалера Глюка» во «Всеобщей музыкальной газете» (15 февраля); начало сотрудничества с этим изданием. В этом году Гофман знакомится с виноторговцем К. Ф. Кунцем, который станет позднее его первым издателем. В августе Гофман пишет фортепианное трио ми-мажор. Гофман выступает в качестве композитора, декоратора, драматурга, режиссёра и помощника директора Бамбергского театра, переживающего свой расцвет. Создание образа Иоганнеса Крейслера — alter ego Гофмана («Музыкальные страдания капельмейстера Крейслера»). Гофман даёт уроки пения Юлии Марк и влюбляется в свою ученицу. Она не догадывается о чувствах учителя. Гофман знакомится с К. М. фон Вебером. Гофман страстно влюблён в Юлию, что вызывает ревность его жены Миши. Родные устраивают помолвку Юлии. Гофман находится на грани безумия и помышляет о двойном самоубийстве. Первый замысел романа «Часы просветления некоего бедного музыканта». Много времени Гофман посвящает изучению натурфилософии и «животного магнетизма». 14 мая в Бамберге проездом оказывается Наполеон. Летом Гофман задумывает оперу «Ундина». 5 сентября, во время поездки в Поммерсфельден, Гофман порывает с семейством Марк, а 19 сентября начинает писать «Дон Жуана». В декабре Юлия Марк вступает в брак с купцом Грепелем. Фридрих де ла Мотт Фуке создаёт либретто к опере «Ундина». ""В феврале Гофмана приглашают на должность музыкального директора оперной труппы Йозефа Секонды. 18 марта он заключает издательский договор с Кунцем. 25 апреля Гофман приезжает в Дрезден, где встречает Гиппеля. 19 мая Гофман начинает писать «Магнетизёра», а 20 мая уезжает в Лейпциг, где находится оперная труппа Секонды, и приступает к исполнению обязанностей её директора. 24—25 июня вместе с труппой Гофман перебирается в Дрезден. Здесь он становится свидетелем битвы под городом (26—27 августа). 4 ноября Гофман дирижирует оперой Моцарта """"Волшебная флейта"""" в осаждённом Дрездене и вскоре начинает повесть-сказку «Золотой горшок». После поражения Наполеона (10 декабря) Гофман возвращается с труппой в Лейпциг."" 15 февраля Гофман заканчивает «Золотой горшок». Секонда увольняет Гофмана, обвинив его в некомпетентности. Гофман вновь нуждается и пытается заработать на жизнь антинаполеоновскими карикатурами и рецензиями для «Всеобщей музыкальной газеты». 5 марта он приступает к работе над романом «Эликсиры сатаны», с которым связывает надежды на улучшение своего финансового положения и называет его «эликсиром жизни». В начале мая выходят первые два тома «Фантазий в манере Калло». 5 августа Гофман завершает оперу «Ундина». В сентябре министерство юстиции Пруссии предлагает Гофману должность государственного чиновника, поначалу без оклада, и он соглашается. 26 сентября Гофман приезжает в Берлин, где знакомится с Фуке, Шамиссо, Тиком, Францем Хорном, Филиппом Фейтом. «Фантазии в манере Калло» пользуются популярностью, Гофмана приглашают в литературные салоны. Гофман больше не нуждается: он популярный автор альманахов и карманных изданий; не приносящая существенного дохода работа для «Всеобщей музыкальной газеты» прекращается. 27 мая «Ундина» принимается для постановки на сцене Национального театра. Гофман знакомится с Брентано и Эйхендорфом. 1 июля он арендует квартиру на Таубенштрассе, 31 (на Жандармском рынке), ставшую последним его пристанищем. Дружба с Девриентом. В сентябре выходит 1-й том «Эликсиров сатаны». Рушатся надежды Гофмана занять должность капельмейстера. 22 апреля он назначается советником апелляционного суда с окладом; Гофман смиряется со своими юридическими занятиями «хлеба насущного» ради. В мае выходит 2-й том «Эликсиров сатаны». Летом возникает его дружба с К. М. фон Вебером. 3 августа играют премьеру «Ундины»; музыка Гофмана имеет успех. Выходит в свет книга «Детские сказки» с текстами Гофмана, Контессы и Фуке, первая немецкая книга с литературными сказками для детей, она содержит текст сказки «Щелкунчик и Мышиный король». Начинают выходить в свет «Ночные рассказы» (до 1817 года). Восторженная рецензия К. М. фон Вебера на «Ундину» во «Всеобщей музыкальной газете». Финансовые дела Гофмана поправляются: он популярен как композитор и литератор; кроме того, он пользуется репутацией блестящего судьи апелляционного суда. 27 июля играют 14-е (последнее) представление «Ундины»; 29 июля пожар уничтожает театр, при этом сгорают декорации «Ундины». Дом, в котором живёт Гофман, также едва не становится жертвой огня. Гофман не заходит более в литературные салоны, вместо того он становится частым гостем питейных заведений, особенно винного погребка «Люттер и Вегнер». Гофман задумывает книгу «Мастера пения. Роман для друзей музыкального искусства» (не написана). Возникает замысел сборника рассказов «Серапионовы братья» (первоначально — «Серафимовы братья») и оперы «Любовник после смерти» по произведению Кальдерона, либретто к которой пишет Контесса. Весной Гофман тяжело болеет; у него появляется замысел «Крошки Цахеса». Летом Гофман заводит кота и называет его Мурр. В октябре писатель оканчивает рассказ «Мадемуазель де Скюдери». 14 ноября учреждается кружок «Серапионовых братьев», куда входят, помимо самого Гофмана, Хитциг, Контесса и Кореф. В январе в свет выходит 1-й том «Фантазий в манере Калло», в феврале — 1-й том «Серапионовых братьев». В мае Гофман начинает роман «Житейские воззрения кота Мурра». 1 октября он назначается членом «Непосредственной следственной комиссии по выявлению изменнических связей и других опасных происков»; в процессе работы комиссии в октябре—ноябре Гофман подготавливает судебные заключения с требованием об освобождении обвиняемых. В конце ноября Гофман поддерживает иск арестованного Фридриха Людвига Яна («отца гимнастического движения»), поданный против начальника полиции Кампца; нарастают разногласия «Непосредственной комиссии» с прусским правительством. В декабре выходит 1-й том «Кота Мурра». В феврале Гофман готовит решение по делу Фридриха Яна, требуя его освобождения. 23 марта писатель получает письмо от Бетховена с выражениями признательности. К началу лета Гофман оканчивает «Принцессу Брамбиллу». В сентябре—октябре в свет выходит 3-й том «Серапионовых братьев». Гофман делает перевод и перерабатывает либретто оперы «Олимпия». В августе Гофман приступает к работе над 2-м томом «Житейских воззрений кота Мурра» и к началу декабря заканчивает его. 8 октября его переводят в Верховный апелляционный сенат апелляционного суда с повышением оклада. В начале ноября Гофман посылает издателю Вильмансу первые страницы «Повелителя блох». Замысел романа «Предсвадебный медовый месяц Тимотеуса Шнельпфеффера» (не был написан). В ночь с 29 на 30 ноября у Гофмана умирает любимый кот Мурр, не дождавшись издания 2-го тома «Житейских воззрений» (середина декабря). Приблизительно 18 января Гофман тяжело заболевает. 23 января по распоряжению прусского правительства конфискованы рукопись и уже отпечатанные листы «Повелителя блох», а также переписка писателя с издателем. 31 января Кампц решает вопрос доказанности выдвинутых против Гофмана обвинений относительно насмешек над чиновниками и нарушения служебной тайны; он требует применить к Гофману строгое наказание. По ходатайству Гиппеля допрос Гофмана откладывается. 23 февраля больной Гофман диктует речь в свою защиту; 28 февраля он диктует окончание «Повелителя блох». 26 марта Гофман составляет завещание, вслед за этим у него наступает паралич. В апреле писатель диктует новеллу «Угловое окно». В свет выходит «Повелитель блох» (в урезанном варианте). Примерно 10 июня Гофман диктует рассказ «Враг» (оставшийся незаконченным) и анекдот «Наивность». 24 июня паралич достигает шеи. 25 июня в 11 часов утра Гофман умирает в возрасте 46 лет. "
