table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1485664/table_1|2|128|создатель|Хильдегарда Бингенская, немецкая монахиня Гонорий из Фив, вероятно, мифический автор Иоганн Пантеус, немецкий писатель Иоганн Тритемий, немецкий богослов Томас Мор, английский писатель Парацельс, швейцарский алхимик Генрих Корнелиус, немецкий алхимик Джон Ди, английский алхимик Джордж Салманазар, европейский авантюрист и учёный Дж. Р. Р. Толкин, английский писатель 
dataset/Dataset/data/1890298/table_3|1|128|создатель|Наталья Мирзоян, Джангир Сулейманов, Александра Аверьянова, Олег Мусин Алексей Лебедев, Инга Киркиж Оксана Осипова, Елена Фирсова Анна Мальгинова, Илья Попов, Анатолий Прохоров, Салават Шайхинуров, Игорь Шевчук Сергей Васильев, Марина Ланда Аркадий Муратов, Андрей Прядченко Игорь Яковель, Денис Душин Надежда Кузнецова Юлия Осетинская Илья Попов Анатолий Прохоров 
dataset/Dataset/data/1890298/table_3|0|128|создатель|Режиссёры Сценаристы Художники-постановщики Авторы идеи Композиторы Видеоинженеры Звукорежиссёры Директор картины Исполнительный продюсер Продюсер Художественный руководитель 
dataset/Dataset/data/2299606/table_2|1|128|создатель|Булат Окуджава Слова Маргарита Пушкина Музыка Сергей Попов Александра Павлова (Кошка Сашка) Композитор Александра Пахмутова Композитор Александра Пахмутова Композитор Александра Пахмутова Композитор Арно Бабаджанян Композитор Андрей Тарабукин Глеб Санников Сл. Сергей Есенин музыка Тихона Хренникова,слова Михаила Матусовского Музыка Александра Трушина. Слова Вадима Гудимова сл. Александра Иоффе Булат Окуджава Композитор Александра Пахмутова Слова Разумова Людмила Композитор и поэт Елена Суржикова Композитор Александра Пахмутова Композитор Александра Пахмутова Сл. Геннадий Шпаликов Сл. Геннадий Шпаликов Сл. Геннадий Шпаликов Тилль Линдеманн 
dataset/Dataset/data/2627169/table_3|0|128|создатель|Режиссёры Сценаристы Художники-постановщики Авторы идеи Композиторы Видеоинженеры Звукорежиссёры Директор картины Исполнительный продюсер Продюсер Художественный руководитель 
dataset/Dataset/data/2627169/table_3|1|128|создатель|Наталья Мирзоян, Джангир Сулейманов, Александра Аверьянова, Олег Мусин Алексей Лебедев, Инга Киркиж Оксана Осипова, Елена Фирсова Анна Мальгинова, Илья Попов, Анатолий Прохоров, Салават Шайхинуров, Игорь Шевчук Сергей Васильев, Марина Ланда Аркадий Муратов, Андрей Прядченко Игорь Яковель, Денис Душин Надежда Кузнецова Юлия Осетинская Илья Попов Анатолий Прохоров 
dataset/Dataset/data/2627183/table_3|0|128|создатель|Режиссёры Сценаристы Художники-постановщики Авторы идеи Композиторы Видеоинженеры Звукорежиссёры Директор картины Исполнительный продюсер Продюсер Художественный руководитель 
dataset/Dataset/data/2627183/table_3|1|128|создатель|Наталья Мирзоян, Джангир Сулейманов, Александра Аверьянова, Олег Мусин Алексей Лебедев, Инга Киркиж Оксана Осипова, Елена Фирсова Анна Мальгинова, Илья Попов, Анатолий Прохоров, Салават Шайхинуров, Игорь Шевчук Сергей Васильев, Марина Ланда Аркадий Муратов, Андрей Прядченко Игорь Яковель, Денис Душин Надежда Кузнецова Юлия Осетинская Илья Попов Анатолий Прохоров 
dataset/Dataset/data/2627183/table_4|0|128|создатель|Ведущий режиссёр Режиссёры серий Сценаристы Художники-постановщики Композиторы Видеониженеры Звукорежиссёры Директор картины Исполнительный продюсер Продюсер Художественный руководитель 
dataset/Dataset/data/2627183/table_4|1|128|создатель|Алексей Горбунов Светлана Мардаголимова, Александра Аверьянова, Анна Борисова, Наталья Мирзоян, Константин Бирюков, Джангир Сулейманов, Марина Мошкова, Алексей Минченок, Катерина Савчук, Екатерина Салабай, Екатерина Шутова, Роман Соколов, Андрей Бахурин Дмитрий Яковенко, Алексей Горбунов, Семён Воронин, Иордан Кефалиди, Антон Борисов Ольга Овинникова, Салават Шайхинуров, Наталья Тренихина, Антонина Шмелёва, Елена Фирсова, Лариса Половикова Сергей Васильев, Марина Ланда Аркадий Муратов, Андрей Прядченко Игорь Яковель, Денис Душин Надежда Кузнецова Юлия Осетинская Илья Попов Анатолий Прохоров 
