table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1129542/table_0|0|131|спорт|Академическая гребля Бокс Борьба Велоспорт Гольф Лакросс Лёгкая атлетика Перетягивание каната Плавание Прыжки в воду Рокки Спортивная гимнастика Стрельба из лука Теннис Тяжёлая атлетика Фехтование Футбол 
dataset/Dataset/data/1337557/table_2|0|131|спорт|Лёгкая атлетика Всего 
dataset/Dataset/data/1750638/table_0|0|131|спорт|Фигурное катание Лыжные гонки Биатлон Хоккей 
dataset/Dataset/data/1963101/table_1|3|131|спорт|академическая гребля тяжёлая атлетика пневматический пистолет с дистанции 10 м. пневматический пистолет с дистанции 50 м. малокалибреный пистолет тяжёлая атлетика борьба тройной прыжок биатлон прыжок в высоту бокс борьба каноэ тяжёлая атлетика тройной прыжок 100 м. бег с барьерами бокс Гребля на байдарках и каноэ (каяк) пневматический пистолет с дистанции 10 м. брасс тяжёлая атлетика тяжёлая атлетика борьба спортивная гимнастика (конь) спортивная гимнастика (перекладина) каноэ бокс тяжёлая атлетика тяжёлая атлетика борьба борьба борьба тяжёлая атлетика тяжёлая атлетика толкание ядра борьба академическая гребля академическая гребля академическая гребля академическая гребля борьба борьба бокс тяжёлая атлетика тяжёлая атлетика тяжёлая атлетика борьба борьба борьба борьба борьба борьба борьба 
dataset/Dataset/data/2732135/table_1|0|131|спорт|Лыжные гонки Фигурное катание Биатлон Хоккей с шайбой Фристайл Шорт-трек 
dataset/Dataset/data/597813/table_2|0|131|спорт|Спортивная гимнастика Лёгкая атлетика Борьба Плавание Тяжёлая атлетика Стрельба Дзюдо Фехтование Гребля на байдарках и каноэ Гандбол Художественная гимнастика Баскетбол Прыжки в воду Бокс Современное пятиборье Волейбол Теннис Стрельба из лука Академическая гребля Водное поло Всего 
dataset/Dataset/data/7816302/table_7|1|131|спорт|1 662 244 798 541 218 525 153 613 7590 
dataset/Dataset/data/7816302/table_7|2|131|спорт|1 840 000 1 907 000 720 000 450 000 нет данных 
dataset/Dataset/data/865322/table_2|11|131|спорт|3.0 1.0 2.0 4.0 10.0 6.0 5.0 12.0 13.0 17.0 9.0 14.0 17.0 7.0 16.0 8.0 15.0 11.0 
dataset/Dataset/data/865322/table_2|1|131|спорт|1. 2. 14. 16. 8. 3. - 11. 7. 12. 4. 13. 9. 15. 5. 17. 5. 10. 
dataset/Dataset/data/865335/table_1|1|131|спорт|1.0 2.0 4.0 3.0 13.0 6.0 5.0 11.0 7.0 10.0 8.0 9.0 12.0 16.0 17.0 14.0 15.0 18.0 
