table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1004164/table_2|1|132|спортсмен|Андрей Моисеев Россия 
dataset/Dataset/data/1038442/table_1|2|132|спортсмен|Майк Пауэлл Боб Бимон Карл Льюис Роберт Эммиян Ларри Майрикс Эрик Вальдер Дуайт Филлипс Ирвинг Саладино Иван Педросо Таджей Гейл 
dataset/Dataset/data/1038442/table_3|2|132|спортсмен|Галина Чистякова Джеки Джойнер-Керси Хайке Дрекслер Анишоара Кушмир Татьяна Котова Елена Белевская Инесса Кравец Татьяна Лебедева Елена Хлопотнова Мэрион Джонс Бриттни Риз 
dataset/Dataset/data/1190204/table_0|1|132|спортсмен|Владимир Балыбердин, Эдуард Мысловский Сергей Бершов, Михаил Туркевич Валентин Иванов, Сергей Ефимов Казбек Валиев, Валерий Хрищатый Валерий Хомутов, Владимир Пучков, Юрий Голодов 
dataset/Dataset/data/1248284/table_0|3|132|спортсмен|Усэйн Болт Усэйн Болт Флоренс Гриффит-Джойнер Флоренс Гриффит-Джойнер 
dataset/Dataset/data/1271214/table_1|1|132|спортсмен|Конрад Недзведский Иван Скобрев Энрико Фабрис Дмитрий Шепель Хавард Бокко Роберт Леманн Маттео Анези Эскил Эрвик Йохан Ройлер Себастьян Фалк 
dataset/Dataset/data/1271214/table_3|1|132|спортсмен|Эскил Эрвик Свен Крамер Энрико Фабрис Лассе Сетре Øystein Grødum Йохан Ройлер Хавард Бокко Ипполито Санфрателло Карл Верхейен Иван Скобрев 
dataset/Dataset/data/1324957/table_11|1|132|спортсмен|Биззи Мэдден на Аутентик Мередит Михаэльс-Бербаум на Шаттерфлай Родриго Пессоа на Руфусе Маклэйн Уорд на Шаппаэ Лудгер Бербаум на Олл Инклюзив Марк Хаутзагер на Опиум Ангелик Хорн на О’Брайане 
dataset/Dataset/data/1324957/table_7|1|132|спортсмен|Хинрих Ромайке на Мариусе Джина Майлс на Макинлей Кристина Кук на Майнерс Фролик Меган Джоунс на Айриш Джестере Ингрид Климке на Абраксасе Дидье Деннин на Исмин Ду Темпл Клейтон Фредерикс на Бен Элонг Тайме Андреас Дибовски на Баттс Леоне Карин Донкерс на Газель де ла Брассер Соня Джонсон на Рингвулд Ягуаре Мэри Кинг на Колл Эгейн Кавальере Уильям Фокс-Питт на Паркмор Эде Линда Алготссон на Стэнд Бай Ми Кэролин Пауэлл на Ленаморе Тим Липс на Онкарлосе Виттория Панидзон на Рок Модел Марк Тодд на Гэндальфе Катрин Норлинг на Пандоре Павел Списак на Вериуше Эрик Виженель на Коронадо Приор Остин О’Коннор на Хобби ду Ми Марсело Тоси на Супер Роки Сюзанна Бордоне на Аве Джо Мейер на Снипе Франк Остхольт на Мистер Медикотт Люсинда Фредерикс на Хидли Британния Шэйн Роз на Олл Лак Дэйзи Дик на Спринг Элонге Роберто Ротатори на Ирам де Виаже Сандра Доннелли на Буэнос Айресе Даг Альберт на Туббер Ребеле Джэффри Каррэн на Килкишене Луис Лаенс на Уотершип Даун Шэрон Хант на Танкерс Тауне Кайл Картер на Мэдисон Парке Тициана Реалини на Гаморе Петер Томсен на Гост оф Хэмиш Ниал Гриффин на Лоргэйне Джеферсон Морейра на Эскудейро Стефано Бреччиароли на Каппа Хилле Фабио Маньи на Саутерн Кинг V Ребекка Холдер на Куражеос Комет Патриция Райан на Фернхилл Кловер Мист Карен О’Коннор на Мандибе Селена О'Хэнлон на Коломбо Йорис ван Спрингел на Болд Экшн Андре Паро на Лэнд Хейре Валерий Мартышев на Кинжале Ёсиаки Ойва на Джорджеус Джордж Элен Томпкинс на Шугой Майк Уинтер на Кинг Пин Артур Сполович на Ваге Вячеслав Пойто на Энергии Алёна Телепушкина на Пассате Саманта Тэйлор на Лайфваэ Саманта Альберта на Бефо Ай Ду Ит Петер Фларуп на Сильвер Рэй Виктория Кэрлербак на Бэллис Джеронимо Магнус Гэллердал на Кеймастере Игорь Атрохов на Элькасаре Ярослав Хатла на Карле Сержио Иттурага на Лаго Рупанго Алекс Хуа Тян на Чико Эндрю Николсон на Лорд Киллингхёрст Сауло Тристао на Тотси Жан Рено Адде на Хастон д’Эльпежере Харальд Амброс на Квике Николя Тузен на Галан де Совежере Филлип Дуттон на Конно 
dataset/Dataset/data/1326141/table_0|2|132|спортсмен|Арис Мерритт Лю Сян 
