table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1281244/table_1|6|133|ссылка|                                                             [К 1]         [К 2]   [К 3]                [К 4] [К 5]  [К 6]  [К 7]     [К 8] [К 9] [К 10] [К 11]      [К 12] [К 13] [К 14]   [К 15]  [К 16] [К 17] [К 18] [К 19] [К 20] [К 20] [К 20] [К 21] [К 21] [К 21]    [К 22] [К 23] [К 24] [К 25] [К 26] [К 27] [К 28] [К 29] [К 30] [К 31] [К 32] [К 33]  [К 34] [К 35] [К 35] [К 36]   [К 37]   [К 38]  [К 39] [К 39] [К 39] [К 39] [К 40] [К 40] [К 40] [К 41] [К 42]       [К 43] [К 44]   [К 45]  [К 46]   [К 47]  [К 48]  [К 49] [К 50] [К 51] [К 52] [К 53] [К 54] [К 55] [К 56] [К 57] [К 57] [К 57] [К 58] [К 59] [К 59] [К 60] [К 61] [К 62] [К 63] [К 64] [К 65] [К 65] [К 65] [К 66] [К 66] [К 67] [К 68] [К 69]      
dataset/Dataset/data/1332783/table_2|6|133|ссылка|AniDBANN AniDB 
dataset/Dataset/data/1433448/table_2|2|133|ссылка|HU305835 HT947395 HU396285 HP631167 HU346135 HU389572 HU191557 HU502387 HZ208734 HU495842 HU393684 HP584078 HU553399 HT954375 HU417361 HU320652 HU388188 HU622935 HU275807 
dataset/Dataset/data/2360085/table_0|4|133|ссылка|Однополые браки в Дании Однополые браки в Норвегии Однополые браки в Швеции Однополые браки в Исландии Однополые браки в Дании Однополые браки в Нидерландах Гражданский договор солидарности Узаконенное сожительство в Бельгии Гражданские партнёрства в Германии Однополые браки в Финляндии Однополые браки в Люксембурге Гражданские партнёрства в Андорре Гражданские партнёрства в Андорре Гражданские партнёрства в Великобритании Гражданские партнёрства в Чехии Регистрация однополых пар в Словении Гражданские партнёрства в Швейцарии Гражданские партнёрства в Греции Однополые союзы в Венгрии Гражданские партнёрства в Австрии Однополые браки в Ирландии Гражданские партнёрства в Великобритании Гражданские партнёрства в Лихтенштейне Гражданские партнёрства в Великобритании Гражданские партнёрства в Великобритании Гражданские партнёрства на Мальте Однополые союзы в Хорватии Гражданские партнёрства на Кипре Гражданские партнёрства в Эстонии Гражданские партнёрства в Италии Гражданские союзы в Сан-Марино Договор о сожительстве в Монако Гражданские партнёрства в Черногории 
dataset/Dataset/data/2401569/table_2|2|133|ссылка|Carmina Libertatem N01 Carmina Libertatem N02 Carmina Libertatem N03 https://t.me/mrfreeman000/231 https://t.me/mrfreeman000/240 https://t.me/mrfreeman000/247 https://t.me/mrfreeman000/254 https://t.me/mrfreeman000/261 https://t.me/mrfreeman000/270 https://t.me/mrfreeman000/279 https://t.me/mrfreeman000/287 https://t.me/mrfreeman000/296 https://t.me/mrfreeman000/303 https://t.me/mrfreeman000/311 
dataset/Dataset/data/2604381/table_5|5|133|ссылка|AniDB AniDB 
dataset/Dataset/data/2683725/table_2|4|133|ссылка|отчёт отчёт отчёт отчёт отчёт отчёт отчёт отчёт отчёт отчёт 
dataset/Dataset/data/2684598/table_6|4|133|ссылка|отчёт отчёт отчёт отчёт отчёт отчёт отчёт отчёт отчёт отчёт отчёт отчёт отчёт 
dataset/Dataset/data/2787737/table_0|3|133|ссылка|              (недоступная ссылка)  
dataset/Dataset/data/287076/table_2|4|133|ссылка|[# 13] [# 13] [# 13] [# 13] [# 13] [# 13] [# 13] [# 13] [# 13] [# 13] [# 14] [# 14] [# 14] [# 14] [# 14] [# 14] [# 14] [# 14] [# 14] [# 14] [# 15] [# 15] [# 15] [# 15] [# 15] [# 15] [# 15] [# 15] [# 15] [# 15] [# 16] [# 16] [# 16] [# 16] [# 16] [# 16] [# 16] [# 16] [# 16] [# 16] [# 17] [# 17] [# 17] [# 17] [# 17] [# 18] [# 18] [# 18] [# 18] [# 18] [# 19] [# 19] [# 19] [# 19] [# 19] [# 20] [# 20] [# 20] [# 20] [# 20] [# 21] [# 21] [# 21] [# 21] [# 21] [# 22] [# 22] [# 22] [# 22] [# 22] 
dataset/Dataset/data/3100171/table_5|4|133|ссылка|отчёт отчёт отчёт отчёт отчёт отчёт отчёт отчёт 
dataset/Dataset/data/348432/table_0|8|133|ссылка| (недоступная ссылка)   Архивная копия от 22 октября 2008 на Wayback Machine        Архивная копия от 8 января 2008 на Wayback Machine             Архивная копия от 8 января 2008 на Wayback Machine  (недоступная ссылка)  
dataset/Dataset/data/3626247/table_1|5|133|ссылка|Видео Видео Видео Видео Видео Видео 
dataset/Dataset/data/386354/table_9|4|133|ссылка|[# 83] [# 83] [# 83] [# 83] [# 83] [# 83] [# 83] [# 83] [# 83] [# 83] [# 84] [# 84] [# 84] [# 84] [# 84] [# 84] [# 84] [# 84] [# 84] [# 85] [# 85] [# 85] [# 85] [# 85] [# 85] [# 85] [# 85] [# 85] [# 86] [# 86] [# 86] [# 86] [# 86] [# 86] [# 86] [# 86] [# 86] [# 87] [# 87] [# 87] [# 87] [# 87] [# 87] [# 87] [# 87] 
dataset/Dataset/data/3883133/table_2|4|133|ссылка|City By The Sea Criticized Different Way Never Let You Down 
dataset/Dataset/data/388922/table_4|4|133|ссылка|[# 33] [# 33] [# 33] [# 33] [# 33] [# 34] [# 34] [# 34] [# 34] [# 34] [# 35] [# 35] [# 35] [# 35] [# 35] [# 36] [# 36] [# 36] [# 36] [# 36] [# 37] [# 37] [# 37] [# 37] [# 37] [# 38] [# 38] [# 38] [# 38] [# 38] [# 39] [# 39] [# 39] [# 39] [# 39] [# 40] [# 40] [# 40] [# 40] [# 40] [# 41] [# 41] [# 41] [# 41] [# 41] [# 42] [# 42] [# 42] [# 42] [# 42] 
dataset/Dataset/data/4160413/table_0|3|133|ссылка|Portable Shade en:Ecru nl:Ecru lb:Ecru fr:Écru 
dataset/Dataset/data/4765859/table_6|5|133|ссылка|"«Удивительная история странной любви» 47px]][[File: 47px]]"" «Проснись, Сид»[en] «Дели-6»[en] «Папочка»[en]                                                  "
dataset/Dataset/data/4927740/table_6|4|133|ссылка|Видео на YouTube Видео на YouTube Видео на YouTube Видео на YouTube Видео на YouTube Видео на YouTube 
dataset/Dataset/data/5139772/table_2|8|133|ссылка|   [К 5] [К 5] [К 6] [К 6]   [К 7] [К 7] [К 7] [К 8] [К 8] [К 8] [К 9]      [К 10] [К 11] [К 11] [К 11]            
dataset/Dataset/data/5154977/table_0|7|133|ссылка|[К 1]  
dataset/Dataset/data/5270452/table_0|5|133|ссылка|  >        
dataset/Dataset/data/5620379/table_1|5|133|ссылка|         Матч не состоялся из-за проведения летних Олимпийских игр 2008 года в Пекине    Матч не состоялся из-за проведения летних Олимпийских игр 2012 года в Лондоне    Матч не состоялся из-за проведения летних Олимпийских игр 2016 года в Рио-де-Жанейро    Матч не состоялся из-за проведения летних Олимпийских игр 2020 года в Токио, которые из-за глобальной пандемии коронавирусной инфекции COVID-19 были перенесены на следующий год Матч не состоится из-за проведения летних Олимпийских игр 2020 года в Токио 
dataset/Dataset/data/5889889/table_0|8|133|ссылка|RFC 3551 RFC 3551, ранее RFC 1890 RFC 3551, ранее RFC 1890 RFC 3551 RFC 3551 RFC 3551 RFC 3551 RFC 3551 RFC 3551 RFC 3551 — Page 14 RFC 3551, Page 27 RFC 3551, Page 27 RFC 2658, RFC 3551 RFC 3389 RFC 3551, RFC 2250 RFC 3551 RFC 3551 RFC 3551 RFC 3551, Page 20 RFC 2029 RFC 2435 RFC 3551, Page 32 RFC 4587 RFC 2250 RFC 2250 RFC 3551, RFC 2190 RFC 3551, RFC 4629, RFC 2190 RFC 4629 RFC 6184, ранее RFC 3984 RFC 6190 draft-ietf-payload-rtp-h265 draft-barbato-avt-rtp-theora RFC 3952 RFC 5391 RFC 5391 draft-ietf-payload-rtp-g718 RFC 5404 RFC 5577 RFC 3551 RFC 3551 RFC 3551 RFC 3551 RFC 3551 RFC 3551 RFC 4749 RFC 3551 RFC 5993 RFC 4867 RFC 4867 RFC 4352 RFC 5215 RFC 7587 RFC 5574 RFC 5219 (ранее RFC 3119) RFC 6416 (ранее RFC 3016) RFC 6416 (ранее RFC 3016) RFC 3640 draft-ietf-payload-vp8 draft-uberti-payload-vp9 RFC 3551 Раздел 4.5.10 и Таблица 5 RFC 3190 Раздел 3 RFC 3551 раздел 4.5.11, RFC 2586 RFC 3190 раздел 4 RFC 3190 раздел 4 RFC 4175 RFC 4184 RFC 4598 RFC 4103 RFC 4788 RFC 4788 RFC 5188 RFC 5371 RFC 5686 RFC 5584 RFC 5584 RFC 5584 RFC 3189 RFC 3555 RFC 2343 RFC 3497 RFC 2198 RFC 3551 RFC 2250 RFC 2250 RFC 4733 RFC 4733 
dataset/Dataset/data/5939704/table_6|6|133|ссылка|[Указ 20] 
dataset/Dataset/data/6488609/table_15|4|133|ссылка|ПВРУ 1377-VIII ПВРУ 1377-VIII 
dataset/Dataset/data/6488609/table_6|4|133|ссылка|ПВРУ 984-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1037-VIII ПВРУ 1037-VIII ПВРУ 1037-VIII ПВРУ 1037-VIII ПВРУ 1353-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1353-VIII ПВРУ 1377-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1377-VIII ПВРУ 1037-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1377-VIII ПВРУ 1353-VIII ПВРУ 1377-VIII ПВРУ 1353-VIII ПВРУ 1377-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1353-VIII ПВРУ 1377-VIII ПВРУ 984-VIII ПВРУ 1037-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1037-VIII ПВРУ 1374-VIII ПВРУ 1353-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1037-VIII ПВРУ 1353-VIII ПВРУ 1037-VIII ПВРУ 1037-VIII ПВРУ 1037-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1037-VIII ПВРУ 1374-VIII ПВРУ 1037-VIII ПВРУ 1374-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1037-VIII ПВРУ 1377-VIII ПВРУ 1037-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1037-VIII ПВРУ 1377-VIII ПВРУ 1037-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1377-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1377-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1353-VIII ПВРУ 1037-VIII ПВРУ 1377-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1037-VIII ПВРУ 1377-VIII ПВРУ 1037-VIII ПВРУ 1037-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1377-VIII ПВРУ 1375-VIII ПВРУ 1037-VIII 
dataset/Dataset/data/6488884/table_10|4|133|ссылка|ПВРУ 1353-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 984-VIII ПВРУ 1377-VIII ПВРУ 984-VIII ПВРУ 984-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1037-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1037-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1353-VIII ПВРУ 1377-VIII ПВРУ 1353-VIII ПВРУ 984-VIII ПВРУ 1037-VIII ПВРУ 984-VIII 
dataset/Dataset/data/6488884/table_12|4|133|ссылка|ПВРУ 1377-VIII ПВРУ 984-VIII ПВРУ 1037-VIII ПВРУ 984-VIII ПВРУ 1377-VIII ПВРУ 1037-VIII ПВРУ 1037-VIII ПВРУ 1353-VIII ПВРУ 984-VIII ПВРУ 1037-VIII ПВРУ 1037-VIII ПВРУ 984-VIII ПВРУ 984-VIII ПВРУ 984-VIII ПВРУ 984-VIII ПВРУ 984-VIII ПВРУ 984-VIII ПВРУ 1037-VIII ПВРУ 984-VIII ПВРУ 1037-VIII ПВРУ 1037-VIII ПВРУ 1037-VIII ПВРУ 1353-VIII ПВРУ 1037-VIII ПВРУ 1037-VIII ПВРУ 1037-VIII ПВРУ 1037-VIII ПВРУ 1374-VIII ПВРУ 984-VIII ПВРУ 984-VIII ПВРУ 984-VIII ПВРУ 984-VIII ПВРУ 1037-VIII ПВРУ 1377-VIII ПВРУ 984-VIII ПВРУ 1353-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1353-VIII ПВРУ 984-VIII ПВРУ 1374-VIII ПВРУ 1468-VIII ПВРУ 1353-VIII 
dataset/Dataset/data/6488884/table_15|4|133|ссылка|ПВРУ 1377-VIII ПВРУ 1377-VIII 
dataset/Dataset/data/6488884/table_25|4|133|ссылка|ПВРУ 1037-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1037-VIII ПВРУ 1037-VIII ПВРУ 1037-VIII ПВРУ 1377-VIII ПВРУ 1037-VIII ПВРУ 1037-VIII ПВРУ 1377-VIII ПВРУ 1037-VIII ПВРУ 1377-VIII ПВРУ 1377-VIII ПВРУ 1037-VIII 
dataset/Dataset/data/6488884/table_27|4|133|ссылка|ПВРУ 1353-VIII 
dataset/Dataset/data/6885264/table_1|5|133|ссылка|Видео Видео Видео Видео Видео Видео 
dataset/Dataset/data/6900500/table_2|4|133|ссылка|Шоу на выживание  
dataset/Dataset/data/6976692/table_0|4|133|ссылка|Коричнево-малиновый es:Granate (color) en:Maroon (color) fr:Bordeaux (couleur) pl:Barwa kasztanowa de:Bordeauxrot Бордо (цвет) Бордовый en:Chestnut (color) Каштановый fr:Marron (couleur) fr:Châtain 
dataset/Dataset/data/722090/table_6|7|133|ссылка|МОК дисквалифицировал лыжника Александра Легкова и лишил его золотой и серебряной медалей. МОК дисквалифицировал лыжника Максима Вылегжанина и лишил его двух серебряных медалей. МОК дисквалифицировал скелетонистов Александра Третьякова и Елену Никитину и лишил их олимпийских медалей. МОК дисквалифицировал Александра Зубкова и лишил его двух золотых олимпийских наград. МОК дисквалифицировал Ольгу Фаткулину и лишил её серебряной медали. МОК дисквалифицировал Яну Романову и Ольгу Вилухину и лишил их олимпийских медалей. 1 декабря была пожизненно дисквалифицирована и лишена медали Ольга Зайцева. Спортивный арбитражный суд (CAS) аннулировал санкции МОК по отношению к Александру Легкову и вернул золотую и серебряную медали. CAS аннулировал санкции МОК по отношению к Максиму Вылегжанину и вернул две серебряных медали. CAS аннулировал санкции МОК по отношению к Александру Третьякову и Елене Никитиной и вернул золотую и бронзовую медали. CAS аннулировал санкции МОК по отношению к Ольге Фаткулиной и вернул серебряную медаль. Международный союз биатлонистов (IBU) признал биатлониста Евгения Устюгова виновным в нарушении антидопинговых правил, он мог быть лишён золотой медали в эстафете вместе с партнёрами по команде, однако данное решение не было утверждено МОК. CAS оправдал Яну Романову и Ольгу Вилухину, Вилухиной вернули медаль за спринтерскую гонку. Романова осталась без эстафетной медали из-за дисквалификации Зайцевой. 
dataset/Dataset/data/7303892/table_1|7|133|ссылка|  Архивная копия от 16 декабря 2014 на Wayback Machine     
dataset/Dataset/data/7671302/table_1|9|133|ссылка|[Прим. 1] [Прим. 2] 
dataset/Dataset/data/7714813/table_2|4|133|ссылка|http://www.tjtc.edu.cn/ http://www.tjyzh.cn/ http://www.tjsyxy.com/ http://www.tjbpi.com/ http://www.suoyuan.com.cn/ http://www.tjdz.net/ http://www.tjlivtc.edu.cn/ http://www.tjbhzy.com/ http://www.tjjingyuan.cn/ http://www.tjqnzyxy.cn/ http://www.tjgfxy.com.cn/ http://www.tjeti.com/ http://www.xdxy.com.cn/ http://www.tjtvc.com/ http://www.tedazj.com/ http://www.tjysxy.com/ http://www.tjcsxy.cn/ http://www.tjmvti.cn/ http://www.gmtj.com/ http://www.tjtdxy.cn/ http://www.tjmvi.cn/ http://www.tjchengjian.com/ http://www.tjgbys.com/ http://www.tcc1955.edu.cn/ http://www.tjvcs.cn/ http://www.tjbio.cn/ http://www.tqzyxy.com/ 
dataset/Dataset/data/7716010/table_1|5|133|ссылка|http://www.xjvu.edu.cn/ http://www.uvu.edu.cn/ http://www.xjqg.edu.cn/ http://www.xjtlgjjx.com/ http://www.xjsvtc.com/ http://www.xjxiandai.net/ https://www.xjtsxy.cn/ http://www.xjnyedu.com/ http://www.kzjsxy.net/ http://www.cjpt.cn/ http://www.xjnzy.edu.cn/ http://www.xjshzzy.com/ http://www.xjbtjx.com/ https://www.ylzyjs.cn/ http://www.xjumc.cn/ http://www.htszedu.cn/ 
dataset/Dataset/data/7790665/table_0|5|133|ссылка|Не финал Вечером в пятницу Целовать другого Твоє місто Тримай Мене Ми сховаємось Нехай Буде Сніг! Долонями Чому My Road Все Буде Добре 
dataset/Dataset/data/7835515/table_0|1|133|ссылка|http://www.training.belhard.com/ https://web.archive.org/web/20080313044447/http://www.ecdl.belhard.com/ http://www.jobs.belhard.com/ https://web.archive.org/web/20080203092125/http://www.shop.belhard.com/ http://www.service.belhard.com/ http://www.scada.belhard.com/ (недоступная ссылка) https://web.archive.org/web/20080307180330/http://www.pech.belhard.com/ 
dataset/Dataset/data/7868542/table_2|2|133|ссылка|Без ранга, один из 50 лучших 17 Без ранга, один из 6 лучших 2005 года 1 16 78 9 
dataset/Dataset/data/7985764/table_0|5|133|ссылка|http://www.whu.edu.cn https://www.hust.edu.cn/ http://www.hzau.edu.cn/ https://www.cug.edu.cn/ http://www.whut.edu.cn/ http://www.ccnu.edu.cn/ http://www.znufe.edu.cn/ http://www.ncwu.edu.cn/ http://www.hubu.edu.cn/ http://www.yangtzeu.edu.cn/ http://www.jhun.edu.cn/ http://www.ctgu.edu.cn/ http://www.wust.edu.cn/ http://www.hbut.edu.cn/ http://www.wit.edu.cn/ http://www.wtu.edu.cn/ http://www.whpu.edu.cn/ http://www.hbtcm.edu.cn/ https://www.hbnu.edu.cn/ http://www.hgnc.edu.cn/ http://www.hbmy.edu.cn/ http://www.hbuas.edu.cn/ Учан (Ухань) http://www.hifa.edu.cn http://www.huat.edu.cn/ http://www.hbeu.edu.cn/ http://www.hbpu.edu.cn/ http://www.hbust.com.cn/ http://www.hbmu.edu.cn/ http://www.hbpa.edu.cn/ http://www.whcm.edu.cn/ http://www.hbue.edu.cn/ http://www.whsw.net/ http://www.zjtu.edu.cn/ 
dataset/Dataset/data/8012943/table_152|9|133|ссылка|old-computers.com ID old-computers.com ID old-computers.com ID old-computers.com ID old-computers.com ID 
dataset/Dataset/data/8012943/table_87|9|133|ссылка|MobyGames game ID old-computers.com ID NinDB game ID old-computers.com ID 
dataset/Dataset/data/8273305/table_1|3|133|ссылка|Видео на YouTube Видео на YouTube Видео на YouTube Видео на YouTube Видео на YouTube Видео на YouTube Видео на YouTube Видео на YouTube Видео на YouTube Видео на YouTube 
dataset/Dataset/data/8440761/table_7|5|133|ссылка|                            Победа                   
dataset/Dataset/data/8778318/table_2|2|133|ссылка|HU305835 HT947395 HU396285 HP631167 HU346135 HU389572 HU191557 HU502387 HZ208734 HU495842 HU393684 HP584078 HU553399 HT954375 HU417361 HU320652 HU388188 HU622935 HU275807 
dataset/Dataset/data/8787900/table_1|4|133|ссылка|[# 4] [# 4] [# 4] [# 4] [# 4] [# 5] [# 5] [# 5] [# 5] [# 5] [# 5] [# 5] [# 5] [# 6] [# 6] [# 6] [# 6] [# 6] [# 6] [# 6] [# 6] [# 6] [# 6] [# 7] [# 7] [# 7] [# 7] [# 7] [# 7] [# 7] [# 7] [# 7] [# 7] [# 7] [# 7] [# 8] [# 8] [# 8] [# 8] [# 8] [# 8] [# 8] [# 8] [# 8] [# 8] [# 8] [# 8] [# 9] [# 9] [# 9] [# 9] [# 9] [# 9] [# 9] [# 9] [# 9] [# 9] [# 10] [# 10] [# 10] [# 10] [# 10] [# 10] [# 10] [# 10] [# 10] [# 10] [# 11] [# 11] [# 11] [# 11] [# 11] [# 11] [# 11] [# 11] [# 11] [# 11] [# 12] [# 12] [# 12] [# 12] [# 12] [# 12] [# 12] [# 12] [# 12] [# 12] 
dataset/Dataset/data/8787900/table_8|4|133|ссылка|[# 73] [# 73] [# 73] [# 73] [# 73] [# 74] [# 74] [# 74] [# 74] [# 74] [# 75] [# 75] [# 75] [# 75] [# 75] [# 76] [# 76] [# 76] [# 76] [# 76] [# 77] [# 77] [# 77] [# 77] [# 77] [# 78] [# 78] [# 78] [# 78] [# 78] [# 79] [# 79] [# 79] [# 79] [# 79] [# 80] [# 80] [# 80] [# 80] [# 80] [# 81] [# 81] [# 81] [# 81] [# 81] [# 82] [# 82] [# 82] [# 82] [# 82] [# 82] [# 82] [# 82] [# 82] [# 82] 
dataset/Dataset/data/8787904/table_3|4|133|ссылка|[# 23] [# 23] [# 23] [# 23] [# 23] [# 24] [# 24] [# 24] [# 24] [# 24] [# 25] [# 25] [# 25] [# 25] [# 25] [# 26] [# 26] [# 26] [# 26] [# 26] [# 27] [# 27] [# 27] [# 27] [# 27] [# 28] [# 28] [# 28] [# 28] [# 28] [# 29] [# 29] [# 29] [# 29] [# 29] [# 30] [# 30] [# 30] [# 30] [# 30] [# 31] [# 31] [# 31] [# 31] [# 31] [# 32] [# 32] [# 32] [# 32] [# 32] 
