table_id|column_id|label_id|label|column_data
dataset/Dataset/data/4510370/table_0|3|134|стадион|«Стад Жан-Доже» «Стад Андре-Мога» «Стад Амеде-Доменек» «Стад Лёдигер» «Стад Пьер-Антуан» «Парк де Спорт Марсель Мишлен» «Матмют Стадьом» «Стад Ив-дю-Мануа» «Стад дю Амо» «Стад Олимпик Ив-дю-Мануа» «Стад Марсель-Дефландр» «Стад Себастьен-Шарлети» «Стад Майоль» «Стад Эрнест-Валлон» 
dataset/Dataset/data/5408531/table_0|2|134|стадион|АНЗ Стэдиум, Сидней Санкорп Стэдиум, Брисбен АНЗ Стэдиум, Сидней Ансан Ва Стэдиум, Ансан Чхонан Стэдиум, Чхонан 
dataset/Dataset/data/4667713/table_0|5|134|стадион|Сэндай Саппоро Доум Мицудзава Нисикёгоку Левел-5 Хирацука Косэ Спортс Тосу Стэдиум Кэдзу Дэнки Наруто Атлетик Сикисима Ямагата Атлетик Парк 
dataset/Dataset/data/1732945/table_6|3|134|стадион|Республиканский, Киев «Шахтёр», Донецк «Динамо», Киев «Динамо», Киев «Шахтёр», Донецк 
dataset/Dataset/data/6800562/table_0|2|134|стадион|Шемрок-Парк, Портадаун, Северная Ирландия Мюрешёхус Арена, Векшё, Швеция Гамла-Уллеви, Гётеборг, Швеция 
dataset/Dataset/data/4994382/table_0|2|134|стадион|Уллевол Сёр Арена Уллевол Оросен Викинг Бранн Леркендал Алфхейм Скагерак Арена Брискеби Арена Фредрикстад Акер Колор Лайн Аспмира 
dataset/Dataset/data/4606111/table_0|2|134|стадион|Сан-Мартин де Поррес Гарсиласо де ла Вега Мансиш Элиас Агирре Мариано Мельгар Уанкайо Сьюдад де Кумана Национальный стадион Перу Мануэль Ривера Санчес Гарсиласо де ла Вега Монументаль У Карлос Видаурре Гарсия Эраклио Тапия Алехандро Вильянуэва Эроэс де Сан Рамон Иван Элиас Морено 
dataset/Dataset/data/1656468/table_2|2|134|стадион|«Черноморец», Одесса «Черноморец», Одесса «Черноморец», Одесса «Черноморец», Одесса «Ворскла» им. А. Бутовского, Полтава «Ворскла» им. А. Бутовского, Полтава «Арена Львов», Львов «Черноморец», Одесса «Черноморец», Одесса «Черноморец», Одесса «Черноморец», Одесса «Черноморец», Одесса НСК «Олимпийский», Киев 
dataset/Dataset/data/4964344/table_0|2|134|стадион|Юность Центральный стадион, Луч Стайки Химик Локомотив Припять Юность Локомотив Атлант Строитель Торпедо Трансмаш Городской стадион Химик Бумажник 
dataset/Dataset/data/6813118/table_0|3|134|стадион|«Мюррейфилд» «Туикенем» «Мюррейфилд» «Мюррейфилд» «Би-би-ви-эй Компасс Стэдиум» «Марио Кемпес» «Мюррейфилд» «Рагби Парк» «Мюррейфилд» «Мюррейфилд» «Авива» «Рагби Парк» «Мюррейфилд» «Стад де Франс» 
dataset/Dataset/data/6902056/table_0|2|134|стадион|Лаугардалсвёллур Каплакрики Акранесвёллур Коупавогсвёллур Хаустейнвёллур КР-Вёллур Кеблавикюрвёллюр Вальбьярнарвёллур Асвеллир Филькирсвёллур Гриндавикюрвёллур Яверк-Вёллуринн Акюрейрарфёллур Коринн Викингсвёллур Самсунг Вёллуринн Фьёльнисвёллур Оулафсвикюрвёллур Герц-Вёллуринн 
dataset/Dataset/data/7281222/table_0|2|134|стадион|Агьеман Баду Тема Спортс Баба Яра Лен Клей Голден Сити Парк Коронэйшен Парк Баба Яра Дансоман Парк ТНА Парк Лен Клей Ва Спортс Тамале Тема Спортс Кпандо Парк Охене Джан Роберт Менса 
dataset/Dataset/data/4140229/table_0|3|134|стадион|Ульм Турин 
dataset/Dataset/data/4774131/table_0|2|134|стадион|Сведбанк Гамла Уллеви Росунда Бурос-Арена Рамбергсваллен Берн Арена Олимпийский стадион Коппарваллен Олимпия Эрьянс Валль Гульдфогельн-Арена Идроттспаркен Фалькенберг Стрёмваллен Страндваллен Гримста 
dataset/Dataset/data/3098805/table_0|2|134|стадион|Фольксваген-Арена Альянс Арена Мерседес-Бенц-Арена Олимпийский ХСХ Нордбанк Арена Сигнал Идуна Парк Райн-Неккар-Арена1 Фельтинс-Арена Бай-Арена2 Везерштадион АВД-Арена Рейн Энерги Коммерцбанк-Арена rewirpowerSTADION Боруссия Парк Стадион дер Фройндшафт Вильдпарк Билефельд Альм 
dataset/Dataset/data/4309731/table_0|4|134|стадион|«Солджер филд», Чикаго «Солджер филд», Чикаго «Би-би-ви-эй Компасс Стэдиум», Хьюстон «Би-би-ви-эй Компасс Стэдиум», Хьюстон «Пи-пи-эл Парк» Филадельфия «Би-би-ви-эй Компасс Стэдиум», Хьюстон «Робертсон (стадион)», Хьюстон «Куалком Стэдиум», Сан-Диего «Авайя Стэдиум», Сан-Хосе «Бак Шо Стэдиум», Санта-Клара 
dataset/Dataset/data/2215341/table_0|2|134|стадион|Констант Ванден Сток Ян Брейдел Кёйпье Кристал Арена Жюль Оттен Олимпис стадион Регенбог Гюлден спорен Дакнам Веолиастадион Стад Ле Канонир Схирвелде Ян Брейдел Стайен Морис Дюфран Стад дю Пэи де Шарлеруа 
dataset/Dataset/data/258484/table_0|1|134|стадион|Ростсельмаш Ростсельмаш Ростсельмаш Ростсельмаш Ростсельмаш Олимп-2 
dataset/Dataset/data/7417999/table_13|4|134|стадион|Стэмфорд Бридж Хайбери 
dataset/Dataset/data/3077606/table_0|2|134|стадион|Сантьяго Бернабеу Аноэта Риасор Балаидос Месталья Камп Ноу Сан Мамес Бенито Вильямарин Сон Муа Рамон Санчес Писхуан Эль-Садар Висенте Кальдерон Ла-Росаледа Хосе Соррилья Эль-Мадригал Эль Сардинеро Олимпийский стадион Нуэво Коломбино Мендисорроса Тереса Риверо 
dataset/Dataset/data/7720893/table_0|2|134|стадион|Асим Ферхатович-Хасе (35 630) Под Белым Брьегом (25 000) Пецара (5 628) Грбавица (12 100) Городской стадион (6 000) Стадион Рудара (Какань) (5 000) Билино Поле (15 292) Тушань (9 000) Городской стадион (5 000) Тушань (7 200) Городской стадион (3 500) Перица — Перо Павлович (5 000) 
dataset/Dataset/data/1893990/table_1|3|134|стадион|Олд Траффорд Фраттон Парк Сити оф Манчестер Олд Траффорд Олд Траффорд Гудисон Парк Олд Траффорд Сент-Эндрюс Олд Траффорд Вилла Парк Олд Траффорд Эмирейтс Олд Траффорд Хоторнс Олд Траффорд Олд Траффорд Энфилд Олд Траффорд Стэдиум оф Лайт Болейн Граунд Олд Траффорд Олд Траффорд Мадейски Олд Траффорд Уайт Харт Лейн Олд Траффорд Сент-Джеймс Парк Крейвен Коттедж Прайд Парк Олд Траффорд Олд Траффорд Олд Траффорд Риверсайд Олд Траффорд Ивуд Парк Стэмфорд Бридж Олд Траффорд Джей-джей-би 
dataset/Dataset/data/4209359/table_0|2|134|стадион|Альберто Бралья Маркантонио Бентегоди Армандо Пикки Карло Кастеллани Сильвио Пиола Марио Ригамонти Франко Оссола Альберто Бралья Либеро Либерати Сан-Никола Эуганео Эцио Шида Альберто Пикко Дино Мануцци Пьерчезаре Томболато Ромео Менти Оресте Гранилло Гвидо Бьонди Ромео Менти Чино е Лилло Дель Дука Сильвио Пиола Карло Дзеккини 
dataset/Dataset/data/5819348/table_0|2|134|стадион|Базалы, Острава, Чехия Бежиград (стадион), Любляна, Словения Бонифика, Копер, Словения Бежиград (стадион), Любляна, Словения Бежиград (стадион), Любляна, Словения Гонконг Чеджу Ворлд Кап Стэдиум, Согвипхо, Южная Корея 
dataset/Dataset/data/5003751/table_0|5|134|стадион|Сентенарио Национале ПНФ Ив дю Мануар Маракана Ванкдорф Росунда Национальный стадион Уэмбли Ацтека Олимпийский стадион Монументаль Сантьяго Бернабеу Ацтека Олимпийский стадион Роуз Боул Стад де Франс Международный стадион Йокогама Олимпийский стадион Соккер Сити Маракана Лужники 
dataset/Dataset/data/7962322/table_0|2|134|стадион|Кемаль Стафа (21 700) Зекир Юмери (5 000) Нико Дована (12 040) Скендербеу (12 000) Фламуртари (8 210) Лачи (5 000) Селман Стёрмаши (12 500) Гирокастра (8 400) Лоро Боричи (17 000) Адуш Муча (5 200) 
dataset/Dataset/data/3238529/table_3|1|134|стадион|Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд Энфилд 
dataset/Dataset/data/6108710/table_1|6|134|стадион|Вальдштадион 
dataset/Dataset/data/4541022/table_1|1|134|стадион|Олимпийский Городской Ратина Купиттаа 
dataset/Dataset/data/3383870/table_0|2|134|стадион|Стад Франсуа Коти Шабан-Дельмас Стад Франсис Ле Бле Стад дю Эно Стад Гастон Жерар Мишель д’Орнано Лилль-Метрополь Стад Жерлан Стад де Мустуар Велодром Стад де ля Моссон Марсель Пико Стад де Рей Аббе-Дешам Парк де Пренс Рут де Лорьян Стадион Жеффруа Гишара Стадион Огюста Бонали Стадьом де Тулуз Парк де Спорт 
dataset/Dataset/data/4232761/table_0|3|134|стадион|Металлург Соглом Авлод ЖАР Бухара Олимпия Прогресс Локомотив им. Б. Вафоева Металлург Навбахор Насаф Фергана Пахтакор Гузар 
dataset/Dataset/data/1732957/table_5|2|134|стадион|«Локомотив», Симферополь Республиканский, Киев 
dataset/Dataset/data/2588830/table_0|2|134|стадион|«Райнпарк», Вадуц (д) «Лаугардалсвёллур», Рейкьявик (г) 
dataset/Dataset/data/3672566/table_0|2|134|стадион|«Ergani» «Alexander Melathro» «Philadelphia» «Alexandra Avenue» «New Smyrna» «Municipal Athletic Center Kalamarias» «Hesperus» «Zofrias» «P.A.O.K. Sports Arena» «St. Demetrios» «Covered Strefi» «Ptolemais» 
dataset/Dataset/data/363120/table_1|1|134|стадион|Стадион короля Бодуэна, Брюссель (г) Хэмпден Парк, Глазго (г) Олимпийский стадион, Серравалле (д) Олимпийский стадион, Серравалле (д) Виктория, Гибралтар (г) Олимпийский стадион, Серравалле (д) Стожице, Любляна (г) Райнпарк, Вадуц (г) Олимпийский стадион, Серравалле (д) Олимпийский стадион, Серравалле (д) 
dataset/Dataset/data/4939674/table_0|2|134|стадион|Ричмонд Парк Шоуграундс Талла стэдиум Брэндивел Толка Парк Тернерс Кросс Анки Дорис Парк Фин-парк ЮКД Боул Далимаунт-Парк Баклей Парк Ориэль Парк 
dataset/Dataset/data/620433/table_10|4|134|стадион|HSBC Arena HSBC Arena Madison Square Garden Madison Square Garden HSBC Arena Madison Square Garden 
dataset/Dataset/data/8072269/table_0|2|134|стадион|Балтика Центральный Арена Химки ЦентральныйФутбол-Арена «Енисей» МСА «Петровский» Кубань Динамо Старт Нефтехимик СпартакЗаря им. Ленина Локомотив Стадион академии имени Черенкова Спартак Спартак Электрон (Великий Новгород) Геолог Центральный стадион профсоюзов Арена ХимкиРодинаНовые Химки Шинник 
dataset/Dataset/data/3558949/table_0|3|134|стадион|Уфа-Арена, Уфа Уфа-Арена, Уфа Арена Омск, Омск Арена Омск, Омск MTS Centre, Виннипег Credit Union Centre, Саскатун Enmax Centrium, Ред-Дир General Motors Place, Ванкувер 
dataset/Dataset/data/7632632/table_0|2|134|стадион|стадион «Фандок» Стадион ГОСК «Брестский» стадион «Локомотив» стадион ГрГУ стадион «Центральный»стадион «Спартак» (Могилёв) КФП «Смена» (Минск) стадион «Текстильщик» Стадион «Локомотив»Стадион «Центральный» (Болбасово) Стадион ЦСКстадион «ДЮСШ» (Витебск) 
dataset/Dataset/data/3268712/table_3|2|134|стадион|Сан-Сиро Олимпийский Сан-Паоло Артемио Франки Маркантонио Бентегоди Фриули Ювентус Стэдиум Виа дель Маре Ренато Даль-Ара Ренцо Барбера Луиджи Феррарис Эннио Тардини Атлети Адзурри д’Италия Дино Мануцци Сан-Элия Анджело Массимино Сильвио Пиола Артемио Франки 
dataset/Dataset/data/6303197/table_0|0|134|стадион|Комуналь д’Андорра-ла-Велья Сентре Эспортиу д'Алас Камп д'Эспортс д'Ордино 
dataset/Dataset/data/4745952/table_0|2|134|стадион|Наири (Ереван) Касахи Марзик (Аштарак) Бананц (Ереван) Гандзасар (Капан) Айг (Арарат) Городской (Абовян) Мика (Ереван) Пюник (Ереван) Городской (Абовян) Касахи Марзик (Аштарак) 
dataset/Dataset/data/5012898/table_1|5|134|стадион|Республиканский Республиканский Республиканский Республиканский НСК «Олимпийский» НСК «Олимпийский» НСК «Олимпийский» НСК «Олимпийский» НСК «Олимпийский» НСК «Олимпийский» НСК «Олимпийский» НСК «Олимпийский» НСК «Олимпийский» НСК «Олимпийский» НСК «Олимпийский» НСК «Олимпийский» ОСК «Металлист» «Днепр-Арена» ОСК «Металлист» «Юбилейный» НСК «Олимпийский» ОСК «Металлист» «Ворскла» им. А.Бутовского НСК «Олимпийский» «Арена Львов» ОСК «Металлист» «Днепр-Арена» «Славутич-Арена» ОСК «Металлист» Городской им. Р. Шухевича 
