table_id|column_id|label_id|label|column_data
dataset/Dataset/data/3817128/table_0|2|135|стандарт|ISO/IEC 7810:2003, ID-1 ISO/IEC 7810:2003, ID-000 ETSI TS 102 221 V9.0.0, Mini-UICC ETSI TS 102 221 V11.0.0 JEDEC Design Guide 4.8, SON-8 
dataset/Dataset/data/6011779/table_5|1|135|стандарт|GSM GPRS EDGE HSDPA LTE 
dataset/Dataset/data/3301551/table_0|0|135|стандарт|A B C D E F G H I J K K' L M N 
dataset/Dataset/data/3990523/table_7|2|135|стандарт|CSA FT6 или NFPA 262 (UL 910) UL 1666 CSA FT4 UL 1685 (UL 1581, Sec. 1160) Vertical-Tray UL 1581, Sec. 1080 (VW-1) CSA FT1 
dataset/Dataset/data/456693/table_11|3|135|стандарт|C90[j] C99 C99 C90[j] C99 C99 C90[j] C90[j] C90[j] C99 C99 C90[j] C90[j] C99 C99 C90[j] C99 C99 C90[j] C99 C99 C99 C99 C99 C99 C99 C99 C99 C99 C99 C99 C99 C99 C99 C99 
dataset/Dataset/data/456684/table_13|2|135|стандарт|IEC 60559 (IEEE 754), расширение F стандарта Си[k], число одинарной точности IEC 60559 (IEEE 754), расширение F стандарта Си[k], число двойной точности зависит от реализации зависит от базового типа зависит от базового типа 
dataset/Dataset/data/703522/table_6|2|135|стандарт|C89 C89 C89 C89 C89 C89 C89 C89 C89 C89 C89 C89 C89 C89 C89 C89 C89 C89 C89 C89 C99 C99 C99 C99 C11 C11 C11 C11 C11 C11 C11 
dataset/Dataset/data/6837133/table_0|10|135|стандарт|— — 336—623 342—617 371—588 
dataset/Dataset/data/651618/table_0|1|135|стандарт|H.120 H.261 MPEG-1 Part 2 H.262/MPEG-2 Part 2 H.263 MPEG-4 Part 2 H.264/MPEG-4 AVC VC-2 (Dirac) H.265 
dataset/Dataset/data/83/table_2|2|135|стандарт|GSM, UMTS, LTE GSM, UMTS, LTE GSM, UMTS, LTE CDMA2000 GSM, UMTS, LTE LTE 
dataset/Dataset/data/1536154/table_0|0|135|стандарт|A B C D E F G H I J K K' L M N 
dataset/Dataset/data/281418/table_0|3|135|стандарт|ISO/IEC 14496-3:2001/Amd 1:2003 ISO/IEC 14496-3:2005/Amd 2:2006 
dataset/Dataset/data/6247236/table_9|1|135|стандарт|Швеция Нюрнберг Люцерн Польша 
dataset/Dataset/data/7616624/table_2|1|135|стандарт|802.3ak-2004(CL48/54) 802.3ap-2007(CL48/71) 802.3ae-2002(CL48/53) 802.3ae-2002(CL48/53) 802.3ae-2002(CL50/52) 802.3ae-2002(CL50/52) 802.3ae-2002(CL50/52) 802.3ae-2002(CL50/52) 802.3ae-2002(CL50/52) 802.3ae-2002(CL50/52) проприетарный(не описан IEEE) SFF-8431(2006) 802.3ap-2007(CL49/72) 802.3ae-2002(CL49/52) 802.3ae-2002(CL49/52) 802.3ae-2002(CL49/52) 802.3ae-2002(CL49/52) проприетарный(не описан IEEE) проприетарный(не описан IEEE) проприетарный(не описан IEEE) проприетарный(не описан IEEE) 802.3ae-2002(CL49/52) 802.3aq-2006(CL49/68) 802.3aq-2006(CL49/68) 802.3ae-2002(CL49/52) проприетарный (не описан IEEE) 802.3av-2009 
dataset/Dataset/data/3234334/table_0|7|135|стандарт|b/g b/g b (maybe wlan must be replaced to work) b/g b/g b/g b/g b/g/n b/g b/g b/g b/g b/g b/g b/g b/g/n b/g/n b/g/n b/g/n b/g/n b/g/n b/g/n b/g/n b/g/n b/g/n b/g/n b/g/n b/g/n b/g/n b/g/n b/g/n b/g/n b/g/n b/g/n a/b/g/n/ac a/b/g/n/ac a/b/g/n a/b/g/n a/b/g/n a/b/g/n/ac a/b/g/n a/b/g/n a/b/g/n a/b/g/n/ac 
dataset/Dataset/data/10776/table_1|0|135|стандарт|ISO 639-1 ISO 639-2 ISO 639-3 ISO 639-4 ISO 639-5 ISO 639-6 
dataset/Dataset/data/6358493/table_0|3|135|стандарт|DVB-SMPEG-2 DVB-S28PSKMPEG-4 
dataset/Dataset/data/620449/table_0|2|135|стандарт|GSM, UMTS, LTE GSM, UMTS, LTE GSM, UMTS GSM, UMTS, LTE 
dataset/Dataset/data/456693/table_13|2|135|стандарт|IEC 60559 (IEEE 754), расширение F стандарта Си[k], число одинарной точности IEC 60559 (IEEE 754), расширение F стандарта Си[k], число двойной точности зависит от реализации зависит от базового типа зависит от базового типа 
