table_id|column_id|label_id|label|column_data
dataset/Dataset/data/3213857/table_0|0|136|станция|Синдзюку(Синсэн-Синдзюку) Хацудай Хатагая Сасадзука 
dataset/Dataset/data/3338600/table_0|0|136|станция|Тиба Хигаси-Тиба Цуга Йоцукайдо Монои Сакура Минами-Сисуи Энокидо Ятимата Хюга Наруто Мацуо Йокосиба Иигура Ёкаитиба Хигата Асахи Ииока Курахаси Саруда Мацугиси Тёси 
dataset/Dataset/data/3818264/table_0|1|136|станция|Сэнгакудзи Синагава Китасинагава Симбамба Аомоно-Ёкотё Самэдзу Татиайгава Омори-Кайган Хэйвадзима Оморимати Умэясики Кэйкю-Камата Дзосики Рокугодотэ Кэйкю-Кавасаки Хаттёнаватэ Цуруми-Итиба Кэйкю-Цуруми Кагэцу-содзидзи Намамуги Кэйкю-Синкоясу Коясу Канагава-Симмати Кэйкю Хигаси-канагава Канагава Иокогама Тобэ Хинодэтё Коганэтё Минами-Ота Идогая Гумёдзи Ками-Оока Бёбугаура Сугита Кэйкю-Томиока Нокэндай Канадзава-Бунко Канадзава-Хаккэй Оппама Кэйкю-Таура Андзиндзука Хэми Сиоири Йокосука-Тюо Кэнрицу-Дайгаку Хориноути Кэйкю-Оцу Мабори-Кайган Урага 
dataset/Dataset/data/8639209/table_0|2|136|станция|ЗИЛ ЗИЛ Технопарк Кленовый бульвар Бирюлёво-Пассажирская 
dataset/Dataset/data/2490209/table_3|0|136|станция|Окая Кавагиси Тацуно Синано-Кавасима Оно Сиодзири 
dataset/Dataset/data/1144766/table_1|0|136|станция|Волковская Бухарестская Гражданский проспект Кировский завод Купчино Купчино Купчино Ладожская Ленинский проспект Обухово Парнас Площадь Александра Невского Политехническая Проспект Просвещения Итого: 
dataset/Dataset/data/3723116/table_2|2|136|станция|Фурманов в сторону Иваново 
dataset/Dataset/data/7296975/table_8|2|136|станция|1 1 1 2 3 9 3 4 10 5 9 
dataset/Dataset/data/1315049/table_0|2|136|станция|Харьков Львов 
dataset/Dataset/data/2317266/table_0|3|136|станция|1989.0 2017.0 
