table_id|column_id|label_id|label|column_data
dataset/Dataset/data/8439991/table_3|0|137|статистика|Голов забито Всего ударов Удары в створ ворот Сейвы Процент владения мячом Угловые Нарушения Офсайды Жёлтые карточки Красные карточки 
dataset/Dataset/data/4588066/table_4|3|137|статистика|21.5 10.2 5.0 2.9 1.5 
dataset/Dataset/data/4261457/table_6|35|137|статистика|ЧМ Эстерсунд МС 12 
dataset/Dataset/data/266550/table_1|7|137|статистика|Отборочные матчи ЧЕ Голы 0 1 0 0 0 0 2 0 0 0 2 0 0 5 
dataset/Dataset/data/4574403/table_2|3|137|статистика|283 54 423 859 
dataset/Dataset/data/266369/table_1|2|137|статистика|Финальные матчи ЧМ Игры 0 0 0 0 0 6 0 0 0 0 0 0 0 6 
dataset/Dataset/data/355876/table_1|0|137|статистика|Статистика Нью-Джерси Американс/Нью-Йорк Нетс в регулярном сезоне АБА (1967–1976) Статистика Нью-Джерси Американс/Нью-Йорк Нетс в плей-офф АБА (1967–1976) Статистика Нью-Йорк Нетс/Нью-Джерси Нетс/Бруклин Нетс в регулярном сезоне НБА (1976–2020) Статистика Нью-Йорк Нетс/Нью-Джерси Нетс/Бруклин Нетс в плей-офф НБА (1976–2020) Статистика выступлений в регулярном сезоне (1967–2020) Статистика выступлений в плей-офф (1967–2020) Всего статистика выступлений 
dataset/Dataset/data/4261457/table_6|8|137|статистика|Хохфильцен Пр 3 
dataset/Dataset/data/5825202/table_1|4|137|статистика|Отборочные матчи ЧМ Голы 1 1 0 0 0 0 0 2 0 4 
dataset/Dataset/data/4261457/table_6|18|137|статистика|Рупольдинг МС 5 
dataset/Dataset/data/4732227/table_0|0|137|статистика|Число лиц (суммарно),заключивших договор Число лиц (суммарно),расторгнувших договор Число лиц, заключивших договор с лицом противоположного пола Число лиц,расторгнувших договор с лицом противоположного пола Число лиц,заключивших договор с лицом своего пола Число лиц,расторгнувших договор с лицом своего пола 
dataset/Dataset/data/4261465/table_8|30|137|статистика|Нове-Место Эст — 
dataset/Dataset/data/266545/table_1|7|137|статистика|Отборочные матчи ЧЕ Голы 0 1 0 0 0 0 2 0 0 0 2 0 0 5 
dataset/Dataset/data/3612336/table_0|13|137|статистика|1991 32 
dataset/Dataset/data/4444457/table_4|3|137|статистика|284 153 105 284 43 626 920 345 
dataset/Dataset/data/4261463/table_0|21|137|статистика|ЧМ Нове-Место См — 
dataset/Dataset/data/4261457/table_4|17|137|статистика|Рупольдинг Спр — 
dataset/Dataset/data/4261465/table_7|33|137|статистика|Контиолахти Спр 4 
dataset/Dataset/data/4261465/table_8|25|137|статистика|ЧМ Поклюка Пр — 
dataset/Dataset/data/4261465/table_8|39|137|статистика|Эстерсунд МС 4 
dataset/Dataset/data/4261457/table_5|31|137|статистика|Контиолахти МС — 
dataset/Dataset/data/4261457/table_1|28|137|статистика|Поклюка Пр — 
dataset/Dataset/data/6920509/table_5|2|137|статистика|63 – 17 13 7 4 21 16 16 – 
dataset/Dataset/data/7982644/table_1|2|137|статистика|Грузы (тонн) 474 47,6 ▲ 48,5 ▲ 65,6 ▲ Источники: 
dataset/Dataset/data/8042127/table_5|0|137|статистика|Забито голов Удары по воротам Удары в створ Сейвы Владение мячом Угловые Нарушения правил Офсайды Жёлтные карточки Красные карточки 
dataset/Dataset/data/5828972/table_1|3|137|статистика|Лига чемпионов Матчи/Голы 2 / 0 7 / 3 11 / 4 11 / 1 4 / 2 35 / 10 
dataset/Dataset/data/4261465/table_1|3|137|статистика|Эстерсунд Инд 17 
dataset/Dataset/data/5512055/table_1|3|137|статистика|Еврокубки Матчи/Голы 1 / 0 6 / 2 3 / 0 0 / 0 5 / 0 7 / 1 0 / 0 2 / 0 6 / 1 2 / 0 32 / 4 
dataset/Dataset/data/692911/table_0|14|137|статистика|Источник: 
dataset/Dataset/data/4261465/table_0|23|137|статистика|ЧМ Нове-Место Пр — 
dataset/Dataset/data/5901486/table_0|8|137|статистика|1970 2215 Источник: 
dataset/Dataset/data/4261457/table_2|9|137|статистика|Поклюка Спр 30 
dataset/Dataset/data/692911/table_0|1|137|статистика|1950 1156 Источник: 
dataset/Dataset/data/1257438/table_3|5|137|статистика|ВсегоМатчи / Голы 36 / 4 54 / 15 41 / 10 131 / 21 
dataset/Dataset/data/4261463/table_8|15|137|статистика|Обрехоф См — 
dataset/Dataset/data/5914884/table_0|2|137|статистика|Кубок Бразилии Матчи/Голы 0 / 0 0 / 0 ? / ? ? / ? ? / ? ? / ? ? / ? 
dataset/Dataset/data/7826153/table_1|3|137|статистика|25—34 1504 186 1690 
dataset/Dataset/data/6477130/table_4|3|137|статистика|18.9 11.4 6.3 2.9 1.9 
dataset/Dataset/data/6402639/table_1|7|137|статистика|Итого Игры 3 6 3 9 4 3 0 10 1 39 
