table_id|column_id|label_id|label|column_data
dataset/Dataset/data/4334759/table_7|4|139|статья|Ст. 1 протокола № 1 3 (процесс.) 2, 3 (в отношении заявительницы), 5, 8, 13 2, 3, 5, 13 2, 3, 5, 13 8, 13 (в сочетании со ст. 8) 2 (материальное и процедурное), 3, 5, 13 (в сочетании со ст. 2) 2, 3, 5, 13 2, 3, 5, 13 2 (процессуально) 2, 13 2, 3, 5, 13, ст. 1 протокола № 1 2, 3, 5, 13 2, 3, 5, 13 2, 3, 5, 13 
dataset/Dataset/data/2739525/table_0|4|139|статья|Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт 
dataset/Dataset/data/6968691/table_0|0|139|статья|Корпус и оборудование Бронирование Энергетическая установка Вооружение артиллерийское Вооружение торпедное Снабжение (вкл. запасы воды) Нормальный запас топлива 
dataset/Dataset/data/4334759/table_3|5|139|статья|2 (материальный аспект — в отношении Исраилова и Юнусова), 3, 5 (в отношении Исраилова и Юнусова) Нет 34 2 (матер.) Нет Нет 3, 13 (в связи со ст. 3), 34 Нет Нет 3 3 (в отношении И. Заурбекова), 13 (в отношении ст. 3) Нет Нет 34 Нет Нет Нет 3 (в отношении части заявителей) Нет 14 Нет Нет Нет Нет Нет Нет 34 Нет Нет Нет 3 (в отношении 4 заявителей) Нет Нет 3 (в отношении 9 заявителей), 13 (в отношении ст. 3). 13 (в отношении ст. 3 — в отношении И. Гакиева). Нет 3 Нет 2 (матер.) Нет 3 (в отношении М. Ненкаева и 7 из заявителей), 13 (в отношении ст. 3) Нет Нет Нет Нет Нет Нет Нет Нет Нет 3 (в отношении эмоционального ущерба для заявителей) Нет Нет Нет Нет Нет Нет Нет Нет 
dataset/Dataset/data/5172816/table_0|4|139|статья|Возможные применения графена Возможные области применения углеродных нанотрубок, углеродного волокна. 
dataset/Dataset/data/4765446/table_2|2|139|статья|105, 282, 280, 162, 209, 161, 205 105, 161, 205, 282, 209, 280 Убийство (105) Убийство (105) Убийство (105) Убийство (105) Убийство (105) Разбой (162), Убийство (105), Разжигание межнациональной розни (282), 280 Убийство (105), Разжигание межнациональной розни (282) Убийство (105) 
dataset/Dataset/data/2177156/table_0|1|139|статья|ст. 238 ч.3 УК РФ ст. 238 ч.3 УК РФ ст. 238 ч.3 УК РФ ст. 218 УК РФ ст. 218 УК РФ ст. 285 ч.3; ст. 285 ч.1 УК РФ ст. 293 ч.3 УК РФ ст. 293 ч.3 УК РФ ст. 238 ч.3 УК РФ 
dataset/Dataset/data/2347747/table_3|7|139|статья|Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт Отчёт 
dataset/Dataset/data/369446/table_1|0|139|статья|ч. 2 ст. 105 УК РФ ст. 277 УК РФ ст. 295 УК РФ ст. 317 УК РФ ст. 357 УК РФ 
dataset/Dataset/data/2432743/table_1|0|139|статья|Деньги и денежные эквиваленты Запасы Другие оборотные активы Основные средства Прочие активы Всего текущие активы Долгосрочные инвестиции Основные средства Прочие активы Всего долгосрочные активы Всего активов Кредиторская задолженность Всего текущие обязательства Долгосрочная задолженность Доля меньшинства Всего обязательств Нераспределенная прибыль Казначейские акции Всего капитала Всего пассивов 
