table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1117282/table_2|7|140|столица|Ляньнань Цзитянь Жуюань 
dataset/Dataset/data/1121100/table_0|2|140|столица|Алжир Буэа Луанда Порто-Ново де-факто Котону Габороне Уагадугу Гитега Либревиль Банжул Аккра Конакри Бисау Джибути Каир Лусака Хараре Прая Яунде Лас-Пальмас-де-Гран-Канария и Санта-Крус-де-Тенерифе Найроби Морони Киншаса Браззавиль Ямусукро Масеру Монровия Триполи Порт-Луи Нуакшот Антананариву Фуншал Мамудзу Лилонгве Бамако Рабат — Мапуту Виндхук Ниамей Абуджа Сен-Дени Кигали Сан-Томе Эль-Аюн(заявленная)Тифарити(фактическая) Джеймстаун Виктория Дакар Сеута Могадишо Харгейса Хартум Фритаун Дар-эс-Салам; Додома Ломе Тунис Кампала Банги Нджамена Малабо Асмэра Мбабане(официальная)Лобамба(королевская и парламентская) Аддис-Абеба Кейптаун( Законодат.)Претория(Администр.)Блумфонтейн(Судебная) Джуба 
dataset/Dataset/data/1125072/table_0|3|140|столица|Канберра Мельбурн Перт Брисбен Сидней Дарвин Хобарт Аделаида Всего 
dataset/Dataset/data/1182619/table_11|7|140|столица|Дачан Дамин Куаньчэн Мэнцун Цинлун Вэйчан 
dataset/Dataset/data/1230847/table_2|2|140|столица|Копенгаген Рейкьявик Осло Рига Вильнюс Хельсинки Стокгольм Таллин 
dataset/Dataset/data/1291701/table_0|6|140|столица|Веллингтон Аваруа Алофи Нукунону — 
dataset/Dataset/data/1459196/table_0|7|140|столица|Валли Гамильтон Ротера (основная база) Диего-Гарсия (военная база) Род-Таун Джорджтаун Стэнли Гибралтар Плимут (заброшен из-за извержения вулкана, де-факто столицей является город Брейдс) Адамстаун Джеймстаун Кинг Эдуард Пойнт/Грютвикен Эпископи Коберн-Таун 
dataset/Dataset/data/1502359/table_0|7|140|столица|Вавилон Лиссабон Амстердам Кахокия Мутуль (Тикаль) Ур Константинополь Ахен Аксум Яшодхарапура 
dataset/Dataset/data/1502367/table_0|7|140|столица|Вавилон Лиссабон Амстердам Кахокия Мутуль (Тикаль) Ур Константинополь Ахен Аксум Яшодхарапура 
dataset/Dataset/data/153228/table_0|5|140|столица|Наньнин Хух-Хото Иньчуань Урумчи Лхаса 
dataset/Dataset/data/1731146/table_0|4|140|столица|Берат Булькиза Влёра Гирокастра Грамши Билишти Дельвина Пешкопия Дуррес Кавая Эрсека Корча Круя Кукес Лячи Кучова Лежа Либражди Люшня Балши Коплику Буррели Решени Пекини Пермети Поградец Пука Саранда Чоровода Тепелена Тирана Байрам-Цурри Фиери Крума Шкодер Эльбасан 
dataset/Dataset/data/1919150/table_9|7|140|столица|Лунчжоупин Уфэн 
dataset/Dataset/data/1990828/table_13|7|140|столица|Чанбай Цяньго Итун 
dataset/Dataset/data/1990828/table_14|7|140|столица|Цяотоу Юганьнин Баянь Вэйюань Хаомэнь Шанчуанькоу Цзиши 
dataset/Dataset/data/1999348/table_11|7|140|столица|Дачан Дамин Куаньчэн Мэнцун Цинлун Вэйчан 
dataset/Dataset/data/200318/table_0|8|140|столица|Дамин Куаньчэн Вэйчан Цинлун Итун Синьбинь Цинюань Сяоши Хуанжэнь Сюянь Куаньдянь 
dataset/Dataset/data/201294/table_0|7|140|столица|Бандар Сери Бегаван Пномпень Dili Джакарта Вьентьян Куала-Лумпур * Нейпьидо Манила Сингапур Бангкок Ханой 
dataset/Dataset/data/202998/table_0|4|140|столица|Конджу Вонджу Хансон(Сеул) Тэгу Хамхын Хэджу Чонджу Пхеньян 
dataset/Dataset/data/202999/table_0|4|140|столица|Конджу Вонджу Хансон(Сеул) Тэгу Хамхын Хэджу Чонджу Пхеньян 
dataset/Dataset/data/205011/table_1|6|140|столица|Карпантра Сенон 
dataset/Dataset/data/206326/table_1|6|140|столица|Карпантра Сенон 
dataset/Dataset/data/2208614/table_2|4|140|столица|Кабул Дакка Тхимпху Нью-Дели Мале Катманду Исламабад Шри-Джаяварденепура-Котте (де-юре) Коломбо (де-факто) 
dataset/Dataset/data/2208614/table_5|4|140|столица|Бандар-Сери-Бегаван Ханой Джакарта Пномпень Вьентьян Куала-Лумпур Нейпьидо Сингапур Бангкок Дили Манила 
dataset/Dataset/data/2208903/table_0|1|140|столица|Сент-Джонс Нассау Бриджтаун Бельмопан Порт-о-Пренс Гватемала Тегусигальпа Сент-Джорджес Розо Санто-Доминго Оттава Сан-Хосе Гавана Мехико Манагуа Панама Сан-Сальвадор Кастри Кингстаун Бастер Вашингтон Порт-оф-Спейн Кингстон 
dataset/Dataset/data/2235099/table_1|2|140|столица|Кайенна Стэнли Грютвикен 
dataset/Dataset/data/230397/table_0|3|140|столица|Канберра Мельбурн Перт Брисбен Сидней Дарвин Хобарт Аделаида Всего 
dataset/Dataset/data/2594/table_4|4|140|столица|Наньгань Цзиньчэн 
dataset/Dataset/data/2594/table_4|5|140|столица|南竿 金城 
dataset/Dataset/data/2641571/table_0|1|140|столица|Дакар Зигиншор Диурбель Сен-Луи Тамбакунда Каолак Тиес Луга Фатик Колда Матам Кафрин Кедугу Седиу 
dataset/Dataset/data/2871931/table_2|7|140|столица|Хух-Хото Наньнин Иньчуань Урумчи Лхаса 
dataset/Dataset/data/2899895/table_0|1|140|столица|Сараево Скопье Белград Нови-Сад Приштина Любляна Загреб Титоград* 
dataset/Dataset/data/3632772/table_2|4|140|столица|Кабул Дакка Тхимпху Нью-Дели Мале Катманду Исламабад Шри-Джаяварденепура-Котте (де-юре) Коломбо (де-факто) 
dataset/Dataset/data/3732576/table_0|3|140|столица|Москва Москва Киев Минск Ташкент Нур-Султан Тбилиси (административный центр)Кутаиси (законодательные органы) Баку Вильнюс Кишинёв Рига Бишкек Душанбе Ереван Ашхабад Таллин 
