table_id|column_id|label_id|label|column_data
dataset/Dataset/data/6491317/table_15|1|141|страна|Китайский Тайбэй Чехия Швейцария США Нидерланды Венгрия Китай Австралия Россия Румыния Швеция Словения Япония Канада Латвия Польша Бельгия Украина Индия Испания Аргентина Белоруссия Бразилия Великобритания Германия Грузия Италия Словакия Хорватия 
dataset/Dataset/data/4422872/table_0|0|141|страна|Мальта 
dataset/Dataset/data/4706056/table_0|0|141|страна|Япония Швеция Финляндия Германия Великобритания США 
dataset/Dataset/data/4860504/table_1|3|141|страна|США Великобритания США США США США США США США США США США США США США США США Бельгия США США США США США США Нидерланды Великобритания США США США Португалия Бельгия США США США США США США Канада Республика Корея Бразилия Израиль Китайская Республика США США США Япония США Малайзия США США Италия США Канада США США Великобритания США США США Япония Ирландия Япония США США 
dataset/Dataset/data/653573/table_0|0|141|страна|Мальта 
dataset/Dataset/data/5415418/table_2|3|141|страна|США Мексика, США Бразилия, Чили, Франция США США, Франция Бразилия Таиланд Аргентина Канада, Мексика Швейцария Швеция Аргентина Таиланд, США, Индонезия США Австрия Государство Палестина Иран, Франция Франция, Норвегия, Гаити США ЮАР США Республика Корея США Норвегия Китай, Китайская Республика Германия, Греция, США Россия Марокко Бразилия Литва, Франция, Нидерланды Китайская Республика Германия Румыния, Болгария, Венгрия 
dataset/Dataset/data/7015560/table_2|1|141|страна|СССР ГДР Франция Австрия Великобритания ФРГ Польша Румыния Испания Ирландия Швеция Нидерланды Финляндия Югославия Всего 
dataset/Dataset/data/3766669/table_2|0|141|страна|Албания Ангола Аргентина Аруба Австралия Австрия Багамские Острова Барбадос Белоруссия Бельгия Белиз Бермуды Боливия Бонайре Босния и Герцеговина Ботсвана Бразилия Болгария Канада Чили Китай Колумбия Коста-Рика Кот-д’Ивуар Хорватия Кюрасао Кипр Чехия Дания Доминиканская Республика Эквадор Сальвадор Англия Экваториальная Гвинея Эфиопия Фиджи Финляндия Франция Габон Грузия Германия Гибралтар Греция Гваделупа Гуам Гватемала Гайана Гондурас Гонконг Венгрия Исландия Индия Индонезия Ирландия Израиль Италия Ямайка Япония Казахстан Кения Республика Корея Латвия Ливан Лесото Литва Макао Северная Македония Малави Малайзия Мальта Мартиника Маврикий Мексика Монголия Черногория Непал Нидерланды Новая Зеландия Никарагуа Нигерия Северная Ирландия Норвегия Панама Парагвай Перу Филиппины Польша Португалия Пуэрто-Рико Россия Шотландия Сербия Сейшельские Острова Сьерра-Леоне Сингапур Словакия Словения ЮАР Южный Судан Испания Шри-Ланка Сент-Китс и Невис Суринам Швеция Танзания Таиланд Тринидад и Тобаго Турция Уганда Украина США Уругвай Виргинские Острова (США) Венесуэла Вьетнам Уэльс Зимбабве 
dataset/Dataset/data/4252365/table_3|2|141|страна|Чехословакия Канада Великобритания Великобритания США США Канада США Венгрия Чехословакия Канада Австрия Великобритания ФРГ Франция Нидерланды 
dataset/Dataset/data/628266/table_18|1|141|страна|Люксембург Словакия Словения Германия Испания Франция Италия Сан-Марино Бельгия Мальта Финляндия Ватикан Италия Эстония Греция Португалия Сан-Марино Литва Франция Бельгия Ватикан Греция Финляндия Люксембург Кипр Мальта Монако Латвия Латвия Португалия Андорра Андорра 
dataset/Dataset/data/2066935/table_0|0|141|страна|Tophit Общий Топ-100 Tophit Топ-100 по заявкам Tophit Российский Топ-100 Tophit Московский Топ-100 Tophit Санкт-Петербургский Топ-100 Tophit Украинский Топ-100 Tophit Киевский Топ-100 Латвийский Топ-50 European Hot 100 Золотой граммофон 
dataset/Dataset/data/6142926/table_4|4|141|страна|Бразилия Австралия Франция Кения Германия Украина Австралия Франция ЮАР Польша Сербия Сербия Бельгия Нидерланды Великобритания Парагвай 
dataset/Dataset/data/5422413/table_4|0|141|страна|Австрия Англия Белоруссия Бельгия Болгария Венгрия Германия Греция Дания Испания Италия Нидерланды Норвегия Польша Португалия Россия Словения Турция Украина Уэльс Финляндия Франция Хорватия Чехия Швейцария Швеция Шотландия Всего команд I дивизион II дивизион III дивизион IV дивизион 
dataset/Dataset/data/3650652/table_0|0|141|страна|Ангола Афганистан Бангладеш Бенин Буркина Фасо Бурунди Бутан Вануату Гаити Гамбия Гвинея Гвинея-Бисау Демократическая Республика Конго Джибути Замбия Йемен Камбоджа Кирибати Коморы Лаос Лесото Либерия Мавритания Мадагаскар Малави Мали Мозамбик Мьянма Непал Нигер Руанда Сан-Томе и Принсипи Сенегал Соломоновы Острова Сомали Сьерра-Леоне Судан Танзания Тимор-Лесте (Восточный Тимор) Того Тувалу Уганда ЦАР Чад Эритрея Эфиопия Южный Судан 
dataset/Dataset/data/8353937/table_0|2|141|страна|Швейцария Египет 
dataset/Dataset/data/7037236/table_1|0|141|страна|Китай США Япония Германия Франция Голландия Ирландия Великобритания Канада Италия Бразилия Саудовская Аравия Южная Корея Польша Сингапур Россия Швейцария Норвегия Швеция Индия Словения Австралия Люксембург ОАЭ Финляндия Чехия Тайвань Болгария Марокко Австрия Гонконг Испания 
dataset/Dataset/data/510393/table_0|1|141|страна|Болгария Болгария Болгария СССР СССР СССР 
dataset/Dataset/data/7883365/table_8|0|141|страна|Индия Детали Президент Обама посетил Индию, встречался с премьер-министром Индии Нарендрой Моди. 
dataset/Dataset/data/4812856/table_3|0|141|страна|Норвегия США Германия 
dataset/Dataset/data/7562952/table_3|4|141|страна|Австралия Франция Япония США Япония Австралия Украина Россия Венгрия США Хорватия Китай Германия Зимбабве Новая Зеландия Украина 
