table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1013249/table_2|4|144|сценарист|Дж. Майкл Стражински Дж. Майкл Стражински Ларри ДеТиллио Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Д.С. Фонтана Дж. Майкл Стражински Ларри ДеТиллио Дэвид Геррольд Марк Скотт Зикри Кэтрин М. Дреннан Дж. Майкл Стражински Ларри ДиТилло Кристи Маркс Лоуренс ДиТилло Д.С. Фонтана Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински 
dataset/Dataset/data/6464153/table_0|3|144|сценарист|Да Да Да Да Да Да Нет Да Нет Да Нет Нет Нет Да Да Да Нет Нет Нет Да Да Нет Нет Да Да Да Нет Да 
dataset/Dataset/data/8937038/table_0|6|144|сценарист|Нет Нет Нет Нет Нет Нет Да Да 
dataset/Dataset/data/3017055/table_0|4|144|сценарист|Да Да Да Да Да Да Да Да Да Да Да Да 
dataset/Dataset/data/3807699/table_2|4|144|сценарист|ТОТ, Оливье Ванил ТОТ, Эрик Херенгуэль ТОТ, Эрик Херенгуэль ТОТ, Эрик Херенгуэль ТОТ ТОТ, Оливье Ванилл ТОТ, Дэйви Мориер, MR Poulpe ТОТ, Дэйви Мориер, MR Poulpe ТОТ, Оливье Ванилл Оливье Тулез, Оливье Ванилл Оливье Тулез, Оливье Ванилл Оливье Тулез, Оливье Ванилл Томас Аструк, Оливье Ванилл Бенджамин Паскаль Лоуренс Брамарди, Анна-Шарлотта Ру Лоуренс Брамарди, Оливье Ванилл, Карэн Гиллорел Анна-Шарлотта Ру, Оливье Ванилл Анна-Шарлотта Ру, Оливье Ванилл Оливье Ванилл ТОТ Дидье Криспилс, Анна-Шарлотта Ру Северин Баклет ТОТ ТОТ ТОТ ТОТ 
dataset/Dataset/data/4592608/table_0|4|144|сценарист|Нет Да Да Да Да Да Нет Да 
dataset/Dataset/data/2184242/table_4|4|144|сценарист|Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински 
dataset/Dataset/data/3201000/table_1|3|144|сценарист|Джон Хармон Фельдман Крис Бранкато & Альберт Джей Салке Джон Хармон Фельдман Зак Эстрин & Крис Левинсон Дуглас Петри Чэд Ходж Роберт Доэрти Джон Хармон Фельдман Зак Эстрин & Крис Левинсон Дуглас Петри Дана Гринблатт & Чад Ходж Роберт Доэрти Скотт Шеферд & Роберт Доэрти & Джон Хармон Фельдман Крис Левинсон & Зак Эстрин & Джон Хармон Фельдман Скотт Шеппард & Стефани Уильямс & Пола Ю Дорис Эган Роберт Доэрти Уильям Синд Зак Эстрин & Крис Левинсон Джон Хармон Фельдман 
dataset/Dataset/data/7438471/table_2|3|144|сценарист|Да (42 эп.) Нет Да Нет Нет Нет Нет Нет Нет Нет Да Нет Нет Нет 
dataset/Dataset/data/6505480/table_0|4|144|сценарист|Да Да Да Да 
