table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1552916/table_1|5|145|театр|Apollo Theatre (Лондон) и тур по Великобритании Алмейда (Лондон), Belasco Theatre (Нью-Йорк) Олд Вик, Yvonne Arnaud Theatre, Oxford Playhouse Bristol Old Vic Тур по Великобритании Тур по Великобритании Gielgud Theatre Donmar Warehouse Comedy Theatre 
dataset/Dataset/data/2428088/table_0|8|145|театр|Театр Сан-Самуэле[en]*,Венеция Санкт-Петербург Датский королевский балет, Копенгаген Датский королевский балет, Копенгаген Русский балет Дягилева Венгерский государственный оперный театр, Будапешт Зал Плейель, Париж[* 2] Театр балета, Нью-Йорк Лейпцигская опера Ленинградское хореографическое училище на сцене Театра им. Кирова, Ленинград Большой балет маркиза де Куэваса[fr] Парижская опера Датский королевский балет, Копенгаген Большой балет маркиза де Куэваса, Париж Вуппертальская опера Балет XX века, Королевский цирк[fr], Брюссель Малый театр оперы и балета, Ленинград Малый театр оперы и балета, Ленинград Одесский театр оперы и балета Шведский королевский балет, Стокгольм 
dataset/Dataset/data/3296924/table_1|2|145|театр|Королевский национальный театр Ройал-Корт Янг-Вик Donmar Warehouse Ройал-Корт English Touring Theatre Буш Театр Этель Бэрримор Королевский национальный театр 
dataset/Dataset/data/3453770/table_3|5|145|театр|МХТ им. А. Чехова МХТ им. А. Чехова МХТ им. А. Чехова МХТ им. А. Чехова МХТ им. А. Чехова МХТ им. А. Чехова МХТ им. А. Чехова МХТ им. А. Чехова МХТ им. А. Чехова МХТ им. А. Чехова МХТ им. А. Чехова Театр-студия О. Табакова 
dataset/Dataset/data/3616845/table_1|3|145|театр|Sullivan Street Playhouse CSC театр Театр Лауры Пилс Линкольн-центр 
dataset/Dataset/data/4078607/table_0|2|145|театр|Большой драматический театр имени Г. А. Товстоногова Большой драматический театр имени Г. А. Товстоногова Александринский театр Александринский театр Александринский театр Александринский театр Боярские палаты Александринский театр Александринский театр Александринский театр Александринский театр Александринский театр Александринский театр Александринский театр Александринский театр Александринский театр Александринский театр Александринский театр Александринский театр Александринский театр Проект Фонда Станиславского и театра Мено Фортас 
dataset/Dataset/data/4261502/table_1|3|145|театр|Чичестерский фестивальный театр Национальный театр (сцена Коттеслоэ) «Ройал-Корт» Национальный театр (сцена Оливье) Национальный театр (сцена Оливье) Национальный театр (сцена Оливье) Национальный театр (сцены Литтлтон, Оливье) Саунд театр Барбикан-центр Lyric Theatre, Hong Kong Academy for Performing Arts Сент-Джеймс Сиднейский театр Бродхерст, Бродвей Янг-Вик Театр Ройал Хеймаркет Ройал-Корт «Трафальгар-Студио» Национальный театр (Литтлтон) 
dataset/Dataset/data/4268486/table_1|3|145|театр|Arcola Theatre 
dataset/Dataset/data/4666603/table_1|4|145|театр|«Ройял корт» Bristol Old Vic тур по США и России, Офф-Бродвей Королевский театр (Бат) Rose Theatre Traverse Theatre «Ройял корт» Театр 503 West Yorkshire Playhouse «Янг-Вик» Gate Theatre 
dataset/Dataset/data/4957947/table_2|2|145|театр|Государственный театр Диярбакыра Государственный театр Диярбакыра 
dataset/Dataset/data/5035821/table_0|4|145|театр|Молодёжный театр Театр им. Леси Украинки Театр им. Леси Украинки Театр-студия «Театральный клуб» Театр драмы и комедии Театр «Браво» Экспериментальная театр-студия Театр драмы и комедии Театр им. Леси Украинки Театр им. И.Франко Театр им. И.Франко Театр-студия «Театральный клуб» Театр драмы и комедии Театр драмы и комедии Театр «Браво» Театр драмы и комедии Молодой театр Театр драмы и комедии Театр на Подоле Продюсерский центр «Думекс» совместно с Театром драмы и комедии Театр «Браво» Театр им. И.Франко Театр драмы и комедии Национальная опера Украины Благотворительный продюсерский фонд совместно с Театром на Подоле 
dataset/Dataset/data/538416/table_0|3|145|театр|Театр Ричарда Роджерса Ambassador Theatre Театр Хелен Хейс Театр Джорджа Гершвина Студия 54 Бродвейский театр 
dataset/Dataset/data/5868989/table_1|2|145|театр|Королевский национальный театр Ройал-Корт Янг-Вик Donmar Warehouse Ройал-Корт English Touring Theatre Буш Театр Этель Бэрримор Королевский национальный театр 
dataset/Dataset/data/6085612/table_0|2|145|театр|ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац ТЮЗ им. Сац АRTиШОК ГАРТД им. Лермонтова ГАРТД им. Лермонтова ГАРТД им. Лермонтова ГАРТД им. Лермонтова ГАРТД им. Лермонтова ГАРТД им. Лермонтова ГАРТД им. Лермонтова ГАРТД им. Лермонтова ГАРТД им. Лермонтова ГАРТД им. Лермонтова 
