table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1955221/table_0|1|146|теннисист|Сэм Куэрри Энди Маррей Хуан Мартин дель Потро 
dataset/Dataset/data/3368123/table_0|1|146|теннисист|Марди Фиш Новак Джокович Джон Изнер 
dataset/Dataset/data/4405412/table_16|1|146|теннисист|Боб Брайан Майк Брайан Бруно Соарес Александр Пейя Давид Марреро Ненад Зимонич Максим Мирный Эдуар Роже-Васслен Хория Текэу Равен Класен Джейми Маррей Джон Пирс Леандер Паес Фернандо Вердаско Жюльен Беннето Айсам-уль-Хак Куреши Марсело Мело Жан-Жюльен Ройер Рохан Бопанна Микаэль Льодра Йохан Брунстрём Сантьяго Гонсалес Кристофер Кас Скотт Липски Юлиан Ноул Филип Полашек Колин Флеминг Мартин Эммрих Радек Штепанек Иван Додиг Махеш Бхупати Доминик Инглот Лукаш Кубот Роберт Линдстедт Марцин Матковский Мариуш Фирстенберг Трет Конрад Хьюи Факундо Багнис Андре Бегеманн Томас Беллуччи Джеймс Блейк Симоне Болелли Эрик Буторак Станислас Вавринка Михаил Елгин Марк Жикель Денис Истомин Мартин Клижан Филипп Кольшрайбер Паоло Лоренци Ксавье Малисс Николя Маю Флорин Мерджа Франк Мозер Николас Монро Даниэль Нестор Яркко Ниеминен Бенуа Пер Пурав Раджа Томми Робредо Лукаш Росол Игорь Сейслинг Джек Сок Потито Стараче Дмитрий Турсунов Фабио Фоньини Дивидж Шаран Симон Штадлер 
dataset/Dataset/data/7718901/table_12|1|146|теннисист|Новак Джокович Доминик Тим Рафаэль Надаль Даниил Медведев Роджер Федерер Стефанос Циципас Алекс де Минор Ник Кирьос Маттео Берреттини Кристиан Гарин Бенуа Пер Жо-Вильфрид Тсонга Фабио Фоньини Николоз Басилашвили Ласло Дьере Фелисиано Лопес Гаэль Монфис Раду Албот Кевин Андерсон Роберто Баутиста-Агут Александр Зверев Джон Изнер Пабло Карреньо Буста Душан Лайович Хуан Игнасио Лондеро Адриан Маннарино Энди Маррей Кэй Нисикори Райли Опелка Гвидо Пелья Альберт Рамос Виньолас Андрей Рублёв Теннис Сандгрен Лоренцо Сонего Тейлор Фриц Хуберт Хуркач Марко Чеккинато Денис Шаповалов Диего Шварцман Николас Ярри 
dataset/Dataset/data/7718901/table_15|1|146|теннисист|Хуан Себастьян Кабаль Роберт Фара Николя Маю Пьер-Юг Эрбер Иван Додиг Эдуар Роже-Васслен Кевин Кравиц Андреас Мис Никола Мектич Орасио Себальос Филип Полашек Бруно Соарес Максимо Гонсалес Юрген Мельцер Жереми Шарди Йоран Влиген Сандер Жиль Жан-Жюльен Ройер Хория Текэу Боб Брайан Майк Брайан Марсель Гранольерс Мате Павич Франко Шкугор Майкл Винус Равен Класен Хенри Континен Оливер Марах Раджив Рам Джо Солсбери Доминик Инглот Остин Крайчек Фабрис Мартен Филипп Освальд Дивидж Шаран Ян-Леннард Штруфф Александр Зверев Миша Зверев Фелисиано Лопес Энди Маррей Николас Ярри Ромэн Арнеодо Рохан Бопанна Сантьяго Гонсалес Давид Гоффен Маркус Даниэлл Федерико Дельбонис Марсело Демолинер Роман Ебавый Игорь Зеленай Уэсли Колхоф Лукаш Кубот Айсам-уль-Хак Куреши Душан Лайович Роберт Линдстедт Бен Маклахлан Джейми Маррей Марсело Мело Матве Мидделкоп Андрес Мольтени Фредерик Нильсен Юго Нис Джон Пирс Тим Пюц Артём Ситак Кен Скупски Нил Скупски Сергей Стаховский Робин Хасе Никола Чачич Пьер-Юг Эрбер Йонатан Эрлих 
dataset/Dataset/data/7718901/table_18|1|146|теннисист|Иван Додиг Джейми Маррей Раджив Рам 
dataset/Dataset/data/7867110/table_2|1|146|теннисист|Стефанос Циципас Фабио Фоньини Гаэль Монфис Давид Гоффин Душан Лайович Алекс де Минор Пабло Карреньо Буста Фрэнсис Тиафо 
dataset/Dataset/data/8059730/table_0|1|146|теннисист|Роджер Федерер Александр Зверев Стефанос Циципас Роберто Баутиста Агут Фабио Фоньини Давид Гоффен Стэн Вавринка Бенуа Пер 
dataset/Dataset/data/8059753/table_0|1|146|теннисист|Доминик Тим Карен Хачанов Маттео Берреттини Гаэль Монфис Диего Шварцман Феликс Оже-Альяссим Гвидо Пелья Борна Чорич 
dataset/Dataset/data/8533272/table_2|1|146|теннисист|Александр Зверев Роберто Баутиста Агут Феликс Оже-Альяссим Бенуа Пер Филип Краинович Хуберт Хуркач Ян-Леннард Штруфф Марин Чилич 
