table_id|column_id|label_id|label|column_data
dataset/Dataset/data/2056845/table_5|3|147|территория|25 905 9 661 20 300 21 504 22 288 27 984 19 539 
dataset/Dataset/data/2057959/table_4|2|147|территория|83 871 338 145 449 964 871 980 2 495 174 3 367 154 (+34,95 %) 
dataset/Dataset/data/1719710/table_0|17|147|территория|С 
dataset/Dataset/data/7176994/table_2|2|147|территория|Европа, Азия, Африка Острова Яп (Микронезия) Древняя Русь Новые Гебриды Новая Гвинея 
dataset/Dataset/data/2058068/table_10|2|147|территория|88 361 4 413 143 (+2,04 %) 
dataset/Dataset/data/6599364/table_4|4|147|территория|Самаркандская область Самаркандская область Ферганская область город Коканд Ферганской области город Маргилан Ферганской области Бухарская область город Джизак Джизакской области город Термез Сурхандарьинской области Кашкадарьинская область Республика Каракалпакстан город Нукус, Республика Каракалпакстан 
dataset/Dataset/data/8066367/table_0|4|147|территория|6347 4289 2788 6552 5832 3706 3915 2781 4597 8033 3056 2202 2885 1759 2888 8240 8197 6004 8534 2546 6115 10 418 5135 3408 3954 3055 7585 6702 2284 9942 
dataset/Dataset/data/8677227/table_16|3|147|территория|Италия Испания Индонезия Мексика Египет Ливан Китай Турция Германия Вьетнам 
dataset/Dataset/data/2058068/table_11|2|147|территория|783 562 5 108 344 (+18,11 %) 
dataset/Dataset/data/750643/table_3|5|147|территория|9000 31 500 38 000 200 000 17 500 10 000 17 750 83 000 24 000 
dataset/Dataset/data/7272399/table_0|2|147|территория|1 010,88 15366 1 335,08 92064 2 205,95 63710 1 992,79 
dataset/Dataset/data/6075525/table_7|6|147|территория|Грузия Индия Китайская Народная Республика Израиль Республика Кипр Грузия 
dataset/Dataset/data/1108549/table_0|2|147|территория|293 160 9 30 492 
dataset/Dataset/data/1459192/table_0|2|147|территория|Ангилья Бермуды Британская антарктическая территория Британская Территория в Индийском Океане Британские Виргинские Острова Острова Кайман Фолклендские острова Гибралтар Монтсеррат Острова Питкэрн Острова Святой Елены, Вознесения и Тристан-да-Кунья Южная Георгия и Южные Сандвичевы Острова Акротири и Декелия Теркс и Кайкос Всего Всего 
dataset/Dataset/data/1764100/table_6|7|147|территория|3170 км² ??? 
dataset/Dataset/data/5000180/table_0|1|147|территория|США Европа 
dataset/Dataset/data/1714129/table_0|3|147|территория|Г 
dataset/Dataset/data/1872748/table_1|2|147|территория|Ангола Нигерия, Сенегал Китай Центральная и часть Южной Америки Тонга Япония Тибет, Эфиопия, некоторые районы Северной и Южной Америки Китай, Тибет, Монголия, Сибирь, Парагвай, Эфиопия Сурат (Индия) 
dataset/Dataset/data/1338856/table_0|8|147|территория|11 486 2 165 4 656 6 766 7 558 7 053 4 601 7 303 8 570 11 025 10 386 24 944 9 332 13 677 7 852 5 016 7 323 2 916 
dataset/Dataset/data/7256951/table_0|3|147|территория|6130 105392 80953 120840 160555 473870 184902 664398 232460 438940 20750 15 414,50 20 153,20 
dataset/Dataset/data/4794298/table_13|3|147|территория|Индия Египет Израиль Иордания Ливан Сирия Турция Индия Шри-Ланка Малайзия Таиланд Азербайджан Афганистан Ирак Иран Кувейт Пакистан Сирия Туркмения Турция Узбекистан Турция Китай Китай Китай Китай Болгария Греция Грузия Россия Турция Украина Великобритания Греция Египет Израиль Иордания Кипр Ливан Ливия Турция Китай КНДР Боливия Перу Чили КНДР Южная Корея 
dataset/Dataset/data/4794298/table_24|3|147|территория|Китай Китай Китай Китай 
dataset/Dataset/data/3779080/table_0|0|147|территория|Герцогство Парма и Пьяченца Ломбардо-Венецианское королевство 
dataset/Dataset/data/158537/table_0|3|147|территория|1841 3251 2980 8 072 
dataset/Dataset/data/684685/table_0|3|147|территория|331 1238 1759 974 20 719 1487 38 6566 1977 2314 1392 705 1011 34 1284 1114 9831 1659 54 1654 1572 3599 3349 1806 13 693 3457 110 202 1522 69 1753 33 1151 1245 1491 1418 12 451 43 508 1303 1230 797 2092 5422 47 963 
dataset/Dataset/data/8677227/table_23|3|147|территория|Сирия Великобритания Иран Албания Греция Италия Франция Турция Афганистан Иран Казахстан Киргизия Китай Пакистан Таджикистан Туркмения Узбекистан 
dataset/Dataset/data/5390387/table_0|2|147|территория|56 427 142 311 199 270 63 732 461 740 
dataset/Dataset/data/98292/table_0|1|147|территория|Кашмирская долина Джамму Ладакх Азад Кашмир Гилгит-Балтистан Аксай-Чин 
dataset/Dataset/data/48032/table_0|1|147|территория|2 382 741 695 22 000 997 739 252 120 536 869 97 740 435 317 11 437 2 170 17 818 10 452 1 775 500 1 030 700 458 730 77 700 212 457 6 257 1 960 582 185 180 637 657 1 866 068 163 610 
dataset/Dataset/data/1991203/table_4|2|147|территория|85 968 29 964 69 259 185 191 
dataset/Dataset/data/106156/table_2|1|147|территория|Австралия Новая Зеландия Великобритания Европа Россия и СНГ Южная Африка Южная Америка Тайвань Малайзия Канада США Япония Австралия 
dataset/Dataset/data/1714129/table_0|6|147|территория|Ж 
dataset/Dataset/data/1457640/table_1|0|147|территория|Британская Антарктическая территория Южная Георгия и Южные Сандвичевы острова Британская территория в Индийском океане Базы Акротири и Декелия на Кипре Питкэрн Фолклендские острова остров Святой Елены Ангилья Британские Виргинские острова Каймановы острова Монтсеррат Гибралтар Бермуды Теркс и Кайкос 
dataset/Dataset/data/4794298/table_4|3|147|территория|Киргизия Таджикистан Узбекистан Китай Болгария Венгрия Молдавия Румыния Сербия Украина Сербия Грузия Турция Египет Израиль Иордания Ливан Сирия Судан Китай Великобритания 
dataset/Dataset/data/2907184/table_6|0|147|территория|Страны Азиатско-Тихоокеанского региона Страны Европы Страны Лиги Арабских государств Страны Северной Америки Австралия Бразилия Гонконг Индонезия Иран Китай Малайзия Новая Зеландия Республика Корея Таиланд Узбекистан Филиппины ЮАР Япония 
dataset/Dataset/data/2295875/table_0|24|147|территория|Ш 
dataset/Dataset/data/8536143/table_0|1|147|территория|Андаманские и Никобарские острова Андхра-Прадеш Аруначал-Прадеш Ассам Бихар Чандигарх Чхаттисгарх Дадра и Нагар-Хавели и Даман и Диу Дели Гоа Гуджарат Харьяна Химачал-Прадеш Джамму и Кашмир Джаркханд Карнатака Керала Ладакх Лакшадвип Мадхья-Прадеш Махараштра Манипур Мегхалая Мизорам Нагаленд Одиша Пондичерри Пенджаб Раджастхан Сикким Тамилнад Телингана Трипура Уттар-Прадеш Уттаракханд Западная Бенгалия 
dataset/Dataset/data/4794298/table_0|3|147|территория|Ирак Азербайджан Армения Ирак Иран Сирия Турция Ирак Иран Сирия Турция Йемен Судан Эритрея Эфиопия Кипр Судан Иордания Ливан Сирия Шри-Ланка Сирия Сирия Греция Египет Израиль Ирак Иран Кипр Ливан Сирия Турция Иран Вьетнам Йемен Греция Список Азербайджан Армения Афганистан Греция Египет Израиль Иордания Ирак Иран Кувейт Ливан Пакистан Сирия Туркмения Турция Узбекистан 
dataset/Dataset/data/939643/table_1|0|147|территория|Шпицберген Ян-Майен Всего 
dataset/Dataset/data/4731531/table_1|2|147|территория|Андижанская область Бухарская область Ферганская область Джизакская область Наманганская область Навоийская область Республика Каракалпакстан Кашкадарьинская область Самаркандская область Сырдарьинская область Сурхандарьинская область Ташкентская область, все регионы (через кабельное ТВ) Хорезмская область 
dataset/Dataset/data/7828387/table_1|1|147|территория|15471 18129 39358 6775 79733 
dataset/Dataset/data/1563277/table_4|2|147|территория|85 968 29 964 69 259 185 191 
dataset/Dataset/data/7744457/table_6|6|147|территория|Азербайджан Мьянма 
dataset/Dataset/data/8892937/table_0|1|147|территория|Автономная Республика Крым Севастопольский городской совет Донецкий горсовет Луганский горсовет Объекты в акватории Черного моря Буровая вышка В-312 «Петр Годованец» Буровая вышка В-319 «Украина» Оккупированные территории контроль над которыми возвращён Авдеевский городской совет Бахмутский городской совет Дружковский городской совет Константиновский городской совет Краматорский городской совет Мариупольский городской совет Лиманская городской совет Славянский городской совет Торецкая городской совет Лисичанский городской совет Рубежанский городской совет Северодонецкий городской совет южная часть Стрелковской поселкового совета южная часть Чаплынской поселкового совета южная часть Чонгарского сельского совета 
dataset/Dataset/data/1719710/table_0|21|147|территория|Х 
dataset/Dataset/data/1502618/table_0|3|147|территория|25 905 9661 20 300 21 504 22 288 27 984 19 539 
