table_id|column_id|label_id|label|column_data
dataset/Dataset/data/2049331/table_6|3|148|техника|9550 9375 9375 8925 8350 9200 8375 9350 Первый прыжок 
dataset/Dataset/data/2049331/table_6|7|148|техника|9400 9300 9200 9275 9300 9000 9125 8300 Второй прыжок 
dataset/Dataset/data/2253760/table_0|1|148|техника|объект 1015 объект 1015Б объект 1020 объект 1030 объект 1040 объект 1045 КАЗ-604Б 
dataset/Dataset/data/2724410/table_10|3|148|техника|9.266 9.216 9.1 9.066 8.733 9.2 8.283 8.866 
dataset/Dataset/data/2766858/table_17|3|148|техника|9.266 8.933 8.933 8.666 8.633 8.825 8.541 7.866 
dataset/Dataset/data/3175875/table_7|3|148|техника|9.500 9.200 9.300 9.375 9.275 8.375 8.325 8.150 Первый прыжок 
dataset/Dataset/data/3175875/table_7|7|148|техника|9.225 9.325 9.050 8.325 9.225 8.600 8.225 8.175 Второй прыжок 
dataset/Dataset/data/3661598/table_1|3|148|техника|Су-22M-4/УM-3K Су-30МК2 Су-30МК2 Ми-6, Ми-8, Ми-24Д, Ми-171 Ан-2, Ан-26, Ан-30, M-28 Су-22M4 Ми-8, Ми-171 Сu-27СKM/УБK/ПУ Су-22M-4/УМ-3K Су-30MK2 UH-1H, Ми-8, Ми-171 L-39C Як-52 ЗСУ-23-4 «Шилка», С-75 «Двина», С-125 «Печора», 9К31 «Стрела-1», 9К35 «Стрела-10», «Бук», С-300 «Фаворит», «Панцирь-С1» ЗСУ-23-4 «Шилка», С-75 «Двина», С-125 «Печора», 9К31 «Стрела-1», 9К35 «Стрела-10», «Бук», С-300 «Фаворит», «Панцирь-С1» ЗСУ-23-4 «Шилка», С-75 «Двина», С-125 «Печора», 9К31 «Стрела-1», 9К35 «Стрела-10», «Бук», С-300 «Фаворит», «Панцирь-С1» ЗСУ-23-4 «Шилка», С-75 «Двина», С-125 «Печора», 9К31 «Стрела-1», 9К35 «Стрела-10», «Бук», С-300 «Фаворит», «Панцирь-С1» ЗСУ-23-4 «Шилка», С-75 «Двина», С-125 «Печора», 9К31 «Стрела-1», 9К35 «Стрела-10», «Бук», С-300 «Фаворит», «Панцирь-С1» ЗСУ-23-4 «Шилка», С-75 «Двина», С-125 «Печора», 9К31 «Стрела-1», 9К35 «Стрела-10», «Бук», С-300 «Фаворит», «Панцирь-С1» ЗСУ-23-4 «Шилка», С-75 «Двина», С-125 «Печора», 9К31 «Стрела-1», 9К35 «Стрела-10» ЗСУ-23-4 «Шилка», С-75 «Двина», С-125 «Печора», 9К31 «Стрела-1», 9К35 «Стрела-10» ЗСУ-23-4 «Шилка», С-75 «Двина», С-125 «Печора», 9К31 «Стрела-1», 9К35 «Стрела-10» ЗСУ-23-4 «Шилка», С-75 «Двина», С-125 «Печора», 9К31 «Стрела-1», 9К35 «Стрела-10» ЗСУ-23-4 «Шилка», С-75 «Двина», С-125 «Печора», 9К31 «Стрела-1», 9К35 «Стрела-10», «Куб» ЗСУ-23-4 «Шилка», С-75 «Двина», С-125 «Печора», 9К31 «Стрела-1», 9К35 «Стрела-10», «Куб» ЗСУ-23-4 «Шилка», С-75 «Двина», С-125 «Печора», 9К31 «Стрела-1», 9К35 «Стрела-10», «Куб» С-75 «Двина», С-125 «Печора», «Бук» С-75 «Двина», С-125 «Печора», «Бук» С-75 «Двина», С-125 «Печора», «Бук» С-75 «Двина», С-125 «Печора», «Бук», «Куб», «Панцирь-С1» С-75 «Двина», С-125 «Печора», «Бук», «Куб», «Панцирь-С1» С-75 «Двина», С-125 «Печора», «Куб», С-300 «Фаворит» С-75 «Двина», С-125 «Печора», «Куб», С-300 «Фаворит» С-75 «Двина», С-125 «Печора», «Куб», С-300 «Фаворит» С-75 «Двина», С-125 «Печора», «Куб», С-300 «Фаворит» С-75 «Двина», С-125 «Печора», «Куб», С-300 «Фаворит» 
dataset/Dataset/data/4885797/table_0|3|148|техника|Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст поверх деревянного щита, масло Фреска на потолке, масло Фреска на потолке, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Дерево, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Дерево, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Дерево, темпера Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло Холст, масло 
dataset/Dataset/data/4897379/table_0|3|148|техника|Дерево, масло Холст, масло Дерево, масло Дерево, масло Дерево, масло Дерево, масло Дерево, масло Дерево, масло Дерево, масло Дерево, масло Дерево, масло Дерево, масло Дерево, масло Дерево, масло Дерево, масло Дерево, масло Дерево, масло Дерево, масло Дерево, масло Дерево, масло Дерево, масло Дерево, масло Дерево, масло Дерево, масло 
dataset/Dataset/data/4899137/table_1|3|148|техника|Дерево, масло Дерево, масло Дерево, масло Дерево, масло 
dataset/Dataset/data/5606869/table_1|3|148|техника|бумага, акварель 7,4×13,9 бумага, акварель 9×15,5. бумага, акварель бумага, акварель 8,7×14,7. бумага, акварель 
dataset/Dataset/data/5651511/table_0|2|148|техника|холст, масло холст, масло холст, масло холст, масло холст, масло холст, масло холст, масло клеёнка, масло бумага, карандаш холст, масло холст, масло холст, масло холст, масло холст, масло холст, масло холст, масло холст, масло холст, масло холст, масло холст, масло холст, масло холст, масло холст, масло картон, масло картон, масло карон, масло холст, масло холст, масло картон, масло картон, масло холст, масло 
dataset/Dataset/data/5676092/table_21|2|148|техника|Audi R8 LMS ROC Car 
dataset/Dataset/data/6006517/table_13|3|148|техника|8.933 9.1 8.666 8.8 8.916 8.8 8.233 8.233 7.633 
dataset/Dataset/data/6017690/table_2|7|148|техника|9.6 9.166 9.233 9.366 9.4 9.233 9.066 8.2 
dataset/Dataset/data/6017690/table_2|3|148|техника|9.066 9.433 9.4 9.4 9.1 9.3 9.2 9.366 
dataset/Dataset/data/6019286/table_1|3|148|техника|9.166 9.066 9.0 8.8 8.641 8.466 8.433 8.0 
