table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1820935/table_1|10|150|транспорт|3 - 3 
dataset/Dataset/data/1822611/table_1|10|150|транспорт|4 - 4 
dataset/Dataset/data/1824152/table_1|10|150|транспорт|9.0 1.0 10.0 
dataset/Dataset/data/1867723/table_1|10|150|транспорт|65.0 8.0 73.0 
dataset/Dataset/data/1914767/table_1|10|150|транспорт|20.0 1.0 21.0 
dataset/Dataset/data/1915383/table_1|10|150|транспорт|3 - 3 
dataset/Dataset/data/2026889/table_5|10|150|транспорт|10.0 1.0 11.0 
dataset/Dataset/data/2026943/table_1|10|150|транспорт|8.0 1.0 9.0 
dataset/Dataset/data/2027353/table_1|10|150|транспорт|6.0 2.0 8.0 
dataset/Dataset/data/2032920/table_1|10|150|транспорт|7.0 2.0 9.0 
dataset/Dataset/data/2032999/table_1|10|150|транспорт|22.0 3.0 25.0 
dataset/Dataset/data/2033086/table_1|10|150|транспорт|16.0 1.0 17.0 
dataset/Dataset/data/2046423/table_1|10|150|транспорт|1 - 1 
dataset/Dataset/data/2046508/table_1|10|150|транспорт|- - - 
dataset/Dataset/data/2046533/table_1|10|150|транспорт|1 - 1 
dataset/Dataset/data/2046549/table_1|10|150|транспорт|3.0 1.0 4.0 
dataset/Dataset/data/2064711/table_1|10|150|транспорт|32.0 2.0 34.0 
dataset/Dataset/data/2064877/table_1|10|150|транспорт|40.0 2.0 42.0 
dataset/Dataset/data/2501793/table_1|10|150|транспорт|4 - 4 
dataset/Dataset/data/2507232/table_1|10|150|транспорт|- - - 
dataset/Dataset/data/2507527/table_1|10|150|транспорт|3.0 1.0 4.0 
dataset/Dataset/data/8558634/table_1|10|150|транспорт|- - - 
