table_id|column_id|label_id|label|column_data
dataset/Dataset/data/4139541/table_1|1|152|трек|My Dearest 罪人 大貧民 My Dearest (TV-Size) My Dearest (Instrumental) 罪人 (Instrumental) 大貧民 (Instrumental) My Dearest (TV-Size + Instrumental) 
dataset/Dataset/data/6512745/table_0|2|152|трек|Gotta Go Play It Cool feat. Earl Sweatshirt Lavender Chunk Wicked Kingdom feat. Josephine Olivia Souvenir Twisted Strangers Ministry of the Torture Couch Typecast feat. P.O.S. & Busdriver Lemons Protectors of the Heat This Is Where I Leave You Something Out There WWhat u WWaitin 4 Bite Me Llama Mind Ghost in a Kiss Dead Cupid 
dataset/Dataset/data/3883898/table_3|2|152|трек|«Dolami», «H.A.L.» «Greel» «Dog» «Threnody» «Enio» «Total» «So Huge» 
dataset/Dataset/data/4139541/table_2|1|152|трек|Departures 〜あなたにおくるアイの歌〜 エウテルペ Departures 〜あなたにおくるアイの歌〜 (TV Edit) Departures 〜あなたにおくるアイの歌〜 (BOOM BOOM SATELLITES Remix -meteoric rain-) Departures 〜あなたにおくるアイの歌〜 -Instrumental- エウテルペ -Instrumental- Departures 〜あなたにおくるアイの歌〜 (TV Edit) -Instrumental- 
dataset/Dataset/data/1703321/table_0|3|152|трек|01 Yesterday 02 Colder 03 Let The Morning Sleep 04 Through The Eyes Of A Child 05 Million Miles 06 Moments Like This 07 Aeroplane 08 Open Skies 09 Proomise — Extended version 10 Tonight 11 Serpentine 12 The Only Ones 13 Star 14 Alright 15 Strong 16 Angels Fly 17 Weep 18 Life Is A Dream 19 Supergirl 20 Josephine (New Version 2010) 21 Waiting There For You 22 Swim 01 Faith 02 Million Miles 03 Through the eyes of a child 04 Free like a bird 05 Goodbyes 06 Set of keys 07 Moments like this 08 Aeroplane 09 Open Skies 10 Broken Stone 11 Serenade Me 12 Broken 13 Its over now 01 Wish 02 Starship 03 Serpentine 04 Promise (You And Me) 05 Shes A Bomb 06 Tonight 07 Just Another Night 08 Starting To Live 09 LA Skies 10 Sometimes 11 Come To Me 12 Out Of Reach 13 The Only Ones 01 Intro 02 Beautiful Sky 03 Star 04 Falling Down 05 Allright 06 Valentine 07 Strong 08 Promised Land 09 Pain 10 Angels Fly 11 Sunshine Baby 12 A Little Bit Of Sunshine 13 Sold 14 Back Again 01 Come And Go 02 La Trieste 03 Everytime She Goes Away 04 °C Inside 05 Picture Of Heaven 06 New World 07 Only When You Sleep 08 Life Is A Dream 09 Flowers 10 Weep 11 Saving An Angel 12 Jeanny 01 7th Son02 Supergirl03 Swim04 If I Go05 Josephine06 Head In My Hands07 She’s So Sexual08 Torn09 Stripped10 Waiting There For You11 Just A Day 
dataset/Dataset/data/7662677/table_6|3|152|трек|#04 #07 #10 
dataset/Dataset/data/8077503/table_1|0|152|трек|1. Eclipse [Title] 2. mirror 3. ILJIDO 4. MOON MOVIE 5. Weird Day (Feat. Punch) 6. Snow 
dataset/Dataset/data/2620961/table_0|0|152|трек|Исполнитель/и Airbourne Apocalyptica feat. Томоясу Хотэй Avenged Sevenfold Billy Talent feat. Anti-Flag Black Tide Bullet for My Valentine Coheed and Cambria Disco Ensemble From First to Last Johnossi Millencolin Panic at the Disco Phantom Planet Protest the Hero Sons and Daughters The Elms The Kills 
dataset/Dataset/data/6291462/table_5|3|152|трек|«How to Be a Heartbreaker (Kitty Pryde Remix)»A.K.A. «How 2 B a Heartbreaker???» «Cut It (56colors Edit)»(вместе с 56colors) «Pom Poms Down»(вместе с 56colors) «in2u»(вместе с 56colors) «F*ck the P*in Aw*y»(вместе с 56colors) 
dataset/Dataset/data/7864300/table_3|3|152|трек|«R N SI’KR XW» «TripleSixGods» «Внутренности в кейсе» «Kimono» «Flexx» «Мой мрак» «Raiders» «Supsayan» «TripleSixGods II» «Hard 2 Kill» «Bane» «Голый» 
dataset/Dataset/data/4775274/table_3|2|152|трек|Departures -Anata ni Okuru Ai no Uta- [Guilty Crown] Trailer 60 sec. TV Spot 30 sec. TV Spot 15 sec. Single Hatsubai Kokuchi TV Spot 15 sec. 
dataset/Dataset/data/8630830/table_3|3|152|трек|«Космос» 
