table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1005714/table_3|1|153|тренер|Владимир Бодров Алексей Корягин Игорь Волчок Алексей Корягин Владимир Павленко Николай Лебедев Юрий Крючков Юрий Нестеренко Арсен Найдёнов Юрий Кобяков Игорь Кукин Юрий Кобяков Михаил Кобяков 
dataset/Dataset/data/1021861/table_1|0|153|тренер|Владимир Соловьёв Юрий Смирнов Валерий Третьяков Александр Королёв Владимир Бибиков Владимир Ерофеев Алексей Бессонов Валерий Губа Александр Хомутецкий Николай Левин Владимир Дергач Владимир Бибиков Юрий Уткин Фёдор Щербаченко Владимир Бибиков Доринел Мунтяну Марат Мустафин Сергей Подпалый Марат Мустафин Юрий Максимов Юрий Сёмин Андрей Гордеев Марат Мустафин Дмитрий Черышев Андрей Сёмин Марат Мустафин Руслан Мухаметшин (и. о.) Олег Василенко 
dataset/Dataset/data/1021871/table_0|4|153|тренер|Энгельс Болотов Энгельс Болотов Энгельс Болотов Энгельс Болотов / Владимир Никаноров Владимир Никаноров Владимир Никаноров Владимир Никаноров Владимир Никаноров / Александр Маслов Александр Маслов Александр Маслов Александр Маслов Александр Маслов 
dataset/Dataset/data/1021873/table_4|0|153|тренер|Николай Лебедев Григорий Петров Георгий Терентьев Эдуард Паршин Юрий Дземешкевич Геннадий Шершнев Геннадий Неделькин Виктор Иванюшкин Валерий Знарок Борис Журавлёв Виктор Прозоров Игорь Касюк Александр Сальнов Владимир Петров Игорь Кузнецов Иван Герасимов Александр Сиянов Владимир Книллер Владимир Сизонтов Евгений Шурко Юрий Нестеренко Евгений Шурко 
dataset/Dataset/data/1021947/table_0|8|153|тренер|В. Петров (В. Грозный) Е. Школьников Е. Школьников С. Морозов (А. Бобарика) С. Морозов А. Ищенко (П. Касанов) В. Атаманюк (А. Ищенко) Л. Гайдаржи (И. Яворский) В. Рева Л. Гайдаржи А. Петраков (В. Рева) В. Рева (В. Тарасенко, В. Душков) В. Рева Р. Покора (А. Раденко, В. Игнатенко) В. Бессонов «Нива» снялась с соревнований Ю. Соловьенко И. Панчишин Б. Блавацкий (Ю. Соловьенко) О. Федорчук О. Федорчук О. Федорчук О. Федорчук/О. Остапенко В. Горилый Д. Колчин Д. Колчин (К. Нгаха) 
dataset/Dataset/data/1021992/table_4|0|153|тренер|Николай Лебедев Григорий Петров Георгий Терентьев Эдуард Паршин Юрий Дземешкевич Геннадий Шершнев Геннадий Неделькин Виктор Иванюшкин Валерий Знарок Борис Журавлёв Виктор Прозоров Игорь Касюк Александр Сальнов Владимир Петров Игорь Кузнецов Иван Герасимов Александр Сиянов Владимир Книллер Владимир Сизонтов Евгений Шурко Юрий Нестеренко Евгений Шурко 
dataset/Dataset/data/108084/table_3|0|153|тренер|Юрий Семин Леонид Слуцкий Валерий Газзаев Курбан Бердыев Сергей Семак 
dataset/Dataset/data/1145448/table_6|1|153|тренер|Алексей Лапшин информация отсутствует Вячеслав Кольцов Берадор Абдураимов Владимир Десятчиков Алексей Масесов Николай Киселев Александр Иванков Владимир Федин Шавкат Ахмеров Юрий Мамедов Рустам Истамов Николай Соловьев Рустам Истамов Владимир Десятчиков информация отсутствует Махмуд Рахимов Хаким Фузайлов Берадор Абдураимов информация отсутствует Тачмурад Агамурадов Азамат Абдураимов Виктор Джалилов Ахмад Убайдуллаев Сергей Арсланов Камо Газаров Равшан Хайдаров Тачмурад Агамурадов Бахром Хакимов Учкун Кобилов Ильхом Шарипов Эдгар Гесс Олег Тюлькин Ильхом Шарипов Даврон Файзиев Тачмурад Агамурадов Равшан Ахмедов Сергей Лущан Жасур Хакимов Хаким Фузайлов 
dataset/Dataset/data/1251391/table_3|2|153|тренер|Юлиус Шуплер Ян Штербак Ян Филц Франтишек Госса Ян Филц Владимир Вуйтек Крейг Рэмзи 
dataset/Dataset/data/1303655/table_5|1|153|тренер|Виктор Засульский Сергей Оборин Игорь Уралёв (и. о.) Рашид Рахимов Миодраг Божович Димитр Димитров Николай Трубачёв Рустем Хузин Станислав Черчесов Константин Парамонов Славолюб Муслин Гаджи Гаджиев Вадим Евсеев Рустем Хузин 
dataset/Dataset/data/1317549/table_11|1|153|тренер|Чжу Гуанху Владимир Петрович Любиша Тумбакович Гао Хунбо Тумбакович, Любиша Тан Яодун Бранко Иванкович Ма Линь Драган Окука Марчелло Липпи Грегорио Мансано Луиc Фелипе Сколари Луиc Фелипе Сколари Фабио Каннаваро 
dataset/Dataset/data/1417375/table_6|0|153|тренер|Лев Мазуркевич Юрий Пунтус Игорь Криушенко Виктор Гончаренко Александр Ермакович Олег Дулуб Алексей Бага Кирилл Альшевский Александр Лисовский Виталий Жуковский 
dataset/Dataset/data/1417389/table_6|1|153|тренер|Неждет Ниш Зия Шенгюль Фридель Рауш Бранко Станкович Тодор Веселинович Кальман Мешёли Бранко Станкович Паль Чернаи Тодор Веселинович Гуус Хиддинк Йозеф Венглош Хольгер Осиек Томислав Ивич Карлос Алберто Паррейра Себастьян Лазарони Отто Барич Йоахим Лёв 
dataset/Dataset/data/1640847/table_6|1|153|тренер|Рашид Рахимов Андрей Кобелев Анатолий Давыдов Юрий Газзаев Погос Галстян Юрий Сёмин Миодраг Божович Курбан Бердыев Олег Долматов Андрей Гордеев Валерий Карпин Юрий Красножан Шахин Диниев Валерий Непомнящий Игорь Чугайнов Леонид Слуцкий 
dataset/Dataset/data/1651957/table_1|0|153|тренер|Иван Данильянц Григорий Янец Эдуард Данилов Владимир Госперский Роман Покора Михаил Дунец Владимир Булгаков Геннадий Фирер Николай Олянский Армен Симонянц Михаил Дунец Лилиан Попеску Валерий Погорелов Александр Довбий Эмил Карас Николай Буня Альберт Соломонов Виталий Мостовой Сергей Рогачев (и.о.) Игорь Урсаки Леонид Ткач Николай Буня Сергей Дубровин Сергей Зайцев Виктор Догадайло (и.о.) Игорь Рахаев Влад Гоян Леонид Ткач 
