table_id|column_id|label_id|label|column_data
dataset/Dataset/data/4483751/table_0|2|154|турнир|Вейккауслига Вейккауслига Вейккауслига Вейккауслига Вейккауслига Вейккауслига Вейккауслига Вейккауслига Юккёнен Юккёнен Вейккауслига Вейккауслига Юккёнен Юккёнен Вейккауслига Вейккауслига Юккёнен Вейккауслига Юккёнен Вейккауслига Вейккауслига Вейккауслига Вейккауслига Вейккауслига Вейккауслига Вейккауслига Вейккауслига 
dataset/Dataset/data/7405234/table_0|6|154|турнир|ТАЧ 2016 (7 место) ЗУ 2017 (10 место) ЗАИ 2017 (4 место) 
dataset/Dataset/data/8656719/table_0|5|154|турнир|ЗОИ 1972 (4 место) ЧМ 1974 
dataset/Dataset/data/6943682/table_0|6|154|турнир|ЧМЮ 1997 (10 место) ЧМЮ 1998 (8 место) ЧМЮ 1999 (8 место) ЧМЮ 2000 (8 место) ЧМЮ 2001 (8 место) ЧМЮ 2002 (9 место) ЧЕ 2002 ЧМЮ 2003 (8 место) ЗУ 2003 ЧМЮ 2004 ЧМ 2004 ЧЕ 2004 ЧМ 2005 ЧМЮ 2005 (6 место) ЧЕ 2005 (4 место)ЗОИ 2006 (4 место) ЧЕ 2006 (9 место) ЧЕ 2007 (14 место) ЧЕ 2008 (11 место)ЧМ 2009 (9 место) ЧЕ 2009 (7 место) ЧЕ 2013 (9 место) ЧЕ 2019 (9 место) ЧНЖ 2020 ЧНСП 2017 ЧНСП 2019 ЧНСП 2020 
dataset/Dataset/data/8378817/table_1|4|154|турнир|Bellator 234 - Kharitonov vs. Vassell Bellator 209 - Pitbull vs. Sanchez IMC 2 MFC 3 KNO World Tour 1 MFC 2 
dataset/Dataset/data/2957743/table_0|2|154|турнир|— — — — — — — — — — 5 место 9 место 8 место 2 место 4 место 7 место 7 место 7 место 6 место 8 место 5 место 
dataset/Dataset/data/3489280/table_14|2|154|турнир|Кубок Федерации 
dataset/Dataset/data/6537511/table_5|3|154|турнир|Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Первый дивизион Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига Премьер-лига 
dataset/Dataset/data/2974615/table_2|1|154|турнир|Кубок УЕФА Кубок УЕФА Кубок УЕФА Кубок УЕФА Лига чемпионов УЕФА Кубок обладателей кубков Кубок обладателей кубков Кубок обладателей кубков Кубок обладателей кубков Кубок обладателей кубков Кубок УЕФА Кубок УЕФА Кубок обладателей кубков Кубок УЕФА Кубок УЕФА Лига чемпионов УЕФА Лига чемпионов УЕФА Кубок УЕФА Кубок УЕФА Кубок Интертото Кубок Интертото Кубок Интертото Кубок УЕФА Кубок УЕФА Кубок Интертото Кубок Интертото Кубок Интертото Кубок Интертото Лига Европы УЕФА Лига Европы УЕФА Лига Европы УЕФА Лига Европы УЕФА Лига Европы УЕФА Лига чемпионов УЕФА Лига чемпионов УЕФА Лига чемпионов УЕФА Лига чемпионов УЕФА Лига Европы УЕФА Лига Европы УЕФА Лига Европы УЕФА Лига Европы УЕФА Лига Европы УЕФА Лига Европы УЕФА Лига чемпионов УЕФА Лига чемпионов УЕФА Лига Европы УЕФА Лига конференций УЕФА 
dataset/Dataset/data/8894267/table_0|6|154|турнир|ЧСШАЮ 1996 ЧМЮ 1996 (6 место) ЧСШАМ 2001 ЧМ 2001 (6 место) АООК 2001 (7 место) 
dataset/Dataset/data/439898/table_1|3|154|турнир|9e 1500 м 14e 1500 м 7e 5000 м 23e 1500 м 9e 10000 м 5e 5000 м команда 9e 5000 м 7e команда 10e 1500 м 6e 5000 м 5e 10000 м 5e 1500 м 5000 м 10000 м 6е команда 1500 м 6е 5000 м команда 1500 м 5000 м 4е команда 
dataset/Dataset/data/3341196/table_1|2|154|турнир|Амстердам Роттердам Амерсфорт Хертогенбос 
dataset/Dataset/data/8380217/table_0|6|154|турнир|ЧМ 2008 (10 место) ЧШМ 2011  ЧШМ 2012 ЧШМ 2013 ЧШМ 2014 ЧШМ 2016 ЧШСК 2012 (5 место) 
dataset/Dataset/data/6118732/table_0|3|154|турнир|Вашингтон, США Индианаполис, США Открытый чемпионат Японии, Токио Флоренция, Италия Открытый чемпионат Италии, Рим Вашингтон (2) Бостон, США Индианаполис Палермо, Италия Лас-Вегас, США Флоренция Открытый чемпионат Японии Монте-Карло, Монако Чарлстон, Ю. Каролина, США (2) Аделаида, Австралия Шарлотт, С. Каролина, США (3) 
dataset/Dataset/data/4541655/table_1|1|154|турнир|Ariadne Women’s Classic Брисбен, Австралия5я категория$100,000 — Трава — 56S/32D/32Q Турнир 1988 Ariadne Women’s Classic Брисбен, Австралия5я категория$100,000 — Трава — 56S/32D/32Q Турнир 1988 Открытый чемпионат Нового Южного Уэльса Сидней, Австралия4я категория$200,000 — Трава — 56S/32D/32Q Турнир 1988 Открытый чемпионат Нового Южного Уэльса Сидней, Австралия4я категория$200,000 — Трава — 56S/32D/32Q Турнир 1988 Открытый чемпионат Австралии Мельбурн, АвстралияТурнир Большого Шлема$711,445 — Трава — 112S/32Q/32D/32X Одиночный турнир — Парный турнирТурнир смешанных пар Открытый чемпионат Австралии Мельбурн, АвстралияТурнир Большого Шлема$711,445 — Трава — 112S/32Q/32D/32X Одиночный турнир — Парный турнирТурнир смешанных пар Открытый чемпионат Австралии Мельбурн, АвстралияТурнир Большого Шлема$711,445 — Трава — 112S/32Q/32D/32X Одиночный турнир — Парный турнирТурнир смешанных пар Nutri-Metics Open Окленд, Новая Зеландия5я категория$50,000 — Хард — 56S/32D/32Q Турнир 1988 Nutri-Metics Open Окленд, Новая Зеландия5я категория$50,000 — Хард — 56S/32D/32Q Турнир 1988 
dataset/Dataset/data/8368304/table_0|6|154|турнир|ЧК 2009 ЧМ 2009 
dataset/Dataset/data/4062037/table_1|0|154|турнир|2 лига СССР Кубок Казахской ССР Высшая лига Кубок Казахстана Кубок чемпионов Содружества Кубок азиатских чемпионов итого: 
dataset/Dataset/data/2186545/table_0|2|154|турнир|Первый дивизион Первый дивизион Второй дивизион Адекколига Адекколига Адекколига Адекколига Типпелига Типпелига Типпелига Типпелига Типпелига Типпелига Типпелига Элитсерия 
dataset/Dataset/data/3610010/table_3|2|154|турнир|Токио, Япония Байонна, Франция Байонна (2) Осака, Япония Таранто, Италия Париж, Франция Брисбен, Австралия Хобарт, Австралия Сан-Диего, Калифорния, США Эдинбург, Великобритания Мадрид, Испания 
dataset/Dataset/data/3407793/table_0|4|154|турнир|K-1 — Hero’s Lithuania Rings — Lithuania PRIDE 26 PC — Premium Challenge Rings — World Title Series Grand Final Rings — 10th Anniversary Rings — World Title Series 2 Rings Lithuania — Bushido Rings 2 Rings Russia — Russia vs Bulgaria Rings — King of Kings 2000 Block B Rings Lithuania — Bushido Rings 1 Rings — Russia vs Georgia Rings Russia — Rings Russia Rings — King of Kings 1999 Final Rings — King of Kings 1999 Block A Rings — King of Kings 1999 Block A Rings — Rings Georgia Rings — Rise 3rd Rings — Rise 1st Rings — Third Fighting Integration Rings — Battle Dimensions Tournament 1997 Final Rings — Battle Dimensions Tournament 1997 Final Rings — Battle Dimensions Tournament 1997 Final Rings — Mega Battle Tournament 1997 Semifinal 1 Rings — Budokan Hall 1997 Rings — Battle Dimensions Tournament 1996 Opening Rings — Maelstrom 6 Shoot Boxing — S-Cup 1996 UVF 1 — Universal Vale Tudo Fighting 1 IAFC — Absolute Fighting Championship 1 IAFC — Absolute Fighting Championship 1 IAFC — Absolute Fighting Championship 1 IAFC — Absolute Fighting Championship 1 IAFC — Absolute Fighting Championship 1 IAFC — Absolute Fighting Eurasian Championship IAFC — Absolute Fighting Eurasian Championship IAFC — Absolute Fighting Eurasian Championship IAFC — Absolute Fighting Eurasian Championship IAFC — Absolute Fighting Eurasian Championship 
dataset/Dataset/data/5860201/table_1|2|154|турнир|Чемпионат Франции Чемпионат Франции Чемпионат Франции (2) Чемпионат США 
dataset/Dataset/data/7495241/table_0|2|154|турнир|11-я Олимпиада 
dataset/Dataset/data/7787881/table_4|0|154|турнир|Открытый чемпионат Австралии по теннису Открытый чемпионат Франции по теннису Уимблдон Открытый чемпионат США по теннису Win-Loss 
dataset/Dataset/data/2718864/table_12|0|154|турнир|Australian Open Roland Garros Уимблдон US Open Итог В/П в сезоне Олимпиада 
dataset/Dataset/data/1243629/table_0|1|154|турнир|Арбон Зональный турнир (Хилверсюм) Межзональный турнир Бухарест Венеция Зональный турнир (Марианске-Лазне) Межзональный турнир Зональный турнир (Прага — Марианске-Лазне) Гастингс Межзональный турнир Мемориал Стейница (Прага — Марианске-Лазне) Гота Зональный турнир (Дублин) Сантьяго Межзональный турнир Мар-дель-Плата Марианске-Лазне Сараево Зональный турнир (Мадрид) Грац Сараево Межзональный турнир Мемориал Капабланки (Гавана) Афины Нетанья Мангейм Реджо-Эмилия Межзональный турнир (Манила) 
dataset/Dataset/data/6360881/table_1|2|154|турнир|Уимблдонский турнир Чемпионат Австралии Уимблдонский турнир Чемпионат Австралии Чемпионат Австралии (2) Уимблдонский турнир (2) Чемпионат Австралии (2) Чемпионат Франции Чемпионат США Чемпионат Австралии (3) Чемпионат США (2) Открытый чемпионат Франции (2) Уимблдонский турнир (2) Открытый чемпионат Австралии (3) Открытый чемпионат США (3) Уимблдонский турнир (3) 
dataset/Dataset/data/7798425/table_1|1|154|турнир|Принимающая страна Группа A Группа B Группа C Группа D Группа E Группа F Европейский квалификационный турнир Азиатский квалификационный турнир Африканский квалификационный турнир Североамериканский квалификационный турнир Южноамериканский квалификационный турнир Всего 
dataset/Dataset/data/524952/table_5|1|154|турнир|Открытый чемпионат США 
dataset/Dataset/data/5374490/table_13|0|154|турнир|Открытый чемпионат Австралии Открытый чемпионат Франции Уимблдонский турнир Открытый чемпионат США Итог В/П в сезоне Индиан-Уэллc Майами Монте-Карло Мадрид Рим Торонто/Монреаль Цинциннати Шанхай Париж Проведено финалов Выиграно турниров АТП В/П: всего Σ % побед 
dataset/Dataset/data/7041226/table_0|6|154|турнир|ТАЧЮ 2006 ТАЧЮ 2011 ЗУ 2011 (4 место)ЧМЮ 2011 (8 место) ТАЧЮ 2012 ЧМЮ 2012 (5 место) ТАЧЮ 2013 ЧМЮ 2013 ЗУ 2013 (7 место) ТАЧ 2014 ЧЯЖ 2015 ЧМ 2015 (6 место) ЧЯЖ 2016 ЧЯЖ 2017 (4 место) ЧЯЖ 2019 ЧЯЖ 2020 ЧЯЖ 2021 ЧМ 2021 (11 место) 
dataset/Dataset/data/3993484/table_4|4|154|турнир|12 (2) 4 0 14 
dataset/Dataset/data/2652491/table_0|6|154|турнир|Отборочный турнир Евро 2012 Отборочный турнир Евро 2012 Отборочный турнир Евро 2012 Отборочный турнир Евро 2012 Товарищеский матч Отборочный турнир ЧМ 2014 Отборочный турнир ЧМ 2014 Отборочный турнир ЧМ 2014 Отборочный турнир ЧМ 2014 Лига наций Лига наций Лига наций Лига наций Лига наций 
