table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1163997/table_3|3|155|улица|Московское шоссе, Сормовское шоссе, ул. Коминтерна, ул. Свободы, ул. Хальзовская, ул. КИМа, ул. Ясная, ул. Землячки, ул. Ужгородская 
dataset/Dataset/data/1290305/table_0|3|155|улица|ул. Варварская, пл. Свободы, ул. Горького, пл. Горького, ул. Б. Покровская, пл. Лядова, пр. Гагарина, трасса Р-125, пр. Олимпийский, ул. Приокская, ул. Богородская, ул. Гагарина ул. Родионова, пл. Сенная, ул. Белинского, пл. Лядова, пр. Гагарина ул. М. Покровская (обратно - ул. Маслякова), Похвалинский съезд, Нижне-Волжская набережная, ул. Красная Слобода ул. Горького, пл. Свободы, ул. Белинского, пл. Сенная, ул. Родионова, ул. Бринского, ул. Васюнина, пл. Советская, ул. Рокоссовского ул. Родионова, пл. сенная, ул. Белинского, пл. Лядова, пл. Комсомольская, Комсомольское шоссе, Московское шоссе, ул. Лесной Городок, ул. Ухтомского, ул. Электровозная, ул. Движенцев, ул. Гороховецкая, ул. Электровозная ул. Родионова, ул. Бринского, ул. Н. Сусловой, ул. Ванеева, ул. Белинского, пл. Лядова, пл. Комсомольская, ул. Молитовская, ул. Голубева, ул. Баумана, ул. Памирская, ул. Г. Успенского, ул. Нахимова, пр. Ленина, пл. Киселёва, ул. Веденяпина, ул. Лескова, ул. Я. Купалы, ул. Коломенская, ул. Минеева, ул. Патриотов, ул. Ореховская, ул. Безводная ул. Литвинова (обратно - ул. Долгополова), пл. Революции, ул. Советская, пл. Ленина, Похвалинский съезд, ул. Маслякова (обратно - ул. М. Покровская), пл. Горького, ул. Б. Покровская, пл. Лядова, пр. Гагарина, ул. Бекетова, пл. Советская, ул. Ванеева, ул. Козицкого Высоковский проезд, ул. Республиканская, ул. Полтавская, ул. Белинского, пл. Лядова, пр. Гагарина, ул. Артельная ул. Фруктовая, ул. Родионова, пл. Сенная, ул. Белинского, пл. Лядова, пр. Гагарина, ул. Бекетова, ул. Нартова, ул. Медицинская, ул. братьев Игнатовых, ул. горбатовская ул. Б. Покровская, пл. Лядова, пр. Гагарина, ул. Кащенко ул. Родионова, пл. Сенная, ул. Минина, пл. Минина и Пожарского, ул. Варварская, пл. Свободы, ул. Горького, пл. Горького, ул. Б. Покровская, пл. Лядова, пл. Комсомольская, пр. Ленина, пл. Киселёва, ул. Веденяпина, Южное шоссе, ул. Я. Купалы, Южный бульвар ул. Сахарова, ул. Рокоссовского, ул. Козицкого, ул. Ванеева, пл. Свободы, ул. Горького, пл. Горького, ул. М. Покровская (обратно - ул. Маслякова), Похвалинский съезд, пл. Ленина, ул. Советская, ул. С. Акимова, ул. К. Маркса ул. Литвинова (обратно - ул. Долгополова), пл. Революции, ул. Советская, пл. Ленина, Похвалинский съезд, ул. Маслякова (обратно - ул. М. Покровская), пл. Горького, ул. Б. Покровская, пл. Лядова, пр. Гагарина Казанское шоссе, ул. Родионова, пл. Сенная, ул. Минина, пл. Минина и Пожарского, ул. Варварская, пл. Свободы, ул. Горького, пл. Горького, ул. Одесская, Метромост, Московское шоссе, ул. Рябцева, ул. Авиационная, ул. Чаадаева, ул. Мирошникова, ул. Лобачевского, ул. Черняховского, ул. Циолковского, ул. Светлоярская, пр. 70-летия Октября, пр. Кораблестроителей ул. Родионова, пл. Сенная, ул. Минина, пл. Минина и Пожарского, ул. Варварская, пл. Свободы, ул. Горького, пл. Горького, ул. Б. Покровская, пл. Лядова, пл. Комсомольская, пр. Ленина, ул. Переходникова, пр. Бусыгина, ул. Дьяконова, пр. Октября, пр. Ильича, ул. Красноуральская, ул. Спутника, ул. Толбухина, ул. Мончегорская ул. Родионова, пл. Сенная, ул. Минина, пл. Минина и Пожарского, ул. Варварская, пл. Свободы, ул. Горького, пл. Горького, ул. Б. Покровская, пл. Лядова, пл. Комсомольская, ул. Голубева, ул. Баумана, ул. Памирская, ул. Космонавта Комарова, ул. Г. Успенского, ул. Нахимова, пр. Ленина, ул. Переходникова, ул. Дьяконова, ул. Раевского, ул. Строкина, ул. Советской Армии ул. Варварская, пл. Свободы, ул. Горького, пл. Горького, ул. Б. Покровская, пл. Лядова, пр. Гагарина, Мызинский мост, пр. Ленина, пл. Киселёва, ул. Лескова, ул. Орбели 
dataset/Dataset/data/1340294/table_2|3|155|улица|Московское шоссе, Сормовское шоссе, ул. Коминтерна, ул. Свободы, ул. Хальзовская, ул. КИМа, ул. Ясная, ул. Землячки, ул. Ужгородская ул. Пролетарская, Мещерский бульвар, ул. С. Есенина, ул. Должанская, Московское шоссе Московское шоссе, пр. Героев, ул. Просвещенская, ул. Рябцева, ул. Чаадаева ул. Пролетарская, Мещерский бульвар, ул. С. Есенина, ул. Должанская, Московское шоссе, ул. Кузбасская, ул. Путейская (обратно — ул. Гороховецкая) 
dataset/Dataset/data/1343113/table_0|3|155|улица|ул. Пролетарская, ул. Куйбышева, проезд Бурнаковский, пр. Героев, ул. Просвещенская, ул. Чаадаева Московское шоссе, Сормовское шоссе, ул. Коминтерна, ул. Свободы, ул. Хальзовская, ул. КИМа, ул. Ясная, ул. Землячки, ул. Ужгородская 
dataset/Dataset/data/1343113/table_1|3|155|улица|ул. Варварская, пл. Минина и Пожарского, Зеленский съезд, Нижне-Волжская набережная, пл. Ленина, ул. Советская, Московское шоссе, Сормовское шоссе, ул. Коминтерна, Союзный пер., ул. Ногина, ул. Старая Канава, пр. Кораблестроителей, ул. Коновалова, ул. Федосеенко Казанское шоссе, ул. Родионова, пл. Сенная, ул. Минина, пл. Минина и Пожарского, Зеленский съезд, Нижне-Волжская набережная, пл. Ленина, ул. Советская, Московское шоссе, Сормовское шоссе, ул. Коминтерна, ул. Свободы, ул. Б. Починковская, ул. Бутырская, ул. Новосельская, пр. Кораблестроителей ул. Цветочная, ул. академика Сахарова, ул. Ванеева, пл. Свободы, ул. Варварская, пл. Минина и Пожарского, Зеленский съезд, Нижне-Волжская набережная, пл. Ленина, ул. Советская, Московское шоссе, Сормовское шоссе, ул. Куйбышева, ул. Акмолинская, ул. Бурнаковская ул. Варварская, пл. Минина и Пожарского, Зеленский съезд, Нижне-Волжская набережная, пл. Ленина, ул. Советская, Московское шоссе, Сормовское шоссе, ул. Коминтерна, ул. Свободы, ул. Хальзовская, ул. КИМа, ул. Ясная, ул. Землячки, ул. Ужгородская 
dataset/Dataset/data/1420208/table_6|1|155|улица|Сатпаева — Муканова — Шевченко — Космонавтов — Пастера — К. Маркса — Шевченко — Муканова — Сатпаева Руднева — Сатпаева — Муканова — Шевченко — Космонавтов — Пастера — К. Маркса — Шевченко — Муканова — Сатпаева — Руднева — Васнецова — Туркебаева — Комсомольская — Руднева Васнецова — Туркебаева — Комсомольская — Руднева — Руднева — Джандосова — Муканова — Шевченко — Космонавтов — Комсомольская — Руднева (мкр. Аксай 1) Комсомольская — Руднева — Сатпаева — Муканова — Шевченко — К. Маркса — Пастера — Космонавтов и обратно (Васнецова, Туркебаева) (мкр. Аксай 3) Момыш-Улы — Комсомольская — (позже укорочена)- Руднева — Сатпаева — Муканова — Шевченко — Космонавтов — Пастера — К.Маркса — Шевченко и обратно (Васнецова, Туркебаева) 
dataset/Dataset/data/1420214/table_7|1|155|улица|Пастера — Карла Маркса — Шевченко — Космонавтов 
dataset/Dataset/data/1420214/table_8|1|155|улица|(мкр. Аксай 3) Момыш-Улы — рядом с Ташкентской до больницы Калкаман 
dataset/Dataset/data/2768856/table_0|1|155|улица|ул. Зеленая, пер. Медицинский ул. Песчаная, ул. Щербакова ул. Меркурьева, ул. Полевая ул. Советская, ул. Новая, ул. Загорская, ул. Меркурьева ул. Партизанская 
dataset/Dataset/data/277846/table_0|3|155|улица|ул. Коминтерна, ул. Бурнаковская, ул. С. Акимова, ул. Совнаркомовская, ул. Советская, пл. Революции, ул. Долгополова (обратно - ул. Литвинова), ул. Июльских Дней, пр. Ленина, ул. Переходникова, пр. Бусыгина, ул. Львовская, ул. Плотникова, ул. Краснодонцев, пр. Ильича, ул. Красноуральская, ул. Спутника, ул. Толбухина, ул. Мончегорская ул. Родионова, пл. Сенная, ул. Минина, пл Минина и Пожарского, ул. Варварская, пл. Свободы, ул. Горького, пл. Горького, ул. Б. Покровская, пл. Лядова, пл. Комсомольская, пр. Ленина, пл. Киселёва, ул. Веденяпина, Южное шоссе, ул. Я. Купалы, Южный бульвар ул. Коминтерна, ул. Страж Революции (назад - ул. 50 лет Победы), пр. Героев, Комсомольское шоссе, пр. Ленина, пр. Молодёжный ул. Родионова, пл. Сенная, ул. Минина, пл. Минина и Пожарского, ул. Варварская, пл. Свободы, ул. Горького, пл. Горького, ул. Б. Покровская, пл. Лядова, пл. Комсомольская, пр. Ленина, ул. Переходникова, пр. Бусыгина, ул. Дьяконова, пр. Октября, пр. Ильича, ул. Красноуральская, ул. Спутника, ул. Толбухина, ул. Мончегорская ул. К. Маркса, ул. С. Акимова, ул. Совнаркомовская, ул. Советская, пл. Революции, ул. Долгополова (обратно - ул. Литвинова), ул. Июльских Дней, пр. Ленина, Мызинский мост, пр. Гагарина 
