table_id|column_id|label_id|label|column_data
dataset/Dataset/data/363782/table_35|3|156|университет|Гриффиндор 
dataset/Dataset/data/301223/table_19|3|156|университет|Слизерин 
dataset/Dataset/data/397921/table_19|3|156|университет|Слизерин 
dataset/Dataset/data/397861/table_31|3|156|университет|Гриффиндор 
dataset/Dataset/data/384244/table_46|3|156|университет|Гриффиндор 
dataset/Dataset/data/6310517/table_0|1|156|университет|Высшая коммерческая школа Парижа Венский университет экономики и бизнеса Лаппеэнрантский технологический университет Второй Пекинский университет иностранных языков Европейский университет Виадрина Болонский университет Университет Тампере Европейский университет Виадрина Кильский университет им. Кристиана-Альбрехта Технический университет Ильменау Грайфсвальдский университет им. Эрнста Морица Арндта Университет Сорбонна Университет Сорбонна Университет Сорбонна Гамбургский университет Свободный университет Берлина 
dataset/Dataset/data/939413/table_19|3|156|университет|Слизерин 
dataset/Dataset/data/1828828/table_39|3|156|университет|Слизерин 
dataset/Dataset/data/4001668/table_35|3|156|университет|Гриффиндор 
dataset/Dataset/data/1135341/table_32|3|156|университет|Пуффендуй 
dataset/Dataset/data/384244/table_38|3|156|университет|Слизерин 
dataset/Dataset/data/637065/table_25|3|156|университет|Слизерин 
dataset/Dataset/data/8158432/table_17|3|156|университет|Гриффиндор 
dataset/Dataset/data/1828840/table_28|3|156|университет|Гриффиндор 
dataset/Dataset/data/972404/table_25|3|156|университет|Слизерин 
dataset/Dataset/data/755806/table_38|3|156|университет|Слизерин 
dataset/Dataset/data/1828797/table_42|3|156|университет|Слизерин 
dataset/Dataset/data/532901/table_29|3|156|университет|Гриффиндор 
dataset/Dataset/data/6243519/table_1|3|156|университет|Лафайеттский колледж Американский университет Лафайеттский колледж Университет Хофстра Университет Ла-Салль Университет Ла-Салль Университет Ла-Салль Дрексельский университет Темпльский университет Американский университет Университет Хофстра Дрексельский университет Бакнеллский университет Дрексельский университет Лихайский университет Райдерский университет Дрексельский университет Университет Тоусона Университет Тоусона Университет Тоусона Университет Тоусона — Университет Северо-Восточного Иллинойса 
dataset/Dataset/data/1850780/table_32|3|156|университет|Пуффендуй 
dataset/Dataset/data/340429/table_41|3|156|университет|Слизерин 
dataset/Dataset/data/802921/table_35|3|156|университет|Гриффиндор 
dataset/Dataset/data/1023772/table_25|3|156|университет|Слизерин 
dataset/Dataset/data/637065/table_29|3|156|университет|Гриффиндор 
dataset/Dataset/data/1466176/table_39|3|156|университет|Слизерин 
dataset/Dataset/data/6243535/table_1|3|156|университет|Лафайеттский колледж Американский университет Лафайеттский колледж Университет Хофстра Университет Ла-Салль Университет Ла-Салль Университет Ла-Салль Дрексельский университет Темпльский университет Американский университет Университет Хофстра Дрексельский университет Бакнеллский университет Дрексельский университет Лихайский университет Райдерский университет Дрексельский университет Университет Тоусона Университет Тоусона Университет Тоусона Университет Тоусона — Университет Северо-Восточного Иллинойса 
dataset/Dataset/data/397861/table_28|3|156|университет|Гриффиндор 
dataset/Dataset/data/1332273/table_23|3|156|университет|Когтевран 
dataset/Dataset/data/2412622/table_21|3|156|университет|Когтевран 
dataset/Dataset/data/186002/table_35|3|156|университет|Гриффиндор 
dataset/Dataset/data/639456/table_34|3|156|университет|Пуффендуй 
dataset/Dataset/data/755806/table_50|3|156|университет|Слизерин 
dataset/Dataset/data/8158432/table_36|3|156|университет|Гриффиндор 
dataset/Dataset/data/1850595/table_37|3|156|университет|Гриффиндор 
dataset/Dataset/data/6871828/table_38|3|156|университет|Слизерин 
dataset/Dataset/data/7245600/table_0|2|156|университет|2 4 4 2 3 2 3-4 
dataset/Dataset/data/681549/table_37|3|156|университет|Гриффиндор 
dataset/Dataset/data/832559/table_25|3|156|университет|Слизерин 
dataset/Dataset/data/927801/table_47|3|156|университет|Когтевран или Пуффендуй(возможно) 
dataset/Dataset/data/1385923/table_39|3|156|университет|Слизерин 
dataset/Dataset/data/340382/table_28|3|156|университет|Гриффиндор 
dataset/Dataset/data/763807/table_43|3|156|университет|Гриффиндор 
dataset/Dataset/data/397854/table_23|3|156|университет|Когтевран 
