table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1386956/table_0|1|158|фигурист|Патрик Чан Эван Лайсачек Такахико Кодзука Нобунари Ода Джереми Эбботт Вон Шипёр Джереми Тен Брэндон Мроз Денис Тен У Цзялян Ли Чэнцзян Ясухару Нанри Гао Сун Абзал Ракимгалиев Марк Уэбстер Кевин Алвес Луис Эрнандес Роберт Макнамара Ким Минсок Джастин Питерсен Николас Фернандес Чарльз Бао Умберто Контрерас Ши Вэньчан Матьё Уилсон Себра Янь 
dataset/Dataset/data/1513801/table_5|1|158|фигурист|Александра Бойкова / Дмитрий Козловский Суй Вэньцзин / Хань Цун Суй Вэньцзин / Хань Цун 
dataset/Dataset/data/2246357/table_0|1|158|фигурист|Адам Риппон Тацуки Матида Кевин Рейнольдс Брэндон Мроз Райан Брэдли Сун Нань Шон Сойер У Цзялян Гуань Цзиньлинь Денис Тен Джои Рассел Ясухару Нанри Абзал Ракимгалиев Ким Минсок Кэнто Накамура Стивен Го Кевин Алвес Марк Уэбстер Мэттью Прешес Ши Вэньчан Николас Фернандес Чарльз Бао Умберто Контрерас Со Минсок Харри Лэй Дэннис Тхоу Кэмерон Хемс 
dataset/Dataset/data/2914247/table_2|1|158|фигурист|Денис Тен Такахито Мура Сун Нань Тацуки Матида У Цзялян Миша Ге Абзал Ракимгалиев Ли Сончхоль Ким Минсок Ши Вэньчан Харри Лэй Маверик Эгия Райан Йи Карн Луанпреда 
dataset/Dataset/data/3183363/table_0|0|158|фигурист|Тенли Олбрайт Андре Жоли / Пьер Брюне Дик Баттон Пегги Флеминг Гиллис Графстрём Кэрол Хейсс Соня Хени Дэвид Дженкинс Тайк Ричардсон (англ.)русск. Жак Гершвилер (англ.)русск. Джексон Хейнс Густав Люсси (англ.)русск. Хейз Алан Дженкинс Аксель Паульсен Ульрих Сальхов Карл Шефер Реджинальд Уилки (англ.)русск. Говард Николсон (англ.)русск. Эди Шолдан (англ.)русск. Бад Уилсон Вилли Бёкль Джин Вествуд / Лоуренс Демми Дональд Джексон Людмила Белоусова / Олег Протопопов Макси Гербер / Эрнст Байер Барбара Энн Скотт Сесилия Колледж Барбара Вагнер / Роберт Пол Медж Сайерс Вилли Фрик (нем.)русск. Уильям Хикок (англ.)русск. Херма Сабо Луи Рубенштейн (англ.)русск. Вернер Грёбли (англ.)русск. Фрэнсис Дефо / Норрис Боуден Шарлотта Эльшлегель (англ.)русск. Арнольд Гершвилер (англ.)русск. Фрэнк Риттер Шамвэй (англ.)русск. Кортни Джонс Людмила Пахомова / Александр Горшков Ирина Роднина Джейн Торвилл / Кристофер Дин Скотт Хамильтон Джон Карри Жанетт Альтвегг Ричард Двайер (англ.)русск. Риа Баран / Пауль Фальк Фавар, Жак Георг Хаслер (англ.)русск. Рональд Робертсон Диана Таулер / Бернард Форд Джеймс Кох (англ.)русск. Екатерина Гордеева / Сергей Гриньков Уильям Тайер Татт Катарина Витт Брайан Бойтано Герберт Кларк (англ.)русск. Шелдон Гэлбрейт (англ.)русск. Карло Фасси Лили Кронбергер Бенджамин Райт (англ.)русск. Том Коллинз (англ.)русск. Йозеф Дедич Феликс Каспар Кристи Ямагучи Рональд Лудингтон (англ.)русск. Глейдис Хогг (англ.)русск. Дороти Хэмилл Марина Климова / Сергей Пономаренко Джон Никс Джанет Линн Мэрибел Винсон-Оуэн Ютта Мюллер Толлер Крэнстон Мидори Ито Робин Казинс Тамара Москвина Дональд Джилкрист (англ.)русск. Курт Браунинг Фрэнк Замбони Фрэнк Кэрролл Татьяна Тарасова Вилли Битак (англ.)русск. Джойс Хайси Брайан Орсер Николай Панин-Коломенкин Барбара Андерхилл / Пол Мартини Алена Врзанёва Нобуо Сато Мишель Кван Артур Дмитриев / Наталья Мишкутёнок/ Оксана Казакова Алексей Мишин Алексей Ягудин Сидзука Аракава Виктор Петренко Елена Валова / Олег Васильев Ирина Моисеева / Андрей Миненков Яо Бинь Сандра Безик Наталья Бестемьянова / Андрей Букин Елена Чайковская Ондрей Непела Ева Романова / Павел Роман Габриэле Зейферт 
dataset/Dataset/data/4232897/table_6|1|158|фигурист|Габриэлла Пападакис / Гийом Сизерон Габриэла Пападакис / Гийом Сизерон Габриэла Пападакис / Гийом Сизерон 
dataset/Dataset/data/5078670/table_5|1|158|фигурист|Суй Вэньцзин / Хань Цун Алёна Савченко / Бруно Массо Евгения Тарасова / Владимир Морозов Юй Сяоюй / Чжан Хао Ксения Столбова / Фёдор Климов Любовь Илюшечкина / Дилан Москович Меган Дюамель / Эрик Рэдфорд Ванесса Джеймс / Морган Сипре Валентина Маркеи / Ондржей Готарек Алекса Книрим / Крис Книрим Джулианна Сеген / Чарли Билодо Наталья Забияко / Александр Энберт Николь Делла Моника / Маттео Гуаризе Анна Душкова / Мартин Бидарж Рём Дэ Ок / Ким Джу Сик Екатерина Александровская / Харли Уиндзор Сумире Суто / Фрэнсис Будро-Оде Мириам Циглер / Северин Кифер Минерва-Фабинне Газе / Нолан Зегерт Хэвен Денни / Брэндон Фрейзер Лана Петранович / Антонио Соуза-Кордейру Года Буткуте / Никита Ермолаев Татьяна Даниловa / Николай Каменчук Дарья Беклемищева / Марк Мадьяр Эмилия Симонен / Мэттью Пенассе Зои Уилкинсон / Кристофер Бояджи Лола Эсбрат / Андрей Новосёлов Юлия Щетинина / Ноа Шерер 
dataset/Dataset/data/6073879/table_0|1|158|фигурист|Кевин Рейнольдс Юдзуру Ханю Янь Хань Макс Аарон Ричард Дорнбуш Сун Нань Дайсукэ Такахаси Такахито Мура Росс Майнер Андрей Рогозин Миша Ге Денис Тен Ван И Кристофер Калуза Абзал Ракимгалиев Майкл Кристиан Мартинес Ли Джунхён Элладж Бальде Ким Джинсо Ким Минсок Брендан Керри Джордан Чжу Давид Краньец 
dataset/Dataset/data/6353911/table_2|1|158|фигурист|Евгения Тарасова / Владимир Морозов Юко Кавагути / Александр Смирнов Наталья Забияко / Александр Энберт Хэвен Денни / Брэндон Фрейзер Года Буткуте / Никита Ермолаев Зои Уилкинсон / Кристофер Бояджи Ким Су Ён / Ким Хён Тхэ 
dataset/Dataset/data/6360269/table_0|1|158|фигурист|Александр Майоров Дмитрий Алиев Стефан Уокер Игорь Резниченко Джулиан Йи Чжи Цзе Маттео Риццо Пауль Фенц Филлип Харрис Томоки Хиватаси Кевин Аймоз Сондре Бёэ Абзал Ракимгалиев Даниил Зурав Петр Котларжик Томас Кеннес Ян Курник Кшиштоф Гала Михаэль Нейман Якуб Кршняк Лукаш Кендзерский Марк Уэбстер Уэйн Вин Инь Чун Ондрей Шпигль 
