table_id|column_id|label_id|label|column_data
dataset/Dataset/data/4757800/table_0|3|159|фильм|н/д н/д н/д н/д Inglorious Bitches The Journalist н/д The Ingenuous (shared with Aleska Diamond, Anissa Kate, Angel Piaff, Rita, Tarra White and Mike Angelo) Russian Institute 18: The Headmistress (shared with Nasta Zya and JPX) н/д н/д Footballers' Housewives (shared with Abbie Cat, Markus Tynai and Vince Carter) н/д 
dataset/Dataset/data/3584574/table_0|3|159|фильм|Поющие в терновнике Год жизни Разделённые, но равные Поющие в терновнике Помнишь ли нашу любовь? Год жизни Разделённые, но равные Театр Рэя Брэдбери Застава фехтовальщиков Застава фехтовальщиков 30-летие документального кино National Geographic Сибирские тигры Redhead No Strings Человек из Ла Манчи Все мои сыновья 
dataset/Dataset/data/4023560/table_2|3|159|фильм|«Ай, Кармела!» «Сирано де Бержерак» «Допрос» «Маленький гангстер» «Путешественник» «Дети природы» «Любовники с Нового моста» «Милая Эмма, дорогая Бёбе» «Европа» «Дуб» «Долгая тишина» «Орландо» Премия не вручалась Премия не вручалась «Рассекая волны» «Английский пациент» «Карьеристки» «После секса» «Зимний гость» «Воображаемая жизнь ангелов» «Про уродов и людей» «Маленький Тони» «Всё о моей матери» «Порнографическая связь» «Девушка твоей мечты» «Розетта» «Последняя песня Мифуне» 
dataset/Dataset/data/7417624/table_0|4|159|фильм|н/д н/д н/д Little Red: A Lesbian Fairy Tale н/д н/д н/д Little Red: A Lesbian Fairy Tale Telepathy: a Mantis Origin Story New Beginnings New Beginnings Telepathy: a Mantis Origin Story Conflicted Conflicted How I Fucked Your Mother: A DP XXX Parody The Darker Side of Desire 
dataset/Dataset/data/538024/table_1|1|159|фильм|Рядовой Бенджамин Протокол Дикие коты Мои голубые небеса Повод для разговоров Надежда Когда Билли побеждает Бобби История Мэттью Шепарда 
dataset/Dataset/data/6923963/table_0|1|159|фильм|Кровавая вечеринка Любовные письма Горничная на заказ Мистическая пицца Бетховен Бетховен 2 Непристойное предложение Побег Жена богача Реликт Бетховен 3 Бетховен 4 Бетховен 5 Чёрный ящик 
dataset/Dataset/data/7385896/table_0|4|159|фильм|н/д Slutty and Sluttier 19 н/д н/д н/д н/д н/д н/д н/д н/д н/д н/д н/д н/д Rocco’s Perfect Slaves 5 Hard in Love н/д н/д The Fighter н/д 
dataset/Dataset/data/3831443/table_0|1|159|фильм|Ох, уж эти детки!/Rugrats (сериал) Порко Россо / Kurenai no buta Человек-паук / Spider-Man (сериал) Repentance No Smoking! Невероятные приключения Джонни Квеста/The Real Adventures of Jonny Quest Higglytown Heroes Аватар: Легенда об Аанге Американский папаша На замену Финес и Ферб Рога и копыта. Возвращение Мои друзья Тигруля и Винни: Мюзикл волшебного леса Звёздные войны: Войны клонов The Goode Family Захватывающий мир Эль Супербеасто Клуб Винкс Финес и Ферб: Покорение 2-го измерения ThunderCats Шоу Луни Тюнз Мстители: Величайшие герои Земли Аватар: Легенда о Корре Гравити Фолз Вселенная Стивена Звёздные Войны: Повстанцы Закон Майло Мерфи Новые Луни Тюнз Зелёные яйца и ветчина Кипо и Эра Чудесных Зверей Финес и Ферб: Кэндис против Вселенной Звёздные Войны: Бракованная партия 
dataset/Dataset/data/6495013/table_6|1|159|фильм|Остров доктора Агора Сны Тима Гудини По следам монстра-сельдерея Гибельный доктор Луау - вечеринка по-гавайски Поцелуй вампира / Кровь внутри 
dataset/Dataset/data/5495744/table_0|1|159|фильм|«Закон»неап. 'A legge «Сеньора родила»итал. L'ha fatto una signora «Рыцари в чёрных масках»итал. I cavalieri dalle maschere nere «Я выбрал любовь»итал. Ho scelto l'amore «Андалусский экспресс»исп. El expreso de Andalucía «Железный класс»итал. Classe di ferro «Воспитание Помпеи»итал. La trovatella di Pompei «Макароны в пустыне»итал. Pastasciutta nel deserto «Грязное море»итал. Mare matto «Сделано в Италии»англ. Made in Italy «Дело совести»итал. Un caso di coscienza «Насилие: пятая степень»итал. La violenza: quinto potere «Дело Пишотты»итал. Il caso Pisciotta «Боже мой, как низко я пала!»итал. Mio Dio, Come Sono Caduta In Basso! «Обручение»итал. Il fidanzamento 
