table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1504462/table_0|4|161|флаг|16 апреля 1967 года 15 декабря 1968 года — 
dataset/Dataset/data/1634675/table_2|0|161|флаг|Флаг Алабамы[комм. 8] Флаг Вермонта Флаг Вермонта Флаг Джорджии Флаг Джорджии[комм. 10] Флаг Джорджии Флаг Джорджии Флаг Джорджии Флаг Джорджии Флаг Луизианы Флаг Массачусетса (оборотная сторона)[комм. 12] Флаг Миссисипи Флаг Мэна Флаг Оклахомы Флаг Северной Каролины Флаг Флориды Флаг Южной Дакоты Флаг Южной Дакоты Флаг Южной Каролины 
dataset/Dataset/data/214985/table_0|1|161|флаг|Междувластие Междувластие 
dataset/Dataset/data/2453526/table_0|4|161|флаг|16 апреля 1967 года 15 декабря 1968 года — 
dataset/Dataset/data/2686681/table_2|0|161|флаг|нет данных 
dataset/Dataset/data/3639980/table_0|0|161|флаг|AVIF_HASINDEX AVIF_MUSTUSEINDEX AVIF_ISINTERLEAVED AVIF_WASCAPTUREFILE AVIF_COPYRIGHTED 
dataset/Dataset/data/4472714/table_0|0|161|флаг|нет данных 
dataset/Dataset/data/4472743/table_5|0|161|флаг|нет данных 
dataset/Dataset/data/4751533/table_0|0|161|флаг|нет данных 
dataset/Dataset/data/5141944/table_1|0|161|флаг|Флаг Алексеевского муниципального района Флаг Быковского муниципального района Флаг Городищенского муниципального района Флаг Дубовского муниципального района Флаг Еланского муниципального района Флаг Жирновского муниципального района Флаг Иловлинского муниципального района Флаг Калачёвского муниципального района Флаг Камышинского муниципального района Флаг Киквидзенского муниципального района Флаг Клетского муниципального района Флаг Котельниковского муниципального района Флаг Котовского муниципального района Флаг Кумылженского муниципального района Флаг Ленинского муниципального района Флаг Нехаевского муниципального района Флаг Николаевского муниципального района Флаг Новоаннинского муниципального района Флаг Новониколаевского муниципального района Флаг Октябрьского муниципального района Флаг Ольховского муниципального района Флаг Палласовского муниципального района Флаг Руднянского района Флаг Светлоярского муниципального района Флаг Серафимовичского муниципального района Флаг Среднеахтубинского муниципального района Флаг Старополтавского муниципального района Флаг Суровикинского муниципального района Флаг Урюпинского муниципального района Флаг Фроловского муниципального района Флаг Чернышковского муниципального района 
dataset/Dataset/data/5163216/table_1|0|161|флаг|Файл:Flag of Tyllyminsky 1(Yakutia).png 
dataset/Dataset/data/5997934/table_1|0|161|флаг|нет данных нет данных 
dataset/Dataset/data/6129329/table_0|5|161|флаг|1 
dataset/Dataset/data/6129329/table_0|0|161|флаг|1 
dataset/Dataset/data/6875789/table_1|0|161|флаг|нет данных нет данных 
dataset/Dataset/data/7796406/table_0|4|161|флаг|Нидерланды Мальта Мальта Мальта Мальта Мальта 
dataset/Dataset/data/7974333/table_1|2|161|флаг|Нидерланды Норвегия Панама 
dataset/Dataset/data/7974333/table_3|2|161|флаг|Соединённое Королевство США Соединённое Королевство США Канада Канада Соединённое Королевство Канада США 
dataset/Dataset/data/7974333/table_6|2|161|флаг|Бразилия Латвия 
dataset/Dataset/data/7974333/table_9|2|161|флаг|Соединённое Королевство Швеция Норвегия 
