table_id|column_id|label_id|label|column_data
dataset/Dataset/data/6790260/table_9|4|164|художник|Jerry Ordway Joe Bennet R.B. Silva, Federico Dallochio, Marcus To, and Eduardo Pansica Joe Bennet Tom Derenick; Juan Albarran; Hi-Fi; Lori Jackson Jason Badower, Annette Kwok, Michael Heisler 
dataset/Dataset/data/2712971/table_3|1|164|художник|Галахов, Николай Николаевич (р. 1928) СССР Россияпейзаж, жанровая картина Гетманская, Ирина Ивановна (р. 1939) СССР Россияпортрет, пейзаж, жанровая картина Голубев, Василий Васильевич (1925—1985) СССРпейзаж, жанровая картина Горб, Татьяна Владимировна (р. 1935) СССР Россияпортрет, пейзаж, натюрморт Горб, Владимир Александрович (1903—1988) Российская империя СССРпортрет, пейзаж Горохова, Елена Константиновна (1933—2014) СССР Россияжанровая картина, пейзаж Грушко, Абрам Борисович (1918—1980) СССРпейзаж, жанровая картина 
dataset/Dataset/data/7772065/table_1|6|164|художник|Н. Темноруков Н. Темноруков 
dataset/Dataset/data/2712974/table_17|1|164|художник|Чекалов, Владимир Фёдорович (1922—1992) СССР Россияпортрет, пейзаж, жанровая и батальная картина Чупрун, Евгений Романович (1927—2005) СССР Россияландшафтный и морской пейзаж, жанровая картина 
dataset/Dataset/data/2712976/table_17|1|164|художник|Чекалов, Владимир Фёдорович (1922—1992) СССР Россияпортрет, пейзаж, жанровая и батальная картина Чупрун, Евгений Романович (1927—2005) СССР Россияландшафтный и морской пейзаж, жанровая картина 
dataset/Dataset/data/2712976/table_11|1|164|художник|Петров-Водкин, Кузьма Сергеевич (1878—1939) Российская империя СССРжанровая картина, портрет, пейзаж, натюрморт Позднеев, Николай Матвеевич (1930—1978) СССРЖанровая картина, натюрморт, пейзаж Поздняков, Евгений Михайлович (1923—1991) СССРпейзаж, натюрморт Пушнин, Александр Тихонович (1921—1991) СССРЖанровая картина, портрет, пейзаж 
dataset/Dataset/data/2712961/table_10|1|164|художник|Обозненко, Дмитрий Георгиевич (1930—2002) СССР Россияжанровая и батальная картина, пейзаж, портрет Овчинников, Владимир Иванович (1911—1978) Российская империя СССРпейзаж, жанровая картина Орехов, Лев Николаевич(1913—1992) Российская империя СССР Россияпейзаж, натюрморт Осипов, Сергей Иванович (1915—1985) Российская империя СССРпейзаж, натюрморт 
dataset/Dataset/data/8926736/table_0|3|164|художник|— — — — — — 
dataset/Dataset/data/7406849/table_1|6|164|художник|Арцименев Ю. Арцименев Ю. Арцименев Ю. Арцименев Ю. 
dataset/Dataset/data/8927845/table_0|5|164|художник|— — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — 
dataset/Dataset/data/8875389/table_0|4|164|художник|Алан Смарт Алан Смарт Алан Смарт Алан Смарт TBA Алан Смарт TBA TBA 
dataset/Dataset/data/8875376/table_0|4|164|художник|Алан Смарт Эндрю Овертум Том Ясуми Алан Смарт Том Ясуми Эндрю Овертум Том Ясуми Том Ясуми Алан Смарт Эндрю Овертум Эндрю Овертум Алан Смарт Эндрю Овертум Том Ясуми Эндрю Овертум и Том Ясуми Алан Смарт Алан Смарт Том Ясуми Алан Смарт Эндрю Овертум Эндрю Овертум Том Ясуми Алан Смарт Алан Смарт Эндрю Овертум Эндрю Овертум Алан Смарт Том Ясуми Алан Смарт Эндрю Овертум Том Ясуми Том Ясуми и Алан Смарт Эндрю Овертум Том Ясуми Эндрю Овертум Алан Смарт Том Ясуми Алан Смарт Эндрю Овертум Эндрю Овертум Том Ясуми Том Ясуми Алан Смарт Алан Смарт Том Ясуми Эндрю Овертум Эндрю Овертум Алан Смарт Том Ясуми Алан Смарт 
dataset/Dataset/data/8242356/table_0|4|164|художник|Алан Смарт Фред Миллер и Том Ясуми Эдгар Ларразабал и Том Ясуми Том Ясуми Эдгар Ларразабал Алан Смарт Эдгар Ларразабал Фред Миллер Том Ясуми Шон Демпси Том Ясуми Шон Демпси Том Ясуми Эдгар Ларразабал Фред Миллер Том Ясуми Фред Миллер Шон Демпси Том Ясуми Эдгар Ларразабал Фред Миллер Эдгар Ларразабал Фред Миллер Шон Демпси Шон Демпси Шон Демпси Эдгар Ларразабал Том Ясуми Том Ясуми Эдгар Ларразабал Эдгар Ларразабал Фред Миллер Фред Миллер Шон Демпси Том Ясуми Шон Демпси Шон Демпси Фред Миллер Фред Миллер Эдгар Ларразабал Том Ясуми 
dataset/Dataset/data/8352551/table_1|1|164|художник|• Жан-Пьерр Дорлеак • Дорис Линн • Джон Молло • Данило Донати • Дуринда Вуд • Боб Рингвуд • Эмма Потьюс • Энтони Мендельсон • Стивен Лумис • Дебора Нэдулмэн • Элоиз Дженссен, Розанна Нортон • Джон Блумфилд • Норма Морисо • Роберт Флетчер • Кристин Бойяр • Эджи Джерард Роджерс, Нило Родис-Джамеро • Милена Канонеро • Энтони Мендельсон • Том Рэнд • Рут Майерс • Боб Рингвуд • Джон Молло • Энтони Пауэлл • Роберт Флетчер • Патриция Норрис • Нана Чекки • Дебора Линн Скотт • Ширли Расселл • Норма Морисо • Рэймонд Хьюз • Роберт Флетчер • Эмма Потьюс • Брайан Фрауд и Эллис Флайт • Марит Аллен • Теадора Ван Ранкл • Филлис Далтон • Сьюзэн Бекер • Джули Уайсс • Майкл У. Хоффман, Aggie Lyon • Эрика Эделл Филлипс • Роберт Блэкман • Барбара Лэйн • Дениз Кроненберг • Дарси Ф. Олсон • Майкл Джеффри • Стивен М. Чудей • Леонард Поллак 
dataset/Dataset/data/7688629/table_0|6|164|художник|Василий Завьялов Василий Завьялов Василий Завьялов Василий Завьялов Василий Завьялов Василий Завьялов Роман Житков Роман Житков Роман Житков Роман Житков Роман Житков Василий Завьялов Александр Завьялов Александр Завьялов Василий Завьялов Александр Завьялов Александр Завьялов Александр Завьялов Василий Завьялов Василий Завьялов Александр Завьялов Василий Завьялов П. Бендель П. Бендель Е. Галицкий П. Бендель П. Бендель П. Бендель П. Бендель Е. Галицкий П. Бендель П. Бендель П. Бендель П. Бендель П. Бендель Е. Галицкий П. Бендель П. Бендель П. Бендель П. Бендель П. Бендель П. Бендель П. Бендель П. Бендель П. Бендель П. Бендель П. Бендель П. Бендель П. Бендель П. Бендель П. Бендель Е. Анискин Е. Анискин Е. Анискин Е. Анискин Е. Анискин Е. Анискин Е. Анискин Е. Анискин Е. Анискин Е. Анискин Е. Анискин Е. Анискин Е. Анискин Е. Анискин Е. Анискин Е. Анискин Е. Анискин Е. Анискин Е. Анискин Е. Анискин Иван КозловК. Никахристо Иван КозловК. Никахристо Иван КозловК. Никахристо Иван КозловК. Никахристо Иван КозловК. Никахристо Иван КозловК. Никахристо Юрий Левиновский Юрий Левиновский Иван КозловК. Никахристо И. МартыновН. Черкасов Е. Анискин Е. Анискин Е. Анискин Е. Анискин Е. Анискин Е. Анискин Е. Анискин П. Бендель П. Бендель П. Бендель П. Бендель П. Бендель Герман Комлев Герман Комлев Николай Литвинов Николай Литвинов Николай Литвинов Герман Комлев Николай Литвинов Николай Литвинов Герман Комлев Герман Комлев Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Лео Шаров Лео Шаров Лео Шаров Лео Шаров Лео Шаров Лео Шаров Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Юрий Арцименев Юрий Арцименев Юрий Арцименев Юрий Арцименев Юрий Арцименев Юрий Арцименев Лео Шаров Лео Шаров Лео Шаров Лео Шаров Лео Шаров Лео Шаров Лео Шаров Лео Шаров Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Лео Шаров Лео Шаров Лео Шаров Лео Шаров Лео Шаров Лео Шаров Тарас Панченко И. Сущенко И. Сущенко И. Сущенко И. Сущенко И. Сущенко И. Сущенко Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Лео Шаров Лео Шаров Лео Шаров Лео Шаров Лео Шаров Лео Шаров Лео Шаров Лео Шаров Лео Шаров Лео Шаров Юрий Левиновский Николай Литвинов Николай Литвинов Николай Литвинов Николай Литвинов Юрий Арцименев Иван Козлов Иван Козлов Иван Козлов Иван Козлов Иван Козлов Иван Козлов Иван Козлов Юрий Арцименев Юрий Арцименев Юрий Арцименев Юрий Арцименев Юрий Арцименев Юрий Арцименев Юрий Арцименев Владимир Бельтюков Владимир Бельтюков Владимир Бельтюков 
dataset/Dataset/data/1279787/table_3|4|164|художник|Марина КомаркевичДарина Шмидт Марина КомаркевичТатьяна Клейн Татьяна Клейн Татьяна Клейн Татьяна КлейнИрина Фёдорова Татьяна КлейнИрина ФёдороваЕкатерина Максименко Екатерина МаксименкоВита Ткачёва Марина МакароваЕкатерина Максименко Марина МакароваЕкатерина Максименко 
dataset/Dataset/data/8348007/table_0|1|164|художник|• Уильям Кэмерон Мензис • Уильям Кэмерон Мензис • Рохус Глизе • Гарри Оливер • Седрик Гиббонс • Ханс Драйер • Митчелл Лейзен • Уильям Кэмерон Мензис • Уильям Кэмерон Мензис • Гарри Оливер • Херман Росс • Уильям Кэмерон Мензис • Ханс Драйер • Джек Окей • Ханс Драйер 
dataset/Dataset/data/6410034/table_11|2|164|художник|Юн Кога Такэси Обата Акира Акацуки Ирука Сиомия Такэси Обата Акихиса Икэда Акира Акацуки 
dataset/Dataset/data/8927849/table_0|2|164|художник|— — — — — — — 
