table_id|column_id|label_id|label|column_data
dataset/Dataset/data/944474/table_5|2|165|цвет|Синий Голубойжёлтый Коричневый Красный 
dataset/Dataset/data/3673/table_1|0|165|цвет|Pantone 
dataset/Dataset/data/234024/table_0|0|165|цвет|Pantone RGB HTML 
dataset/Dataset/data/7702507/table_0|0|165|цвет|Зелёный Жёлтый Красный 
dataset/Dataset/data/3253627/table_0|5|165|цвет|переход от сине-фиолетовой к ярко-красной окраске переход от синей к фиолетовой окраске — — 
dataset/Dataset/data/405355/table_0|1|165|цвет|Зелёный Жёлтый Красный Всего 
dataset/Dataset/data/1188526/table_0|2|165|цвет|black (чёрный) green (зелёный) olive (оливковый) teal (сине-зелёный) 
dataset/Dataset/data/822470/table_0|3|165|цвет|Коричневый Тёмно-синий Сине-чёрный + коричневый со стороны основы Чёрный 
dataset/Dataset/data/4165768/table_0|0|165|цвет|Оранжевый Оранжевый Оранжевый Чёрный Красный Чёрный Красный Чёрный Серый Фиолетовый Жёлтый Жёлтый Оранжевый 
dataset/Dataset/data/1905943/table_4|2|165|цвет|Красный Белый Зелёный No wire Чёрный 
dataset/Dataset/data/8783409/table_3|0|165|цвет|RGB HTML 
dataset/Dataset/data/8069719/table_2|0|165|цвет|Красный Жёлтый Зелёный Голубой Синий Серо-синий Темно-серый «А»/«М» Темно-серый «В» Серый 
dataset/Dataset/data/85425/table_0|5|165|цвет|Ярко-розовый Светло-зелёный Синий Изумрудно-зелёный Лавандовый Пурпурный Розовый Оранжевый Итальянский красный Золотисто-жёлтый Белый Синее море Дэйзи Ярко-зелёный 
dataset/Dataset/data/353952/table_0|2|165|цвет|Голубой, красный, белый Голубой, желтый, белый Синий, красный, золотой, белый Синий, золотой, красный, белый Голубой, зеленый, оранжевый, белый Синий, черный, бронзовый, белый 
dataset/Dataset/data/1222549/table_3|0|165|цвет|золото серебро бронза зелёный синий фиолетовый фиолетовый красный чёрный белый 
dataset/Dataset/data/6684732/table_3|2|165|цвет|Красный, или Белый, или Зелёный Чёрный, или 
dataset/Dataset/data/366018/table_0|0|165|цвет|Африка 
dataset/Dataset/data/4857227/table_2|1|165|цвет|Синий 
dataset/Dataset/data/8883266/table_3|0|165|цвет|Золотой Серебряный Синий Бронзовый 
dataset/Dataset/data/3698045/table_18|0|165|цвет|Золотой Серебряный Синий Бронзовый 
dataset/Dataset/data/928480/table_2|1|165|цвет|Белый Синий Чёрный Красный Зелёный 
dataset/Dataset/data/2296027/table_4|0|165|цвет|Золотой Серебряный Бронзовый Зелёный Голубой Фиолетовый Красный Чёрный Белый 
dataset/Dataset/data/1632441/table_2|4|165|цвет|красный жёлтый розовый зелёный оранжевый голубой фиолетовый 
dataset/Dataset/data/1480873/table_2|1|165|цвет|Синий 
dataset/Dataset/data/1080476/table_4|0|165|цвет|Красный Жёлтый Зелёный Голубой Синий Светло-серый Серый 
dataset/Dataset/data/5163014/table_0|2|165|цвет|Голубой, красный, белый Голубой, желтый, белый Синий, красный, золотой, белый Синий, золотой, красный, белый Голубой, зеленый, оранжевый, белый Синий, черный, бронзовый, белый 
dataset/Dataset/data/1116079/table_3|0|165|цвет|Золотой Серебряный Бронзовый Зелёный Голубой Фиолетовый Красный Чёрный Белый 
dataset/Dataset/data/1808970/table_0|0|165|цвет|Linha AzulСиняя линия Linha AmarelaЖёлтая линия Linha VerdeЗелёная линия Linha VermelhaКрасная линия 
dataset/Dataset/data/7307167/table_3|3|165|цвет|Оранжевый Золотой Зелёный Синий 
dataset/Dataset/data/284144/table_0|2|165|цвет|все оттенки жёлтого все оттенки белого и светло-серого 
dataset/Dataset/data/992829/table_0|2|165|цвет|Фиолетовый, оранжевый Зелёный, золотой Оранжевый, жёлтый, красный Серебряный, красныйЗелёный, золотой Чёрный и красный Серебряный, чёрный Серебряный, чёрный Зелёный, лавандовый, фиолетовый Красный, оранжевый Зелёный Зелёный, лавандовый, серый Коричневый, чёрныйСветло-коричневый, тёмно-коричневый Чёрный, зелёный Белый, чёрный Голубой, серый Зелёный, серый Чёрный, зелёный Оранжевый, красный, коричневый Красный, жёлтый Серый, фиолетовый 
dataset/Dataset/data/549942/table_0|0|165|цвет|Поочерёдно чёрный и белый Чёрный-Чёрный-Белый Чёрный Чёрный, 2 камня форы 
dataset/Dataset/data/6684735/table_3|2|165|цвет|Красный, или Белый, или Зелёный Чёрный, или 
dataset/Dataset/data/541386/table_0|2|165|цвет|светло-зелёный зелёный тёмно-зелёный чёрно-зелёный 
dataset/Dataset/data/3019443/table_9|2|165|цвет|чёрный чёрный красный красный синий чёрный чёрный красный 
dataset/Dataset/data/6925437/table_0|3|165|цвет| цв. цв. ч.-б. ч.-б. цв. цв. цв. цв. цв. цв. ч.-б. ч.-б. цв. цв. 
dataset/Dataset/data/8783420/table_12|0|165|цвет|RGB HTML 
dataset/Dataset/data/7578415/table_0|3|165|цвет|Коричневый Тёмно-синий Сине-чёрный + коричневый со стороны основы Чёрный 
dataset/Dataset/data/277430/table_0|0|165|цвет|CMYK Pantone Цвета HTML(Шестнадцатеричная система) Цвета HTML(Десятичная система) 
dataset/Dataset/data/165996/table_0|1|165|цвет|Инфракрасный Красный Оранжевый Жёлтый Зелёный Синий Фиолетовый Пурпурный Ультрафиолетовый Белый 
dataset/Dataset/data/279701/table_2|1|165|цвет|белый зелёный жёлтый синий красный чёрный 
dataset/Dataset/data/2290353/table_5|0|165|цвет|Золотой Серебряный Бронзовый Зелёный Голубой Фиолетовый Красный Чёрный Белый 
dataset/Dataset/data/7701758/table_0|5|165|цвет|>223 >9778 >98 748 >816 981 >7 465 909 >57 445 718 >458 062 329 >2 615 305 384 >3 004 668 671 
dataset/Dataset/data/6792178/table_2|0|165|цвет|Фиолетовый Серый 
dataset/Dataset/data/4746558/table_0|2|165|цвет|Белый Белый Белый Белый Белый Белый Белый Белый Тёмно-синий Тёмно-синий 
dataset/Dataset/data/8765864/table_3|0|165|цвет|Золотой Серебряный Синий Бронзовый 
dataset/Dataset/data/3242934/table_2|1|165|цвет|белый зелёный жёлтый синий красный чёрный 
dataset/Dataset/data/5302766/table_0|2|165|цвет|Фиолетовый, оранжевый Зелёный, золотой Оранжевый, жёлтый, красный Серебряный, красныйЗелёный, золотой Чёрный и красный Серебряный, чёрный Серебряный, чёрный Зелёный, лавандовый, фиолетовый Красный, оранжевый Зелёный Зелёный, лавандовый, серый Коричневый, чёрныйСветло-коричневый, тёмно-коричневый Чёрный, зелёный Белый, чёрный Голубой, серый Зелёный, серый Чёрный, зелёный Оранжевый, красный, коричневый Красный, жёлтый Серый, фиолетовый 
dataset/Dataset/data/3674/table_1|0|165|цвет|Pantone 
dataset/Dataset/data/579825/table_0|1|165|цвет|Жёлтенькая Зелёненькая Синенькая (синица, синюха) Красненькая Беленькая Радужная Серенькая 
dataset/Dataset/data/862541/table_0|1|165|цвет|Красный Оранжевый Жёлтый Бледно-жёлтый Желтовато-белый Чисто белый Голубовато-белый Бело-голубой Голубой 
dataset/Dataset/data/8783420/table_0|0|165|цвет|RGB HTML 
dataset/Dataset/data/8455351/table_0|2|165|цвет|Голубой Бело-голубой Белый Жёлто-белый Жёлтый Оранжевый Красный 
dataset/Dataset/data/7045331/table_0|0|165|цвет|Красный Чёрный Белый Синий Зелёный Жёлтый Серый Пурпурный Золотистый 
dataset/Dataset/data/3693/table_0|0|165|цвет|Pantone RGB HTML 
dataset/Dataset/data/1888734/table_0|6|165|цвет|fuchsia (фуксия, magenta) maroon (тёмно-бордовый) red (красный) yellow (жёлтый) 
dataset/Dataset/data/1251762/table_1|2|165|цвет|латунный бронзовый медный синий сиреневый 
dataset/Dataset/data/311672/table_1|1|165|цвет|Бело-оранжевый; при некоторых условиях может иметь серый, зеленовато-голубой или голубой оттенок Красно-оранжевый Фиолетово-голубой Сероватый тусклый грязно-белый. Может быть зеленоватым. В разрядах высокого напряжения яркий синевато-белый. Сероватый или синевато-серый тусклый белый, в разрядах высокого напряжения в высоких пиковых потоках, очень яркий синевато-зелёный. Синий цвет. Аналогично аргону, тусклее, с оттенком розового. В разрядах высокого напряжения, яркий сине-белый, белее аргона. Бледный фиолетово-лиловый, тусклее аргона. Бледно-лиловый в разрядах низкого напряжения, розовато-красный при разрядах более 10 миллиампер. Аналогично водороду. Менее яркое свечение Слабый синевато-белый, в разрядах низкого напряжения ярче ксенона. Светло-голубой с интенсивным ультрафиолетовым излучением Ярко-жёлтый 
dataset/Dataset/data/8108687/table_1|0|165|цвет|Всего 
dataset/Dataset/data/8334571/table_0|0|165|цвет|Красный Жёлтый Синий Фиолетовый Зелёный Зелёный Голубой Золотой 
dataset/Dataset/data/242919/table_0|6|165|цвет|fuchsia (фуксия, magenta) maroon (тёмно-бордовый) red (красный) yellow (жёлтый) 
dataset/Dataset/data/8290541/table_0|1|165|цвет|Жёлтенькая Зелёненькая Синенькая (синица, синюха) Красненькая Беленькая Радужная Серенькая 
dataset/Dataset/data/1730048/table_0|1|165|цвет|Розовый Голубой Светло-зелёный Чёрный Серый/серебристый Оранжевый 
dataset/Dataset/data/1903621/table_0|2|165|цвет|Фиолетовый, оранжевый Зелёный, золотой Оранжевый, жёлтый, красный Серебряный, красныйЗелёный, золотой Чёрный и красный Серебряный, чёрный Серебряный, чёрный Зелёный, лавандовый, фиолетовый Красный, оранжевый Зелёный Зелёный, лавандовый, серый Коричневый, чёрныйСветло-коричневый, тёмно-коричневый Чёрный, зелёный Белый, чёрный Голубой, серый Зелёный, серый Чёрный, зелёный Оранжевый, красный, коричневый Красный, жёлтый Серый, фиолетовый 
dataset/Dataset/data/3486359/table_0|1|165|цвет|Азия 
dataset/Dataset/data/659038/table_9|2|165|цвет|чёрный чёрный красный красный синий чёрный чёрный красный 
dataset/Dataset/data/7026020/table_0|2|165|цвет|Голубой Бело-голубой Белый Жёлто-белый Жёлтый Оранжевый Красный 
dataset/Dataset/data/901721/table_0|0|165|цвет|Зелёный Фиолетовый Белый Красный Чёрный Розовый Голубой 
dataset/Dataset/data/66635/table_3|2|165|цвет|Красный, или Белый, или Зелёный Чёрный, или 
dataset/Dataset/data/6939802/table_0|3|165|цвет| ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. цв. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. ч.-б. 
