table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1781113/table_9|1|167|шахматист|Шахрияр Мамедъяров Рауф Мамедов Вугар Гашимов Аркадий Найдич Гадир Гусейнов Теймур Раджабов Всего 
dataset/Dataset/data/1824729/table_1|2|167|шахматист|В. Борисенко, Е. Быкова, О. Рубцова, Л. Руденко К. Зворыкина О. Игнатьева Н. Войцик, Л. Вольперт, Ю. Гурфинкель С. Роотаре Н. Гаприндашвили, Т. Затуловская Ф. Дмитриева, Е. Малинова (р. 1924), О. Семёнова-Тян-Шанская, М. Тогонидзе Э. Какабадзе, B. Тихомирова, А. Чайковская В. Козловская О. Кацкова, Л. Якир, Б. Мосионжик Л. Белавенец, Н. Коноплёва, М. Раннику, К. Скегина А. Муслимова, Е. Фаталибекова Н. Александрия, Е. Бишард, Т. Бояхчян (р. 1942), Т. Головей, Л. Идельчик, А. Кислова О. Андреева Т. Белова (р. 1946), Р. Билунова, Ц. Кобаидзе (р. 1950), Л. Любарская, Л. Филиппова-Старченко (р. 1948), Н. Титоренко, Л. Шадура (р. 1930) Г. Арчакова, М. Литинская, Н. Матвеева (р. 1928), Л. Семёнова, И. Уберт (р. 1937) Т. Зайцева (р. 1938), Т. Моисеева (Константинова; р. 1952), Т. Хугашвили И. Левитина, О. Педько, Л. Саунина Л. Муленко, В. Стернина Н. Алёхина, А. Гринфельд, М. Чибурданидзе Е. Ахмыловская, Т. Фомина, Т. Чехова И. Приедите (Берзиня), Т. Вилерте, Н. Гуриели, Л. Зайцева, Н. Иоселиани, М. Кинсиго (Саммуль), Л. Фишман (р. 1953), Л. Цифанская, Л. Яковлева М. Макарычева, Т. Морозова Т. Воронова, Л. Куликова, М. Рытова, B. Тимощенко (р. 1950), Г. Струтинская Н. Агабабян, Л. Жильцова (Лысенко), 3. Лельчук, К. Мелашвили (р. 1960), Т. Миногина, И. Острий, Р. Попивода (р. 1948), Л. Пярнпуу, И. Рубене (Рамане), Б. Самаганова (р. 1949). М. Асеева (Афиногенова, р. 1960), Е. Быстрякова (Белова), М. Зайцева (р. 1958), Н. Зубова (р. 1955), C. Медникова (р. 1956), Л. Мучник, Л. Полнарёва Н. Гасюнас, Т. Загорская, Ц. Касошвили, Ц. Кахабришвили (р. 1946), В. Кислова (р. 1948), В. Рожлапа, Т. Рубцова, Т. Сергеева (Живаева; р. 1957), Н. Ситникова, Э. Халафян (р. 1957), Р. Эйдельсон, И. Юдасина (Вильнер; р. 1964) Э. Алиева (р. 1954), К. Багинскайте, А. Голдмане, И. Ерусланова (р. 1963), Т. Месхи (р. 1963), Т. Пудкова (р. 1951), Е. Седина, И. Сон (р. 1962), Э. Хоровец, М. Церетели (р. 1957), И. Челушкина К. Арахамия, С. Бахарева (р. 1963), Н. Мелашвили (р. 1961), Н. Ручьёва, Г. Сахатова, Е. Ступина (р. 1962), Е. Титова (р. 1963), Ф. Ускова, Н. Фокина В. Артамонова (р. 1959), Р. Бандзене (Картанайте; р. 1961), Е. Балашова (р. 1949), О. Лопатина (р. 1961), Т. Коган, С. Матвеева, С. Сёмина (р. 1959) И. Березина, Е. Кузнецова (р. 1959), Ю. Овчинникова (р. 1965), А. Софиева, Т. Степовая, А. Шафранска Ф. Велиханлы, Н. Киселёва (р. 1961), Г. Лагвилава, М. Нижегородова (р. 1957), Л. Оглоблина (р. 1961), С. Прудникова, С. Тереладзе (р. 1972), И. Эрнесте А. Белановская (р. 1969), А. Галлямова, Ю. Дёмина, Е. Заяц, К. Кахиани, Э. Сахатова, С. Стручкова (р. 1963), Т. Шумякина, М. Ярмолинская (р. 1968) Л. Домаркайте (р. 1970), Н. Зинина (р. 1968), И. Кулиш (р. 1968), Т. Лаэссон, М. Соколова (р. 1969), И. Уманская, Е. Харькова (р. 1960), М. Шереметьева Е. Боруля, Н. Джанджгава, Л. Меньшикова (р. 1961) 
dataset/Dataset/data/4321246/table_8|1|167|шахматист|Шахрияр Мамедъяров Рауф Мамедов Теймур Раджабов Всего 
dataset/Dataset/data/4334365/table_3|1|167|шахматист|Суне Берг Хансен Ларс Шандорфф Якоб Огор Аллан Стиг Расмуссен Якоб Ванг Глуд Сборная Дании 
dataset/Dataset/data/4357058/table_4|1|167|шахматист|Шолак, Драган Ипатов, Александр Эсен, Барыш Йылмаз, Мустафа Джан, Эмре Сборная Турции 
dataset/Dataset/data/4884372/table_3|1|167|шахматист|Магнус Карлсен (NOR) Левон Аронян (ARM) Хикару Накамура (USA) Фабиано Каруана (ITA) Вишванатан Ананд (IND) Борис Гельфанд (ISR) 
dataset/Dataset/data/5045708/table_3|0|167|шахматист|Аббасифар, Хасан Айрапетян, Овик Коре, Акшайрадж Алонсо Россель, Альвар Антипов, Михаил Антон Гуихарро, Давид Арнаудов, Петар Баярани, Ульви Баярсайханы Гундава Баришполец, Андрей Белоус, Владимир Бенидзе, Давит Бернашек, Ян Блумквист, Эрик Вэй И Гуджрати, Видит Сантош Гао Жуй Григорян, Карен Гоганов, Алексей Гунина, Валентина Дас, Дебашис Дарини, Пурия Демченко, Антон Драгун, Камиль Дуда, Ян-Кшиштоф Елисеев, Юрий Загорскис, Дарюс Зарагацкий, Илья Ибарра Херес, Хосе Карлос Инджич, Александар Ковалёв, Владислав Колович, Александр Круш, Ирина Лагард, Максим Лариньо Ньето, Давид Ма Цюнь Милькович, Мирослав Мограндзини, Роберто Молнер, Маккензи Народицкий, Дэниэл Неуман, Петр Опарин, Григорий Попильски, Гиль Прасанна Васантан Вишну Ромбальдони, Аксель Смит, Брайан Тарлев, Константин Тазбир, Марцин Фейгин, Михаил Фодор, Тамаш Хансен, Эрик Харченко, Борис Хаусрат, Даниэль Хотенашвили, Бела Хунгаски, Роберт Эндрю Хьйёрвар Стейн Гретарссон Хьяксио, Альфредо Густаво Шьям, Сундар 
dataset/Dataset/data/6543062/table_0|0|167|шахматист|Эстенстад, Берге Агдестейн, Симен Барда, Олаф Эгорд, Лейф 
dataset/Dataset/data/6806772/table_2|0|167|шахматист|Топалов, Веселин Ананд, Вишванатан Крамник, Владимир Мамедьяров, Шахрияр Иванчук, Василий Леко, Петер Аронян, Левон Морозевич, Александр Адамс, Майкл Гельфанд, Борис Свидлер, Пётр Раджабов, Теймур Яковенко, Дмитрий Широв, Алексей 
dataset/Dataset/data/7721355/table_3|0|167|шахматист|Магнус Карлсен Фабиано Каруана Шахрияр Мамедьяров Дин Лижэнь Аниш Гири Максим Вашье-Лаграв Владимир Крамник Вишванатан Ананд Александр Грищук Левон Аронян Ян Непомнящий Уэсли Со Владислав Артемьев Леньер Домингес Перес Юй Янъи 
