table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1062715/table_0|0|168|элемент|Li Na K Rb Cs Cu Ag Au Be Mg Ca Sr Ba Nb Fe Mn Zn Cd Hg Al Ga In Tl Sn Pb Bi Sb Ni Cr 
dataset/Dataset/data/1133587/table_1|0|168|элемент|№ 1 № 2 № 3 № 4 
dataset/Dataset/data/123183/table_0|0|168|элемент|BRE-элемент ТАТА-бокс Inr DCEI DCEII MTE DPE DCEIII 
dataset/Dataset/data/1628031/table_15|8|168|элемент|зелёный Ур. 3: Прыжок и бросок (один враг) (англ. JumpThrow) Ур. 5: Непросохшая краска (все юниты) (англ. WetPaint) Ур. 7: Свинья-копилка (один враг) (англ. PiggyBoink) 
dataset/Dataset/data/1628031/table_2|8|168|элемент|чёрный Ур. 3: Плавный хук (один враг) (англ. Glidehook) Ур. 5: Дикие коты (все враги) (англ. FeralCats) Ур. 7: Вечный ноль (все враги) (англ. Forever Zero) 
dataset/Dataset/data/1628031/table_44|8|168|элемент|жёлтый Ур. 3: Бросок камня (один враг) (англ. RockThrow) Ур. 5: Вращение хвостом (один враг) (англ. TailSpin) Ур. 7: Тройной удар (один враг) (англ. TripleKick) 
dataset/Dataset/data/1628100/table_13|8|168|элемент|синий Ур. 3: Медаль героя (сам герой) (англ. Medalsome) Ур. 5: Вновь победитель (один враг) (англ. FoiledAgain) Ур. 7: Пощёчина Сайруса (один враг) (англ. SlapOfCyrus) 
dataset/Dataset/data/1628100/table_17|8|168|элемент|синий Ур. 3: Удар головой (один враг) (англ. Headbutt) Ур. 5: Крючок и грузило (один враг) (англ. Hook&Sinker) Ур. 7: Большой улов (один враг) (англ. BigCatch) 
dataset/Dataset/data/1628100/table_38|8|168|элемент|жёлтый Ур. 3: Дровосек (один враг) (англ. Lumberjack) Ур. 5: Облако спор (один враг) (англ. SporeCloud) Ур. 7: Миконоиды (один враг) (англ. Myconoids) 
dataset/Dataset/data/1628102/table_23|8|168|элемент|белый Ур. 3: Тень Диреи (один враг) (англ. DireaShadow) Ур. 5: Тень Гидры (все враги) (англ. HydraShadow) Ур. 7: Тень Гарая (все враги) (англ. GaraiShadow) 
dataset/Dataset/data/1628102/table_30|8|168|элемент|белый Ур. 3: Внезапный прыжок (один враг) (англ. Pounce) Ур. 5: Успокоение (все союзники) (англ. Soothe) Ур. 7: Элемент персонажа чёрный-белый (нейтральная форма): Пушка-пушка (один враг) (англ. CannonCannon) Элемент персонажа белый (светлая форма): Зов небес (один враг) (англ. Heaven'sCall) Элемент персонажа чёрный (тёмная форма): Ярость ада (один враг) (англ. Hell'sFury) 
dataset/Dataset/data/1628102/table_37|8|168|элемент|красный Ур. 3: Огненный кашель (один враг) (англ. CoughDrop) Ур. 5: Смешанный кашель (все враги) (англ. CoughMix) Ур. 7: Мощное дыхание (все враги) (англ. BigBreath) 
dataset/Dataset/data/1628102/table_43|8|168|элемент|жёлтый Ур. 3: Крупная сдача (один враг) (англ. BigDeal) Ур. 5: Тасование здоровья (сам герой) (англ. HPShuffle) Ур. 7: Фокус с мечом (один враг) (англ. SwordTrick) 
dataset/Dataset/data/2156207/table_2|2|168|элемент|Солнце Луна Огонь (Марс) Вода (Меркурий) Дерево (Юпитер) Металл (Венера) Земля (Сатурн) 
dataset/Dataset/data/229219/table_2|0|168|элемент|Серебро Алюминий Мышьяк Бор Барий Бериллий Висмут Углерод Кальций Кадмий Хлор Кобальт Хром Цезий Медь Железо Галлий Германий Водород Ртуть Калий Лантан Литий Магний Марганец Молибден Азот Натрий Ниобий Никель Кислород Фосфор Свинец Рубидий Сера Сурьма Скандий Кремний Олово Стронций Тантал Титан Таллий Ванадий Вольфрам Иттрий Иттербий Цинк Цирконий 
dataset/Dataset/data/234025/table_0|0|168|элемент|Геральдический щит Двуглавый орёл Короны над орлом Предметы в лапах орла Всадник Копьё всадника Дракон 
dataset/Dataset/data/2619807/table_1|0|168|элемент|Si Ti Al Cr Fe Mg Ca Na K 
dataset/Dataset/data/324965/table_0|0|168|элемент|Актиний Серебро Алюминий Аргон Мышьяк Золото Бор Барий Бериллий Висмут Бром Углерод Кальций Кадмий Церий Хлор Кобальт Хром Цезий Медь Диспрозий Эрбий Европий Фтор Железо Галлий Гадолиний Германий Водород Гелий Гафний Ртуть Гольмий Иод Индий Иридий Калий Криптон Лантан Литий Лютеций Магний Марганец Молибден Азот Натрий Ниобий Неодим Неон Никель Кислород Осмий Фосфор Протактиний Свинец Палладий Полоний Празеодим Платина Радий Рубидий Рений Родий Радон Рутений Сера Сурьма Скандий Селен Кремний Самарий Олово Стронций Тантал Тербий Технеций Теллур Торий Титан Таллий Тулий Уран Ванадий Вольфрам Ксенон Иттрий Иттербий Цинк Цирконий 
dataset/Dataset/data/3636734/table_0|5|168|элемент|Вода Земля Дерево Дерево Земля Огонь Огонь Земля Металл Металл Земля Вода 
dataset/Dataset/data/5735424/table_0|5|168|элемент|Вода Земля Дерево Дерево Земля Огонь Огонь Земля Металл Металл Земля Вода 
dataset/Dataset/data/5789017/table_1|0|168|элемент|Кислород Углерод Водород Азот 
dataset/Dataset/data/6165387/table_2|2|168|элемент|6/5 8/6 9/7 
dataset/Dataset/data/6591179/table_0|0|168|элемент|Два сальто назад в группировке с поворотом на 540° (1,5 винта) 3 поворота с ногой в вертикальном шпагате 
dataset/Dataset/data/7044415/table_0|2|168|элемент|наземный наземный наземный наземный наземный наземный наземный воздушный воздушный воздушный воздушный воздушный воздушный тыловой тыловой тыловой тыловой тыловой тыловой тыловой общего назначения общего назначения общего назначения воздушный 
dataset/Dataset/data/7202316/table_2|0|168|элемент|Кальций Ванадий Кремний Водород Кислород 
dataset/Dataset/data/7243350/table_2|0|168|элемент|Алюминий Железо Фосфор Водород Кислород 
dataset/Dataset/data/74918/table_1|0|168|элемент|Ca Mg Fe Al Ti Si O S K Na 
dataset/Dataset/data/8347072/table_0|5|168|элемент|Вода Земля Дерево Дерево Земля Огонь Огонь Земля Металл Металл Земля Вода 
dataset/Dataset/data/8347076/table_2|2|168|элемент|Дерево Дерево Дерево Дерево Земля Земля Огонь Огонь Огонь Огонь Земля Земля Металл Металл Металл Металл Земля Земля Вода Вода Вода Вода Земля Земля 
dataset/Dataset/data/8347077/table_2|2|168|элемент|Дерево Дерево Дерево Дерево Земля Земля Огонь Огонь Огонь Огонь Земля Земля Металл Металл Металл Металл Земля Земля Вода Вода Вода Вода Земля Земля 
dataset/Dataset/data/8362525/table_0|0|168|элемент|Общая высота Фюзеляж (д, ш, в) в том числе платформа Клиренс Длина стойки шасси Панель солнечной батареи 
dataset/Dataset/data/8550971/table_1|1|168|элемент|J2000.0 0,409 а. е. 004 112.3053+0.024 −0.0028 д. 89,94 ± 0,12 ° 0,0061 MJ RJ 4402 K 
dataset/Dataset/data/8550971/table_1|0|168|элемент|Эпоха орбиты Большая полуось(a) Эксцентриситет(e) Орбитальный период(P) Наклонение(i) Масса(m) Радиус(r) Температура(T) 
dataset/Dataset/data/860280/table_1|0|168|элемент|Главный герой «Свои» «Враги» Общие повороты сюжета Общие повороты сюжета Общие повороты сюжета Общие повороты сюжета Общие повороты сюжета Общие повороты сюжета Общие повороты сюжета 
dataset/Dataset/data/860537/table_0|0|168|элемент|H He N C O Ne Na Mg Al Si S Ar Ca Cr Mn Fe Ni 
dataset/Dataset/data/901517/table_1|0|168|элемент|Ca Mg Fe Al Ti Si O S K Na 
