table_id|column_id|label_id|label|column_data
dataset/Dataset/data/2830461/table_0|0|169|язык|Моно 
dataset/Dataset/data/6186837/table_1|0|169|язык|ассамский язык конкани непальский язык сингальский язык 
dataset/Dataset/data/354674/table_1|3|169|язык|У погледу издувних гасова и загађивања ваздуха у Јерусалиму, било би потребно да се предузму мере безбедности! 
dataset/Dataset/data/1023062/table_7|4|169|язык|Английский Русский Немецкий Французский Японский Английский Итальянский Английский Английский Английский Английский Английский Английский Английский Английский Английский Английский 
dataset/Dataset/data/6125076/table_0|2|169|язык|Немецкий Турецкий Греческий Французский Арабский Итальянский Датский Шведский Французский Финский Норвежский Немецкий Английский Португальский Нидерландский Французский Английский Испанский Французский 
dataset/Dataset/data/4301996/table_0|0|169|язык|Адыгейский Датский Лолойский Кабардинский Каталанский Китайский Корейский Нидерландский Пушту Польский Русский Тибетский Чувашский Шведский Шведский Японский 
dataset/Dataset/data/5498012/table_0|3|169|язык|крымскотатарский язык — 11,4 %; татарский язык — 0,4 % болгарский язык — 0,5 % молдавский язык — 0,6 % болгарский язык — 4,8; молдавский язык — 3,7; гагаузский язык — 0,9 % татарский язык — 0,3; турецкий язык — 0,3; армянский язык — 0,3 % татарский язык — 0,4 % 
dataset/Dataset/data/6075525/table_7|5|169|язык|Абхазский и русский Урду Китайский Арабский Турецкий Осетинский, русский и грузинский 
dataset/Dataset/data/7106512/table_0|0|169|язык|Азербайджанский Албанский Алеутский Амхарский Английский Арабский Арабский Арабский Баскский Белорусский Бенгальский Венгерский Гаитянский креольский Грузинский Иврит Испанский Итальянский Каталанский Киче Коптский Малайский Мальтийский Нунггубую Немецкий Норвежский Бразильский вариант португальского языка Ротуманский Румынский Русский Сапотекский Сербский Суахили Тлингит Турецкий Убыхский Украинский Урду Фарси Фарерский Хинди Хорватский Чешский Шотландский гэльский Эсперанто Юпик 
dataset/Dataset/data/3808575/table_0|0|169|язык|Немецкий язык Венгерский язык Чешский язык Польский язык Украинский язык Итальянский язык Словенский язык Хорватский язык Сербский язык Румынский язык Латинский язык 
dataset/Dataset/data/6748040/table_0|3|169|язык|Йолнгуйский[en], Английский Немецкий Азербайджанский Испанский Персидский Бенгальский Французский Болгарский Испанский Боснийский Португальский Турецкий Венгерский Испанский Немецкий, Французский Мандаринский Греческий Грузинский, Абхазский, Русский Датский Испанский Арабский Иврит, Французский, Арабский Хинди Индонезийский Курдский Персидский Ирландский Исландский Испанский Итальянский Французский Мандаринский Мандаринский Испанский Албанский Испанский Киргизский Испанский Латышский Арабский Литовский Французский Арабский, Французский, Тамашек Македонский Мальтийский Арабский Испанский Румынский Непальский Нидерландский Маори Норвежский Урду Арабский Испанский Испанский Польский Португальский Корейский Русский Румынский Сербский Малайский, Индонезийский Словацкий Словенский Тайский Турецкий Украинский Испанский Тагальский, Английский Финский Французский Хорватский Черногорский Чешский Испанский Немецкий Шведский Испанский Эстонский, Русский Амхарский Венда Японский 
dataset/Dataset/data/4302622/table_0|1|169|язык|Абхазский Адыгейский Севернокитайский Фарерский Малаялам Норвежский южный диалект Польский Русский Сицилийский Словацкий Шведский Телугу Чувашский южные диалекты Носу 
dataset/Dataset/data/8312529/table_0|0|169|язык|Адыгейский Армянский Грузинский Хайда Кабардино-черкесский Осетинский Амхарский Не-персе 
dataset/Dataset/data/8522299/table_0|0|169|язык|Абхазский Африкаанс Алеутский Арабский Аварский Восточноармянский Чилкотин Чувашский Голландский Эякский Французский Немецкий Рутульский Хайда Иврит Кабардино-черкесский Кабильский Клаллам Лезгинский Oowekyala Не-персе Португальский Саанич Сери Испанский Тлингитский Убыхский Идиш 
dataset/Dataset/data/4587066/table_0|2|169|язык|Малайский Английский Сингальский Малайский Вьетнамский Японский, английский Кантонский Индонезийский Мандаринский Персидский1 Корейский, английский 
dataset/Dataset/data/5234647/table_7|4|169|язык|Списокпольск. 2005 Списокпольск. 2001болг. 2004чеш. 2005 Списокпольск. 2002лит. 2002чеш. 2008 
dataset/Dataset/data/1104204/table_0|1|169|язык|Испанский Австралийский вариант английского языка Азербайджанский Белорусский Португальский Английский (ирландский) Канадский вариант английского языка и канадский вариант французского языка Чешский Французский Немецкий Кантонский китайский Иврит Турецкий Хинглиш и хинди Итальянский Японский Корейский Испанский Нидерландский Новозеландский вариант английского языка Польский Русский Испанский Южноафриканский вариант английского языка Шведский Китайский Британский вариант английского языка Украинский Болгарский 
dataset/Dataset/data/6125100/table_0|2|169|язык|Литовский Английский Испанский Хорватский Английский Английский Турецкий Английский Английский Французский Английский Польский Английский Греческий Английский Португальский Английский Английский Английский/Иврит Английский Английский/Немецкий/Турецкий/Иврит Боснийский/Французский Английский 
dataset/Dataset/data/6012423/table_0|3|169|язык|путунхуа путунхуа путунхуа путунхуа путунхуа путунхуа путунхуа путунхуа путунхуа путунхуа путунхуа путунхуа, русский,немецкий путунхуа,монгольский путунхуа путунхуа путунхуа путунхуа путунхуа путунхуа путунхуа путунхуа путунхуа путунхуа путунхуа путунхуа, японский,английский путунхуа путунхуа, японский,английский путунхуа путунхуа путунхуа путунхуа,английский путунхуа 
dataset/Dataset/data/4371106/table_0|0|169|язык|Къхонг Зулу Хадза Коса 
dataset/Dataset/data/255508/table_1|3|169|язык|RU, KZ, EN 
