table_id|column_id|label_id|label|column_data
dataset/Dataset/data/4464249/table_50|5|15|вес|33,3 кг 
dataset/Dataset/data/3427560/table_2|1|52|количество|89617 66011 59688 39144 33470 21218 15818 11469 11420 10779 10195 9092 8112 7310 5897 
dataset/Dataset/data/1171901/table_0|1|74|население|Городское население Сельское население Мужское население Женское население Плотность населения, чел/км² Население муниципалитетав % к населению штата 
dataset/Dataset/data/2537282/table_0|9|15|вес|240 385 575 475 645 190 190 190 190 190 200 200 205 215 455 480 515 595 125 190 335 390 390 375 
dataset/Dataset/data/1137910/table_0|1|74|население|Городское население Сельское население Мужское население Женское население Плотность населения, чел/км² Население мезорегионав % к населению штата 
dataset/Dataset/data/2260691/table_0|1|92|площадь|137 293 9 82 39 163 246 322 37 107 343 44 27 25 32 39 57 
dataset/Dataset/data/2122685/table_0|4|52|количество|1 557 1 816 1 919 1 669 1 715 1 772 1 990 2 207 2 156 2 143 2 258 2 017 2 004 1 927 1 768 
dataset/Dataset/data/8207491/table_4|6|15|вес|Ч 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 Жен. полулёгкий вес Ч 
dataset/Dataset/data/8089106/table_0|1|74|население|18 388 172 18 350 128 18 300 111 18 112 122 18 001 547 17 832 232 17 603 578 17 410 670 17 311 707 17 285 902 17 188 488 17 079 306 17 135 867 17 181 083 17 003 631 17 039 717 17 071 380 17 089 884 17 087 236 17 074 504 17 068 318 17 053 699 17 011 343 16 951 251 16 890 760 16 820 249 16 767 030 16 757 857 16 751 375 16 740 324 16 739 538 16 705 635 16 702 306 16 701 487 16 659 957 16 640 059 16 639 877 16 661 423 16 674 632 16 433 796 
dataset/Dataset/data/2490209/table_3|1|117|расстояние|210.4 213.9 219.9 224.2 228.2 238.1 
dataset/Dataset/data/1291388/table_1|1|52|количество|30 пушек 28 пушек 30 пушек 10 пушек 12 пушек 110 орудий 
dataset/Dataset/data/5257178/table_2|1|52|количество|364 34 16 106 47/18 68 20 100 245 ~43 41 (по трёхлетнему контракту 2011—13 годов)[источник не указан 1971 день] 16 ? 40 107 89 99 469 6 92 97 60 93 24 17 40 40 
dataset/Dataset/data/1131155/table_0|3|74|население|1930 11 498 
dataset/Dataset/data/1131079/table_0|8|74|население|2004 3242 
dataset/Dataset/data/1170201/table_0|3|74|население|Процент городского населения, % Процент сельского населения, % Процент мужского населения, % Процент женского населения, % Плотность населения, чел/км² Население муниципалитетав % к населению штата 
dataset/Dataset/data/2490209/table_4|1|117|расстояние|222.1 226.3 231.0 236.2 241.4 243.2 249.8 255.5 258.3 263.8 271.1 277.7 282.5 285.8 288.8 292.5 298.0 304.3 307.1 313.2 317.0 
dataset/Dataset/data/5188723/table_0|2|74|население|765 131 279 819 511 624 533 326 Плотность населения, чел/км² Население регионав % к населению страны 
dataset/Dataset/data/5141376/table_1|9|52|количество|1 1 1 1⁄2 1⁄2 1⁄2 1 1 1 1 2 2 1 1⁄2 1⁄2 1 1 1 1⁄2 1⁄2 1⁄2 11⁄2 11⁄2 1⁄2 1 1 1 1 1 2 2 1 1 2 1 11⁄2 11⁄2 1⁄2 2 1 2 11⁄2 1⁄2 1 1 4 4 2 1 11⁄2 1 1⁄2 
dataset/Dataset/data/7447305/table_1|2|52|количество|209768 291830 421032 345852 855426 67665 543477 11845 23388 5815 2942961 
