table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1000933/table_1|2|3|актер|Ричард Комптон 
dataset/Dataset/data/1000933/table_1|3|144|сценарист|Дж. Майкл Стражински 
dataset/Dataset/data/1000933/table_1|4|106|продюсер|Роберт Латман Браун 
dataset/Dataset/data/1001513/table_0|3|143|судья|Судьи 
dataset/Dataset/data/1003469/table_0|3|143|судья|Судьи 
dataset/Dataset/data/1003512/table_1|2|3|актер|Макс Паперник Семён Горов Игорь Иванов Макс Паперник Семён Горов Владимир Пасичник Семён Горов Владимир Пасичник Владимир Пасичник Семён Горов Владимир Пасичник Владимир Пасичник Владимир Пасичник Семён Горов Семён Горов Семён Горов Семён Горов Семён Горов Семён Горов Семён Горов Алан Бадоев Сергей Солодкий Алан Бадоев Сергей Солодкий 
dataset/Dataset/data/1004164/table_2|1|132|спортсмен|Андрей Моисеев Россия 
dataset/Dataset/data/100466/table_0|3|3|актер|Вим Вендерс Питер Семпел Джон Хиллкоут Тони ДиЧилло (Toni DiChillo) Питер Семпел Ларри Вайнштайн Michael Hausman Andrew Dominik Ян Форсайт, Джейн Поллард 
dataset/Dataset/data/1005714/table_3|1|153|тренер|Владимир Бодров Алексей Корягин Игорь Волчок Алексей Корягин Владимир Павленко Николай Лебедев Юрий Крючков Юрий Нестеренко Арсен Найдёнов Юрий Кобяков Игорь Кукин Юрий Кобяков Михаил Кобяков 
dataset/Dataset/data/1008646/table_0|0|3|актер|Джеймс Ван Дер Бик Кэти Холмс Мишель Уильямс Джошуа Джексон Мередит Монро Керр Смит Мэри Бет Пейл Мэри-Маргарет Хьюмс Джон Уэсли Шипп Нина Репета Бизи Филиппс 
dataset/Dataset/data/1008697/table_0|0|3|актер|Киран О’Брайан Марго Стилли Майкл Найман Кортни Тэйлор-Тэйлор Александр Капранос 
dataset/Dataset/data/1009955/table_3|5|3|актер|Ричард Гров (Калейн) Робин Сакс (Хедронн) Роберт Фоксворт (Уильям Хейг) Эд Вассер (Морден)Беверли Лич (Элизабет Шеридан) Бет Туссен (Анна Шеридан) Мишель Ансара (Элрик) Вилльям Форвард (Лорд Рифа) Дэвид Л. Кроули (Лоу Велч) Расс Тэмблин (Джек Мейнард) Арт Кимбро (Рэй Галус) Мигель А. Нуньес мл. (Орвелл) Анна-Мария Джонсон (Мария Сиррус) Дуайт Шультц (Амис) Эдриенн Барбо (Аманда Картер) Джеймс Шигета (Таро Исоги) Джефф Конауэй[2 1] (Зак Аллан) Джессика Уолтер (Элиза Воудро) см. ниже Уолтер Кёниг (Бестер) Джефф Конауэй[2 1] (Зак Аллан) Турхан Бей (Император Центавра) Пол Винфилд (Ричард Франклин) Дэвид Л. Кроули (Лоу Велч) Кен Фори („Крупный“) Мари Маршалл („Доджер“) Маршалл Тигуи (нарн) Робин Сакс (Хедронн) Джон Виккери (Нерун) Роберт Фоксворт (Уильям Хейг) Пол Вилльямс (Так) Джефф Конауэй[2 1] (Зак Аллан) Йен Эберкромби (Коррелимурзон) Берни Касей (Дерек Кренстон) Джефф Конауэй[2 1] (Зак Аллан) Тони Стидман (Эверет Джекобс) Ричард Молл (Макс) Джулия Кэйтлин Браун (Гинерва Корри) Джефф Конауэй[2 1] (Зак Аллан)Шон Грегори Салливан (Ашан) Ким Зиммер (Синтия Торкман) Кристофер Курри (Роналд Квантрелл) Джефф Конауэй[2 1] (Зак Аллан) Алекс Хайд-Вайт (Пирс Макаби) Эд Вассер (Морден) Кармен Аргензиано (Урза Джаддо) Вилльям Форвард (Лорд Рифа) Джим Нортон (доктор Лазаренн) Патрисия Толлман[2 5] (Лита Александер) Джефф Конауэй[2 1] (Зак Аллан) Джон Шук (Драал) Вилльям Форвард (Лорд Рифа) Морган Шеппард (Г’Стен) Уэйн Александер (Себастиан) Джек Кехлер (Чейз) Рой Дотрис (Фредерик Ленц) Джефф Конауэй[2 1] (Зак Аллан) Робин Сакс (На’Кал) Джон Викери (Уэллс) 
dataset/Dataset/data/1009955/table_3|4|144|сценарист|Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Д.С. Фонтана Скотт Фрост Ларри ДиТилло Питер Дэвид Дж. Майкл Стражински Дж. Майкл Стражински Ларри ДиТилло Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Питер Дэвид Дж. Майкл Стражински Дж. Майкл Стражински Ларри ДиТилло Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински 
dataset/Dataset/data/1009955/table_3|3|3|актер|Дженет Грик Джим Джонстон Майк Вейар Джим Джонстон Марио ДиЛео Кевин Кремин Джон Флинн III Джим Джонстон Дженет Грик Джим Джонстон Марио ДиЛео Джим Джонстон Минахем Бинетски Майк Вейар Марио ДиЛео Дэвид Дж. Игл Стивен Поузи Кевин Кремин Хесус Тревино Джон Флинн III Майк Вейар Дженет Грик 
dataset/Dataset/data/1010328/table_9|2|3|актер|Эрик Циммерманruen и Бенджамин Стоукс Эрик Циммерман Бретт Тёрнбулл Джон Рейссruen Джон Рейссruen Эрик Гуд и Серж Беккер Питер Кристоферсон Питер Кристоферсон и Трент Резнор Марк Романек Хэнк Корвин и Трент Резнор Марк Романек Марк Пеллингтон Уолтер Стернruen и Джефф Ричтер Роберт Хейлзruen и Брайан Уорнер Энда МакКаллионruen Роб Шеридан Дэвид Финчер Алекс Лью, Роб Шеридан и Трент Резнор Дэвид Линч Брук Линдер Алекс Лью 
dataset/Dataset/data/1011423/table_2|5|3|актер|Пол Хэмптон (сенатор) Морган Шеппард (охотник за душами) Фабиана Уденио (Адира Тири) Клив Ревилл (Тракис) Дэвид Маккаллум (Венс Хендрикс)Маршалл Тиг (Нельсон Дрейк) Джулия Никсон (Кэтрин Сакай)Томас Копачи (Ту’Пари) Джулия Никсон (Кэтрин Сакай) Вилльям Алан Юнг (Джейсон Айронхарт) Фелисити Ватерман (Келси) Уолтер Кёниг (Бестер) Тристиан Роджерс (Мэлколм Биггс) Нэнси Ли Гран (Шаал Майян) Родни Истман (Кирон Мерей) Даника Маккеллар (Арью Тенсус) Джастин Вилльямс (Митчелл) Кристофер Ним (Рыцарь Два) Юдсон Скотт (Рыцарь Один) Сара Дуглас (Джа’дур) Робин Кертис (посол Калика) Коси Коста (Аббут) Аки Алеонг (Сенатор Хидоши) Трисия О'Нил (М’ола) Стивен Ли (Тарг) Сильвана Галлардо (Майя Хенандез) Элайн Томас (Лайяна Кеммер) Том Дональдсон (Каттер) Кэти Бойер (Ниома Конналли) Джон Снайдер (Орин Зенто) Аки Алеонг (Сенатор Хидоши) Геррит Грахам (Лорд Киро) Фреди Олстер (Леди Ладира) Эд Вассер (Морден) Грег Маккинней (Уолкер Смит) Сун-Тек Ох (Мута-до) Дон Строуд (Калибан) Теодор Бикел (рабби Козлов) Дэвид Уорнер (Олдос Гайич) Том Букер (Чума) Джим Нортон (Омбус Веллингтон) Грегори Мартин (Ари Бен Зейн) Джеффри Комбс (Харриман Грей) Джон Виккери (Нерун) Грайс Уна (Алиса Белдон) Луи Тюренн (Драал)[1 2] Курт Лоуэнс (Варн) Рон Канада (Капитан Эллис Пирс) Денис Джентайл (Лиза Хемптон) Аки Алеонг (Сенатор Хидоши) Луи Тюренн (Драал)[1 2] Курт Лоуэнс (Варн) Рон Канада (Капитан Эллис Пирс) Денис Джентайл (Лиза Хемптон) Аки Алеонг (Сенатор Хидоши) Кент Бродхерст (майор Крантц) Тим Чоут (Затрас) Денис Джентайл (Лиза Хемптон) Джун Локхарт (Лора Розен) Марк Ролстон (Карл Мюллер) Дайман Лондон (сенатор Центавра) Джим Нортон (Омбус Веллингтон) Джулия Никсон (Кэтрин Сакай) 
dataset/Dataset/data/1011423/table_2|4|144|сценарист|Дж. Майкл Стражински Дж. Майкл Стражински Ларри ДеТиллио Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Д.С. Фонтана Дж. Майкл Стражински Ларри ДеТиллио Дэвид Геррольд Марк Скотт Зикри Кэтрин М. Дреннан Дж. Майкл Стражински Ларри ДиТилло Кристи Маркс Лоуренс ДиТилло Д.С. Фонтана Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински Дж. Майкл Стражински 
